Date,Close,COF
11/11/2005,80.82,0.00297398
10/11/2005,80.58,0.031772718
09/11/2005,78.06,0.037326531
08/11/2005,75.2,-0.027542725
07/11/2005,77.3,0.013545401
04/11/2005,76.26,0.009486237
03/11/2005,75.54,-0.002776127
02/11/2005,75.75,-0.000527913
01/11/2005,75.79,-0.007361674
31/10/2005,76.35,0.014379246
28/10/2005,75.26,0.014723864
27/10/2005,74.16,-0.011529823
26/10/2005,75.02,0.003204275
25/10/2005,74.78,-0.014997958
24/10/2005,75.91,0.019420669
21/10/2005,74.45,0.025162837
20/10/2005,72.6,-0.013000525
19/10/2005,73.55,0.019495401
18/10/2005,72.13,-0.007183344
17/10/2005,72.65,-0.004395008
14/10/2005,72.97,0.0132434
13/10/2005,72.01,-0.009948956
12/10/2005,72.73,-0.009987086
11/10/2005,73.46,-0.018076845
10/10/2005,74.8,-0.009844432
07/10/2005,75.54,-0.006991652
06/10/2005,76.07,-0.013838341
05/10/2005,77.13,-0.020277902
04/10/2005,78.71,-0.017505642
03/10/2005,80.1,0.007267292
30/09/2005,79.52,-0.011005614
29/09/2005,80.4,0.004987542
28/09/2005,80,-0.001998003
27/09/2005,80.16,-0.005101734
26/09/2005,80.57,0.00885127
23/09/2005,79.86,0.006406655
22/09/2005,79.35,-0.000755858
21/09/2005,79.41,-0.031362967
20/09/2005,81.94,-0.000122033
19/09/2005,81.95,-0.000609942
16/09/2005,82,0.021198723
15/09/2005,80.28,-0.002488182
14/09/2005,80.48,-0.000869403
13/09/2005,80.55,-0.001984374
12/09/2005,80.71,0.017624355
09/09/2005,79.3,0.004043473
08/09/2005,78.98,-0.005933237
07/09/2005,79.45,-0.013129291
06/09/2005,80.5,-0.018949749
02/09/2005,82.04,0.023556617
01/09/2005,80.13,-0.025991486
31/08/2005,82.24,0.01075805
30/08/2005,81.36,-0.00417025
29/08/2005,81.7,0.006877944
26/08/2005,81.14,-0.020855686
25/08/2005,82.85,0.000120707
24/08/2005,82.84,-0.015333314
23/08/2005,84.12,-0.015570024
22/08/2005,85.44,0.007518832
19/08/2005,84.8,0
18/08/2005,84.8,-0.004940605
17/08/2005,85.22,0.017877703
16/08/2005,83.71,0.002751362
15/08/2005,83.48,0.001798454
12/08/2005,83.33,-0.000599844
11/08/2005,83.38,0.007947062
10/08/2005,82.72,-0.021763384
09/08/2005,84.54,0.007003412
08/08/2005,83.95,-0.004753425
05/08/2005,84.35,0.004753425
04/08/2005,83.95,0.00969545
03/08/2005,83.14,-0.003841541
02/08/2005,83.46,0.001318866
01/08/2005,83.35,0.010250316
29/07/2005,82.5,-0.013125602
28/07/2005,83.59,0.006119897
27/07/2005,83.08,-0.006956967
26/07/2005,83.66,-0.000955795
25/07/2005,83.74,-0.013757333
22/07/2005,84.9,0.00863553
21/07/2005,84.17,0.037772315
20/07/2005,81.05,-0.002587642
19/07/2005,81.26,-0.004175371
18/07/2005,81.6,-0.00696101
15/07/2005,82.17,-0.002673798
14/07/2005,82.39,-0.007015026
13/07/2005,82.97,0.001809519
12/07/2005,82.82,0.005326889
11/07/2005,82.38,0.006454385
08/07/2005,81.85,0.004776202
07/07/2005,81.46,0.022846785
06/07/2005,79.62,0.007817465
05/07/2005,79,0.002534856
01/07/2005,78.8,-0.01523863
30/06/2005,80.01,0.079574126
29/06/2005,73.89,-0.006206172
28/06/2005,74.35,0.009866945
27/06/2005,73.62,0.0035379
24/06/2005,73.36,0.003550461
23/06/2005,73.1,-0.018165065
22/06/2005,74.44,-0.004690754
21/06/2005,74.79,-0.002537225
20/06/2005,74.98,0
17/06/2005,74.98,0.001067521
16/06/2005,74.9,-0.002400321
15/06/2005,75.08,0.00909827
14/06/2005,74.4,-0.003354582
13/06/2005,74.65,0.00147463
10/06/2005,74.54,-0.01040981
09/06/2005,75.32,0.005858872
08/06/2005,74.88,-0.001601281
07/06/2005,75,0.003338901
06/06/2005,74.75,-0.002405132
03/06/2005,74.93,-0.00704837
02/06/2005,75.46,-0.000927214
01/06/2005,75.53,0.001722653
31/05/2005,75.4,0.007053999
27/05/2005,74.87,0.006700642
26/05/2005,74.37,0.005122686
25/05/2005,73.99,-0.002834201
24/05/2005,74.2,0.001078749
23/05/2005,74.12,-0.002963763
20/05/2005,74.34,-0.00228418
19/05/2005,74.51,0.004169194
18/05/2005,74.2,0.012749393
17/05/2005,73.26,0.007810934
16/05/2005,72.69,0.023242296
13/05/2005,71.02,-0.00281215
12/05/2005,71.22,-0.010336731
11/05/2005,71.96,0.012304406
10/05/2005,71.08,-0.008824205
09/05/2005,71.71,0.002093949
06/05/2005,71.56,-0.00612986
05/05/2005,72,-0.006920443
04/05/2005,72.5,0.01291057
03/05/2005,71.57,-0.002093657
02/05/2005,71.72,0.011640269
29/04/2005,70.89,-0.000846024
28/04/2005,70.95,-0.009259325
27/04/2005,71.61,0.008695707
26/04/2005,70.99,-0.011206169
25/04/2005,71.79,0.016007081
22/04/2005,70.65,-0.013775871
21/04/2005,71.63,-0.008479928
20/04/2005,72.24,-0.016610994
19/04/2005,73.45,0.008339648
18/04/2005,72.84,-0.002194186
15/04/2005,73,-0.01670894
14/04/2005,74.23,-0.004033348
13/04/2005,74.53,-0.004952162
12/04/2005,74.9,0.01141335
11/04/2005,74.05,-0.004177622
08/04/2005,74.36,-0.012296332
07/04/2005,75.28,0.00146228
06/04/2005,75.17,0.000931656
05/04/2005,75.1,0.003601685
04/04/2005,74.83,0.002006555
01/04/2005,74.68,-0.001204416
31/03/2005,74.77,0.000802783
30/03/2005,74.71,0.012797373
29/03/2005,73.76,-0.005408342
28/03/2005,74.16,-0.011929637
24/03/2005,75.05,-0.010075652
23/03/2005,75.81,0.002244966
22/03/2005,75.64,-0.017300563
21/03/2005,76.96,0.004166673
18/03/2005,76.64,-0.003776784
17/03/2005,76.93,-0.000909504
16/03/2005,77,-0.015464226
15/03/2005,78.2,-0.010304779
14/03/2005,79.01,0.014405246
11/03/2005,77.88,-0.010601032
10/03/2005,78.71,0.003946285
09/03/2005,78.4,-0.00445435
08/03/2005,78.75,0.035544937
07/03/2005,76,-0.027000602
04/03/2005,78.08,0.019136865
03/03/2005,76.6,0.000783597
02/03/2005,76.54,-0.002739906
01/03/2005,76.75,0.000912468
28/02/2005,76.68,-0.008699659
25/02/2005,77.35,0.017607237
24/02/2005,76,0.007660848
23/02/2005,75.42,0.005584378
22/02/2005,75,-0.023976909
18/02/2005,76.82,-0.013704158
17/02/2005,77.88,-0.009584125
16/02/2005,78.63,0.001654681
15/02/2005,78.5,-0.004448689
14/02/2005,78.85,0.005723386
11/02/2005,78.4,0.01542447
10/02/2005,77.2,0.004804268
09/02/2005,76.83,-0.006357465
08/02/2005,77.32,-0.016037293
07/02/2005,78.57,-0.003303688
04/02/2005,78.83,0.005214638
03/02/2005,78.42,-0.000637389
02/02/2005,78.47,-0.012537364
01/02/2005,79.46,0.014961608
31/01/2005,78.28,0.008467017
28/01/2005,77.62,0
27/01/2005,77.62,-0.014453152
26/01/2005,78.75,0.021693939
25/01/2005,77.06,0.004030953
24/01/2005,76.75,-0.021142982
21/01/2005,78.39,-0.003438399
20/01/2005,78.66,-0.042803249
19/01/2005,82.1,-0.010058862
18/01/2005,82.93,0.009815286
14/01/2005,82.12,0.000974659
13/01/2005,82.04,-0.005227658
12/01/2005,82.47,0.004618384
11/01/2005,82.09,-0.002676401
10/01/2005,82.31,0.004261284
07/01/2005,81.96,-0.005960726
06/01/2005,82.45,0.012448294
05/01/2005,81.43,-0.010019634
04/01/2005,82.25,-0.018669618
03/01/2005,83.8,-0.004880672
31/12/2004,84.21,0.00500001
30/12/2004,83.79,-0.00440608
29/12/2004,84.16,0.002498365
