Date,Close,LMT
26/04/2007,93.5,-0.021164811
25/04/2007,95.5,0.00714589
24/04/2007,94.82,-0.02345201
23/04/2007,97.07,0.017353789
20/04/2007,95.4,-0.002408
19/04/2007,95.63,-0.007708372
18/04/2007,96.37,0.004263512
17/04/2007,95.96,-0.000416753
16/04/2007,96,-0.00249688
13/04/2007,96.24,0.000831601
12/04/2007,96.16,-0.004668785
11/04/2007,96.61,-0.014795297
10/04/2007,98.05,0.000203998
09/04/2007,98.03,0.013556745
05/04/2007,96.71,-0.0035095
04/04/2007,97.05,-0.002367109
03/04/2007,97.28,0.00360435
02/04/2007,96.93,-0.000928074
30/03/2007,97.02,-0.011070224
29/03/2007,98.1,0.009422438
28/03/2007,97.18,-0.0102376
27/03/2007,98.18,-0.002441507
26/03/2007,98.42,-0.00738982
23/03/2007,99.15,0.012585166
22/03/2007,97.91,-0.01962037
21/03/2007,99.85,0.014831528
20/03/2007,98.38,-0.005979243
19/03/2007,98.97,0.011892197
16/03/2007,97.8,-0.002552976
15/03/2007,98.05,-0.000917478
14/03/2007,98.14,0.013025157
13/03/2007,96.87,-0.031800313
12/03/2007,100,0.031593872
09/03/2007,96.89,-0.002988615
08/03/2007,97.18,0.006607499
07/03/2007,96.54,-0.003722089
06/03/2007,96.9,0.004136511
05/03/2007,96.5,0.011045231
02/03/2007,95.44,-0.024631277
01/03/2007,97.82,0.00574125
28/02/2007,97.26,-0.003182264
27/02/2007,97.57,-0.039193119
26/02/2007,101.47,-0.006287475
23/02/2007,102.11,0.005499376
22/02/2007,101.55,-0.009799196
21/02/2007,102.55,-0.002337588
20/02/2007,102.79,0.008205575
16/02/2007,101.95,-0.013542026
15/02/2007,103.34,0.009919366
14/02/2007,102.32,0.000586568
13/02/2007,102.26,0.006179823
12/02/2007,101.63,0.004635345
09/02/2007,101.16,0.00277173
08/02/2007,100.88,-0.006324132
07/02/2007,101.52,0.002268134
06/02/2007,101.29,0.022060085
05/02/2007,99.08,0.00627723
02/02/2007,98.46,0
01/02/2007,98.46,0.012982549
31/01/2007,97.19,0.009822754
30/01/2007,96.24,0.001872075
29/01/2007,96.06,-0.00633012
26/01/2007,96.67,-0.007933687
25/01/2007,97.44,0.003083567
24/01/2007,97.14,-0.016336896
23/01/2007,98.74,0.020153104
22/01/2007,96.77,-0.005153588
19/01/2007,97.27,0.004843623
18/01/2007,96.8,0.003103986
17/01/2007,96.5,-0.00516797
16/01/2007,97,0.007138823
12/01/2007,96.31,0.006771917
11/01/2007,95.66,0.011354201
10/01/2007,94.58,0.010415654
09/01/2007,93.6,-0.000961076
08/01/2007,93.69,0.017985515
05/01/2007,92.02,0.003592623
04/01/2007,91.69,-0.002614096
03/01/2007,91.93,-0.001521739
29/12/2006,92.07,-0.002603321
28/12/2006,92.31,-0.006909236
27/12/2006,92.95,0.006476008
26/12/2006,92.35,0.007063327
22/12/2006,91.7,-0.002613811
21/12/2006,91.94,0.003704919
20/12/2006,91.6,-0.00272554
19/12/2006,91.85,0.018349139
18/12/2006,90.18,0.001553657
15/12/2006,90.04,-0.002329581
14/12/2006,90.25,0.003440816
13/12/2006,89.94,-0.010837218
12/12/2006,90.92,-0.004499322
11/12/2006,91.33,-0.005350818
08/12/2006,91.82,0.001962281
07/12/2006,91.64,-0.006959576
06/12/2006,92.28,-0.001407765
05/12/2006,92.41,0.002926038
04/12/2006,92.14,0.019618142
01/12/2006,90.35,-0.001106195
30/11/2006,90.45,-0.001877727
29/11/2006,90.62,0.010761739
28/11/2006,89.65,0.020623935
27/11/2006,87.82,-0.017048113
24/11/2006,89.33,-0.001789509
22/11/2006,89.49,-0.006238184
21/11/2006,90.05,0.008699586
20/11/2006,89.27,0.001345141
17/11/2006,89.15,-0.003694792
16/11/2006,89.48,0.010560709
15/11/2006,88.54,0.005663171
14/11/2006,88.04,0.01349363
13/11/2006,86.86,0.012861541
10/11/2006,85.75,0.004441335
09/11/2006,85.37,-0.012571461
08/11/2006,86.45,-0.011958289
07/11/2006,87.49,-0.002283367
06/11/2006,87.69,0.007899749
03/11/2006,87,-0.000689417
02/11/2006,87.06,-0.002867468
01/11/2006,87.31,0.004361807
31/10/2006,86.93,-0.00114969
30/10/2006,87.03,0.028200424
27/10/2006,84.61,-0.004716434
26/10/2006,85.01,-0.019338907
25/10/2006,86.67,-0.027763758
24/10/2006,89.11,0.010377984
23/10/2006,88.19,0.013585459
20/10/2006,87,-0.010746645
19/10/2006,87.94,-0.001704255
18/10/2006,88.09,0.00614896
17/10/2006,87.55,-0.011921799
16/10/2006,88.6,0
13/10/2006,88.6,0.000451569
12/10/2006,88.56,0.008618788
11/10/2006,87.8,-0.010198389
10/10/2006,88.7,0.001353791
09/10/2006,88.58,0.013639675
06/10/2006,87.38,-0.004339392
05/10/2006,87.76,-0.001366432
04/10/2006,87.88,0.012365626
03/10/2006,86.8,-0.001726619
02/10/2006,86.95,0.010288513
29/09/2006,86.06,0.005359444
28/09/2006,85.6,0.005388323
27/09/2006,85.14,-0.003517415
26/09/2006,85.44,0.006340282
25/09/2006,84.9,0.024442349
22/09/2006,82.85,0.003991056
21/09/2006,82.52,-0.003991056
20/09/2006,82.85,0.007511545
19/09/2006,82.23,0.004631895
18/09/2006,81.85,-0.013952304
15/09/2006,83,0.002895755
14/09/2006,82.76,0.006303051
13/09/2006,82.24,0.0065878
12/09/2006,81.7,-0.012890851
11/09/2006,82.76,-0.007943236
08/09/2006,83.42,-0.000958543
07/09/2006,83.5,0.002998503
06/09/2006,83.25,-0.005390849
05/09/2006,83.7,0.000238977
01/09/2006,83.68,0.01299032
31/08/2006,82.6,0.004124718
30/08/2006,82.26,-0.009919036
29/08/2006,83.08,-0.010059965
28/08/2006,83.92,0.010059965
25/08/2006,83.08,-0.004443651
24/08/2006,83.45,-0.010371435
23/08/2006,84.32,0.015296665
22/08/2006,83.04,-0.006960307
21/08/2006,83.62,0.000837471
18/08/2006,83.55,-0.000359002
17/08/2006,83.58,-0.003463724
16/08/2006,83.87,0.007299739
15/08/2006,83.26,0.002525406
14/08/2006,83.05,0.014921124
11/08/2006,81.82,-0.007063724
10/08/2006,82.4,0.012701685
09/08/2006,81.36,-0.020318237
08/08/2006,83.03,0.022286741
07/08/2006,81.2,-0.028410312
04/08/2006,83.54,0.023986613
03/08/2006,81.56,0.000122617
02/08/2006,81.55,0.014326539
01/08/2006,80.39,0.008871177
31/07/2006,79.68,-0.01011434
28/07/2006,80.49,0.01401249
27/07/2006,79.37,0.013828321
26/07/2006,78.28,-0.002424244
25/07/2006,78.47,0.021772197
24/07/2006,76.78,0.01509116
21/07/2006,75.63,-0.001585415
20/07/2006,75.75,0.005029127
19/07/2006,75.37,0.011073424
18/07/2006,74.54,-0.011603998
17/07/2006,75.41,0.001459757
14/07/2006,75.3,0.007598517
13/07/2006,74.73,-0.002272273
12/07/2006,74.9,-0.005326244
11/07/2006,75.3,0.011486703
10/07/2006,74.44,0.016524824
07/07/2006,73.22,-0.003816799
06/07/2006,73.5,0.007922456
05/07/2006,72.92,0.005776388
03/07/2006,72.5,0.01053809
30/06/2006,71.74,0.005591292
29/06/2006,71.34,0.012695896
28/06/2006,70.44,0.00028397
27/06/2006,70.42,-0.012278751
26/06/2006,71.29,-0.000280505
23/06/2006,71.31,0.002386804
22/06/2006,71.14,-0.004488086
21/06/2006,71.46,0.0068806
20/06/2006,70.97,0.000281849
19/06/2006,70.95,-0.005201389
16/06/2006,71.32,-0.003359466
15/06/2006,71.56,0.022041017
14/06/2006,70,-0.003137929
13/06/2006,70.22,-0.00822583
12/06/2006,70.8,-0.017640105
09/06/2006,72.06,-0.007741261
08/06/2006,72.62,0.022560489
07/06/2006,71,0.000704473
06/06/2006,70.95,-0.02409084
05/06/2006,72.68,-0.006035684
02/06/2006,73.12,-0.001503246
01/06/2006,73.23,0.010156552
31/05/2006,72.49,-0.001791745
30/05/2006,72.62,0.004001385
26/05/2006,72.33,-0.004827263
25/05/2006,72.68,0.006487703
24/05/2006,72.21,-0.007312899
23/05/2006,72.74,-0.017443887
22/05/2006,74.02,-0.004179312
19/05/2006,74.33,0.017233617
18/05/2006,73.06,-0.003552402
17/05/2006,73.32,-0.032605021
16/05/2006,75.75,0.004100806
15/05/2006,75.44,0.010929071
12/05/2006,74.62,-0.021346518
11/05/2006,76.23,-0.005885832
10/05/2006,76.68,0.01101506
09/05/2006,75.84,-0.006964091
08/05/2006,76.37,-0.000261849
05/05/2006,76.39,0.009205746
04/05/2006,75.69,-0.003297503
03/05/2006,75.94,-0.012692352
02/05/2006,76.91,-0.000909741
01/05/2006,76.98,0.014128963
28/04/2006,75.9,0.003034904
27/04/2006,75.67,0.001322402
26/04/2006,75.57,-0.008302084
25/04/2006,76.2,-0.01807709
24/04/2006,77.59,0.007113785
21/04/2006,77.04,0.003120127
20/04/2006,76.8,0.010734492
19/04/2006,75.98,0.010984032
18/04/2006,75.15,0.021248782
17/04/2006,73.57,0.010109376
13/04/2006,72.83,0.000137315
12/04/2006,72.82,-0.004111284
11/04/2006,73.12,-0.011152026
10/04/2006,73.94,0.00175973
07/04/2006,73.81,-0.009036409
06/04/2006,74.48,-0.005356199
05/04/2006,74.88,-0.001601281
04/04/2006,75,0.008704441
03/04/2006,74.35,-0.010436273
31/03/2006,75.13,-0.001330141
30/03/2006,75.23,-0.003582569
29/03/2006,75.5,-0.001059042
28/03/2006,75.58,-0.004620165
27/03/2006,75.93,-0.000789889
24/03/2006,75.99,0.000263227
23/03/2006,75.97,-0.006952215
22/03/2006,76.5,0.002617803
21/03/2006,76.3,-0.005619828
20/03/2006,76.73,0.010217537
17/03/2006,75.95,0.001317523
16/03/2006,75.85,0.02172405
15/03/2006,74.22,0.002023064
14/03/2006,74.07,0.007453114
13/03/2006,73.52,-0.010957161
10/03/2006,74.33,0.010005492
09/03/2006,73.59,0.002312769
08/03/2006,73.42,0.004094451
07/03/2006,73.12,0.005898104
06/03/2006,72.69,-0.011081583
03/03/2006,73.5,0.002588381
02/03/2006,73.31,-0.000272777
01/03/2006,73.33,0.00629277
28/02/2006,72.87,-0.016198544
27/02/2006,74.06,-0.006996799
24/02/2006,74.58,0.014723032
23/02/2006,73.49,-0.006645444
22/02/2006,73.98,0.013609355
21/02/2006,72.98,0.001920176
17/02/2006,72.84,0.012710865
16/02/2006,71.92,0.001252174
15/02/2006,71.83,-0.011626429
14/02/2006,72.67,0.01455428
13/02/2006,71.62,0.003496752
10/02/2006,71.37,0.010564222
09/02/2006,70.62,0.009675659
08/02/2006,69.94,0.003150511
07/02/2006,69.72,-0.004293695
06/02/2006,70.02,0.015834504
03/02/2006,68.92,0.011675556
02/02/2006,68.12,0.002204424
01/02/2006,67.97,0.004719077
31/01/2006,67.65,0.014742282
30/01/2006,66.66,0.00722677
27/01/2006,66.18,-0.012165052
26/01/2006,66.99,0.03000225
25/01/2006,65.01,-0.010557821
24/01/2006,65.7,0.004576667
23/01/2006,65.4,0.007982849
20/01/2006,64.88,-0.009358049
19/01/2006,65.49,0.001987009
18/01/2006,65.36,-0.005492843
17/01/2006,65.72,-0.001064558
13/01/2006,65.79,-0.005003422
12/01/2006,66.12,-0.002115124
11/01/2006,66.26,0.004841159
10/01/2006,65.94,0.000606796
09/01/2006,65.9,0.006546419
06/01/2006,65.47,0.014616769
05/01/2006,64.52,0.000620155
04/01/2006,64.48,0.014528101
03/01/2006,63.55,-0.00125806
30/12/2005,63.63,0.00173024
29/12/2005,63.52,-0.004555101
