Date,Close,AMZN
27/11/2006,40.85,-0.037477362
24/11/2006,42.41,-0.012885267
22/11/2006,42.96,0.00982464
21/11/2006,42.54,0.002353496
20/11/2006,42.44,-0.002588541
17/11/2006,42.55,-0.006792391
16/11/2006,42.84,0.005617992
15/11/2006,42.6,0.025919891
14/11/2006,41.51,0.037304939
13/11/2006,39.99,0.018423234
10/11/2006,39.26,0.010755545
09/11/2006,38.84,-0.016090246
08/11/2006,39.47,0.017894138
07/11/2006,38.77,0.01454949
06/11/2006,38.21,0.019823564
03/11/2006,37.46,0.000266987
02/11/2006,37.45,-0.002932944
01/11/2006,37.56,-0.014012126
31/10/2006,38.09,-0.001573977
30/10/2006,38.15,-0.00235633
27/10/2006,38.24,-0.001567808
26/10/2006,38.3,0.016320446
25/10/2006,37.68,0.113710924
24/10/2006,33.63,0.022553956
23/10/2006,32.88,0.009472951
20/10/2006,32.57,0.000921517
19/10/2006,32.54,0.007093322
18/10/2006,32.31,-0.004939806
17/10/2006,32.47,-0.003995702
16/10/2006,32.6,-0.021845529
13/10/2006,33.32,-0.006879046
12/10/2006,33.55,0.0192603
11/10/2006,32.91,0.008850966
10/10/2006,32.62,-0.023031321
09/10/2006,33.38,0.023951425
06/10/2006,32.59,-0.022152324
05/10/2006,33.32,0.016949558
04/10/2006,32.76,0.032891578
03/10/2006,31.7,0.026531842
02/10/2006,30.87,-0.039694051
29/09/2006,32.12,0.008755528
28/09/2006,31.84,-0.015272231
27/09/2006,32.33,-0.005244498
26/09/2006,32.5,0.022088314
25/09/2006,31.79,0.030339226
22/09/2006,30.84,0.020308592
21/09/2006,30.22,-0.060974932
20/09/2006,32.12,0.01695488
19/09/2006,31.58,-0.015708774
18/09/2006,32.08,-0.013622502
15/09/2006,32.52,0.027117136
14/09/2006,31.65,-0.000631712
13/09/2006,31.67,-0.001577536
12/09/2006,31.72,0.029757435
11/09/2006,30.79,0.009135463
08/09/2006,30.51,0.025897862
07/09/2006,29.73,-0.035358053
06/09/2006,30.8,-0.045383006
05/09/2006,32.23,0.014690059
01/09/2006,31.76,0.029719394
31/08/2006,30.83,0.005203264
30/08/2006,30.67,0.038216978
29/08/2006,29.52,0.020880444
28/08/2006,28.91,0.030912191
25/08/2006,28.03,0.002142858
24/08/2006,27.97,-0.006059544
23/08/2006,28.14,-0.008140197
22/08/2006,28.37,0.008495626
21/08/2006,28.13,-0.034588601
18/08/2006,29.12,0.001030751
17/08/2006,29.09,0.039977273
16/08/2006,27.95,0.006460898
15/08/2006,27.77,0.045680133
14/08/2006,26.53,0.01749094
11/08/2006,26.07,-0.015982075
10/08/2006,26.49,0.010626286
09/08/2006,26.21,-0.005706692
08/08/2006,26.36,-0.015807631
07/08/2006,26.78,-0.018864994
04/08/2006,27.29,0.022231371
03/08/2006,26.69,0.022736864
02/08/2006,26.09,-0.008777007
01/08/2006,26.32,-0.021425364
31/07/2006,26.89,-0.010358953
28/07/2006,27.17,0.022707099
27/07/2006,26.56,0.011359456
26/07/2006,26.26,-0.246181535
25/07/2006,33.59,-0.021208453
24/07/2006,34.31,0.033188231
21/07/2006,33.19,-0.029392052
20/07/2006,34.18,-0.008738768
19/07/2006,34.48,0.029132559
18/07/2006,33.49,-0.005360346
17/07/2006,33.67,0.022526857
14/07/2006,32.92,-0.024307273
13/07/2006,33.73,-0.026332709
12/07/2006,34.63,-0.029309254
11/07/2006,35.66,-0.003638912
10/07/2006,35.79,-0.008901311
07/07/2006,36.11,-0.01892801
06/07/2006,36.8,-0.00838863
05/07/2006,37.11,-0.039624835
03/07/2006,38.61,-0.00181136
30/06/2006,38.68,0.004145084
29/06/2006,38.52,0.048400832
28/06/2006,36.7,0.00601259
27/06/2006,36.48,-0.00791813
26/06/2006,36.77,0.006001109
23/06/2006,36.55,0.004936927
22/06/2006,36.37,-0.007669169
21/06/2006,36.65,0.032444271
20/06/2006,35.48,0.011623093
19/06/2006,35.07,-0.000570125
16/06/2006,35.09,0.003711639
15/06/2006,34.96,0.037300361
14/06/2006,33.68,0.006254674
13/06/2006,33.47,-0.003876552
12/06/2006,33.6,-0.005342844
09/06/2006,33.78,0.006832048
08/06/2006,33.55,-0.006535971
07/06/2006,33.77,0.010717578
06/06/2006,33.41,-0.00239163
05/06/2006,33.49,-0.037220414
02/06/2006,34.76,-0.008878764
01/06/2006,35.07,0.013203407
31/05/2006,34.61,-0.000866426
30/05/2006,34.64,-0.040452411
26/05/2006,36.07,0.012273515
25/05/2006,35.63,0.012426028
24/05/2006,35.19,0.041485282
23/05/2006,33.76,-0.031202415
22/05/2006,34.83,0.025884825
19/05/2006,33.94,0.03997527
18/05/2006,32.61,0.031145464
17/05/2006,31.61,-0.035734733
16/05/2006,32.76,-0.000610314
15/05/2006,32.78,0.001526485
12/05/2006,32.73,-0.024148472
11/05/2006,33.53,-0.018614808
10/05/2006,34.16,-0.019710783
09/05/2006,34.84,0.004314691
08/05/2006,34.69,-0.010038805
05/05/2006,35.04,0.016400886
04/05/2006,34.47,0.014906019
03/05/2006,33.96,-0.012291639
02/05/2006,34.38,-0.006089623
01/05/2006,34.59,-0.01776551
28/04/2006,35.21,-0.014940377
27/04/2006,35.74,-0.001398015
26/04/2006,35.79,0.006728369
25/04/2006,35.55,-0.006728369
24/04/2006,35.79,-0.0066834
21/04/2006,36.03,-0.008567138
20/04/2006,36.34,-0.015021449
19/04/2006,36.89,0.016673886
18/04/2006,36.28,0.028233881
17/04/2006,35.27,-0.037561795
13/04/2006,36.62,0.013470994
12/04/2006,36.13,0.001939327
11/04/2006,36.06,-0.015137209
10/04/2006,36.61,-0.013025964
07/04/2006,37.09,-0.037570556
06/04/2006,38.51,0.03085281
05/04/2006,37.34,0.015382843
04/04/2006,36.77,0.01728201
03/04/2006,36.14,-0.010733556
31/03/2006,36.53,-0.003825141
30/03/2006,36.67,0.009590428
29/03/2006,36.32,0.017498016
28/03/2006,35.69,0.012405008
27/03/2006,35.25,-0.00622174
24/03/2006,35.47,-0.005903039
23/03/2006,35.68,-0.008928631
22/03/2006,36,0.002224695
21/03/2006,35.92,-0.008593261
20/03/2006,36.23,0.006646383
17/03/2006,35.99,-0.021441173
16/03/2006,36.77,-0.003258216
15/03/2006,36.89,-0.000542005
14/03/2006,36.91,0.019699679
13/03/2006,36.19,-0.000828615
10/03/2006,36.22,0.002764724
09/03/2006,36.12,-0.018922819
08/03/2006,36.81,-0.003254681
07/03/2006,36.93,0.001897277
06/03/2006,36.86,-0.00945059
03/03/2006,37.21,0.008908144
02/03/2006,36.88,-0.006486509
01/03/2006,37.12,-0.008583744
28/02/2006,37.44,-0.015109631
27/02/2006,38.01,-0.008905245
24/02/2006,38.35,0.011803416
23/02/2006,37.9,-0.02140515
22/02/2006,38.72,0.011167497
21/02/2006,38.29,-0.023232847
17/02/2006,39.19,0.00102119
16/02/2006,39.15,-0.002805766
15/02/2006,39.26,0.026062629
14/02/2006,38.25,0.010248414
13/02/2006,37.86,-0.017282441
10/02/2006,38.52,0.01385462
09/02/2006,37.99,-0.0047269
08/02/2006,38.17,0.017175743
07/02/2006,37.52,-0.01139538
06/02/2006,37.95,-0.009963376
03/02/2006,38.33,-0.10890237
02/02/2006,42.74,-0.028599735
01/02/2006,43.98,-0.018919483
31/01/2006,44.82,-0.003118737
30/01/2006,44.96,-0.005766261
27/01/2006,45.22,0.012013493
26/01/2006,44.68,0.024468824
25/01/2006,43.6,-0.009586926
24/01/2006,44.02,0.006609711
23/01/2006,43.73,-0.004335432
20/01/2006,43.92,-0.011995165
19/01/2006,44.45,0.00292892
18/01/2006,44.32,0.007246409
17/01/2006,44,-0.009049836
13/01/2006,44.4,0.000901307
12/01/2006,44.36,-0.012767561
11/01/2006,44.93,-0.015897884
10/01/2006,45.65,-0.030844675
09/01/2006,47.08,-0.016640721
06/01/2006,47.87,0.004606373
05/01/2006,47.65,0.008429976
04/01/2006,47.25,-0.006959851
03/01/2006,47.58,0.009078496
30/12/2005,47.15,-0.017658647
29/12/2005,47.99,-0.001457574
28/12/2005,48.06,-0.010349916
27/12/2005,48.56,-0.013499898
23/12/2005,49.22,0
22/12/2005,49.22,0.005092179
21/12/2005,48.97,0.017094433
20/12/2005,48.14,-0.004766354
19/12/2005,48.37,-0.017217068
16/12/2005,49.21,-0.005471693
15/12/2005,49.48,0.001415715
14/12/2005,49.41,-0.001819837
13/12/2005,49.5,0.008724819
12/12/2005,49.07,0.006747802
09/12/2005,48.74,0.008033826
08/12/2005,48.35,-0.009878656
07/12/2005,48.83,-0.008767515
06/12/2005,49.26,0.008767515
05/12/2005,48.83,-0.004699161
02/12/2005,49.06,0.001223741
01/12/2005,49,0.011081583
30/11/2005,48.46,-0.001855479
