Date,Close,AEP
16/06/2006,34.16,-0.008453629
15/06/2006,34.45,0.011678965
14/06/2006,34.05,-0.008480823
13/06/2006,34.34,-0.020464758
12/06/2006,35.05,0.004288784
09/06/2006,34.9,0.008055279
08/06/2006,34.62,0.006374985
07/06/2006,34.4,0
06/06/2006,34.4,0.001454546
05/06/2006,34.35,-0.015884811
02/06/2006,34.9,0.010658318
01/06/2006,34.53,0.007558176
31/05/2006,34.27,0.018554501
30/05/2006,33.64,-0.004744967
26/05/2006,33.8,0.005934736
25/05/2006,33.6,0.016201975
24/05/2006,33.06,0.012785562
23/05/2006,32.64,-0.011272016
22/05/2006,33.01,0.000302984
19/05/2006,33,0.019584469
18/05/2006,32.36,0.001546312
17/05/2006,32.31,-0.016574965
16/05/2006,32.85,0.00030446
15/05/2006,32.84,0.007948681
12/05/2006,32.58,-0.002452484
11/05/2006,32.66,-0.008840173
10/05/2006,32.95,-0.002727688
09/05/2006,33.04,-0.005734134
08/05/2006,33.23,-0.020256874
05/05/2006,33.91,0.018152559
04/05/2006,33.3,0.004816385
03/05/2006,33.14,-0.009310775
02/05/2006,33.45,0.008707456
01/05/2006,33.16,-0.009006365
28/04/2006,33.46,0.002094242
27/04/2006,33.39,0.004803372
26/04/2006,33.23,-0.00360469
25/04/2006,33.35,-0.003890473
24/04/2006,33.48,-0.00119403
21/04/2006,33.52,-0.001788376
20/04/2006,33.58,0.010778547
19/04/2006,33.22,-0.000601866
18/04/2006,33.24,0.017602882
17/04/2006,32.66,-0.001835424
13/04/2006,32.72,-0.010337581
12/04/2006,33.06,-0.005730675
11/04/2006,33.25,-0.005698021
10/04/2006,33.44,-0.008041741
07/04/2006,33.71,-0.009154058
06/04/2006,34.02,-0.013430859
05/04/2006,34.48,0.004359838
04/04/2006,34.33,0.003793963
03/04/2006,34.2,0.005277057
31/03/2006,34.02,-0.007321749
30/03/2006,34.27,-0.009583346
29/03/2006,34.6,0.017493157
28/03/2006,34,-0.012858155
27/03/2006,34.44,-0.008960892
24/03/2006,34.75,-0.007739755
23/03/2006,35.02,-0.001141553
22/03/2006,35.06,0.00228441
21/03/2006,34.98,-0.005416977
