Date,Close,NOV
26/06/2007,101.91,-0.034715664
25/06/2007,105.51,-0.031899739
22/06/2007,108.93,0.014704107
21/06/2007,107.34,0.039429418
20/06/2007,103.19,-0.042313275
19/06/2007,107.65,0.009145267
18/06/2007,106.67,-0.00374287
15/06/2007,107.07,0.013256434
14/06/2007,105.66,0.036921636
13/06/2007,101.83,0.045711338
12/06/2007,97.28,-0.003284075
11/06/2007,97.6,0.012890099
08/06/2007,96.35,0.002494026
07/06/2007,96.11,-0.006326837
06/06/2007,96.72,-0.014574824
05/06/2007,98.14,0.004391123
04/06/2007,97.71,0.020367724
01/06/2007,95.74,0.01356559
31/05/2007,94.45,0.00839939
30/05/2007,93.66,0.026616307
29/05/2007,91.2,-0.00601259
25/05/2007,91.75,0.028074346
24/05/2007,89.21,-0.038914561
23/05/2007,92.75,0.004971908
22/05/2007,92.29,-0.025250084
21/05/2007,94.65,0.0039168
18/05/2007,94.28,0.025568049
17/05/2007,91.9,0.017563569
16/05/2007,90.3,-0.003647824
15/05/2007,90.63,-0.008131913
14/05/2007,91.37,-0.003714228
11/05/2007,91.71,0.036872583
10/05/2007,88.39,-0.02259604
09/05/2007,90.41,0.001328168
08/05/2007,90.29,0.020250175
07/05/2007,88.48,0.004985281
04/05/2007,88.04,-0.019905071
03/05/2007,89.81,0.013677343
02/05/2007,88.59,0.016962101
01/05/2007,87.1,0.026171892
30/04/2007,84.85,-0.020992024
27/04/2007,86.65,0.045328189
26/04/2007,82.81,0.017050711
25/04/2007,81.41,0.023741094
24/04/2007,79.5,-0.01485763
23/04/2007,80.69,0.017881064
20/04/2007,79.26,0.012058279
19/04/2007,78.31,-0.014830109
18/04/2007,79.48,-0.040922644
17/04/2007,82.8,-0.014626804
16/04/2007,84.02,0.01016816
13/04/2007,83.17,0.001323468
12/04/2007,83.06,0.032051673
11/04/2007,80.44,-0.018719758
10/04/2007,81.96,0.028840417
09/04/2007,79.63,-0.002383193
05/04/2007,79.82,0.005527652
04/04/2007,79.38,0.011147823
03/04/2007,78.5,0.003828977
02/04/2007,78.2,0.005256759
30/03/2007,77.79,-0.011757324
29/03/2007,78.71,0.011500255
28/03/2007,77.81,0.000128526
27/03/2007,77.8,-0.003592511
26/03/2007,78.08,0.009264091
23/03/2007,77.36,0.005963975
22/03/2007,76.9,-0.00363448
21/03/2007,77.18,0.032660264
20/03/2007,74.7,-0.008663833
19/03/2007,75.35,0.032918121
16/03/2007,72.91,-0.005334805
15/03/2007,73.3,-0.014492026
14/03/2007,74.37,0.026155966
13/03/2007,72.45,-0.000276014
12/03/2007,72.47,-0.001792239
09/03/2007,72.6,-0.013000525
08/03/2007,73.55,0.017003015
07/03/2007,72.31,0.025349722
06/03/2007,70.5,0.040231153
05/03/2007,67.72,-0.012327717
02/03/2007,68.56,-0.027193964
01/03/2007,70.45,0.011564123
28/02/2007,69.64,0.026481978
27/02/2007,67.82,-0.037051995
26/02/2007,70.38,0.007559046
23/02/2007,69.85,0.010361296
22/02/2007,69.13,0.019426595
21/02/2007,67.8,0.016057437
20/02/2007,66.72,-0.015909933
16/02/2007,67.79,-0.007348652
15/02/2007,68.29,-0.009473218
14/02/2007,68.94,-0.001304632
13/02/2007,69.03,0.036888219
12/02/2007,66.53,-0.000150297
09/02/2007,66.54,-0.023027089
08/02/2007,68.09,0.029510338
07/02/2007,66.11,0.006525556
06/02/2007,65.68,0.089950028
05/02/2007,60.03,-0.009615459
02/02/2007,60.61,0.008450054
01/02/2007,60.1,-0.0089449
31/01/2007,60.64,0.017299167
30/01/2007,59.6,0.03395941
29/01/2007,57.61,-0.014988652
26/01/2007,58.48,-0.001537805
25/01/2007,58.57,-0.02678506
24/01/2007,60.16,-0.012061278
23/01/2007,60.89,0.037822447
22/01/2007,58.63,0.007361156
19/01/2007,58.2,0.033546122
18/01/2007,56.28,-0.01464
17/01/2007,57.11,0.020699545
16/01/2007,55.94,-0.001786034
12/01/2007,56.04,0.037266877
11/01/2007,53.99,-0.021076561
10/01/2007,55.14,-0.011539977
09/01/2007,55.78,-0.018648973
08/01/2007,56.83,0.008482115
05/01/2007,56.35,0.004624697
04/01/2007,56.09,-0.03761486
03/01/2007,58.24,-0.049247935
29/12/2006,61.18,-0.018782936
28/12/2006,62.34,-0.000160398
27/12/2006,62.35,0.012588933
26/12/2006,61.57,-0.011144426
22/12/2006,62.26,-0.009749937
21/12/2006,62.87,-0.00158932
20/12/2006,62.97,-0.019811969
19/12/2006,64.23,0.020606313
18/12/2006,62.92,-0.063276202
15/12/2006,67.03,-0.016130575
14/12/2006,68.12,0.011813486
13/12/2006,67.32,0.014664336
12/12/2006,66.34,0.006958128
11/12/2006,65.88,-0.007862151
08/12/2006,66.4,0.000753296
07/12/2006,66.35,-0.009002311
06/12/2006,66.95,-0.002684966
05/12/2006,67.13,-0.008898175
04/12/2006,67.73,0.00562631
01/12/2006,67.35,0.012550591
30/11/2006,66.51,-0.001502404
29/11/2006,66.61,0.037630625
28/11/2006,64.15,0.025897547
