Date,Close,FCX
18/01/2006,58.65,-0.051830235
17/01/2006,61.77,0.016650727
13/01/2006,60.75,0.026690492
12/01/2006,59.15,-0.019587133
11/01/2006,60.32,-0.01022605
10/01/2006,60.94,0.03932574
09/01/2006,58.59,-0.007651147
06/01/2006,59.04,0.021226405
05/01/2006,57.8,-0.033180415
04/01/2006,59.75,0.056282598
03/01/2006,56.48,0.048613126
30/12/2005,53.8,-0.024601938
29/12/2005,55.14,0.004726422
28/12/2005,54.88,0.025654263
27/12/2005,53.49,-0.029836467
23/12/2005,55.11,-0.000725558
22/12/2005,55.15,0.025341055
21/12/2005,53.77,0.023521641
20/12/2005,52.52,-0.009097864
19/12/2005,53,-0.014981554
16/12/2005,53.8,0.00652683
15/12/2005,53.45,0.005628533
14/12/2005,53.15,-0.034396882
13/12/2005,55.01,0.007481104
12/12/2005,54.6,-0.008389617
09/12/2005,55.06,-0.005433812
08/12/2005,55.36,0.010532147
07/12/2005,54.78,-0.003644319
06/12/2005,54.98,0.009870305
05/12/2005,54.44,0.013686176
02/12/2005,53.7,-0.011847602
01/12/2005,54.34,0.041903735
30/11/2005,52.11,0.000959969
29/11/2005,52.06,-0.007272759
28/11/2005,52.44,-0.014952488
25/11/2005,53.23,0.028584263
23/11/2005,51.73,-0.0155369
22/11/2005,52.54,0.009754309
21/11/2005,52.03,0.012766131
18/11/2005,51.37,-0.010649728
17/11/2005,51.92,0.002313923
16/11/2005,51.8,0.038772937
15/11/2005,49.83,-0.015334364
14/11/2005,50.6,-0.007285648
11/11/2005,50.97,0.018214719
10/11/2005,50.05,-0.002594035
09/11/2005,50.18,0.007200031
08/11/2005,49.82,-0.00100311
07/11/2005,49.87,-0.008187764
04/11/2005,50.28,-0.017936817
03/11/2005,51.19,0.004699441
02/11/2005,50.95,0.018621774
01/11/2005,50.01,0.011867785
31/10/2005,49.42,0.001214821
28/10/2005,49.36,0.031696418
27/10/2005,47.82,-0.016591007
26/10/2005,48.62,0.002677378
25/10/2005,48.49,0.007451908
24/10/2005,48.13,0.040925885
21/10/2005,46.2,0.025872963
20/10/2005,45.02,-0.041337188
19/10/2005,46.92,0.011144565
18/10/2005,46.4,-0.03265077
17/10/2005,47.94,0.038053268
14/10/2005,46.15,0.006085652
13/10/2005,45.87,-0.002395211
12/10/2005,45.98,-0.0369345
11/10/2005,47.71,0.020968681
10/10/2005,46.72,-0.006400705
07/10/2005,47.02,0.029569436
06/10/2005,45.65,0.012564918
05/10/2005,45.08,-0.041496124
04/10/2005,46.99,-0.02583906
03/10/2005,48.22,-0.007643876
30/09/2005,48.59,-0.007790117
29/09/2005,48.97,0.013569287
28/09/2005,48.31,0.027065535
27/09/2005,47.02,-0.000637823
26/09/2005,47.05,0.027800519
23/09/2005,45.76,0.016303512
22/09/2005,45.02,-0.005758598
21/09/2005,45.28,0.021203785
20/09/2005,44.33,-0.002703313
19/09/2005,44.45,0.014731145
16/09/2005,43.8,0.018898926
15/09/2005,42.98,0.000698243
14/09/2005,42.95,0.014068227
13/09/2005,42.35,-0.044790497
12/09/2005,44.29,0.012724553
09/09/2005,43.73,0.019162539
08/09/2005,42.9,0.004907125
07/09/2005,42.69,-0.00677019
06/09/2005,42.98,0.000232693
02/09/2005,42.97,-0.008112224
01/09/2005,43.32,0.026905354
31/08/2005,42.17,0.024242157
30/08/2005,41.16,0.00878483
29/08/2005,40.8,0.023559676
26/08/2005,39.85,-0.009739121
25/08/2005,40.24,0.009488211
24/08/2005,39.86,-0.023308767
23/08/2005,40.8,-0.015564517
22/08/2005,41.44,0.007751977
19/08/2005,41.12,0.007567472
18/08/2005,40.81,0.001225941
17/08/2005,40.76,-0.042743601
16/08/2005,42.54,-0.017707825
15/08/2005,43.3,-0.001154068
12/08/2005,43.35,0.004624286
11/08/2005,43.15,0.029157956
10/08/2005,41.91,0.023661171
09/08/2005,40.93,-0.001952649
08/08/2005,41.01,-0.000243813
05/08/2005,41.02,-0.018358003
04/08/2005,41.78,0.000239378
03/08/2005,41.77,0.014711468
02/08/2005,41.16,0.01493113
01/08/2005,40.55,0.006680713
29/07/2005,40.28,0.006725645
28/07/2005,40.01,0.008534188
27/07/2005,39.67,0.00480102
26/07/2005,39.48,-0.02179718
25/07/2005,40.35,0.001239926
22/07/2005,40.3,0.005474012
21/07/2005,40.08,0.01129105
20/07/2005,39.63,0.02219762
19/07/2005,38.76,0.002842012
18/07/2005,38.65,0.001294499
15/07/2005,38.6,-0.003362217
14/07/2005,38.73,-0.015373093
13/07/2005,39.33,0.00331084
12/07/2005,39.2,-0.005850201
11/07/2005,39.43,0.015849003
08/07/2005,38.81,0.015319007
07/07/2005,38.22,-0.003916965
06/07/2005,38.37,0.010216199
05/07/2005,37.98,0.00131735
01/07/2005,37.93,0.013002704
30/06/2005,37.44,-0.01221146
29/06/2005,37.9,0.019987341
28/06/2005,37.15,0.011097691
27/06/2005,36.74,0.001634432
