Date,Close,VZ
12/07/2006,32.3,-0.012001991
11/07/2006,32.69,-0.008832096
10/07/2006,32.98,0.008220476
07/07/2006,32.71,-0.009432597
06/07/2006,33.02,-0.008143613
05/07/2006,33.29,-0.007779812
03/07/2006,33.55,0.001789977
30/06/2006,33.49,0.00568949
29/06/2006,33.3,0.020938407
28/06/2006,32.61,0.005226761
27/06/2006,32.44,-0.010426344
26/06/2006,32.78,-0.001524158
23/06/2006,32.83,0.00274516
22/06/2006,32.74,-0.003962816
21/06/2006,32.87,0.003962816
20/06/2006,32.74,0.017563231
19/06/2006,32.17,-0.011435761
16/06/2006,32.54,0.010814256
15/06/2006,32.19,0.017866014
14/06/2006,31.62,0.002216243
13/06/2006,31.55,0.006997484
12/06/2006,31.33,-0.005411441
09/06/2006,31.5,-0.005066509
08/06/2006,31.66,-0.005669307
07/06/2006,31.84,0.00440668
06/06/2006,31.7,0.004743092
05/06/2006,31.55,-0.012285554
02/06/2006,31.94,-0.000625978
01/06/2006,31.96,0.023746565
31/05/2006,31.21,0.0096588
30/05/2006,30.91,-0.018590279
26/05/2006,31.49,0.01085579
25/05/2006,31.15,0.012924251
24/05/2006,30.75,-0.003894844
23/05/2006,30.87,0.002594877
22/05/2006,30.79,-0.003566222
19/05/2006,30.9,0.015984682
18/05/2006,30.41,-0.013067811
17/05/2006,30.81,-0.028477368
16/05/2006,31.7,0.005694416
15/05/2006,31.52,-0.00852951
12/05/2006,31.79,-0.003454235
11/05/2006,31.9,-0.013698844
10/05/2006,32.34,-0.015646891
09/05/2006,32.85,-0.002128631
08/05/2006,32.92,-0.003033063
05/05/2006,33.02,0.006684923
04/05/2006,32.8,0.004889985
03/05/2006,32.64,0
02/05/2006,32.64,-0.004585061
01/05/2006,32.79,-0.007292649
28/04/2006,33.03,-0.008741578
27/04/2006,33.32,0.007228947
26/04/2006,33.08,0.017688781
25/04/2006,32.5,0.006172859
24/04/2006,32.3,-0.006788054
21/04/2006,32.52,-0.001229256
20/04/2006,32.56,-0.006123718
19/04/2006,32.76,-0.013341617
18/04/2006,33.2,0.02223329
17/04/2006,32.47,-0.010416761
13/04/2006,32.81,-0.006380092
12/04/2006,33.02,0.008515867
11/04/2006,32.74,-0.022350674
10/04/2006,33.48,-0.009216655
07/04/2006,33.79,0.003260711
06/04/2006,33.68,-0.02231449
05/04/2006,34.44,-0.004635003
04/04/2006,34.6,0.005215891
03/04/2006,34.42,0.010514116
31/03/2006,34.06,-0.012545752
30/03/2006,34.49,-0.0152499
29/03/2006,35.02,0.013511777
28/03/2006,34.55,-0.010938509
27/03/2006,34.93,-0.001144492
24/03/2006,34.97,0.007174661
23/03/2006,34.72,-0.002588812
22/03/2006,34.81,0.013302683
21/03/2006,34.35,0.00379175
20/03/2006,34.22,-0.005536951
17/03/2006,34.41,-0.003191646
16/03/2006,34.52,0.003773042
15/03/2006,34.39,0
14/03/2006,34.39,0.00203755
13/03/2006,34.32,0.003795071
10/03/2006,34.19,0.018002552
09/03/2006,33.58,0.004177863
08/03/2006,33.44,-0.002091114
07/03/2006,33.51,-0.006543747
06/03/2006,33.73,0.004456997
03/03/2006,33.58,-0.012429873
02/03/2006,34,-0.005865119
01/03/2006,34.2,0.014727807
28/02/2006,33.7,-0.010625838
27/02/2006,34.06,0.007367059
24/02/2006,33.81,-0.003248194
23/02/2006,33.92,-0.002061553
22/02/2006,33.99,-0.010535655
21/02/2006,34.35,-0.01244049
17/02/2006,34.78,0.006634959
16/02/2006,34.55,0.011644964
15/02/2006,34.15,0.01862031
14/02/2006,33.52,0.017454551
13/02/2006,32.94,-0.00725956
10/02/2006,33.18,0.015796197
09/02/2006,32.66,0.002145595
08/02/2006,32.59,0.034017947
07/02/2006,31.5,-0.001586043
06/02/2006,31.55,-0.001899937
03/02/2006,31.61,0.002216945
02/02/2006,31.54,-0.008209708
01/02/2006,31.8,0.004412235
31/01/2006,31.66,-0.007551955
30/01/2006,31.9,-0.007495351
27/01/2006,32.14,0.014415793
26/01/2006,31.68,0.00951482
25/01/2006,31.38,0.01573824
24/01/2006,30.89,-0.003554698
23/01/2006,31,0.001937359
20/01/2006,30.94,-0.015394788
19/01/2006,31.42,0.008630388
18/01/2006,31.15,-0.010538178
17/01/2006,31.48,-0.021992718
13/01/2006,32.18,0.002177633
12/01/2006,32.11,0.003744154
11/01/2006,31.99,0.011949828
10/01/2006,31.61,0.004121103
09/01/2006,31.48,0.004138156
06/01/2006,31.35,-0.00889177
05/01/2006,31.63,0.011446866
04/01/2006,31.27,0.028874674
03/01/2006,30.38,0.008595094
30/12/2005,30.12,-0.00496772
