Date,Close,SBUX
28/08/2006,30.47,0.017213268
25/08/2006,29.95,0.010741963
24/08/2006,29.63,-0.002022927
23/08/2006,29.69,-0.016037764
22/08/2006,30.17,-0.016762923
21/08/2006,30.68,-0.014239723
18/08/2006,31.12,-0.005447858
17/08/2006,31.29,0.020992213
16/08/2006,30.64,0.014795601
15/08/2006,30.19,0.007647585
14/08/2006,29.96,0.002004678
11/08/2006,29.9,-0.002004678
10/08/2006,29.96,0.013779415
09/08/2006,29.55,-0.02638323
08/08/2006,30.34,-0.015047716
07/08/2006,30.8,0.006187937
04/08/2006,30.61,-0.000979592
03/08/2006,30.64,-0.083251052
02/08/2006,33.3,0.010262692
01/08/2006,32.96,-0.037807748
31/07/2006,34.23,0.005859964
28/07/2006,34.03,0.013311837
27/07/2006,33.58,-0.013017935
26/07/2006,34.02,-0.039763233
25/07/2006,35.4,0.01968399
24/07/2006,34.71,0.026862929
21/07/2006,33.79,0.011309644
20/07/2006,33.41,-0.012788278
19/07/2006,33.84,0.013087635
18/07/2006,33.4,-0.024838651
17/07/2006,34.24,0.017084363
14/07/2006,33.66,-0.010638398
13/07/2006,34.02,-0.01197969
12/07/2006,34.43,-0.044034951
11/07/2006,35.98,0.009775249
10/07/2006,35.63,-0.011441453
07/07/2006,36.04,-0.049793836
06/07/2006,37.88,0.008483614
05/07/2006,37.56,-0.012172683
03/07/2006,38.02,0.006861996
30/06/2006,37.76,-0.005546033
29/06/2006,37.97,0.060805702
28/06/2006,35.73,-0.000279838
27/06/2006,35.74,-0.020767741
26/06/2006,36.49,-0.00027401
23/06/2006,36.5,0.011296442
22/06/2006,36.09,-0.009102256
21/06/2006,36.42,0.016332543
20/06/2006,35.83,-0.003621678
19/06/2006,35.96,-0.017914218
16/06/2006,36.61,-0.004904642
15/06/2006,36.79,0.025324778
14/06/2006,35.87,0.020276673
13/06/2006,35.15,-0.007652014
12/06/2006,35.42,-0.013182073
09/06/2006,35.89,-0.009704776
08/06/2006,36.24,0.01473272
07/06/2006,35.71,0.012398017
06/06/2006,35.27,-0.003113944
05/06/2006,35.38,-0.017094433
02/06/2006,35.99,-0.006094202
01/06/2006,36.21,0.015586177
31/05/2006,35.65,0.020403088
30/05/2006,34.93,-0.01421286
26/05/2006,35.43,-0.000282207
25/05/2006,35.44,0.006510993
24/05/2006,35.21,-0.010734566
23/05/2006,35.59,-0.017822805
22/05/2006,36.23,-0.002756341
19/05/2006,36.33,0.009680618
18/05/2006,35.98,-0.011880234
17/05/2006,36.41,-0.017694759
16/05/2006,37.06,0.02072048
15/05/2006,36.3,0.018068594
12/05/2006,35.65,-0.024658404
11/05/2006,36.54,-0.044427965
10/05/2006,38.2,-0.00652318
09/05/2006,38.45,-0.020847493
08/05/2006,39.26,-0.009380218
05/05/2006,39.63,0.021423926
04/05/2006,38.79,0.03782957
03/05/2006,37.35,-0.012505152
02/05/2006,37.82,0.015186118
01/05/2006,37.25,-0.000536769
28/04/2006,37.27,0.008352467
27/04/2006,36.96,-0.016103408
26/04/2006,37.56,-0.015848192
25/04/2006,38.16,-0.011723464
24/04/2006,38.61,-0.00232829
21/04/2006,38.7,-0.004125844
20/04/2006,38.86,-0.000514536
19/04/2006,38.88,0.008005207
18/04/2006,38.57,0.018579626
17/04/2006,37.86,-0.01129362
13/04/2006,38.29,0.007339482
12/04/2006,38.01,0.011643423
11/04/2006,37.57,-0.010590515
10/04/2006,37.97,0.002901228
07/04/2006,37.86,0.010888436
06/04/2006,37.45,-0.001067521
05/04/2006,37.49,-0.022158649
04/04/2006,38.33,0.008909912
03/04/2006,37.99,0.009521363
31/03/2006,37.63,0.002660991
30/03/2006,37.53,0
29/03/2006,37.53,0.025092373
28/03/2006,36.6,0.000273261
27/03/2006,36.59,-0.00081956
24/03/2006,36.62,0.013470994
23/03/2006,36.13,-0.011831201
22/03/2006,36.56,0.007688121
21/03/2006,36.28,-0.016673886
20/03/2006,36.89,0.007619084
17/03/2006,36.61,0.011814947
16/03/2006,36.18,-0.009079716
15/03/2006,36.51,0.007146814
14/03/2006,36.25,0.034234544
13/03/2006,35.03,-0.010224457
10/03/2006,35.39,0.013369563
09/03/2006,34.92,-0.012238661
08/03/2006,35.35,-0.005641764
07/03/2006,35.55,-0.010075652
06/03/2006,35.91,0.009232126
03/03/2006,35.58,0.003660429
02/03/2006,35.45,-0.023143372
01/03/2006,36.28,-0.001101928
28/02/2006,36.32,-0.010408201
27/02/2006,36.7,0.021482512
24/02/2006,35.92,-0.006935803
23/02/2006,36.17,0.004155706
22/02/2006,36.02,0.021325163
21/02/2006,35.26,-0.003680117
17/02/2006,35.39,-0.012914273
16/02/2006,35.85,0.018865828
15/02/2006,35.18,0.01460298
14/02/2006,34.67,0.002888506
13/02/2006,34.57,-0.026546443
10/02/2006,35.5,0.008770745
09/02/2006,35.19,0.013446062
08/02/2006,34.72,0.011587615
07/02/2006,34.32,-0.004941152
06/02/2006,34.49,0.017844557
03/02/2006,33.88,-0.015231695
02/02/2006,34.4,0.092523369
01/02/2006,31.36,-0.010783485
31/01/2006,31.7,-0.005348448
30/01/2006,31.87,-0.002507052
27/01/2006,31.95,0.014502146
26/01/2006,31.49,0.036544083
25/01/2006,30.36,-0.011462382
24/01/2006,30.71,0.015422783
23/01/2006,30.24,-0.00231214
20/01/2006,30.31,-0.033736576
19/01/2006,31.35,0.007042283
18/01/2006,31.13,-0.000321182
17/01/2006,31.14,-0.004805391
13/01/2006,31.29,0.010602509
12/01/2006,30.96,-0.005154651
11/01/2006,31.12,0.003218542
10/01/2006,31.02,-0.00898594
09/01/2006,31.3,-0.010171734
06/01/2006,31.62,0.000316306
05/01/2006,31.61,-0.001896334
04/01/2006,31.67,0.025585022
03/01/2006,30.87,0.028254179
30/12/2005,30.01,-0.016523839
29/12/2005,30.51,-0.001637466
28/12/2005,30.56,0.000327279
27/12/2005,30.55,-0.000327279
23/12/2005,30.56,-0.007173164
22/12/2005,30.78,0.008155322
21/12/2005,30.53,0.012193264
20/12/2005,30.16,-0.016116119
19/12/2005,30.65,-0.017464868
16/12/2005,31.19,-0.013692301
15/12/2005,31.62,-0.001264223
14/12/2005,31.66,0.005066509
13/12/2005,31.5,0.019555039
12/12/2005,30.89,-0.007096804
09/12/2005,31.11,0.008392561
08/12/2005,30.85,-0.015758487
07/12/2005,31.34,-0.014571053
06/12/2005,31.8,-0.005018831
05/12/2005,31.96,0.000939114
02/12/2005,31.93,0.02505284
01/12/2005,31.14,0.022407172
30/11/2005,30.45,-0.012726555
29/11/2005,30.84,-0.009359436
28/11/2005,31.13,-0.018144696
25/11/2005,31.7,-0.001576044
23/11/2005,31.75,0.006319136
22/11/2005,31.55,-0.011032421
21/11/2005,31.9,0.029264175
18/11/2005,30.98,-0.00771708
17/11/2005,31.22,0.025958628
16/11/2005,30.42,0.004612858
15/11/2005,30.28,-0.000990263
14/11/2005,30.31,0.005292768
11/11/2005,30.15,0.005988042
10/11/2005,29.97,0.015806618
09/11/2005,29.5,0
08/11/2005,29.5,-0.030381238
07/11/2005,30.41,0.001645549
04/11/2005,30.36,0.03111139
03/11/2005,29.43,0.020598051
02/11/2005,28.83,0.023869157
01/11/2005,28.15,-0.004607486
31/10/2005,28.28,0.016759173
28/10/2005,27.81,0.034385246
27/10/2005,26.87,-0.029338371
26/10/2005,27.67,-0.007919408
25/10/2005,27.89,0
24/10/2005,27.89,-0.679246785
21/10/2005,55.01,0.015018597
20/10/2005,54.19,-0.010098314
19/10/2005,54.74,0.039878584
18/10/2005,52.6,-0.009272467
17/10/2005,53.09,0.003963391
14/10/2005,52.88,-0.000378143
13/10/2005,52.9,0.042083029
12/10/2005,50.72,-0.00824666
11/10/2005,51.14,-0.00351357
10/10/2005,51.32,0.005470901
07/10/2005,51.04,-0.012267703
06/10/2005,51.67,0.036661575
05/10/2005,49.81,-0.014549335
04/10/2005,50.54,0.002773927
03/10/2005,50.4,0.005970167
30/09/2005,50.1,0.019551162
29/09/2005,49.13,0.023685589
28/09/2005,47.98,-0.011809937
27/09/2005,48.55,-0.001852043
26/09/2005,48.64,0.002058037
23/09/2005,48.54,0.004749622
22/09/2005,48.31,0.034537019
21/09/2005,46.67,0.010987938
20/09/2005,46.16,-0.007768705
19/09/2005,46.52,-0.009839652
16/09/2005,46.98,-0.006576877
15/09/2005,47.29,0.002752781
14/09/2005,47.16,-0.016821254
13/09/2005,47.96,-0.010371385
12/09/2005,48.46,0.001445535
09/09/2005,48.39,0.003726712
08/09/2005,48.21,-0.001243781
07/09/2005,48.27,-0.005577951
06/09/2005,48.54,0.00495664
02/09/2005,48.3,-0.00804211
01/09/2005,48.69,-0.006958685
31/08/2005,49.03,0.009426299
30/08/2005,48.57,-0.013090799
29/08/2005,49.21,-0.004258346
26/08/2005,49.42,-0.000202327
25/08/2005,49.43,0.000202327
24/08/2005,49.42,-0.016456322
23/08/2005,50.24,-0.007930256
22/08/2005,50.64,-0.009042719
19/08/2005,51.1,-0.000977995
18/08/2005,51.15,-0.003512884
17/08/2005,51.33,0.004686593
16/08/2005,51.09,-0.022259702
15/08/2005,52.24,0.00402801
12/08/2005,52.03,-0.006704364
11/08/2005,52.38,0.019470495
10/08/2005,51.37,-0.007756486
09/08/2005,51.77,0.015181296
