Date,Close,GS
08/03/2007,199.94,0.02199669
07/03/2007,195.59,-0.009059508
06/03/2007,197.37,0.038056068
05/03/2007,190,-0.029405495
02/03/2007,195.67,-0.020186353
01/03/2007,199.66,-0.010413387
28/02/2007,201.75,0.028914648
27/02/2007,196,-0.087861356
26/02/2007,214,-0.011614532
23/02/2007,216.5,-0.011344187
22/02/2007,218.97,-0.005374398
21/02/2007,220.15,-0.003582039
20/02/2007,220.94,0.018362549
16/02/2007,216.92,0.000461106
15/02/2007,216.82,-0.002671458
14/02/2007,217.4,0.02265582
13/02/2007,212.53,0.006609097
12/02/2007,211.13,-0.010131799
09/02/2007,213.28,-0.00290276
08/02/2007,213.9,0.001637619
07/02/2007,213.55,-0.005137797
06/02/2007,214.65,0.00983154
05/02/2007,212.55,-0.004131655
02/02/2007,213.43,0.006722635
01/02/2007,212,-0.000754432
31/01/2007,212.16,0.016059641
30/01/2007,208.78,-0.010766623
29/01/2007,211.04,-0.011589144
26/01/2007,213.5,0.002016082
25/01/2007,213.07,-0.032461238
24/01/2007,220.1,0.034481394
23/01/2007,212.64,-0.001550716
22/01/2007,212.97,0.01266378
19/01/2007,210.29,0.002904971
18/01/2007,209.68,-0.016788836
17/01/2007,213.23,-0.001686894
16/01/2007,213.59,-0.001870995
12/01/2007,213.99,0.009909208
11/01/2007,211.88,0.017953291
10/01/2007,208.11,0.019554712
09/01/2007,204.08,0.001716486
08/01/2007,203.73,0.023239538
05/01/2007,199.05,0.001005278
04/01/2007,198.85,-0.00936013
03/01/2007,200.72,0.006848828
29/12/2006,199.35,-0.007247314
28/12/2006,200.8,-0.005710754
27/12/2006,201.95,0.010403021
26/12/2006,199.86,0.008895649
22/12/2006,198.09,-5.04808E-05
21/12/2006,198.1,-0.016372058
20/12/2006,201.37,0.000645786
19/12/2006,201.24,-0.009889321
18/12/2006,203.24,0.0168705
15/12/2006,199.84,-0.001450109
14/12/2006,200.13,0.009135692
13/12/2006,198.31,-0.008485904
12/12/2006,200,-0.012521281
11/12/2006,202.52,-0.012659018
08/12/2006,205.1,0.024180798
07/12/2006,200.2,-0.023693112
06/12/2006,205,0.016674841
05/12/2006,201.61,0.007767803
04/12/2006,200.05,0.028135172
01/12/2006,194.5,-0.001541228
30/11/2006,194.8,-0.007263088
29/11/2006,196.22,-0.004576202
28/11/2006,197.12,0.020552706
27/11/2006,193.11,-0.043025561
24/11/2006,201.6,-0.003416775
22/11/2006,202.29,0.012585665
21/11/2006,199.76,0.011631258
20/11/2006,197.45,0.012280722
17/11/2006,195.04,-0.008576732
16/11/2006,196.72,0.018521423
15/11/2006,193.11,0.014342958
14/11/2006,190.36,0.013912256
13/11/2006,187.73,0.003575339
10/11/2006,187.06,0.012263493
09/11/2006,184.78,-0.021363415
08/11/2006,188.77,0.000476884
07/11/2006,188.68,-0.006971614
06/11/2006,190,0.01522051
03/11/2006,187.13,-0.001388444
02/11/2006,187.39,0.012836182
01/11/2006,185,-0.025562373
31/10/2006,189.79,0.000210781
30/10/2006,189.75,0.005707959
27/10/2006,188.67,-0.024657708
26/10/2006,193.38,0.024975774
25/10/2006,188.61,0.004090854
24/10/2006,187.84,0.016857649
23/10/2006,184.7,0.02355628
20/10/2006,180.4,0.001942018
19/10/2006,180.05,-0.016087615
18/10/2006,182.97,-0.000546388
17/10/2006,183.07,-0.011675714
16/10/2006,185.22,0.0074241
13/10/2006,183.85,0.012809459
12/10/2006,181.51,0.014092555
11/10/2006,178.97,0.000614817
10/10/2006,178.86,0.007914498
09/10/2006,177.45,0.0101955
06/10/2006,175.65,0.000854336
05/10/2006,175.5,-0.006021719
04/10/2006,176.56,0.013456698
03/10/2006,174.2,0.020355019
02/10/2006,170.69,0.008944919
29/09/2006,169.17,-0.004894311
28/09/2006,170,0.005899722
27/09/2006,169,0.001895286
26/09/2006,168.68,-5.92821E-05
25/09/2006,168.69,0.006959964
22/09/2006,167.52,0.002211134
21/09/2006,167.15,0.003295883
20/09/2006,166.6,0.019455749
19/09/2006,163.39,0.001040997
18/09/2006,163.22,0.003129509
15/09/2006,162.71,0.001168404
14/09/2006,162.52,0.01026665
13/09/2006,160.86,0.016105628
12/09/2006,158.29,0.047148957
11/09/2006,151,0.007978766
08/09/2006,149.8,0.008244843
07/09/2006,148.57,-0.014035787
06/09/2006,150.67,-0.00404041
05/09/2006,151.28,0.014246962
01/09/2006,149.14,0.003290913
31/08/2006,148.65,0.010753883
30/08/2006,147.06,-0.000203978
29/08/2006,147.09,-0.016452397
28/08/2006,149.53,-0.00360481
25/08/2006,150.07,-0.008823489
24/08/2006,151.4,-0.008549871
23/08/2006,152.7,-0.009450942
