Date,Close,DIS
09/03/2006,28.09,0.001425009
08/03/2006,28.05,0.001427043
07/03/2006,28.01,0.004652003
06/03/2006,27.88,-0.012121361
03/03/2006,28.22,0.006755581
02/03/2006,28.03,-0.002138276
01/03/2006,28.09,0.003566338
28/02/2006,27.99,-0.013837368
27/02/2006,28.38,0.014194702
24/02/2006,27.98,0.00969661
23/02/2006,27.71,0.009062959
22/02/2006,27.46,0.010985098
21/02/2006,27.16,0.009247338
17/02/2006,26.91,-0.005189041
16/02/2006,27.05,0.00630449
15/02/2006,26.88,0.004848042
14/02/2006,26.75,0.012791747
13/02/2006,26.41,-0.010171495
10/02/2006,26.68,-0.001498128
09/02/2006,26.72,-0.006713938
08/02/2006,26.9,0.007462721
07/02/2006,26.7,0.067389022
06/02/2006,24.96,-0.002001201
03/02/2006,25.01,-0.003592101
02/02/2006,25.1,-0.006750075
01/02/2006,25.27,-0.001581653
31/01/2006,25.31,-0.005909019
30/01/2006,25.46,0.015037877
27/01/2006,25.08,0
26/01/2006,25.08,-0.014252023
25/01/2006,25.44,-0.02138911
24/01/2006,25.99,0.01824939
23/01/2006,25.52,-0.007806441
20/01/2006,25.72,-0.020016065
19/01/2006,26.24,0.04044097
18/01/2006,25.2,-0.007117468
17/01/2006,25.38,-0.01252953
13/01/2006,25.7,0.00233736
12/01/2006,25.64,0.003125003
11/01/2006,25.56,0.009434032
10/01/2006,25.32,0.012718772
09/01/2006,25,0.010454458
06/01/2006,24.74,0.013428483
05/01/2006,24.41,0.017355808
04/01/2006,23.99,-0.016946055
03/01/2006,24.4,0.017780084
30/12/2005,23.97,-0.008309146
29/12/2005,24.17,0.001656315
28/12/2005,24.13,-0.000414336
27/12/2005,24.14,-0.005370804
23/12/2005,24.27,0.003301695
22/12/2005,24.19,0.003727484
21/12/2005,24.1,-0.007029179
20/12/2005,24.27,-0.01106342
19/12/2005,24.54,-0.006498804
16/12/2005,24.7,-0.001618123
15/12/2005,24.74,-0.010454458
14/12/2005,25,-0.005186527
13/12/2005,25.13,-0.000795545
12/12/2005,25.15,-0.001589194
09/12/2005,25.19,0.005573263
08/12/2005,25.05,-0.024449167
07/12/2005,25.67,0.005860536
06/12/2005,25.52,0.020186714
05/12/2005,25.01,0.005211477
02/12/2005,24.88,-0.003210276
01/12/2005,24.96,0.001202646
30/11/2005,24.93,-0.005998818
29/11/2005,25.08,0.002395211
28/11/2005,25.02,-0.001198322
25/11/2005,25.05,0.003599284
23/11/2005,24.96,0.000801603
22/11/2005,24.94,-0.004400887
21/11/2005,25.05,-0.005970167
18/11/2005,25.2,-0.030867854
17/11/2005,25.99,0.005401248
16/11/2005,25.85,-0.008090971
15/11/2005,26.06,0.001920492
14/11/2005,26.01,0.005783706
11/11/2005,25.86,0.005817352
10/11/2005,25.71,0.011343756
09/11/2005,25.42,0.010280834
08/11/2005,25.16,0
07/11/2005,25.16,0.014008634
04/11/2005,24.81,-0.003621006
03/11/2005,24.9,0.003218024
02/11/2005,24.82,0.006467282
01/11/2005,24.66,0.01182963
31/10/2005,24.37,0.022827304
28/10/2005,23.82,0.016935206
27/10/2005,23.42,-0.006808537
26/10/2005,23.58,0.002547772
25/10/2005,23.52,0.009397762
24/10/2005,23.3,0.013829088
21/10/2005,22.98,0.000870701
20/10/2005,22.96,-0.020690393
19/10/2005,23.44,0.002135384
18/10/2005,23.39,-0.004266218
17/10/2005,23.49,0.004266218
14/10/2005,23.39,-0.001708672
13/10/2005,23.43,0.003848626
12/10/2005,23.34,-0.018255655
11/10/2005,23.77,-0.004617007
10/10/2005,23.88,-0.009170552
07/10/2005,24.1,0.000415024
06/10/2005,24.09,-0.005794718
05/10/2005,24.23,-0.013527568
04/10/2005,24.56,0.022648693
03/10/2005,24.01,-0.004985469
30/09/2005,24.13,0.007070106
29/09/2005,23.96,0.024932625
28/09/2005,23.37,0.000427991
27/09/2005,23.36,0.004290011
26/09/2005,23.26,0.001721171
23/09/2005,23.22,-0.000430571
22/09/2005,23.23,-0.004295539
21/09/2005,23.33,-0.017842444
20/09/2005,23.75,-0.006295928
19/09/2005,23.9,-0.008748233
16/09/2005,24.11,0.004572862
15/09/2005,24,-0.004572862
14/09/2005,24.11,-0.028620106
13/09/2005,24.81,-0.012417544
12/09/2005,25.12,0.003189795
09/09/2005,25.04,0.003600724
08/09/2005,24.95,-0.010763508
07/09/2005,25.22,0.001984521
06/09/2005,25.17,0.016423361
02/09/2005,24.76,0.002831144
01/09/2005,24.69,-0.020048787
31/08/2005,25.19,-0.00396197
30/08/2005,25.29,-0.002369669
29/08/2005,25.35,0.000789266
26/08/2005,25.33,0.005145469
25/08/2005,25.2,-0.00790518
24/08/2005,25.4,-0.015625318
23/08/2005,25.8,0.002716866
22/08/2005,25.73,-0.009284399
19/08/2005,25.97,-0.004226711
18/08/2005,26.08,-0.008019902
17/08/2005,26.29,0.00114177
16/08/2005,26.26,0.003433152
15/08/2005,26.17,0.015790815
12/08/2005,25.76,-0.004647568
11/08/2005,25.88,0.015969181
10/08/2005,25.47,-0.025965419
09/08/2005,26.14,0.028323911
08/08/2005,25.41,-0.002751033
05/08/2005,25.48,-0.005479466
04/08/2005,25.62,-0.005837728
03/08/2005,25.77,0.008182395
02/08/2005,25.56,-0.001954271
01/08/2005,25.61,-0.001170732
29/07/2005,25.64,-0.012017978
28/07/2005,25.95,0.004635003
27/07/2005,25.83,-0.001933863
26/07/2005,25.88,0.009316838
25/07/2005,25.64,-0.007382975
22/07/2005,25.83,0.010507978
21/07/2005,25.56,-0.010507978
20/07/2005,25.83,0.002713706
19/07/2005,25.76,-0.011194867
18/07/2005,26.05,-0.012588379
15/07/2005,26.38,0.001897174
14/07/2005,26.33,0.023828952
13/07/2005,25.71,0.011737224
12/07/2005,25.41,0.009092769
11/07/2005,25.18,0.007174204
08/07/2005,25,0.022245609
07/07/2005,24.45,-0.01381013
06/07/2005,24.79,-0.0100342
05/07/2005,25.04,-0.001994814
01/07/2005,25.09,-0.003580668
30/06/2005,25.18,-0.009879551
29/06/2005,25.43,-0.016767794
28/06/2005,25.86,0.008933833
27/06/2005,25.63,-0.015870277
24/06/2005,26.04,-0.008793786
23/06/2005,26.27,-0.01586136
22/06/2005,26.69,-0.001497567
21/06/2005,26.73,0.005251325
20/06/2005,26.59,-0.00412836
17/06/2005,26.7,-0.002991775
16/06/2005,26.78,-0.009661911
15/06/2005,27.04,-0.021946748
14/06/2005,27.64,-0.004332137
13/06/2005,27.76,0.008683123
10/06/2005,27.52,-0.001089523
09/06/2005,27.55,0.005094625
08/06/2005,27.41,0.004387576
07/06/2005,27.29,0.007724887
06/06/2005,27.08,-0.008823587
03/06/2005,27.32,-0.004382768
02/06/2005,27.44,-0.00508907
01/06/2005,27.58,0.00508907
31/05/2005,27.44,-0.015907783
27/05/2005,27.88,0.002873565
26/05/2005,27.8,0.005410293
25/05/2005,27.65,-0.000361598
24/05/2005,27.66,0.003984791
23/05/2005,27.55,-0.01011204
20/05/2005,27.83,-0.003944778
19/05/2005,27.94,0.015873349
18/05/2005,27.5,0.008032172
17/05/2005,27.28,0.007727729
16/05/2005,27.07,0.002589238
13/05/2005,27,0.009302393
12/05/2005,26.75,0.002995135
11/05/2005,26.67,-0.010443959
10/05/2005,26.95,-0.004073325
09/05/2005,27.06,0.006302152
06/05/2005,26.89,0.006716443
05/05/2005,26.71,-0.002990656
04/05/2005,26.79,0.020362695
03/05/2005,26.25,-0.003042984
02/05/2005,26.33,-0.002655037
29/04/2005,26.4,0.019121041
28/04/2005,25.9,-0.035650343
27/04/2005,26.84,0.001491425
26/04/2005,26.8,-0.014815086
25/04/2005,27.2,-0.003669729
22/04/2005,27.3,-0.013462092
21/04/2005,27.67,0.038685981
20/04/2005,26.62,-0.019714233
19/04/2005,27.15,0.007764875
18/04/2005,26.94,-0.015835352
15/04/2005,27.37,-0.009454616
14/04/2005,27.63,-0.002530274
13/04/2005,27.7,-0.015759638
12/04/2005,28.14,0.000355429
11/04/2005,28.13,-0.009552523
08/04/2005,28.4,-0.010507978
07/04/2005,28.7,0.010155927
06/04/2005,28.41,-0.004565416
05/04/2005,28.54,0.003861686
04/04/2005,28.43,-0.005262247
01/04/2005,28.58,-0.0052347
31/03/2005,28.73,0.013314843
30/03/2005,28.35,0.016000341
29/03/2005,27.9,-0.009630893
28/03/2005,28.17,0.015021742
24/03/2005,27.75,-0.001080497
23/03/2005,27.78,0
22/03/2005,27.78,-0.014296169
21/03/2005,28.18,0.003198865
18/03/2005,28.09,-0.009918608
17/03/2005,28.37,-0.009821194
16/03/2005,28.65,0.001746725
15/03/2005,28.6,0.020488177
14/03/2005,28.02,0.015465153
11/03/2005,27.59,-0.014751122
10/03/2005,28,0.000714541
09/03/2005,27.98,-0.019466196
08/03/2005,28.53,-0.014959402
07/03/2005,28.96,0.002766253
04/03/2005,28.88,0.010792098
03/03/2005,28.57,-0.004191414
02/03/2005,28.69,0.007346543
01/03/2005,28.48,0.019142733
28/02/2005,27.94,0.001791152
25/02/2005,27.89,-0.009279153
24/02/2005,28.15,-0.017606089
23/02/2005,28.65,0.007708517
22/02/2005,28.43,-0.021917732
18/02/2005,29.06,-0.009929888
17/02/2005,29.35,0.000681663
16/02/2005,29.33,-0.008487574
15/02/2005,29.58,0.006443977
14/02/2005,29.39,0.001702708
11/02/2005,29.34,-0.000340774
10/02/2005,29.35,0
09/02/2005,29.35,-0.016557229
08/02/2005,29.84,-0.001339585
07/02/2005,29.88,0.019260606
04/02/2005,29.31,0.017553368
03/02/2005,28.8,-0.001041125
02/02/2005,28.83,0.001041125
01/02/2005,28.8,0.005920268
31/01/2005,28.63,0.014069877
28/01/2005,28.23,-0.002476562
27/01/2005,28.3,-0.009845368
26/01/2005,28.58,-0.007668215
25/01/2005,28.8,0.029958188
24/01/2005,27.95,-0.007130155
21/01/2005,28.15,-0.013058241
20/01/2005,28.52,0.000701508
19/01/2005,28.5,-0.008385793
18/01/2005,28.74,0.015428076
14/01/2005,28.3,0.019625964
13/01/2005,27.75,0.001081666
12/01/2005,27.72,0.018569622
11/01/2005,27.21,-0.00256928
10/01/2005,27.28,0.00404041
07/01/2005,27.17,-0.009888379
06/01/2005,27.44,0.001458789
05/01/2005,27.4,-0.005459522
04/01/2005,27.55,-0.010830431
03/01/2005,27.85,0.001796946
31/12/2004,27.8,-0.002873565
30/12/2004,27.88,-0.002507614
29/12/2004,27.95,-0.001430104
28/12/2004,27.99,0.008611463
27/12/2004,27.75,0.005782452
23/12/2004,27.59,-0.001448751
22/12/2004,27.63,0.005443672
