Date,Close,CVS
07/06/2006,28.59,0.008782772
06/06/2006,28.34,-0.016448315
05/06/2006,28.81,-0.014815086
02/06/2006,29.24,0.023180419
01/06/2006,28.57,0.023730527
31/05/2006,27.9,0.007555352
30/05/2006,27.69,-0.031985669
26/05/2006,28.59,-0.003840116
25/05/2006,28.7,0.020416056
24/05/2006,28.12,-0.022504466
23/05/2006,28.76,0.021438178
22/05/2006,28.15,-0.01655842
19/05/2006,28.62,0.000699056
18/05/2006,28.6,-0.009396276
17/05/2006,28.87,-0.010680549
16/05/2006,29.18,-0.014290818
15/05/2006,29.6,0.011552966
12/05/2006,29.26,-0.020967965
11/05/2006,29.88,-0.017910927
10/05/2006,30.42,-0.008836582
09/05/2006,30.69,-0.003577821
08/05/2006,30.8,-0.005181359
05/05/2006,30.96,0.02220862
04/05/2006,30.28,0.009290047
03/05/2006,30,-0.004323971
02/05/2006,30.13,0.008666721
01/05/2006,29.87,0.005034412
28/04/2006,29.72,0.00033653
27/04/2006,29.71,0.012191143
26/04/2006,29.35,0.01510499
25/04/2006,28.91,-0.012375545
24/04/2006,29.27,-0.00375107
21/04/2006,29.38,-0.010832875
20/04/2006,29.7,-0.009716947
19/04/2006,29.99,-0.015222001
18/04/2006,30.45,0.004938282
17/04/2006,30.3,-0.012137266
13/04/2006,30.67,0.015774234
12/04/2006,30.19,-0.003966947
11/04/2006,30.31,-0.017334858
10/04/2006,30.84,-0.010964315
07/04/2006,31.18,-0.002242513
06/04/2006,31.25,0.051209087
05/04/2006,29.69,-0.002690886
04/04/2006,29.77,0.009110912
03/04/2006,29.5,-0.012464369
31/03/2006,29.87,0.002346239
30/03/2006,29.8,-0.008686991
29/03/2006,30.06,0.012721966
28/03/2006,29.68,-0.003027757
27/03/2006,29.77,0.024482692
24/03/2006,29.05,-0.01503274
23/03/2006,29.49,0.000678426
22/03/2006,29.47,-0.005077012
21/03/2006,29.62,-0.00706479
20/03/2006,29.83,0.007740237
17/03/2006,29.6,0
16/03/2006,29.6,-0.003709328
15/03/2006,29.71,-0.028535446
14/03/2006,30.57,0.016823752
13/03/2006,30.06,-0.011247224
10/03/2006,30.4,0.009253205
09/03/2006,30.12,0.001661406
08/03/2006,30.07,0.0389946
07/03/2006,28.92,0.015682496
06/03/2006,28.47,-0.008046221
03/03/2006,28.7,-0.01315353
02/03/2006,29.08,0.000687995
01/03/2006,29.06,0.025441344
28/02/2006,28.33,-0.017841999
27/02/2006,28.84,0.022086787
24/02/2006,28.21,-0.010227562
23/02/2006,28.5,0.001404495
22/02/2006,28.46,0.009887086
21/02/2006,28.18,-0.014794211
17/02/2006,28.6,-0.017331456
16/02/2006,29.1,0.004132237
15/02/2006,28.98,0.01284963
14/02/2006,28.61,0.02477126
13/02/2006,27.91,0.000358359
10/02/2006,27.9,0.001075847
09/02/2006,27.87,-0.011771136
08/02/2006,28.2,-0.005305052
07/02/2006,28.35,-0.0119216
06/02/2006,28.69,-0.018646949
03/02/2006,29.23,0.017950085
02/02/2006,28.71,0.032929157
01/02/2006,27.78,0.000720202
31/01/2006,27.76,-0.003595833
30/01/2006,27.86,-0.007509422
27/01/2006,28.07,0.016523364
26/01/2006,27.61,0.008365206
25/01/2006,27.38,0.000730727
24/01/2006,27.36,0.014727807
23/01/2006,26.96,-0.006285841
20/01/2006,27.13,-0.010997178
19/01/2006,27.43,0.008420332
18/01/2006,27.2,0.012578782
17/01/2006,26.86,0.004103718
13/01/2006,26.75,-0.009302393
12/01/2006,27,-0.002589238
11/01/2006,27.07,-0.002582551
10/01/2006,27.14,0.007025357
09/01/2006,26.95,-0.007025357
06/01/2006,27.14,0.005542227
05/01/2006,26.99,0.023998152
04/01/2006,26.35,0
03/01/2006,26.35,-0.002653024
30/12/2005,26.42,-0.006037754
29/12/2005,26.58,-0.00786963
28/12/2005,26.79,-0.002609508
27/12/2005,26.86,-0.010370463
23/12/2005,27.14,0.000368528
22/12/2005,27.13,-0.016450746
21/12/2005,27.58,-0.005063302
20/12/2005,27.72,0.002890175
19/12/2005,27.64,-0.022183378
16/12/2005,28.26,-0.01230893
15/12/2005,28.61,-0.015606351
14/12/2005,29.06,0.021214498
13/12/2005,28.45,0.005286356
12/12/2005,28.3,0.013876757
09/12/2005,27.91,-0.00035823
08/12/2005,27.92,-0.006782107
07/12/2005,28.11,0.018309612
06/12/2005,27.6,0.012028576
05/12/2005,27.27,-0.000366636
02/12/2005,27.28,-0.007304634
01/12/2005,27.48,0.016881135
30/11/2005,27.02,-0.009209864
29/11/2005,27.27,-0.013838531
28/11/2005,27.65,-0.011149189
25/11/2005,27.96,-0.001072386
23/11/2005,27.99,0.011859977
22/11/2005,27.66,0.031958643
21/11/2005,26.79,-0.004840821
18/11/2005,26.92,-0.006664223
17/11/2005,27.1,0.027306728
16/11/2005,26.37,-0.007179324
15/11/2005,26.56,-0.02160233
14/11/2005,27.14,0.002213206
11/11/2005,27.08,-0.004421525
10/11/2005,27.2,0.000367715
09/11/2005,27.19,0.008494973
08/11/2005,26.96,-0.025994508
07/11/2005,27.67,0.023771461
04/11/2005,27.02,0.021699318
03/11/2005,26.44,0.076613144
02/11/2005,24.49,0.004501747
01/11/2005,24.38,-0.00122976
31/10/2005,24.41,-0.028671457
28/10/2005,25.12,0.014838853
27/10/2005,24.75,-0.024347641
26/10/2005,25.36,-0.019524244
