Date,Close,COP
27/07/2006,68.01,-0.008637782
26/07/2006,68.6,0.016905952
25/07/2006,67.45,0.025070742
24/07/2006,65.78,0.033230784
21/07/2006,63.63,-0.012494306
20/07/2006,64.43,-0.022407322
19/07/2006,65.89,0.007158663
18/07/2006,65.42,0.004135719
17/07/2006,65.15,-0.034694279
14/07/2006,67.45,0.005500646
13/07/2006,67.08,-0.012886204
12/07/2006,67.95,0.000588841
11/07/2006,67.91,0.008428885
10/07/2006,67.34,0.002229987
07/07/2006,67.19,-0.005639671
06/07/2006,67.57,0
05/07/2006,67.57,0.011161661
03/07/2006,66.82,0.019494384
30/06/2006,65.53,-0.00669204
29/06/2006,65.97,0.028131899
28/06/2006,64.14,0.021909616
27/06/2006,62.75,0.010412589
26/06/2006,62.1,0.013618888
23/06/2006,61.26,0.008195424
22/06/2006,60.76,0.015090246
21/06/2006,59.85,0.017699577
20/06/2006,58.8,-0.006779687
19/06/2006,59.2,-0.032735331
16/06/2006,61.17,-0.009437102
15/06/2006,61.75,0.037790158
14/06/2006,59.46,0.026413736
13/06/2006,57.91,-0.029268722
12/06/2006,59.63,-0.015640918
09/06/2006,60.57,-0.008548466
08/06/2006,61.09,0.009374298
07/06/2006,60.52,-0.022546291
06/06/2006,61.9,-0.010286172
05/06/2006,62.54,-0.031013899
02/06/2006,64.51,0.012635688
01/06/2006,63.7,0.006457224
31/05/2006,63.29,0.020915586
30/05/2006,61.98,-0.023598034
26/05/2006,63.46,0.011251208
25/05/2006,62.75,0.025828716
24/05/2006,61.15,-0.025031586
23/05/2006,62.7,0.002075518
22/05/2006,62.57,-0.002394446
19/05/2006,62.72,0.00447428
18/05/2006,62.44,-0.016991278
17/05/2006,63.51,-0.01763604
16/05/2006,64.64,0.017478597
15/05/2006,63.52,-0.025951266
12/05/2006,65.19,-0.025593886
11/05/2006,66.88,-0.012333911
10/05/2006,67.71,0.00800716
09/05/2006,67.17,0.002981961
08/05/2006,66.97,0.001793454
05/05/2006,66.85,0.004497759
04/05/2006,66.55,-0.014174053
03/05/2006,67.5,-0.024584206
02/05/2006,69.18,0.020149609
01/05/2006,67.8,0.013363228
28/04/2006,66.9,0.010669573
27/04/2006,66.19,-0.014399529
26/04/2006,67.15,-0.016248511
25/04/2006,68.25,-0.023029477
24/04/2006,69.84,-0.03737965
21/04/2006,72.5,0.037093322
20/04/2006,69.86,-0.013083236
19/04/2006,70.78,0.001979919
18/04/2006,70.64,0.033247648
17/04/2006,68.33,0.017568917
13/04/2006,67.14,-0.002825911
12/04/2006,67.33,-0.000445467
11/04/2006,67.36,0.009846417
10/04/2006,66.7,0.011156455
07/04/2006,65.96,-0.019368521
06/04/2006,67.25,0.010313222
05/04/2006,66.56,0.021411493
04/04/2006,65.15,0.011423403
03/04/2006,64.41,0.019756052
31/03/2006,63.15,-0.020842249
30/03/2006,64.48,-0.004950505
29/03/2006,64.8,0.016336419
28/03/2006,63.75,0.010248414
27/03/2006,63.1,0.021464864
24/03/2006,61.76,0.010416761
23/03/2006,61.12,0.010526413
22/03/2006,60.48,0.016504501
21/03/2006,59.49,-0.013358021
20/03/2006,60.29,-0.017591905
17/03/2006,61.36,-0.015845117
16/03/2006,62.34,0.010805685
15/03/2006,61.67,0.013714501
14/03/2006,60.83,0.011075409
13/03/2006,60.16,0.018284498
10/03/2006,59.07,-0.001184333
09/03/2006,59.14,-0.006908781
08/03/2006,59.55,0.001176174
07/03/2006,59.48,-0.018324684
06/03/2006,60.58,-0.0308817
03/03/2006,62.48,-0.004790046
02/03/2006,62.78,0.016218742
01/03/2006,61.77,0.013199898
28/02/2006,60.96,-0.015140704
27/02/2006,61.89,-0.013481186
24/02/2006,62.73,0.020778713
23/02/2006,61.44,-0.007459091
22/02/2006,61.9,-0.014912487
21/02/2006,62.83,0.02808448
17/02/2006,61.09,0.019671682
16/02/2006,59.9,0.020747982
15/02/2006,58.67,-0.008824086
14/02/2006,59.19,-0.004383014
13/02/2006,59.45,0.001683502
10/02/2006,59.35,0.000842815
09/02/2006,59.3,-0.015063046
08/02/2006,60.2,0.001662511
07/02/2006,60.1,-0.043308086
06/02/2006,62.76,0.004151371
03/02/2006,62.5,-0.028548583
02/02/2006,64.31,-0.001709004
01/02/2006,64.42,-0.004337058
31/01/2006,64.7,-0.008464845
30/01/2006,65.25,0.002608764
27/01/2006,65.08,0.016734199
26/01/2006,64,0.007213455
25/01/2006,63.54,-0.014685469
24/01/2006,64.48,-0.006646597
23/01/2006,64.91,0.00401359
20/01/2006,64.65,0.006829143
19/01/2006,64.21,0.012537384
18/01/2006,63.41,-0.01378252
17/01/2006,64.29,0.05647242
13/01/2006,60.76,-0.000164568
12/01/2006,60.77,0
11/01/2006,60.77,0.000164568
10/01/2006,60.76,-0.001973036
09/01/2006,60.88,-0.000164244
06/01/2006,60.89,0.02258857
05/01/2006,59.53,-0.007864175
04/01/2006,60,-0.008464078
03/01/2006,60.51,0.039266988
30/12/2005,58.18,0.00828448
29/12/2005,57.7,-0.010173379
28/12/2005,58.29,0.013645604
27/12/2005,57.5,-0.028291643
23/12/2005,59.15,-0.005059033
22/12/2005,59.45,0.001683502
21/12/2005,59.35,0.005575752
20/12/2005,59.02,0.007141673
19/12/2005,58.6,0.021561853
16/12/2005,57.35,-0.024458677
15/12/2005,58.77,0.009059117
14/12/2005,58.24,0.000687049
13/12/2005,58.2,-0.051078495
12/12/2005,61.25,-0.029281371
09/12/2005,63.07,-0.013387081
08/12/2005,63.92,0.011802797
07/12/2005,63.17,-0.008825904
06/12/2005,63.73,0.012155805
05/12/2005,62.96,0.009094598
02/12/2005,62.39,-0.009253416
01/12/2005,62.97,0.039849782
30/11/2005,60.51,-0.012808057
29/11/2005,61.29,-0.007153339
28/11/2005,61.73,-0.036113047
25/11/2005,64,-0.001717275
23/11/2005,64.11,-0.004513275
