Date,Close,ORCL
29/11/2006,19.15,0.013140794
28/11/2006,18.9,-0.001057642
27/11/2006,18.92,-0.035310003
24/11/2006,19.6,-0.003056548
22/11/2006,19.66,0.009197817
21/11/2006,19.48,0
20/11/2006,19.48,0.001027221
17/11/2006,19.46,0.018672742
16/11/2006,19.1,-0.001046573
15/11/2006,19.12,-0.002611649
14/11/2006,19.17,-0.000521512
13/11/2006,19.18,0.021075596
10/11/2006,18.78,0.012861914
09/11/2006,18.54,0.009756175
08/11/2006,18.36,0.008752791
07/11/2006,18.2,0.005509656
06/11/2006,18.1,0.017837708
03/11/2006,17.78,-0.02718614
02/11/2006,18.27,-0.010887424
01/11/2006,18.47,0
31/10/2006,18.47,-0.002703435
30/10/2006,18.52,0.022939291
27/10/2006,18.1,-0.033680533
26/10/2006,18.72,0.005356199
25/10/2006,18.62,-0.01439641
24/10/2006,18.89,-0.013670034
23/10/2006,19.15,0.008916922
20/10/2006,18.98,0.005812434
19/10/2006,18.87,0.006913083
18/10/2006,18.74,0.005887092
17/10/2006,18.63,-0.01913934
16/10/2006,18.99,-0.004203895
13/10/2006,19.07,0.004203895
12/10/2006,18.99,0.021826791
11/10/2006,18.58,-0.008574543
10/10/2006,18.74,0.010190488
09/10/2006,18.55,0.019597797
06/10/2006,18.19,-0.003840883
05/10/2006,18.26,0.004940993
04/10/2006,18.17,0.01497117
03/10/2006,17.9,0.013498518
02/10/2006,17.66,-0.004519782
29/09/2006,17.74,-0.013994071
28/09/2006,17.99,0.00334076
27/09/2006,17.93,-0.014396705
26/09/2006,18.19,0.012168292
25/09/2006,17.97,0.024219714
22/09/2006,17.54,-0.030322368
21/09/2006,18.08,0.008331067
20/09/2006,17.93,0.105794395
19/09/2006,16.13,-0.007412017
18/09/2006,16.25,-0.004910998
15/09/2006,16.33,-0.008536637
14/09/2006,16.47,0.004869151
13/09/2006,16.39,0.005506285
12/09/2006,16.3,0.000613685
11/09/2006,16.29,0.02360358
08/09/2006,15.91,-0.006265685
07/09/2006,16.01,0.024661383
06/09/2006,15.62,-0.013986242
05/09/2006,15.84,0.021698362
01/09/2006,15.5,-0.010269667
31/08/2006,15.66,-0.006365394
30/08/2006,15.76,0.01534557
29/08/2006,15.52,-0.00128783
28/08/2006,15.54,0.008400696
25/08/2006,15.41,0.001948685
24/08/2006,15.38,0.0039088
23/08/2006,15.32,-0.010389704
22/08/2006,15.48,-0.010282867
21/08/2006,15.64,-0.004465717
18/08/2006,15.71,-0.006345199
17/08/2006,15.81,0.017225306
16/08/2006,15.54,-0.011516442
15/08/2006,15.72,0.027734767
14/08/2006,15.29,0.019815708
11/08/2006,14.99,-0.009296216
10/08/2006,15.13,0.011968228
09/08/2006,14.95,0.010084119
08/08/2006,14.8,0.012236726
07/08/2006,14.62,0
04/08/2006,14.62,-0.010207642
03/08/2006,14.77,-0.002704532
02/08/2006,14.81,0.005416398
01/08/2006,14.73,-0.016161968
31/07/2006,14.97,-0.006657814
28/07/2006,15.07,0.013360252
27/07/2006,14.87,-0.010036886
26/07/2006,15.02,0.006010035
25/07/2006,14.93,-0.003343367
24/07/2006,14.98,-0.009302393
21/07/2006,15.12,0
20/07/2006,15.12,0.003312358
19/07/2006,15.07,0.023498899
18/07/2006,14.72,0.020590981
17/07/2006,14.42,0.00905614
14/07/2006,14.29,0.013385195
13/07/2006,14.1,-0.008474627
12/07/2006,14.22,-0.022254048
11/07/2006,14.54,-0.00343289
10/07/2006,14.59,-0.012938553
07/07/2006,14.78,0.019126266
06/07/2006,14.5,-0.004815971
05/07/2006,14.57,-0.016338008
03/07/2006,14.81,0.021843872
30/06/2006,14.49,-0.01710613
29/06/2006,14.74,0.01091416
28/06/2006,14.58,0.005502077
27/06/2006,14.5,-0.011655943
26/06/2006,14.67,-0.015556621
23/06/2006,14.9,0.039005971
22/06/2006,14.33,-0.013860236
21/06/2006,14.53,0.019458571
20/06/2006,14.25,-0.002803085
19/06/2006,14.29,0.007022501
16/06/2006,14.19,0.035141658
15/06/2006,13.7,0.037936866
14/06/2006,13.19,0.003037208
13/06/2006,13.15,-0.007575794
12/06/2006,13.25,-0.016467438
09/06/2006,13.47,-0.004444452
08/06/2006,13.53,-0.000738825
07/06/2006,13.54,-0.020468551
06/06/2006,13.82,-0.002890175
05/06/2006,13.86,-0.02070763
02/06/2006,14.15,-0.0049348
01/06/2006,14.22,0
31/05/2006,14.22,0.014164543
30/05/2006,14.02,-0.002137514
26/05/2006,14.05,-0.001422475
25/05/2006,14.07,0.020826606
24/05/2006,13.78,0.022753275
23/05/2006,13.47,-0.005921557
22/05/2006,13.55,-0.011009286
19/05/2006,13.7,-0.00509648
18/05/2006,13.77,-0.00579292
17/05/2006,13.85,-0.024252259
16/05/2006,14.19,0.015625318
15/05/2006,13.97,-0.000715564
12/05/2006,13.98,0.005019731
11/05/2006,13.91,-0.0234469
10/05/2006,14.24,0.00917114
09/05/2006,14.11,-0.008468646
08/05/2006,14.23,-0.015342002
05/05/2006,14.45,0.011134423
04/05/2006,14.29,-0.00209717
03/05/2006,14.32,-0.007652211
02/05/2006,14.43,-0.010341354
01/05/2006,14.58,-0.000685636
28/04/2006,14.59,-0.023036249
27/04/2006,14.93,0.014165498
26/04/2006,14.72,0.004766778
25/04/2006,14.65,0.011671949
24/04/2006,14.48,0.01390843
21/04/2006,14.28,0.009145333
20/04/2006,14.15,-0.011243969
19/04/2006,14.31,0.021901264
18/04/2006,14,0.018746043
17/04/2006,13.74,0.004376375
13/04/2006,13.68,-0.007283353
12/04/2006,13.78,-0.004344685
11/04/2006,13.84,0.000722805
10/04/2006,13.83,0.005801322
07/04/2006,13.75,-0.003629768
06/04/2006,13.8,-0.010810916
05/04/2006,13.95,0.007916558
04/04/2006,13.84,0.003619258
03/04/2006,13.79,0.007278053
31/03/2006,13.69,-0.006552626
30/03/2006,13.78,0.004363643
29/03/2006,13.72,0.009520394
28/03/2006,13.59,-0.018228722
27/03/2006,13.84,0.003619258
24/03/2006,13.79,-0.0007249
23/03/2006,13.8,-0.013674197
22/03/2006,13.99,0.026803488
21/03/2006,13.62,-0.007315322
20/03/2006,13.72,0.00878483
17/03/2006,13.6,0.007380107
16/03/2006,13.5,0.019447135
15/03/2006,13.24,0.02137486
