Date,Close,BA
24/10/2006,83.59,0.009495834
23/10/2006,82.8,0.012884583
20/10/2006,81.74,-0.008163311
19/10/2006,82.41,-0.003996372
18/10/2006,82.74,0.005453567
17/10/2006,82.29,-0.004486215
16/10/2006,82.66,0.003271739
13/10/2006,82.39,-0.015057804
12/10/2006,83.64,0.024202537
11/10/2006,81.64,-0.00598402
10/10/2006,82.13,-0.006311467
09/10/2006,82.65,-0.012385176
06/10/2006,83.68,0.000717274
05/10/2006,83.62,-0.004057769
04/10/2006,83.96,0.02630778
03/10/2006,81.78,0.022381151
02/10/2006,79.97,0.014104251
29/09/2006,78.85,-0.005438577
28/09/2006,79.28,-0.001638415
27/09/2006,79.41,0.005176452
26/09/2006,79,0.016463903
25/09/2006,77.71,0.005937033
22/09/2006,77.25,0.014867253
21/09/2006,76.11,-0.001050558
20/09/2006,76.19,0.017476944
19/09/2006,74.87,-0.004530925
18/09/2006,75.21,0.002662763
15/09/2006,75.01,0
14/09/2006,75.01,-0.017313589
13/09/2006,76.32,0.027362578
12/09/2006,74.26,0.005942751
11/09/2006,73.82,0.013913742
08/09/2006,72.8,-0.000961076
07/09/2006,72.87,-0.0213164
06/09/2006,74.44,-0.012283198
05/09/2006,75.36,-0.000928444
01/09/2006,75.43,0.007051183
31/08/2006,74.9,-0.001600854
30/08/2006,75.02,0.016667052
29/08/2006,73.78,-0.012660102
28/08/2006,74.72,0.010629094
25/08/2006,73.93,-0.017564305
24/08/2006,75.24,-0.014775994
23/08/2006,76.36,-0.007696861
22/08/2006,76.95,0.004167215
21/08/2006,76.63,-0.012836481
18/08/2006,77.62,-0.012419339
17/08/2006,78.59,-0.00304917
16/08/2006,78.83,0.028957689
15/08/2006,76.58,0.015661306
14/08/2006,75.39,-0.007532246
11/08/2006,75.96,-0.003154577
10/08/2006,76.2,-0.012519725
09/08/2006,77.16,-0.012748869
08/08/2006,78.15,-0.020266685
07/08/2006,79.75,0.003265514
04/08/2006,79.49,0.001132859
03/08/2006,79.4,0.009872248
02/08/2006,78.62,0.005740178
01/08/2006,78.17,0.009640797
31/07/2006,77.42,-0.019062817
28/07/2006,78.91,0.00253775
27/07/2006,78.71,-0.015005641
26/07/2006,79.9,-0.047060318
