Date,Close,BMY
20/02/2007,27.42,-0.007991325
16/02/2007,27.64,-0.004692302
15/02/2007,27.77,0.001802127
14/02/2007,27.72,0.004700786
13/02/2007,27.59,0
12/02/2007,27.59,-0.033152207
09/02/2007,28.52,-0.006291527
08/02/2007,28.7,-0.005559431
07/02/2007,28.86,0.003818786
06/02/2007,28.75,0.000695894
05/02/2007,28.73,0.003137531
02/02/2007,28.64,-0.005571045
01/02/2007,28.8,0.000347283
31/01/2007,28.79,0.026752739
30/01/2007,28.03,0.02163806
29/01/2007,27.43,0.045496288
26/01/2007,26.21,-0.002667176
25/01/2007,26.28,-0.026658233
24/01/2007,26.99,0.011927089
23/01/2007,26.67,0.007149607
22/01/2007,26.48,-0.005648669
19/01/2007,26.63,-0.001500938
18/01/2007,26.67,-0.007471084
17/01/2007,26.87,0.011227663
16/01/2007,26.57,0.012116771
12/01/2007,26.25,-0.01098704
11/01/2007,26.54,0.012893618
10/01/2007,26.2,-0.000381607
09/01/2007,26.21,0.004205703
08/01/2007,26.1,-0.003060446
05/01/2007,26.18,-0.019293203
04/01/2007,26.69,0.011682816
03/01/2007,26.38,0.002277041
29/12/2006,26.32,0.000380011
28/12/2006,26.31,0.000760456
27/12/2006,26.29,0.008787067
26/12/2006,26.06,0.002305034
22/12/2006,26,-0.00192123
21/12/2006,26.05,0.010806744
20/12/2006,25.77,0.004667453
19/12/2006,25.65,0.00468934
18/12/2006,25.53,-0.003128669
15/12/2006,25.61,0.00078125
14/12/2006,25.59,0.003131118
13/12/2006,25.51,0.001961939
12/12/2006,25.46,0.001572327
11/12/2006,25.42,0.002757536
08/12/2006,25.35,0.003952574
07/12/2006,25.25,-0.00552924
06/12/2006,25.39,0.003946335
05/12/2006,25.29,0.001979023
04/12/2006,25.24,0.015974781
01/12/2006,24.84,0.000402658
30/11/2006,24.83,0.001612253
29/11/2006,24.79,0.006475134
28/11/2006,24.63,0.001625356
27/11/2006,24.59,0.004891979
24/11/2006,24.47,-0.010569204
22/11/2006,24.73,0.009343964
21/11/2006,24.5,-0.002038737
20/11/2006,24.55,-0.010131799
17/11/2006,24.8,0.005661155
16/11/2006,24.66,0.00650938
15/11/2006,24.5,0.002451983
14/11/2006,24.44,0.00122825
13/11/2006,24.41,-0.000409584
10/11/2006,24.42,-0.006530635
09/11/2006,24.58,-0.009313694
08/11/2006,24.81,-0.010823918
07/11/2006,25.08,0.014053634
06/11/2006,24.73,0.008120223
03/11/2006,24.53,0.002448981
02/11/2006,24.47,-0.006111243
01/11/2006,24.62,-0.005266368
31/10/2006,24.75,0.017115332
30/10/2006,24.33,-0.014688147
27/10/2006,24.69,0.006501445
26/10/2006,24.53,-0.005285639
25/10/2006,24.66,-0.003642991
24/10/2006,24.75,0.007299302
23/10/2006,24.57,0.003261316
20/10/2006,24.49,-0.00651203
19/10/2006,24.65,-0.003240181
18/10/2006,24.73,0.010977951
17/10/2006,24.46,-0.002449981
16/10/2006,24.52,-0.001222743
13/10/2006,24.55,-0.002034589
12/10/2006,24.6,0.012270093
11/10/2006,24.3,-0.007788521
10/10/2006,24.49,0.004501747
09/10/2006,24.38,-0.001639345
06/10/2006,24.42,-0.004086642
05/10/2006,24.52,-0.00407001
04/10/2006,24.62,-0.008090659
03/10/2006,24.82,0.005656581
02/10/2006,24.68,-0.009677495
29/09/2006,24.92,0.002812941
28/09/2006,24.85,-0.006018072
27/09/2006,25,-0.003992021
26/09/2006,25.1,0.001195934
25/09/2006,25.07,0.000398963
22/09/2006,25.06,0.014064929
21/09/2006,24.71,-0.007258096
20/09/2006,24.89,0.007258096
19/09/2006,24.71,-0.006856248
18/09/2006,24.88,-0.001606426
15/09/2006,24.92,0.009677495
14/09/2006,24.68,-0.005253599
13/09/2006,24.81,0.019947741
12/09/2006,24.32,0.038990477
11/09/2006,23.39,0.009018743
08/09/2006,23.18,0.020484482
07/09/2006,22.71,0.003528896
06/09/2006,22.63,-0.006606498
05/09/2006,22.78,-0.007434978
01/09/2006,22.95,0.053704179
31/08/2006,21.75,-0.010519191
30/08/2006,21.98,0.002277387
29/08/2006,21.93,0.009622067
28/08/2006,21.72,0.001843318
25/08/2006,21.68,0.001846723
24/08/2006,21.64,0.000462214
23/08/2006,21.63,-0.009661911
22/08/2006,21.84,0.013367334
21/08/2006,21.55,-0.004167637
18/08/2006,21.64,0.007421184
17/08/2006,21.48,0.018797546
16/08/2006,21.08,0.013852622
15/08/2006,20.79,0.018447125
14/08/2006,20.41,0.008364132
11/08/2006,20.24,-0.028733411
10/08/2006,20.83,-0.013826204
09/08/2006,21.12,-0.00425231
08/08/2006,21.21,-0.070971111
07/08/2006,22.77,0.000878735
04/08/2006,22.75,-0.044700179
03/08/2006,23.79,0.004212306
02/08/2006,23.69,-0.004632563
01/08/2006,23.8,-0.007117468
31/07/2006,23.97,-0.020644829
28/07/2006,24.47,0.017728768
27/07/2006,24.04,-0.077992739
26/07/2006,25.99,0.003855055
25/07/2006,25.89,-0.002700098
24/07/2006,25.96,0.01748636
21/07/2006,25.51,-0.0050831
20/07/2006,25.64,0.003516315
19/07/2006,25.55,0.036672105
18/07/2006,24.63,-0.001217286
17/07/2006,24.66,0.004063394
14/07/2006,24.56,-0.008917773
13/07/2006,24.78,-0.01203384
12/07/2006,25.08,-0.015823115
11/07/2006,25.48,0.003932368
10/07/2006,25.38,0.001971998
07/07/2006,25.33,-0.002365932
06/07/2006,25.39,0.006718065
05/07/2006,25.22,-0.020408872
03/07/2006,25.74,-0.004651171
30/06/2006,25.86,0.006206381
29/06/2006,25.7,0.017664836
28/06/2006,25.25,-0.001582905
27/06/2006,25.29,-0.016859839
26/06/2006,25.72,0.008198367
23/06/2006,25.51,-0.004693008
22/06/2006,25.63,-0.003505359
21/06/2006,25.72,0.00624027
20/06/2006,25.56,0.005492364
19/06/2006,25.42,0.009486237
16/06/2006,25.18,-0.003567893
15/06/2006,25.27,0.020792432
14/06/2006,24.75,-0.002824291
13/06/2006,24.82,0.013793322
12/06/2006,24.48,-0.019017365
09/06/2006,24.95,-0.011952334
08/06/2006,25.25,0.013958352
07/06/2006,24.9,-0.004008021
06/06/2006,25,-0.006379607
05/06/2006,25.16,-0.00436249
02/06/2006,25.27,0.004760025
01/06/2006,25.15,0.024146042
31/05/2006,24.55,-0.000407249
30/05/2006,24.56,-0.015754719
26/05/2006,24.95,0.013720958
25/05/2006,24.61,0.026349816
24/05/2006,23.97,-0.000834028
23/05/2006,23.99,0.00543366
22/05/2006,23.86,-0.012908778
19/05/2006,24.17,0.000827815
18/05/2006,24.15,0.0008285
17/05/2006,24.13,-0.018070307
16/05/2006,24.57,0.004487056
15/05/2006,24.46,0.006974387
12/05/2006,24.29,-0.013494378
11/05/2006,24.62,-0.013314701
10/05/2006,24.95,-0.004399127
09/05/2006,25.06,-0.001993224
08/05/2006,25.11,-0.006747396
05/05/2006,25.28,0.009938464
04/05/2006,25.03,0.005608989
03/05/2006,24.89,-0.004009628
02/05/2006,24.99,-0.00040008
01/05/2006,25,-0.015085637
28/04/2006,25.38,0.004343541
27/04/2006,25.27,0.011942817
26/04/2006,24.97,0.011276801
25/04/2006,24.69,0.004058447
24/04/2006,24.59,-0.008503797
