Date,Close,UNH
22/02/2006,59.54,0.023278598
21/02/2006,58.17,0.002926747
17/02/2006,58,-0.008583744
16/02/2006,58.5,-0.00851069
15/02/2006,59,-0.007598179
14/02/2006,59.45,0.01457159
13/02/2006,58.59,-0.000170663
10/02/2006,58.6,0.008913326
09/02/2006,58.08,0.008472429
08/02/2006,57.59,-0.002428028
07/02/2006,57.73,-0.013933312
06/02/2006,58.54,-0.018280807
03/02/2006,59.62,0.004370489
02/02/2006,59.36,-0.002355714
01/02/2006,59.5,0.001345443
31/01/2006,59.42,0.02816126
30/01/2006,57.77,-0.013240671
27/01/2006,58.54,0.011165623
26/01/2006,57.89,-0.001553465
25/01/2006,57.98,-0.005675482
24/01/2006,58.31,0.005503023
23/01/2006,57.99,-0.02536954
20/01/2006,59.48,-0.032909129
19/01/2006,61.47,0.006692264
18/01/2006,61.06,0.000983123
17/01/2006,61,0.000984091
13/01/2006,60.94,-0.025756668
12/01/2006,62.53,0.010934343
11/01/2006,61.85,-0.012212911
10/01/2006,62.61,0.019515175
09/01/2006,61.4,-0.024136329
06/01/2006,62.9,0.01942432
05/01/2006,61.69,-0.003075182
04/01/2006,61.88,0.002426989
03/01/2006,61.73,-0.006619868
30/12/2005,62.14,-0.01215626
29/12/2005,62.9,-0.00870603
28/12/2005,63.45,-0.002361276
27/12/2005,63.6,-0.000785855
23/12/2005,63.65,-0.001569859
22/12/2005,63.75,-0.000627254
21/12/2005,63.79,0.011509784
20/12/2005,63.06,0.019374555
19/12/2005,61.85,-0.020642384
16/12/2005,63.14,-0.003004667
15/12/2005,63.33,0.005224424
14/12/2005,63,-0.006802209
13/12/2005,63.43,0.003632634
12/12/2005,63.2,-0.007409193
09/12/2005,63.67,0.01121389
08/12/2005,62.96,0.005574594
07/12/2005,62.61,-0.010012003
06/12/2005,63.24,0.014333738
05/12/2005,62.34,0.005952877
02/12/2005,61.97,0.008101146
01/12/2005,61.47,0.026540748
30/11/2005,59.86,-0.003502046
29/11/2005,60.07,0.028194659
28/11/2005,58.4,-0.02969179
25/11/2005,60.16,-0.00613143
23/11/2005,60.53,-0.002310232
22/11/2005,60.67,-0.002140447
21/11/2005,60.8,-0.002628122
18/11/2005,60.96,-0.00032803
17/11/2005,60.98,0.009888017
16/11/2005,60.38,0.010488733
15/11/2005,59.75,0.010261676
14/11/2005,59.14,-0.008586634
11/11/2005,59.65,0.006053491
10/11/2005,59.29,0.033093461
