Date,Close,SPG
16/05/2006,80.72,-0.010965427
15/05/2006,81.61,0.014937627
12/05/2006,80.4,-0.010639714
11/05/2006,81.26,-0.025634642
10/05/2006,83.37,0.002882885
09/05/2006,83.13,0.002649965
08/05/2006,82.91,0.000361904
05/05/2006,82.88,0.022697741
04/05/2006,81.02,0.015297854
03/05/2006,79.79,0.00238409
02/05/2006,79.6,-0.017681945
01/05/2006,81.02,-0.010558723
28/04/2006,81.88,0.004529049
27/04/2006,81.51,0.004919454
26/04/2006,81.11,-0.012984014
25/04/2006,82.17,-0.008241472
24/04/2006,82.85,-0.004576116
21/04/2006,83.23,0.000961654
20/04/2006,83.15,0.007726708
19/04/2006,82.51,0.01674344
18/04/2006,81.14,0.029136165
17/04/2006,78.81,-0.002661093
13/04/2006,79.02,-0.014323652
12/04/2006,80.16,0.001123385
11/04/2006,80.07,-0.003615288
10/04/2006,80.36,-0.009782754
07/04/2006,81.15,-0.019282999
06/04/2006,82.73,-0.00578524
05/04/2006,83.21,0.009175484
04/04/2006,82.45,-0.008213599
03/04/2006,83.13,-0.012076431
31/03/2006,84.14,-0.000475285
30/03/2006,84.18,-0.022087364
29/03/2006,86.06,0.014867116
28/03/2006,84.79,0.016409405
27/03/2006,83.41,-0.018059182
24/03/2006,84.93,-0.004347067
23/03/2006,85.3,0.002464935
22/03/2006,85.09,0.006366445
21/03/2006,84.55,-0.018746888
20/03/2006,86.15,-0.026460509
17/03/2006,88.46,0.017907522
16/03/2006,86.89,0.01519134
15/03/2006,85.58,0.027003062
14/03/2006,83.3,0.011227256
13/03/2006,82.37,-0.011107201
10/03/2006,83.29,0.008924324
09/03/2006,82.55,0.004492207
08/03/2006,82.18,-0.000729838
07/03/2006,82.24,-0.019387687
06/03/2006,83.85,0.022554173
03/03/2006,81.98,-0.013328684
02/03/2006,83.08,-0.005760938
01/03/2006,83.56,0.00708584
28/02/2006,82.97,-0.006008189
27/02/2006,83.47,-0.002512714
24/02/2006,83.68,-0.009278049
23/02/2006,84.46,-0.003309696
22/02/2006,84.74,0.014980663
21/02/2006,83.48,0.000958773
17/02/2006,83.4,0.01230562
