Date,Close,LOW
21/12/2006,30.23,-0.00921969
20/12/2006,30.51,-0.013995346
19/12/2006,30.94,-0.00451468
18/12/2006,31.08,-0.010561788
15/12/2006,31.41,-0.001590584
14/12/2006,31.46,0.029352212
13/12/2006,30.55,-0.002615235
12/12/2006,30.63,-0.008776263
11/12/2006,30.9,0.002916871
08/12/2006,30.81,-0.001945526
07/12/2006,30.87,-0.024637304
06/12/2006,31.64,0.012722818
05/12/2006,31.24,0.014509363
04/12/2006,30.79,-0.003242545
01/12/2006,30.89,0.023915964
30/11/2006,30.16,0.001991371
29/11/2006,30.1,0.005998019
28/11/2006,29.92,-0.015915455
27/11/2006,30.4,0.013245227
24/11/2006,30,-0.011269592
22/11/2006,30.34,-0.011144003
21/11/2006,30.68,0.003264776
20/11/2006,30.58,0.00327547
17/11/2006,30.48,-0.007517604
16/11/2006,30.71,0.005551035
15/11/2006,30.54,0.010202491
14/11/2006,30.23,0.041538979
13/11/2006,29,-0.005844954
10/11/2006,29.17,0.00240261
09/11/2006,29.1,-0.014329826
08/11/2006,29.52,0.006457117
07/11/2006,29.33,0.017541292
06/11/2006,28.82,-0.007948893
03/11/2006,29.05,-0.014354313
02/11/2006,29.47,-0.005077012
01/11/2006,29.62,-0.017403384
31/10/2006,30.14,-0.004964432
30/10/2006,30.29,-0.001649349
27/10/2006,30.34,-0.009839371
26/10/2006,30.64,0.021108963
25/10/2006,30,-0.014888612
24/10/2006,30.45,-0.014346513
23/10/2006,30.89,0.020936322
20/10/2006,30.25,-0.008230499
19/10/2006,30.5,-0.025891414
18/10/2006,31.3,0.024253412
17/10/2006,30.55,-0.019128481
16/10/2006,31.14,0.006120167
13/10/2006,30.95,-0.004191526
12/10/2006,31.08,0.018837842
11/10/2006,30.5,0.009884759
10/10/2006,30.2,0.015348983
09/10/2006,29.74,0.017981825
06/10/2006,29.21,-0.028351545
05/10/2006,30.05,0.002999502
04/10/2006,29.96,0.04540804
03/10/2006,28.63,0.016552588
02/10/2006,28.16,0.003557457
29/09/2006,28.06,-0.020808368
28/09/2006,28.65,0.009821194
27/09/2006,28.37,-0.016777744
26/09/2006,28.85,0.000346681
25/09/2006,28.84,0.017841999
22/09/2006,28.33,-0.001410935
21/09/2006,28.37,0.00211715
20/09/2006,28.31,-0.008792038
19/09/2006,28.56,-0.011142177
18/09/2006,28.88,-0.016143232
15/09/2006,29.35,0.000681663
14/09/2006,29.33,0.012695315
13/09/2006,28.96,0.003805575
12/09/2006,28.85,0.034918025
11/09/2006,27.86,0.022505487
08/09/2006,27.24,0.005521825
07/09/2006,27.09,-0.013201512
06/09/2006,27.45,-0.013389019
05/09/2006,27.82,0.017770187
01/09/2006,27.33,0.009928377
31/08/2006,27.06,-0.006996898
30/08/2006,27.25,0.000734214
29/08/2006,27.23,0.00367918
28/08/2006,27.13,0.014105653
25/08/2006,26.75,0.014307473
24/08/2006,26.37,-0.027675663
23/08/2006,27.11,-0.029440614
22/08/2006,27.92,-0.015283752
21/08/2006,28.35,-0.04044097
18/08/2006,29.52,0.00237409
17/08/2006,29.45,0.020583917
16/08/2006,28.85,0.007305651
15/08/2006,28.64,0.019034766
14/08/2006,28.1,0
11/08/2006,28.1,0.002851035
10/08/2006,28.02,0.022740558
09/08/2006,27.39,-0.033037116
08/08/2006,28.31,-0.011938344
07/08/2006,28.65,-0.004527258
04/08/2006,28.78,-0.007959897
03/08/2006,29.01,0.017736511
02/08/2006,28.5,0.012356733
01/08/2006,28.15,-0.007079676
31/07/2006,28.35,-0.012270093
28/07/2006,28.7,0.008748962
27/07/2006,28.45,-0.010489607
26/07/2006,28.75,-0.019290987
25/07/2006,29.31,0.015818762
24/07/2006,28.85,0.025984608
21/07/2006,28.11,-0.002132197
20/07/2006,28.17,-0.017942434
19/07/2006,28.68,0.032243714
18/07/2006,27.77,-0.006103053
17/07/2006,27.94,0.002149768
14/07/2006,27.88,-0.002865331
13/07/2006,27.96,0.018773115
