Date,Close,T
17/10/2006,33.06,0.002119607
16/10/2006,32.99,-0.018321582
13/10/2006,33.6,0
12/10/2006,33.6,0.019231362
11/10/2006,32.96,0.005781242
10/10/2006,32.77,0.018168321
09/10/2006,32.18,0.01250798
06/10/2006,31.78,-0.004708846
05/10/2006,31.93,-0.024440505
04/10/2006,32.72,0.005209143
03/10/2006,32.55,0.009879673
02/10/2006,32.23,-0.010186845
29/09/2006,32.56,0.005852473
28/09/2006,32.37,-0.006159551
27/09/2006,32.57,-0.023666153
26/09/2006,33.35,-0.004189114
25/09/2006,33.49,0.017774229
22/09/2006,32.9,0.019024814
21/09/2006,32.28,0.006838696
20/09/2006,32.06,0.01952818
19/09/2006,31.44,0.000954654
18/09/2006,31.41,-0.014224991
15/09/2006,31.86,-0.012166739
14/09/2006,32.25,0.012166739
13/09/2006,31.86,-0.001254705
12/09/2006,31.9,0.009448889
11/09/2006,31.6,0.007942854
08/09/2006,31.35,0.002235351
07/09/2006,31.28,-0.00891158
06/09/2006,31.56,-0.004741593
05/09/2006,31.71,0.003158562
01/09/2006,31.61,0.015301542
31/08/2006,31.13,-0.001925546
30/08/2006,31.19,-0.002561641
29/08/2006,31.27,0.009640177
28/08/2006,30.97,0.011039073
25/08/2006,30.63,0.005237328
24/08/2006,30.47,-0.000328138
23/08/2006,30.48,-0.002293955
22/08/2006,30.55,-0.000327279
21/08/2006,30.56,0.001637466
18/08/2006,30.51,0.001968505
17/08/2006,30.45,0.00658981
16/08/2006,30.25,-0.003629768
15/08/2006,30.36,0.01226196
14/08/2006,29.99,-0.007639964
11/08/2006,30.22,0
10/08/2006,30.22,-0.000661594
09/08/2006,30.24,-0.015422783
08/08/2006,30.71,-0.002601627
07/08/2006,30.79,-0.005829032
04/08/2006,30.97,0.00226281
03/08/2006,30.9,0.010409983
02/08/2006,30.58,0.027180991
01/08/2006,29.76,-0.007698783
31/07/2006,29.99,-0.002331392
28/07/2006,30.06,0.012721966
27/07/2006,29.68,0.006083155
26/07/2006,29.5,0.018820059
25/07/2006,28.95,0.041253867
24/07/2006,27.78,0.015965506
21/07/2006,27.34,0.001464129
20/07/2006,27.3,-0.006207798
19/07/2006,27.47,0.017628073
18/07/2006,26.99,0.008931954
17/07/2006,26.75,0.00637542
14/07/2006,26.58,0.000752729
13/07/2006,26.56,-0.022338978
12/07/2006,27.16,-0.002941179
11/07/2006,27.24,-0.005126339
10/07/2006,27.38,-0.013062595
07/07/2006,27.74,0.002888089
06/07/2006,27.66,-0.008639363
05/07/2006,27.9,-0.001074691
03/07/2006,27.93,0.001433178
30/06/2006,27.89,0.006835788
29/06/2006,27.7,0.010524503
28/06/2006,27.41,0.002191381
27/06/2006,27.35,0.000731529
26/06/2006,27.33,-0.001462523
23/06/2006,27.37,0.002927188
22/06/2006,27.29,-0.001464665
21/06/2006,27.33,-0.009105872
20/06/2006,27.58,-0.009382963
19/06/2006,27.84,0.001797592
16/06/2006,27.79,0.002161384
15/06/2006,27.73,0.020401436
14/06/2006,27.17,0.005536091
13/06/2006,27.02,0.013413018
12/06/2006,26.66,0.001501502
09/06/2006,26.62,0.00150376
08/06/2006,26.58,-0.000376152
07/06/2006,26.59,-0.005251325
06/06/2006,26.73,0.004875314
05/06/2006,26.6,-0.004875314
02/06/2006,26.73,-0.006711435
01/06/2006,26.91,0.032096393
31/05/2006,26.06,0.008477893
30/05/2006,25.84,-0.014980115
26/05/2006,26.23,0.020412802
25/05/2006,25.7,0.009382399
24/05/2006,25.46,0.008282437
23/05/2006,25.25,0.000396118
