Date,Close,HAL
16/06/2006,74.43,0.001209922
15/06/2006,74.34,0.048648931
14/06/2006,70.81,0.036529802
13/06/2006,68.27,-0.030864867
12/06/2006,70.41,-0.030767355
09/06/2006,72.61,0.007187315
08/06/2006,72.09,0.024432555
07/06/2006,70.35,-0.042168635
06/06/2006,73.38,-0.011786359
05/06/2006,74.25,-0.033506412
02/06/2006,76.78,0.021458073
01/06/2006,75.15,0.007479666
31/05/2006,74.59,0.03645206
30/05/2006,71.92,-0.023769753
26/05/2006,73.65,-0.002034589
25/05/2006,73.8,0.05243501
24/05/2006,70.03,-0.014882282
23/05/2006,71.08,0.01032322
22/05/2006,70.35,-0.009197093
19/05/2006,71,-0.001126126
18/05/2006,71.08,-0.037010576
17/05/2006,73.76,-0.016804859
16/05/2006,75.01,-0.003194466
15/05/2006,75.25,-0.023898196
12/05/2006,77.07,-0.038062254
11/05/2006,80.06,-0.026743845
10/05/2006,82.23,0.005609771
09/05/2006,81.77,0.021758801
08/05/2006,80.01,0.004635148
05/05/2006,79.64,-0.003009029
04/05/2006,79.88,0.010191972
03/05/2006,79.07,-0.023251047
02/05/2006,80.93,0.016570491
01/05/2006,79.6,0.018384036
28/04/2006,78.15,0.015084409
27/04/2006,76.98,-0.01827828
26/04/2006,78.4,-0.005342844
25/04/2006,78.82,-0.018602849
24/04/2006,80.3,-0.037039007
21/04/2006,83.33,0.006380567
20/04/2006,82.8,0.003750988
19/04/2006,82.49,0.018227919
18/04/2006,81,0.02550776
17/04/2006,78.96,0.023578745
13/04/2006,77.12,0.005591329
12/04/2006,76.69,-0.001433318
11/04/2006,76.8,-0.029887429
10/04/2006,79.13,0.023786288
07/04/2006,77.27,-0.016047587
06/04/2006,78.52,0.015142083
05/04/2006,77.34,0.028060055
04/04/2006,75.2,0.031474199
03/04/2006,72.87,-0.002056345
31/03/2006,73.02,-0.017377575
30/03/2006,74.3,0.000538503
29/03/2006,74.26,0.014650289
28/03/2006,73.18,0.02196676
27/03/2006,71.59,0.00476058
24/03/2006,71.25,0.011291581
23/03/2006,70.45,0.020796734
22/03/2006,69,0.007126785
21/03/2006,68.51,0.000291971
20/03/2006,68.49,-0.027363458
17/03/2006,70.39,-0.007219226
16/03/2006,70.9,0.021527669
15/03/2006,69.39,-0.002446925
