Date,Close,MON
12/10/2006,44.91,0.021607863
11/10/2006,43.95,-0.054462329
10/10/2006,46.41,-0.021739987
09/10/2006,47.43,0.005072934
06/10/2006,47.19,-0.001905367
05/10/2006,47.28,0.006791198
04/10/2006,46.96,-0.016682891
03/10/2006,47.75,0.019028058
02/10/2006,46.85,-0.003409336
29/09/2006,47.01,-0.015618722
28/09/2006,47.75,0.010526413
27/09/2006,47.25,-0.007170001
26/09/2006,47.59,0.017594519
25/09/2006,46.76,-0.004268039
22/09/2006,46.96,0.002558637
21/09/2006,46.84,-0.001493334
20/09/2006,46.91,0.008993637
19/09/2006,46.49,-0.000215077
18/09/2006,46.5,0.049822955
15/09/2006,44.24,-0.010344144
14/09/2006,44.7,-0.008686991
13/09/2006,45.09,-0.015186822
12/09/2006,45.78,0.001530222
11/09/2006,45.71,-0.026340037
08/09/2006,46.93,0.000852697
07/09/2006,46.89,-0.018593394
06/09/2006,47.77,0.002935013
05/09/2006,47.63,-0.012725738
01/09/2006,48.24,0.016722798
31/08/2006,47.44,0.008254889
30/08/2006,47.05,0.003406433
29/08/2006,46.89,0
28/08/2006,46.89,-0.001917546
25/08/2006,46.98,0.008550715
24/08/2006,46.58,-0.013646267
23/08/2006,47.22,0.002544531
22/08/2006,47.1,0.000212337
21/08/2006,47.09,0.000637281
18/08/2006,47.06,-0.003394148
17/08/2006,47.22,0.01235899
16/08/2006,46.64,0.023428403
15/08/2006,45.56,0.008596989
14/08/2006,45.17,0.003548462
11/08/2006,45.01,-0.008627418
10/08/2006,45.4,0.008183171
09/08/2006,45.03,-0.000666001
08/08/2006,45.06,-0.011912782
07/08/2006,45.6,0.003735037
04/08/2006,45.43,-0.001099989
03/08/2006,45.48,0.02877415
02/08/2006,44.19,0.023816102
01/08/2006,43.15,0.003714887
31/07/2006,42.99,-0.705400253
28/07/2006,87.04,0.017851407
27/07/2006,85.5,0.002224695
26/07/2006,85.31,-0.016508164
25/07/2006,86.73,0.030793278
24/07/2006,84.1,0.024921533
21/07/2006,82.03,-0.027889775
20/07/2006,84.35,-0.030703398
19/07/2006,86.98,0.028216866
18/07/2006,84.56,0.019826279
17/07/2006,82.9,-0.004933528
14/07/2006,83.31,-0.001079719
13/07/2006,83.4,-0.018061327
12/07/2006,84.92,0.010892838
11/07/2006,84,-0.006289702
10/07/2006,84.53,0.001065278
07/07/2006,84.44,-0.021324768
06/07/2006,86.26,0.02179859
05/07/2006,84.4,-0.010607053
03/07/2006,85.3,0.013098305
30/06/2006,84.19,0.01002754
29/06/2006,83.35,0.083929476
28/06/2006,76.64,-0.008186648
27/06/2006,77.27,0.005060017
26/06/2006,76.88,-0.007515909
23/06/2006,77.46,0.009078003
22/06/2006,76.76,-0.0084323
21/06/2006,77.41,0.017199121
20/06/2006,76.09,-0.001969409
19/06/2006,76.24,-0.021668055
16/06/2006,77.91,-0.010469963
15/06/2006,78.73,0.022478629
14/06/2006,76.98,0.004165588
13/06/2006,76.66,-0.006630721
12/06/2006,77.17,-0.020902216
09/06/2006,78.8,-0.017735199
08/06/2006,80.21,-0.008318379
07/06/2006,80.88,-0.030082034
06/06/2006,83.35,0.013042088
05/06/2006,82.27,-0.031467572
02/06/2006,84.9,0.001532387
01/06/2006,84.77,0.007221958
31/05/2006,84.16,0.023807786
30/05/2006,82.18,-0.020594453
26/05/2006,83.89,0.008860211
25/05/2006,83.15,0.019675155
24/05/2006,81.53,-0.002082951
23/05/2006,81.7,0.013059198
22/05/2006,80.64,-0.031973437
19/05/2006,83.26,0.000120113
18/05/2006,83.25,0
17/05/2006,83.25,-0.026785199
16/05/2006,85.51,0.019365347
15/05/2006,83.87,0.007059557
12/05/2006,83.28,-0.027827265
11/05/2006,85.63,-0.029117656
10/05/2006,88.16,-0.004978512
09/05/2006,88.6,0.004071483
08/05/2006,88.24,-0.002716163
05/05/2006,88.48,0.012853501
04/05/2006,87.35,0.004244829
03/05/2006,86.98,0.010284946
02/05/2006,86.09,0.038723683
01/05/2006,82.82,-0.006978731
28/04/2006,83.4,-0.014876799
27/04/2006,84.65,-0.007649346
26/04/2006,85.3,-0.014201147
25/04/2006,86.52,-0.007369909
24/04/2006,87.16,-0.015144041
21/04/2006,88.49,0.029589315
20/04/2006,85.91,-0.006150295
19/04/2006,86.44,0.006266703
18/04/2006,85.9,0.039900805
17/04/2006,82.54,-0.009525604
13/04/2006,83.33,0.008556846
12/04/2006,82.62,0.001211094
11/04/2006,82.52,-0.036878213
10/04/2006,85.62,-0.007215206
07/04/2006,86.24,0.002786811
06/04/2006,86,0.006884106
05/04/2006,85.41,-0.007813906
04/04/2006,86.08,-0.00659992
03/04/2006,86.65,0.02217127
31/03/2006,84.75,0.003664523
30/03/2006,84.44,-0.002483886
29/03/2006,84.65,0.014277458
28/03/2006,83.45,0.035245402
27/03/2006,80.56,-0.001860235
24/03/2006,80.71,-0.009985906
23/03/2006,81.52,-0.009036574
22/03/2006,82.26,0.000364764
21/03/2006,82.23,-0.028059395
20/03/2006,84.57,-0.005071663
17/03/2006,85,-0.008318248
16/03/2006,85.71,0.017537082
15/03/2006,84.22,-0.012976471
14/03/2006,85.32,0.015711149
13/03/2006,83.99,0.00083378
10/03/2006,83.92,0.01658094
09/03/2006,82.54,-0.001573755
08/03/2006,82.67,-0.040652632
07/03/2006,86.1,-0.021486436
06/03/2006,87.97,0.007530843
03/03/2006,87.31,0.021182573
02/03/2006,85.48,0.005395908
01/03/2006,85.02,0.013499317
28/02/2006,83.88,-0.01549685
27/02/2006,85.19,0.006477088
24/02/2006,84.64,-0.015126043
23/02/2006,85.93,0.014063281
22/02/2006,84.73,0.024250128
21/02/2006,82.7,-0.009267684
17/02/2006,83.47,0.002759284
16/02/2006,83.24,0.015618696
15/02/2006,81.95,-0.006931383
14/02/2006,82.52,0.020445102
13/02/2006,80.85,-0.015829523
10/02/2006,82.14,0.007208779
09/02/2006,81.55,0.003070313
08/02/2006,81.3,0.007283533
07/02/2006,80.71,-0.032905723
06/02/2006,83.41,-0.006929538
03/02/2006,83.99,-0.004988134
02/02/2006,84.41,-0.013064389
01/02/2006,85.52,0.010697804
31/01/2006,84.61,-0.009995967
30/01/2006,85.46,0.034765406
27/01/2006,82.54,0.022544449
26/01/2006,80.7,0.003724399
25/01/2006,80.4,-0.011377813
24/01/2006,81.32,0.008149199
23/01/2006,80.66,0.008216155
20/01/2006,80,-0.008835849
19/01/2006,80.71,0.018381262
18/01/2006,79.24,-0.01391087
17/01/2006,80.35,0.013153964
13/01/2006,79.3,0.008739211
12/01/2006,78.61,-0.011258104
11/01/2006,79.5,-0.010012599
10/01/2006,80.3,-0.014710692
09/01/2006,81.49,-0.000736016
06/01/2006,81.55,0.019064702
05/01/2006,80.01,-0.000749625
04/01/2006,80.07,0.000624649
03/01/2006,80.02,0.031611645
30/12/2005,77.53,0.001678178
29/12/2005,77.4,0.003105593
28/12/2005,77.16,-0.001165728
27/12/2005,77.25,-0.010687026
23/12/2005,78.08,0.0028216
22/12/2005,77.86,0.020239404
21/12/2005,76.3,0.01226362
20/12/2005,75.37,-0.002650061
19/12/2005,75.57,-0.000529171
16/12/2005,75.61,-0.018346734
15/12/2005,77.01,0.018082254
14/12/2005,75.63,-0.015221393
13/12/2005,76.79,-0.003380138
12/12/2005,77.05,-0.002721795
09/12/2005,77.26,0.001036001
08/12/2005,77.18,-0.005040398
07/12/2005,77.57,0.002323181
06/12/2005,77.39,-0.008748287
05/12/2005,78.07,0.035461935
02/12/2005,75.35,0.013898393
01/12/2005,74.31,0.014094284
30/11/2005,73.27,-0.005851551
29/11/2005,73.7,0.006261079
28/11/2005,73.24,-0.007617012
25/11/2005,73.8,0.006798123
23/11/2005,73.3,-0.008152219
22/11/2005,73.9,0.008152219
21/11/2005,73.3,-0.002316551
18/11/2005,73.47,-0.002311197
17/11/2005,73.64,0.022522237
16/11/2005,72,-0.011461839
15/11/2005,72.83,0.012851694
14/11/2005,71.9,0.029355763
11/11/2005,69.82,0.052334105
10/11/2005,66.26,0.034547076
09/11/2005,64.01,0.014001645
08/11/2005,63.12,-0.016653959
07/11/2005,64.18,0.011597058
04/11/2005,63.44,0.003790276
03/11/2005,63.2,-0.021600464
02/11/2005,64.58,0.015920424
01/11/2005,63.56,0.008690898
31/10/2005,63.01,0.039823974
28/10/2005,60.55,0.039755951
27/10/2005,58.19,-0.003773589
26/10/2005,58.41,-0.013265501
25/10/2005,59.19,-0.014924399
24/10/2005,60.08,0.015938598
21/10/2005,59.13,0.002200966
20/10/2005,59,-0.010956705
19/10/2005,59.65,0.03306368
18/10/2005,57.71,-0.027684612
17/10/2005,59.33,-0.01156276
14/10/2005,60.02,-0.016196024
13/10/2005,61,0.062922342
12/10/2005,57.28,0.006831944
11/10/2005,56.89,-0.000175762
10/10/2005,56.9,-0.025506718
07/10/2005,58.37,0.001371507
06/10/2005,58.29,0.000858148
05/10/2005,58.24,-0.040382337
04/10/2005,60.64,-0.026043139
03/10/2005,62.24,-0.008160698
30/09/2005,62.75,0.022074529
29/09/2005,61.38,0.028589901
