Date,Close,COST
26/07/2005,46,0.001740644
25/07/2005,45.92,-0.000653097
22/07/2005,45.95,0.010501081
21/07/2005,45.47,-0.013543239
20/07/2005,46.09,-0.005625285
19/07/2005,46.35,-0.001078167
18/07/2005,46.4,-0.001077006
15/07/2005,46.45,0.010605012
14/07/2005,45.96,0.003705726
13/07/2005,45.79,-0.008481077
12/07/2005,46.18,0.011762279
11/07/2005,45.64,0.001973901
08/07/2005,45.55,0.010150131
07/07/2005,45.09,-0.005970167
06/07/2005,45.36,0.000882223
05/07/2005,45.32,0.008642713
01/07/2005,44.93,0.004461306
30/06/2005,44.73,-0.010231406
29/06/2005,45.19,-0.004415993
28/06/2005,45.39,0.015094626
27/06/2005,44.71,-0.00468594
24/06/2005,44.92,0.002451801
23/06/2005,44.81,-0.014621439
22/06/2005,45.47,-0.009412349
21/06/2005,45.9,-0.009971901
20/06/2005,46.36,-0.004948907
17/06/2005,46.59,0.012961944
16/06/2005,45.99,-0.004339343
15/06/2005,46.19,-0.003242195
14/06/2005,46.34,0.013250981
13/06/2005,45.73,-0.00174787
10/06/2005,45.81,-0.000654665
09/06/2005,45.84,0.003277617
08/06/2005,45.69,-0.003059443
07/06/2005,45.83,0.001091584
06/06/2005,45.78,-0.007399381
03/06/2005,46.12,-0.010782938
02/06/2005,46.62,0.022999495
01/06/2005,45.56,0.003958659
31/05/2005,45.38,0.001764447
27/05/2005,45.3,-0.004185489
26/05/2005,45.49,0.001539985
25/05/2005,45.42,0.019564875
24/05/2005,44.54,0.000673779
23/05/2005,44.51,-0.010059323
20/05/2005,44.96,0.000222445
19/05/2005,44.95,0.001335708
18/05/2005,44.89,0.024581235
17/05/2005,43.8,0.012636584
16/05/2005,43.25,0.028375687
13/05/2005,42.04,-0.010176398
12/05/2005,42.47,-0.011936947
11/05/2005,42.98,0.000698243
10/05/2005,42.95,-0.009039348
09/05/2005,43.34,0.010670479
06/05/2005,42.88,0.003036321
05/05/2005,42.75,-0.002569795
04/05/2005,42.86,0.019317444
03/05/2005,42.04,0.018485702
02/05/2005,41.27,0.015629134
29/04/2005,40.63,0.008155241
28/04/2005,40.3,-0.027653787
27/04/2005,41.43,-0.003854498
26/04/2005,41.59,0.003613156
25/04/2005,41.44,0.03112615
22/04/2005,40.17,-0.091523628
21/04/2005,44.02,0.021353124
20/04/2005,43.09,-0.018395552
19/04/2005,43.89,-0.009298173
18/04/2005,44.3,-0.012561852
15/04/2005,44.86,-0.012406008
14/04/2005,45.42,-0.00745781
13/04/2005,45.76,-0.013673572
12/04/2005,46.39,0.001941958
11/04/2005,46.3,0.002595157
