Date,Close,QCOM
11/08/2006,33.31,-0.017557362
10/08/2006,33.9,0.010974454
09/08/2006,33.53,-0.009793816
08/08/2006,33.86,-0.021619305
07/08/2006,34.6,-0.020312528
04/08/2006,35.31,0.01282617
03/08/2006,34.86,0.014155949
02/08/2006,34.37,-0.003195355
01/08/2006,34.48,-0.022369731
31/07/2006,35.26,-0.014919348
28/07/2006,35.79,0.036129659
27/07/2006,34.52,-0.013237603
26/07/2006,34.98,0.020214376
25/07/2006,34.28,-0.031584595
24/07/2006,35.38,0.026928009
21/07/2006,34.44,-0.040124887
20/07/2006,35.85,-0.024250293
19/07/2006,36.73,-0.018076845
18/07/2006,37.4,0.022715958
17/07/2006,36.56,0.005210488
14/07/2006,36.37,-0.005210488
13/07/2006,36.56,-0.026718632
12/07/2006,37.55,-0.034549367
11/07/2006,38.87,0.027913642
10/07/2006,37.8,-0.005277057
07/07/2006,38,-0.012292557
06/07/2006,38.47,0.00782885
05/07/2006,38.17,-0.033237634
03/07/2006,39.46,-0.015340424
30/06/2006,40.07,-0.011661216
29/06/2006,40.54,0.026748251
28/06/2006,39.47,0.019959721
27/06/2006,38.69,-0.035545758
26/06/2006,40.09,0.014826255
23/06/2006,39.5,-0.046497
22/06/2006,41.38,-0.065927117
21/06/2006,44.2,0.006582705
20/06/2006,43.91,0.011913085
19/06/2006,43.39,-0.012823624
16/06/2006,43.95,-0.021162429
15/06/2006,44.89,0.037217819
14/06/2006,43.25,0.033144414
13/06/2006,41.84,0.015657311
12/06/2006,41.19,-0.053185167
09/06/2006,43.44,-0.022984286
08/06/2006,44.45,-0.022907707
07/06/2006,45.48,-0.015057568
06/06/2006,46.17,0.010669671
05/06/2006,45.68,-0.028487036
02/06/2006,47,-0.001063264
01/06/2006,47.05,0.039892565
31/05/2006,45.21,0.010897472
30/05/2006,44.72,-0.028872529
26/05/2006,46.03,-0.000651537
25/05/2006,46.06,0.0102565
24/05/2006,45.59,0.004616915
23/05/2006,45.38,-0.027172631
22/05/2006,46.63,-0.009391745
19/05/2006,47.07,0.015414563
18/05/2006,46.35,-0.011796383
17/05/2006,46.9,-0.027133855
16/05/2006,48.19,-0.009089094
15/05/2006,48.63,-0.007375571
12/05/2006,48.99,-0.008334229
11/05/2006,49.4,-0.044733363
10/05/2006,51.66,-0.020690393
09/05/2006,52.74,0.001518027
08/05/2006,52.66,0.00190078
05/05/2006,52.56,0.004194477
04/05/2006,52.34,0.011336465
03/05/2006,51.75,0.01342302
02/05/2006,51.06,0.008062181
01/05/2006,50.65,-0.013530945
28/04/2006,51.34,-0.0133503
27/04/2006,52.03,0.018427444
26/04/2006,51.08,-0.008188777
25/04/2006,51.5,-0.015414563
24/04/2006,52.3,0.01755277
21/04/2006,51.39,-0.008718451
20/04/2006,51.84,-0.012651118
19/04/2006,52.5,0.008992694
18/04/2006,52.03,0.019602763
17/04/2006,51.02,-0.00897567
13/04/2006,51.48,0.009956158
12/04/2006,50.97,-0.008206377
11/04/2006,51.39,-0.003690399
10/04/2006,51.58,-0.007340191
07/04/2006,51.96,0.003856542
06/04/2006,51.76,0.001740308
05/04/2006,51.67,-0.002705839
04/04/2006,51.81,0.01223435
03/04/2006,51.18,0.011199646
31/03/2006,50.61,-0.004730937
30/03/2006,50.85,0.002559812
29/03/2006,50.72,0.027179931
28/03/2006,49.36,-0.007065741
27/03/2006,49.71,0.007268354
24/03/2006,49.35,-0.004649761
23/03/2006,49.58,-0.003422937
22/03/2006,49.75,0.003221263
21/03/2006,49.59,-0.014414664
20/03/2006,50.31,-0.009101764
17/03/2006,50.77,0.017886009
16/03/2006,49.87,0.001203852
15/03/2006,49.81,0.011306399
14/03/2006,49.25,0.021342899
13/03/2006,48.21,0.004365458
10/03/2006,48,-0.002081166
09/03/2006,48.1,-0.029296369
08/03/2006,49.53,0.034298464
07/03/2006,47.86,0.013039091
06/03/2006,47.24,-0.008221823
03/03/2006,47.63,-0.004190243
02/03/2006,47.83,-0.004172758
01/03/2006,48.03,0.01827974
28/02/2006,47.16,-0.024920146
27/02/2006,48.35,0.024284216
24/02/2006,47.19,0.005524876
23/02/2006,46.93,-0.017950012
22/02/2006,47.78,0.017736951
21/02/2006,46.94,-0.028768388
17/02/2006,48.31,0.004356401
16/02/2006,48.1,0.015926573
15/02/2006,47.34,-0.005477157
14/02/2006,47.6,0.035278912
13/02/2006,45.95,-0.015333418
10/02/2006,46.66,0.010773644
09/02/2006,46.16,-0.017395478
08/02/2006,46.97,0.026754562
