Date,Close,MA
06/12/2006,99.13,-0.0012098
05/12/2006,99.25,-0.008327947
04/12/2006,100.08,-0.010832404
01/12/2006,101.17,-0.005716554
30/11/2006,101.75,0.02538081
29/11/2006,99.2,-0.015504187
28/11/2006,100.75,0.017623366
27/11/2006,98.99,-0.063502527
24/11/2006,105.48,0.021271282
22/11/2006,103.26,0.026097822
21/11/2006,100.6,0.044826856
20/11/2006,96.19,0.014661484
17/11/2006,94.79,0.002852466
16/11/2006,94.52,-0.008218358
15/11/2006,95.3,0.001049869
14/11/2006,95.2,-0.014081067
13/11/2006,96.55,0.079179969
10/11/2006,89.2,0.011274077
09/11/2006,88.2,-0.002717393
08/11/2006,88.44,-0.044884289
07/11/2006,92.5,-0.040259674
06/11/2006,96.3,0.073117968
03/11/2006,89.51,0.021569353
02/11/2006,87.6,0.029306551
01/11/2006,85.07,0.138058915
31/10/2006,74.1,0.021277398
30/10/2006,72.54,-0.0013776
27/10/2006,72.64,0.006075688
26/10/2006,72.2,0.020287509
25/10/2006,70.75,-0.006340282
24/10/2006,71.2,0.01343251
23/10/2006,70.25,-0.01371337
20/10/2006,71.22,-0.015465303
19/10/2006,72.33,0.026335743
18/10/2006,70.45,0.013576486
17/10/2006,69.5,-0.025569575
16/10/2006,71.3,0.017116197
13/10/2006,70.09,-0.004555168
12/10/2006,70.41,0.013008546
11/10/2006,69.5,-0.034088585
10/10/2006,71.91,-0.012300618
09/10/2006,72.8,-0.031770161
06/10/2006,75.15,0.034658945
05/10/2006,72.59,0.041775289
04/10/2006,69.62,-0.00086145
03/10/2006,69.68,-0.004010318
02/10/2006,69.96,-0.005559133
29/09/2006,70.35,0.024461651
28/09/2006,68.65,0.011869141
27/09/2006,67.84,0.027497249
26/09/2006,66,0.024541109
25/09/2006,64.4,-0.02347994
22/09/2006,65.93,-0.046237307
21/09/2006,69.05,0.036877335
20/09/2006,66.55,0.026030848
19/09/2006,64.84,-0.004309025
18/09/2006,65.12,0.002306097
15/09/2006,64.97,0.0341298
14/09/2006,62.79,0.023200654
13/09/2006,61.35,-0.012150818
12/09/2006,62.1,0.003710579
11/09/2006,61.87,0.034866219
08/09/2006,59.75,-0.006173374
07/09/2006,60.12,0.02084109
06/09/2006,58.88,0.035085254
05/09/2006,56.85,0.005291018
01/09/2006,56.55,0.011560822
31/08/2006,55.9,0.01169604
30/08/2006,55.25,-0.001808319
29/08/2006,55.35,0.005979904
28/08/2006,55.02,0.00036357
25/08/2006,55,-0.011748892
24/08/2006,55.65,0.019048195
23/08/2006,54.6,-0.011472401
22/08/2006,55.23,0.017718977
21/08/2006,54.26,0.01504067
18/08/2006,53.45,-0.000187073
17/08/2006,53.46,-0.015037877
16/08/2006,54.27,-0.004045611
15/08/2006,54.49,0.004782938
14/08/2006,54.23,0.010193768
11/08/2006,53.68,0.002237972
10/08/2006,53.56,0.013344809
09/08/2006,52.85,0.005312097
08/08/2006,52.57,0.028361118
07/08/2006,51.1,0.020761991
04/08/2006,50.05,0.00119952
03/08/2006,49.99,-0.00059994
02/08/2006,50.02,0.105760436
01/08/2006,45,-0.019148819
31/07/2006,45.87,-0.009330652
28/07/2006,46.3,-0.004740367
27/07/2006,46.52,-0.00343348
26/07/2006,46.68,0.012936791
25/07/2006,46.08,0.023716527
24/07/2006,45,-0.006202944
21/07/2006,45.28,-0.00594519
20/07/2006,45.55,0.00594519
19/07/2006,45.28,0.030951114
18/07/2006,43.9,-0.002048015
17/07/2006,43.99,0.000909711
14/07/2006,43.95,-0.017368205
13/07/2006,44.72,-0.018389795
12/07/2006,45.55,-0.017410668
11/07/2006,46.35,-0.003015944
10/07/2006,46.49,0.00799054
07/07/2006,46.12,-0.014636508
06/07/2006,46.8,-0.016949558
05/07/2006,47.6,0.006322466
03/07/2006,47.3,-0.014690715
30/06/2006,48,0
29/06/2006,48,0.021904835
28/06/2006,46.96,-0.007425514
27/06/2006,47.31,-0.004008021
26/06/2006,47.5,0.011646505
23/06/2006,46.95,0.007482665
22/06/2006,46.6,0.028293509
21/06/2006,45.3,0.028662956
20/06/2006,44.02,-0.007243128
19/06/2006,44.34,-0.015219631
16/06/2006,45.02,-0.020447013
15/06/2006,45.95,0.018228242
14/06/2006,45.12,-0.008386719
13/06/2006,45.5,-0.03137088
12/06/2006,46.95,-0.017523936
09/06/2006,47.78,0.001256545
08/06/2006,47.72,0.002517836
07/06/2006,47.6,-0.014598799
06/06/2006,48.3,-0.017445286
05/06/2006,49.15,0.044942033
02/06/2006,46.99,-0.011005402
01/06/2006,47.51,0.055611948
31/05/2006,44.94,0.021138633
30/05/2006,44,-0.020916089
26/05/2006,44.93,-0.023535673
25/05/2006,46,
