Date,Close,GILD
30/06/2006,59.16,0.003556011
29/06/2006,58.95,0.049732083
28/06/2006,56.09,0.016356975
27/06/2006,55.18,-0.010994073
26/06/2006,55.79,0.003951155
23/06/2006,55.57,0.011219806
22/06/2006,54.95,-0.019106565
21/06/2006,56.01,0.013842918
20/06/2006,55.24,-0.015626721
19/06/2006,56.11,-0.03071225
16/06/2006,57.86,-0.012537734
15/06/2006,58.59,0.028565952
14/06/2006,56.94,-0.001404002
13/06/2006,57.02,0.015197324
12/06/2006,56.16,-0.020270369
09/06/2006,57.31,0.012996319
08/06/2006,56.57,-0.004233557
07/06/2006,56.81,0.003880075
06/06/2006,56.59,0.00176866
05/06/2006,56.49,-0.033252258
02/06/2006,58.4,-0.004442174
01/06/2006,58.66,0.022934017
31/05/2006,57.33,0.027587957
30/05/2006,55.77,-0.024618263
26/05/2006,57.16,0.024080484
25/05/2006,55.8,0.005390849
24/05/2006,55.5,0.03166733
23/05/2006,53.77,-0.016782321
22/05/2006,54.68,-0.004743669
19/05/2006,54.94,0.021898014
18/05/2006,53.75,-0.037430202
17/05/2006,55.8,-0.01670556
16/05/2006,56.74,-0.005974363
15/05/2006,57.08,0.027350311
12/05/2006,55.54,-0.018905503
11/05/2006,56.6,-0.003351269
10/05/2006,56.79,-0.00981259
09/05/2006,57.35,0.014578286
08/05/2006,56.52,0.004788517
05/05/2006,56.25,0.018843088
04/05/2006,55.2,-0.016351096
03/05/2006,56.11,0.023623856
02/05/2006,54.8,-0.054854464
01/05/2006,57.89,0.00675971
28/04/2006,57.5,0.012600797
27/04/2006,56.78,-0.009290978
26/04/2006,57.31,-0.069260386
25/04/2006,61.42,-0.033934114
24/04/2006,63.54,-0.015305624
21/04/2006,64.52,-0.00987053
20/04/2006,65.16,0.000460511
19/04/2006,65.13,0.051834868
18/04/2006,61.84,0.010566627
17/04/2006,61.19,-0.003914538
13/04/2006,61.43,0.005550129
12/04/2006,61.09,0.011193533
11/04/2006,60.41,-0.023880755
10/04/2006,61.87,0.005998235
07/04/2006,61.5,-0.003408818
06/04/2006,61.71,-0.035029851
05/04/2006,63.91,-0.009654388
04/04/2006,64.53,0.016247819
03/04/2006,63.49,0.020205922
31/03/2006,62.22,0.008878902
30/03/2006,61.67,-0.005659325
29/03/2006,62.02,0.006145903
28/03/2006,61.64,-0.012895085
27/03/2006,62.44,0.001602821
24/03/2006,62.34,0.005146361
23/03/2006,62.02,-0.010904534
22/03/2006,62.7,0.006400022
21/03/2006,62.3,-0.011490711
20/03/2006,63.02,-0.004591158
17/03/2006,63.31,0.006656126
16/03/2006,62.89,-0.01342514
15/03/2006,63.74,0.013743207
14/03/2006,62.87,0.022194542
13/03/2006,61.49,0.006526373
10/03/2006,61.09,0.008548466
09/03/2006,60.57,-0.003461066
08/03/2006,60.78,0.028199082
07/03/2006,59.09,-0.006914607
06/03/2006,59.5,-0.009867126
03/03/2006,60.09,-0.019773259
02/03/2006,61.29,0.003923497
01/03/2006,61.05,-0.019786568
28/02/2006,62.27,-0.022233725
27/02/2006,63.67,0.032078072
24/02/2006,61.66,0.006181897
23/02/2006,61.28,-0.009581884
22/02/2006,61.87,0.031024236
21/02/2006,59.98,-0.024375383
17/02/2006,61.46,-0.000650618
16/02/2006,61.5,0.005053397
15/02/2006,61.19,0.014817525
14/02/2006,60.29,0.018582606
13/02/2006,59.18,0.001352723
10/02/2006,59.1,0.013114384
09/02/2006,58.33,-0.017840929
08/02/2006,59.38,-0.016037764
07/02/2006,60.34,0.005317394
06/02/2006,60.02,-0.011265858
03/02/2006,60.7,-0.000164731
02/02/2006,60.71,-0.013091334
01/02/2006,61.51,0.010459321
31/01/2006,60.87,0.050023058
30/01/2006,57.9,-0.031284428
27/01/2006,59.74,0.013990957
26/01/2006,58.91,0.026663659
25/01/2006,57.36,-0.011268213
24/01/2006,58.01,0.028323572
23/01/2006,56.39,-0.020536044
20/01/2006,57.56,-0.027417756
19/01/2006,59.16,0.009169703
18/01/2006,58.62,-0.007477941
17/01/2006,59.06,-0.00574035
13/01/2006,59.4,0.016293639
12/01/2006,58.44,0.026178144
11/01/2006,56.93,-0.002806527
10/01/2006,57.09,-0.014261111
09/01/2006,57.91,0.015312636
06/01/2006,57.03,0.007215165
05/01/2006,56.62,0.020880566
04/01/2006,55.45,0.013618004
03/01/2006,54.7,0.039718095
30/12/2005,52.57,-0.005122865
29/12/2005,52.84,-0.01129105
28/12/2005,53.44,-0.013752307
27/12/2005,54.18,-0.006989177
23/12/2005,54.56,-0.01527858
22/12/2005,55.4,0.02430009
21/12/2005,54.07,0.046370309
20/12/2005,51.62,0.020352953
19/12/2005,50.58,-0.002172411
16/12/2005,50.69,-0.036987467
15/12/2005,52.6,0.009551171
14/12/2005,52.1,-0.034892743
13/12/2005,53.95,0.042986832
12/12/2005,51.68,-0.00578817
09/12/2005,51.98,-0.012237246
08/12/2005,52.62,0.0024736
07/12/2005,52.49,-0.016438726
06/12/2005,53.36,-0.019118912
05/12/2005,54.39,0.015004449
02/12/2005,53.58,0.011072648
01/12/2005,52.99,0.044374564
30/11/2005,50.69,-0.01779302
29/11/2005,51.6,-0.01002708
28/11/2005,52.12,-0.039685509
25/11/2005,54.23,0.008146685
23/11/2005,53.79,-0.00574661
22/11/2005,54.1,-0.001846723
21/11/2005,54.2,-0.002947681
18/11/2005,54.36,-0.007148779
17/11/2005,54.75,-0.015945255
16/11/2005,55.63,0.074426058
15/11/2005,51.64,-0.006754826
14/11/2005,51.99,-0.039413039
11/11/2005,54.08,0.033276874
10/11/2005,52.31,0.013472105
09/11/2005,51.61,0.00155129
08/11/2005,51.53,0.032744543
07/11/2005,49.87,0.003817182
04/11/2005,49.68,-0.022097047
03/11/2005,50.79,0.037922088
02/11/2005,48.9,0.036443387
01/11/2005,47.15,-0.002118645
31/10/2005,47.25,0.002755115
28/10/2005,47.12,0.033228516
27/10/2005,45.58,-0.026200481
26/10/2005,46.79,-0.024906311
25/10/2005,47.97,0.003968674
24/10/2005,47.78,0.046260925
21/10/2005,45.62,0.009027916
20/10/2005,45.21,-0.017540463
19/10/2005,46.01,-0.04712247
18/10/2005,48.23,0.010421103
17/10/2005,47.73,0.00651605
14/10/2005,47.42,0.013160878
13/10/2005,46.8,0.013552966
12/10/2005,46.17,-0.031762235
11/10/2005,47.66,-0.007733344
10/10/2005,48.03,0.0108856
07/10/2005,47.51,0.042788425
06/10/2005,45.52,-0.013745171
05/10/2005,46.15,-0.024190412
04/10/2005,47.28,-0.012610508
03/10/2005,47.88,-0.018212424
30/09/2005,48.76,0.026180594
29/09/2005,47.5,0.014632856
28/09/2005,46.81,-0.00744922
27/09/2005,47.16,-0.001906578
26/09/2005,47.25,0.026159296
23/09/2005,46.03,0.005227631
22/09/2005,45.79,0.017403237
21/09/2005,45,-0.016529302
20/09/2005,45.75,-0.00892183
19/09/2005,46.16,-0.003460211
16/09/2005,46.32,0.012819296
15/09/2005,45.73,0.013207324
14/09/2005,45.13,-0.003759819
