Date,Close,CAT
24/01/2007,59.73,0.002850199
23/01/2007,59.56,0.02361445
22/01/2007,58.17,-0.02041929
19/01/2007,59.37,-0.008887457
18/01/2007,59.9,-0.000166931
17/01/2007,59.91,0.011246447
16/01/2007,59.24,-0.008404823
12/01/2007,59.74,-0.004342749
11/01/2007,60,-0.005319161
10/01/2007,60.32,-0.004961148
09/01/2007,60.62,0.005458619
08/01/2007,60.29,0.001161729
05/01/2007,60.22,-0.012869341
04/01/2007,61,-0.002619517
03/01/2007,61.16,-0.002775739
29/12/2006,61.33,0.000326158
28/12/2006,61.31,-0.002606289
27/12/2006,61.47,0.009316076
26/12/2006,60.9,0.005103312
22/12/2006,60.59,-0.003624386
21/12/2006,60.81,-0.009166867
20/12/2006,61.37,-0.002441209
19/12/2006,61.52,-0.006480904
18/12/2006,61.92,0.001616293
15/12/2006,61.82,-0.004841062
14/12/2006,62.12,0.010193438
13/12/2006,61.49,-0.012765787
12/12/2006,62.28,-0.012604874
11/12/2006,63.07,-0.005218641
08/12/2006,63.4,0.006329135
07/12/2006,63,-0.000793336
06/12/2006,63.05,0.014377244
05/12/2006,62.15,0.010676258
04/12/2006,61.49,0.004890782
01/12/2006,61.19,-0.013634362
30/11/2006,62.03,-0.00048352
29/11/2006,62.06,0.007439788
28/11/2006,61.6,-0.005988526
27/11/2006,61.97,-0.014418705
24/11/2006,62.87,0.001273277
22/11/2006,62.79,0.00960161
21/11/2006,62.19,0.02079685
20/11/2006,60.91,-0.000492409
17/11/2006,60.94,-0.007031343
16/11/2006,61.37,-0.00130272
15/11/2006,61.45,0.017897202
14/11/2006,60.36,0.014014243
13/11/2006,59.52,-0.001343184
10/11/2006,59.6,0.006734032
09/11/2006,59.2,-0.0150883
08/11/2006,60.1,0.002999502
07/11/2006,59.92,0.001168907
06/11/2006,59.85,-0.009644238
03/11/2006,60.43,-0.002148939
02/11/2006,60.56,0.000991244
01/11/2006,60.5,-0.003465064
31/10/2006,60.71,-0.000823249
30/10/2006,60.76,-0.008358649
27/10/2006,61.27,-0.017473345
26/10/2006,62.35,0.007081955
25/10/2006,61.91,0.015956053
24/10/2006,60.93,0.008405488
23/10/2006,60.42,0.023782732
20/10/2006,59,-0.156858874
19/10/2006,69.02,-0.000868936
18/10/2006,69.08,-0.011800396
17/10/2006,69.9,-0.000429092
16/10/2006,69.93,0.012229488
13/10/2006,69.08,-0.002457892
12/10/2006,69.25,0.013520596
11/10/2006,68.32,-0.010773142
10/10/2006,69.06,0.002319514
09/10/2006,68.9,0.012413449
06/10/2006,68.05,-0.002788174
05/10/2006,68.24,0.04037026
04/10/2006,65.54,0.006582496
03/10/2006,65.11,-0.003832303
02/10/2006,65.36,-0.006709388
29/09/2006,65.8,-0.011934578
28/09/2006,66.59,0.013759951
27/09/2006,65.68,-0.003343976
26/09/2006,65.9,0.024112356
25/09/2006,64.33,0.024548833
22/09/2006,62.77,-0.027807934
21/09/2006,64.54,-0.020549719
20/09/2006,65.88,-0.010268891
19/09/2006,66.56,-0.006439558
18/09/2006,66.99,0.023562486
15/09/2006,65.43,-0.001221934
14/09/2006,65.51,-0.012439481
13/09/2006,66.33,0.01794998
12/09/2006,65.15,-0.005510499
11/09/2006,65.51,-0.027254567
08/09/2006,67.32,-0.006514681
07/09/2006,67.76,-0.02001674
06/09/2006,69.13,-0.007924543
05/09/2006,69.68,0.035198961
01/09/2006,67.27,0.013770611
31/08/2006,66.35,0.01963384
30/08/2006,65.06,-0.005976571
29/08/2006,65.45,-0.009428294
28/08/2006,66.07,0.001211571
25/08/2006,65.99,0.007453073
24/08/2006,65.5,-0.025771903
23/08/2006,67.21,-0.019011699
22/08/2006,68.5,0.003656311
21/08/2006,68.25,-0.000878735
18/08/2006,68.31,-0.015254164
17/08/2006,69.36,0.003610894
16/08/2006,69.11,0.024906063
15/08/2006,67.41,0.021744877
14/08/2006,65.96,-0.016091783
11/08/2006,67.03,-0.019062269
10/08/2006,68.32,-0.002923124
09/08/2006,68.52,-0.043969401
08/08/2006,71.6,-0.021827086
07/08/2006,73.18,0.001093793
04/08/2006,73.1,0.005074413
03/08/2006,72.73,0.027601418
02/08/2006,70.75,0.014808757
01/08/2006,69.71,-0.016503433
31/07/2006,70.87,-0.004786045
28/07/2006,71.21,0.00690484
27/07/2006,70.72,0.008377756
26/07/2006,70.13,-0.007528979
25/07/2006,70.66,0.001983284
24/07/2006,70.52,0.031254794
21/07/2006,68.35,-0.01062369
20/07/2006,69.08,-0.029103338
19/07/2006,71.12,0.023473587
18/07/2006,69.47,0.004038661
17/07/2006,69.19,0
14/07/2006,69.19,-0.007343974
13/07/2006,69.7,-0.022836252
12/07/2006,71.31,-0.028887366
11/07/2006,73.4,0.001772687
10/07/2006,73.27,0.009461846
07/07/2006,72.58,-0.014634741
06/07/2006,73.65,0.007085464
05/07/2006,73.13,-0.022178056
03/07/2006,74.77,0.003886102
30/06/2006,74.48,0.001074691
29/06/2006,74.4,0.022977015
28/06/2006,72.71,0.014685772
27/06/2006,71.65,-0.011517507
