Date,Close,DD
10/11/2005,42.26,0.004268444
09/11/2005,42.08,-0.022092555
08/11/2005,43.02,-0.001857873
07/11/2005,43.1,-0.004860558
04/11/2005,43.31,0.006950908
03/11/2005,43.01,0.012163893
02/11/2005,42.49,0.01804846
01/11/2005,41.73,0.000959003
31/10/2005,41.69,-0.007408326
28/10/2005,42,0.015113638
27/10/2005,41.37,-0.003137447
26/10/2005,41.5,0.017011346
25/10/2005,40.8,0.02934804
24/10/2005,39.62,0.025046032
21/10/2005,38.64,-0.003358742
20/10/2005,38.77,0.004135441
19/10/2005,38.61,0.020408872
18/10/2005,37.83,-0.002112491
17/10/2005,37.91,-0.00237123
14/10/2005,38,-0.006034388
13/10/2005,38.23,-0.011443558
12/10/2005,38.67,0.003886519
11/10/2005,38.52,0.004423059
10/10/2005,38.35,0.012331259
07/10/2005,37.88,0.00132083
06/10/2005,37.83,-0.003957267
05/10/2005,37.98,-0.014117882
04/10/2005,38.52,-0.008273056
03/10/2005,38.84,-0.008460504
30/09/2005,39.17,0.014399837
29/09/2005,38.61,0.014873073
28/09/2005,38.04,-0.010200167
27/09/2005,38.43,-0.005190772
26/09/2005,38.63,-0.003875473
23/09/2005,38.78,-0.004630829
22/09/2005,38.96,-0.001282545
21/09/2005,39.01,-0.011216024
20/09/2005,39.45,-0.021317422
19/09/2005,40.3,-0.005197388
16/09/2005,40.51,0.010172523
15/09/2005,40.1,0.000498878
14/09/2005,40.08,0.008267616
13/09/2005,39.75,-0.008766493
12/09/2005,40.1,0.006504902
09/09/2005,39.84,0.006042314
08/09/2005,39.6,-0.004535155
07/09/2005,39.78,0.007570059
06/09/2005,39.48,0.016086138
02/09/2005,38.85,-0.014311514
01/09/2005,39.41,-0.004051664
31/08/2005,39.57,0.004051664
30/08/2005,39.41,-0.007835248
29/08/2005,39.72,-0.000503398
26/08/2005,39.74,-0.006771186
25/08/2005,40.01,0.000249969
24/08/2005,40,-0.009455159
23/08/2005,40.38,-0.004447746
22/08/2005,40.56,-0.004182562
19/08/2005,40.73,-0.002452184
18/08/2005,40.83,-0.003422986
17/08/2005,40.97,0.003667934
16/08/2005,40.82,-0.016762205
15/08/2005,41.51,0.003861941
12/08/2005,41.35,-0.010584655
11/08/2005,41.79,-0.017082266
10/08/2005,42.51,-0.002584284
09/08/2005,42.62,0.008955987
08/08/2005,42.24,-0.011065445
05/08/2005,42.71,-0.006767031
04/08/2005,43,-0.001162115
03/08/2005,43.05,0.000464684
02/08/2005,43.03,0.017583386
01/08/2005,42.28,-0.009416265
29/07/2005,42.68,0.017728865
28/07/2005,41.93,0.005260653
27/07/2005,41.71,0.013516981
26/07/2005,41.15,-0.067874385
25/07/2005,44.04,-0.003626477
22/07/2005,44.2,0.001358388
21/07/2005,44.14,-0.003618276
20/07/2005,44.3,0.009070357
19/07/2005,43.9,0.005023989
18/07/2005,43.68,-0.00866201
15/07/2005,44.06,-0.003172448
14/07/2005,44.2,-0.001130582
13/07/2005,44.25,0.006347788
12/07/2005,43.97,-0.004085344
11/07/2005,44.15,0.014831989
08/07/2005,43.5,0.018796237
07/07/2005,42.69,0.002110447
06/07/2005,42.6,-0.009113277
05/07/2005,42.99,0.003728739
01/07/2005,42.83,-0.004193855
30/06/2005,43.01,-0.036973632
29/06/2005,44.63,-0.006921988
