Date,Close,SO
12/01/2006,34.83,0.001149095
11/01/2006,34.79,-0.002296872
10/01/2006,34.87,-0.00143287
09/01/2006,34.92,-0.0051414
06/01/2006,35.1,0.005714301
05/01/2006,34.9,-0.002575477
04/01/2006,34.99,-0.002283758
03/01/2006,35.07,0.015517553
30/12/2005,34.53,-0.006063249
29/12/2005,34.74,-0.00659879
28/12/2005,34.97,-0.003710579
27/12/2005,35.1,-0.001138952
23/12/2005,35.14,0
22/12/2005,35.14,0.007713222
21/12/2005,34.87,-0.012822515
20/12/2005,35.32,0.004824757
19/12/2005,35.15,-0.00652207
16/12/2005,35.38,0.003113944
15/12/2005,35.27,-0.003113944
14/12/2005,35.38,0.003113944
13/12/2005,35.27,0.010832489
12/12/2005,34.89,-0.009129878
09/12/2005,35.21,0.005982072
08/12/2005,35,0.00918491
07/12/2005,34.68,-0.006037103
06/12/2005,34.89,-0.003147806
05/12/2005,35,-0.001142205
02/12/2005,35.04,0.005724114
01/12/2005,34.84,0.003738322
30/11/2005,34.71,-0.01003305
29/11/2005,35.06,0.00514728
28/11/2005,34.88,-0.001146132
25/11/2005,34.92,0.002293579
23/11/2005,34.84,0.007490672
22/11/2005,34.58,-0.002022245
21/11/2005,34.65,-0.004032264
18/11/2005,34.79,0.01011131
17/11/2005,34.44,0.009334957
16/11/2005,34.12,0.00205369
15/11/2005,34.05,0.001175434
14/11/2005,34.01,-0.012854398
11/11/2005,34.45,-0.002029869
10/11/2005,34.52,0.000579542
09/11/2005,34.5,0.004357305
08/11/2005,34.35,0.00408402
07/11/2005,34.21,-0.008731138
04/11/2005,34.51,0
03/11/2005,34.51,-0.012096922
02/11/2005,34.93,0.005166487
01/11/2005,34.75,-0.006882734
31/10/2005,34.99,0.018169209
28/10/2005,34.36,0.014954098
27/10/2005,33.85,-0.010871269
26/10/2005,34.22,-0.011043414
25/10/2005,34.6,0.004635003
24/10/2005,34.44,0.017575145
21/10/2005,33.84,0.015785883
20/10/2005,33.31,-0.009263476
19/10/2005,33.62,0.009263476
18/10/2005,33.31,-0.014898965
17/10/2005,33.81,0.01519922
14/10/2005,33.3,0.000600781
13/10/2005,33.28,-0.012541221
12/10/2005,33.7,-0.01297188
11/10/2005,34.14,-0.005258557
10/10/2005,34.32,-0.016758555
07/10/2005,34.9,0.006035368
06/10/2005,34.69,-0.005748794
05/10/2005,34.89,-0.02546827
04/10/2005,35.79,-0.00779297
03/10/2005,36.07,0.008631545
30/09/2005,35.76,-0.006133278
29/09/2005,35.98,0.006692719
28/09/2005,35.74,0.001680202
27/09/2005,35.68,-0.003636876
26/09/2005,35.81,0.001956674
23/09/2005,35.74,0.005611687
22/09/2005,35.54,0.000281413
21/09/2005,35.53,-0.004493127
20/09/2005,35.69,-0.005030754
19/09/2005,35.87,-0.008052244
16/09/2005,36.16,0.018984378
15/09/2005,35.48,0.008775711
14/09/2005,35.17,0.003988609
13/09/2005,35.03,-0.007111394
12/09/2005,35.28,-0.005934736
09/09/2005,35.49,0.0101955
08/09/2005,35.13,-0.003410063
07/09/2005,35.25,-0.008193293
06/09/2005,35.54,0.013312759
02/09/2005,35.07,0.009454303
01/09/2005,34.74,0.009835196
31/08/2005,34.4,0.009639333
30/08/2005,34.07,0
29/08/2005,34.07,0.004412421
26/08/2005,33.92,-0.012014797
25/08/2005,34.33,0.010541825
24/08/2005,33.97,-0.00440594
23/08/2005,34.12,0.011199646
22/08/2005,33.74,0.00148302
19/08/2005,33.69,0.00267499
18/08/2005,33.6,0.003876552
17/08/2005,33.47,-0.008627155
16/08/2005,33.76,-0.014701823
15/08/2005,34.26,0.002045289
12/08/2005,34.19,-0.003503653
