Date,Close,F
23/04/2007,7.83,0.010269667
20/04/2007,7.75,0.001291156
19/04/2007,7.74,-0.010282867
18/04/2007,7.82,-0.003828977
17/04/2007,7.85,-0.022670996
16/04/2007,8.03,0.001246106
13/04/2007,8.02,-0.008690309
12/04/2007,8.09,-0.004932192
11/04/2007,8.13,-0.007352974
10/04/2007,8.19,0.013522025
09/04/2007,8.08,0.008701111
05/04/2007,8.01,-0.003738322
04/04/2007,8.04,-0.004962789
03/04/2007,8.08,-0.001236859
02/04/2007,8.09,0.025032596
30/03/2007,7.89,-0.007575794
29/03/2007,7.95,-0.003766483
28/03/2007,7.98,0.01642488
27/03/2007,7.85,-0.002544531
26/03/2007,7.87,-0.002538072
23/03/2007,7.89,-0.023795738
22/03/2007,8.08,0.008701111
21/03/2007,8.01,0.016362857
20/03/2007,7.88,0.007643349
19/03/2007,7.82,0.035136991
16/03/2007,7.55,-0.005284028
15/03/2007,7.59,0.010596126
14/03/2007,7.51,-0.017162137
13/03/2007,7.64,-0.023286951
12/03/2007,7.82,-0.013968481
09/03/2007,7.93,0
08/03/2007,7.93,0.039876666
07/03/2007,7.62,-0.002621233
06/03/2007,7.64,0.007884404
05/03/2007,7.58,-0.001318392
02/03/2007,7.59,-0.023438573
01/03/2007,7.77,-0.017857617
28/02/2007,7.91,0.016571444
27/02/2007,7.78,-0.059868249
26/02/2007,8.26,-0.004830927
23/02/2007,8.3,-0.006006024
22/02/2007,8.35,-0.01426897
21/02/2007,8.47,-0.021028812
20/02/2007,8.65,0.013969959
16/02/2007,8.53,-0.008172842
15/02/2007,8.6,0.010520261
14/02/2007,8.51,0.007075501
13/02/2007,8.45,-0.02339288
12/02/2007,8.65,-0.009206049
09/02/2007,8.73,0.020834087
08/02/2007,8.55,-0.001168907
07/02/2007,8.56,0.002339182
06/02/2007,8.54,0.024897552
05/02/2007,8.33,0.012077441
02/02/2007,8.23,-0.007263954
01/02/2007,8.29,0.019489046
31/01/2007,8.13,-0.008573231
30/01/2007,8.2,-0.02051973
29/01/2007,8.37,-0.005955944
26/01/2007,8.42,0.024039619
25/01/2007,8.22,0.002436055
24/01/2007,8.2,-0.012121361
23/01/2007,8.3,-0.013165959
22/01/2007,8.41,0.013165959
19/01/2007,8.3,0.014563364
18/01/2007,8.18,0.017263067
17/01/2007,8.04,0.012515808
16/01/2007,7.94,0.00631714
12/01/2007,7.89,0.01532597
11/01/2007,7.77,0.005161302
10/01/2007,7.73,-0.007731997
09/01/2007,7.79,0.007731997
08/01/2007,7.73,0.014332493
05/01/2007,7.62,-0.010443959
04/01/2007,7.7,0.024984863
03/01/2007,7.51,0
29/12/2006,7.51,0.001332445
28/12/2006,7.5,-0.010610179
27/12/2006,7.58,0.011944402
26/12/2006,7.49,0.00938974
22/12/2006,7.42,0.014935783
21/12/2006,7.31,-0.002732242
20/12/2006,7.33,0.020676133
19/12/2006,7.18,0.021112677
18/12/2006,7.03,-0.007087202
15/12/2006,7.08,-0.004228336
14/12/2006,7.11,0.032883592
13/12/2006,6.88,-0.030066689
12/12/2006,7.09,-0.020935866
11/12/2006,7.24,0.00138217
08/12/2006,7.23,0.009729055
07/12/2006,7.16,-0.027549952
06/12/2006,7.36,-0.042559614
05/12/2006,7.68,-0.026976588
04/12/2006,7.89,-0.018832948
01/12/2006,8.04,-0.01113184
30/11/2006,8.13,-0.004907985
29/11/2006,8.17,0.002450982
28/11/2006,8.15,-0.001226242
27/11/2006,8.16,-0.043172172
24/11/2006,8.52,-0.010507978
22/11/2006,8.61,0.005824128
21/11/2006,8.56,-0.012768601
20/11/2006,8.67,-0.025058259
17/11/2006,8.89,-0.015625318
16/11/2006,9.03,0.00332779
