Date,Close,L
07/12/2011,39.15,0.00025546
06/12/2011,39.14,0.00486619
05/12/2011,38.95,0.018135212
02/12/2011,38.25,-0.002089319
01/12/2011,38.33,-0.002605525
30/11/2011,38.43,0.04606165
29/11/2011,36.7,0.000545108
28/11/2011,36.68,0.02288808
25/11/2011,35.85,0.00083717
23/11/2011,35.82,-0.02997612
22/11/2011,36.91,-0.007557391
21/11/2011,37.19,-0.02627191
18/11/2011,38.18,0.011856284
17/11/2011,37.73,-0.018382871
16/11/2011,38.43,-0.02111304
15/11/2011,39.25,0.008186283
14/11/2011,38.93,-0.01453551
11/11/2011,39.5,0.020719503
10/11/2011,38.69,0.009348289
09/11/2011,38.33,-0.039140435
08/11/2011,39.86,0.010085814
07/11/2011,39.46,0.004572017
04/11/2011,39.28,-0.002034589
03/11/2011,39.36,0.012012924
02/11/2011,38.89,0.018949302
01/11/2011,38.16,-0.039563341
31/10/2011,39.7,-0.039026933
28/10/2011,41.28,-0.003385735
27/10/2011,41.42,0.047969641
26/10/2011,39.48,0.018663459
25/10/2011,38.75,-0.015873349
24/10/2011,39.37,0.018198631
21/10/2011,38.66,0.02993135
20/10/2011,37.52,0.029207052
19/10/2011,36.44,-0.010917139
18/10/2011,36.84,0.036206801
17/10/2011,35.53,-0.028577337
14/10/2011,36.56,0.016269489
13/10/2011,35.97,-0.003053437
12/10/2011,36.08,0.001942018
11/10/2011,36.01,-0.002219141
10/10/2011,36.09,0.040141059
07/10/2011,34.67,-0.021119506
06/10/2011,35.41,0.01193196
05/10/2011,34.99,0.02547171
04/10/2011,34.11,0.018045158
03/10/2011,33.5,-0.030862111
30/09/2011,34.55,-0.019490442
29/09/2011,35.23,0.017466443
28/09/2011,34.62,-0.025382797
27/09/2011,35.51,0.001973221
26/09/2011,35.44,0.029784561
23/09/2011,34.4,0.004078071
22/09/2011,34.26,-0.029337738
21/09/2011,35.28,-0.046790542
20/09/2011,36.97,-0.001081373
19/09/2011,37.01,-0.015017713
16/09/2011,37.57,0.003466208
15/09/2011,37.44,0.016698476
14/09/2011,36.82,0.009551171
13/09/2011,36.47,0.003570942
12/09/2011,36.34,0.010511853
09/09/2011,35.96,-0.013534249
08/09/2011,36.45,-0.01308277
07/09/2011,36.93,0.037802818
06/09/2011,35.56,-0.014240084
02/09/2011,36.07,-0.022207904
01/09/2011,36.88,-0.019866425
31/08/2011,37.62,0.014727807
30/08/2011,37.07,-0.002424897
29/08/2011,37.16,0.035052877
26/08/2011,35.88,0.008958627
25/08/2011,35.56,-0.016178875
24/08/2011,36.14,0.011409613
23/08/2011,35.73,0.016650589
22/08/2011,35.14,-0.003125446
19/08/2011,35.25,-0.008755881
18/08/2011,35.56,-0.037802818
17/08/2011,36.93,0.002440017
16/08/2011,36.84,-0.00676318
15/08/2011,37.09,0.022632186
12/08/2011,36.26,-0.00687099
11/08/2011,36.51,0.055468123
