Date,Close,DOV
10/04/2012,59.93,-0.014577035
09/04/2012,60.81,-0.009492706
05/04/2012,61.39,-0.026046489
04/04/2012,63.01,-0.006012676
03/04/2012,63.39,-0.010201768
02/04/2012,64.04,0.017325996
30/03/2012,62.94,0.0115054
29/03/2012,62.22,0.010501753
28/03/2012,61.57,-0.022642477
27/03/2012,62.98,-0.00711972
26/03/2012,63.43,0.014290494
23/03/2012,62.53,0.014497677
22/03/2012,61.63,-0.015935951
21/03/2012,62.62,-0.009694156
20/03/2012,63.23,-0.01538009
19/03/2012,64.21,0.001090768
16/03/2012,64.14,-0.000467617
15/03/2012,64.17,0.003747077
14/03/2012,63.93,-0.010270865
13/03/2012,64.59,0.023497322
12/03/2012,63.09,-0.000792205
09/03/2012,63.14,0.012751209
08/03/2012,62.34,0.015356319
07/03/2012,61.39,0.010479873
06/03/2012,60.75,-0.043327495
05/03/2012,63.44,0.002525254
02/03/2012,63.28,-0.012094705
01/03/2012,64.05,0.000468494
29/02/2012,64.02,-0.009173663
28/02/2012,64.61,-0.006171907
27/02/2012,65.01,-0.010101096
24/02/2012,65.67,0.001371429
23/02/2012,65.58,-0.003652972
22/02/2012,65.82,-0.010578911
21/02/2012,66.52,0.006485205
17/02/2012,66.09,-0.007837267
16/02/2012,66.61,0.014821808
15/02/2012,65.63,-0.005621834
14/02/2012,66,-0.000605877
13/02/2012,66.04,0.023440369
10/02/2012,64.51,-0.013396151
09/02/2012,65.38,0.003063728
08/02/2012,65.18,0.004459145
07/02/2012,64.89,-0.002616392
06/02/2012,65.06,-0.008722987
03/02/2012,65.63,0.017057655
02/02/2012,64.52,0.00139589
01/02/2012,64.43,0.015957785
31/01/2012,63.41,0.002684565
30/01/2012,63.24,-0.007090552
27/01/2012,63.69,0.012004567
26/01/2012,62.93,0.033446853
25/01/2012,60.86,0.00642877
24/01/2012,60.47,0.009137035
23/01/2012,59.92,0.009895259
20/01/2012,59.33,-0.025296739
19/01/2012,60.85,0.004116926
18/01/2012,60.6,0.005792321
17/01/2012,60.25,0.000498049
