Date,Close,FITB
12/02/2013,16.56,0.003629768
11/02/2013,16.5,-0.006644543
08/02/2013,16.61,0.008464379
07/02/2013,16.47,-0.00725956
06/02/2013,16.59,0.004833846
05/02/2013,16.51,0.018955016
04/02/2013,16.2,-0.017742894
01/02/2013,16.49,0.012202714
31/01/2013,16.29,-0.002452484
30/01/2013,16.33,0.003680986
29/01/2013,16.27,0.00554701
28/01/2013,16.18,-0.01167448
25/01/2013,16.37,-0.001221001
24/01/2013,16.39,0.001221001
23/01/2013,16.37,-0.00790999
22/01/2013,16.5,0.007299302
18/01/2013,16.38,0.005509656
17/01/2013,16.29,0.046490784
16/01/2013,15.55,0.009043989
15/01/2013,15.41,0.003901175
14/01/2013,15.35,-0.007787191
11/01/2013,15.47,-0.014758048
10/01/2013,15.7,0.018644063
09/01/2013,15.41,-0.001944895
08/01/2013,15.44,-0.009026496
07/01/2013,15.58,-0.007035526
04/01/2013,15.69,0.003831422
03/01/2013,15.63,-0.008917257
02/01/2013,15.77,0.036813973
31/12/2012,15.2,0.013912116
28/12/2012,14.99,-0.00598605
27/12/2012,15.08,-0.003970885
26/12/2012,15.14,0.006626929
24/12/2012,15.04,-0.005305052
21/12/2012,15.12,-0.001321877
20/12/2012,15.14,0.012628948
19/12/2012,14.95,-0.008658063
18/12/2012,15.08,0.02756477
17/12/2012,14.67,0.021358029
14/12/2012,14.36,-0.010391503
13/12/2012,14.51,-0.007552387
12/12/2012,14.62,0.006174977
11/12/2012,14.53,-0.002062565
10/12/2012,14.56,0.001374571
07/12/2012,14.54,0.013850637
06/12/2012,14.34,-0.001393728
05/12/2012,14.36,0.015438903
04/12/2012,14.14,-0.01891475
03/12/2012,14.41,-0.015835099
30/11/2012,14.64,-0.001365188
29/11/2012,14.66,-0.000681896
28/11/2012,14.67,0.008213599
27/11/2012,14.55,-0.012295237
26/11/2012,14.73,-0.010803616
23/11/2012,14.89,0.02103912
21/11/2012,14.58,-0.001370802
20/11/2012,14.6,0.008253142
19/11/2012,14.48,0.02659359
16/11/2012,14.1,0.007117468
15/11/2012,14,0.013664362
14/11/2012,13.81,-0.013664362
13/11/2012,14,-0.016295082
12/11/2012,14.23,0.004931324
09/11/2012,14.16,0.00851069
08/11/2012,14.04,-0.005681833
07/11/2012,14.12,-0.03274413
06/11/2012,14.59,0.018679201
05/11/2012,14.32,-0.004181191
02/11/2012,14.38,-0.01243969
01/11/2012,14.56,0.002062565
31/10/2012,14.53,0.002756721
26/10/2012,14.49,-0.010298752
25/10/2012,14.64,0.004792888
24/10/2012,14.57,-0.00820237
23/10/2012,14.69,-0.023546328
22/10/2012,15.04,0.001330672
19/10/2012,15.02,-0.006635724
18/10/2012,15.12,-0.000661157
17/10/2012,15.13,0.008629327
16/10/2012,15,-0.024367356
15/10/2012,15.37,0.006527438
12/10/2012,15.27,-0.039799861
11/10/2012,15.89,0.004415018
10/10/2012,15.82,-0.002525254
09/10/2012,15.86,-0.007537724
08/10/2012,15.98,-0.000625587
05/10/2012,15.99,0
04/10/2012,15.99,0.017666075
03/10/2012,15.71,0.016041409
02/10/2012,15.46,-0.001938611
01/10/2012,15.49,-0.001290323
28/09/2012,15.51,0.001290323
27/09/2012,15.49,0.008427927
26/09/2012,15.36,-0.012936791
25/09/2012,15.56,-0.007044538
24/09/2012,15.67,0.005760016
21/09/2012,15.58,-0.000641643
20/09/2012,15.59,-0.000641231
19/09/2012,15.6,-0.003200003
18/09/2012,15.65,-0.005734326
17/09/2012,15.74,-0.002538072
14/09/2012,15.78,0.010831581
13/09/2012,15.61,0.022021615
12/09/2012,15.27,0.005911347
11/09/2012,15.18,-0.001316656
10/09/2012,15.2,-0.007210782
07/09/2012,15.31,0.016463987
06/09/2012,15.06,0.009339628
05/09/2012,14.92,-0.008675396
04/09/2012,15.05,-0.005962257
31/08/2012,15.14,0.003970885
30/08/2012,15.08,-0.002649008
29/08/2012,15.12,0.012645759
28/08/2012,14.93,0.001340483
27/08/2012,14.91,0.0067295
24/08/2012,14.81,0.012228413
23/08/2012,14.63,-0.012228413
22/08/2012,14.81,0.028769107
21/08/2012,14.39,0.001390821
20/08/2012,14.37,-0.002085506
17/08/2012,14.4,0.004872965
16/08/2012,14.33,0.00279525
15/08/2012,14.29,0.002803085
14/08/2012,14.25,-0.004900255
13/08/2012,14.32,0.00209717
10/08/2012,14.29,-0.00209717
09/08/2012,14.32,0.001397624
08/08/2012,14.3,0.004907125
07/08/2012,14.23,0.017724675
06/08/2012,13.98,-0.006417134
03/08/2012,14.07,0.02884122
02/08/2012,13.67,-0.008740041
01/08/2012,13.79,-0.002173127
31/07/2012,13.82,-0.014368063
30/07/2012,14.02,-0.015570024
27/07/2012,14.24,0.007047246
26/07/2012,14.14,0.027968836
25/07/2012,13.75,0.004373185
24/07/2012,13.69,0.013235487
23/07/2012,13.51,-0.0095765
20/07/2012,13.64,-0.01166194
19/07/2012,13.8,0.002176279
18/07/2012,13.77,-0.010834342
17/07/2012,13.92,0.019587133
16/07/2012,13.65,-0.002926118
13/07/2012,13.69,0.025898599
12/07/2012,13.34,-0.005233657
11/07/2012,13.41,0.0226254
10/07/2012,13.11,-0.015140335
09/07/2012,13.31,-0.005245422
06/07/2012,13.38,-0.002985077
05/07/2012,13.42,-0.005943554
03/07/2012,13.5,0
02/07/2012,13.5,0.007434978
29/06/2012,13.4,0.02876807
28/06/2012,13.02,0.003076926
27/06/2012,12.98,0.00851069
26/06/2012,12.87,0.011723464
25/06/2012,12.72,-0.04233029
22/06/2012,13.27,0.017484292
21/06/2012,13.04,-0.006116227
20/06/2012,13.12,-0.000761905
19/06/2012,13.13,0.0138039
18/06/2012,12.95,-0.017604741
15/06/2012,13.18,0.010678973
14/06/2012,13.04,0.020140108
13/06/2012,12.78,-0.00624027
12/06/2012,12.86,0.011732634
11/06/2012,12.71,-0.017161108
08/06/2012,12.93,0.014803543
07/06/2012,12.74,0.005509656
06/06/2012,12.67,0.035345045
05/06/2012,12.23,0.011513285
04/06/2012,12.09,-0.034948701
01/06/2012,12.52,-0.064189019
31/05/2012,13.35,0.009029407
30/05/2012,13.23,-0.021683092
29/05/2012,13.52,0
25/05/2012,13.52,-0.003691403
24/05/2012,13.57,-0.001472754
23/05/2012,13.59,0.010355122
22/05/2012,13.45,0.005218051
21/05/2012,13.38,0.00224467
18/05/2012,13.35,0.004504512
17/05/2012,13.29,-0.019374675
16/05/2012,13.55,-0.002211575
15/05/2012,13.58,-0.01316771
14/05/2012,13.76,-0.022279039
11/05/2012,14.07,-0.00849262
10/05/2012,14.19,0.014194702
09/05/2012,13.99,-0.015603153
08/05/2012,14.21,-0.012587579
07/05/2012,14.39,0.028190732
04/05/2012,13.99,-0.032351626
03/05/2012,14.45,0.003466208
02/05/2012,14.4,0
01/05/2012,14.4,0.011875794
30/04/2012,14.23,-0.011181109
27/04/2012,14.39,0.001390821
26/04/2012,14.37,0.004184107
25/04/2012,14.31,0.025479085
24/04/2012,13.95,0.010086541
23/04/2012,13.81,-0.010086541
20/04/2012,13.95,0.015896288
19/04/2012,13.73,-0.030837868
18/04/2012,14.16,-0.014025475
17/04/2012,14.36,0.017562798
16/04/2012,14.11,0.006398884
13/04/2012,14.02,-0.032283505
12/04/2012,14.48,0.015309972
11/04/2012,14.26,0.025569575
10/04/2012,13.9,-0.029069753
09/04/2012,14.31,-0.021431861
05/04/2012,14.62,0.009622067
04/04/2012,14.48,-0.00688234
03/04/2012,14.58,0.009648593
02/04/2012,14.44,0.027379738
30/03/2012,14.05,0.001424502
29/03/2012,14.03,-0.004976903
28/03/2012,14.1,0.007117468
27/03/2012,14,-0.021202208
26/03/2012,14.3,0.011251877
23/03/2012,14.14,0.003542335
22/03/2012,14.09,-0.01058958
21/03/2012,14.24,-0.018093743
20/03/2012,14.5,0
19/03/2012,14.5,0.011793408
16/03/2012,14.33,-0.009722299
15/03/2012,14.47,0.013217584
14/03/2012,14.28,0.008438869
13/03/2012,14.16,0.041822966
12/03/2012,13.58,-0.01316771
09/03/2012,13.76,0.020558727
08/03/2012,13.48,0.01344307
07/03/2012,13.3,0.027440746
06/03/2012,12.94,-0.028192343
05/03/2012,13.31,-0.022289184
02/03/2012,13.61,-0.008049806
01/03/2012,13.72,0.008049806
29/02/2012,13.61,-0.000734484
28/02/2012,13.62,0.002941179
27/02/2012,13.58,-0.001471671
24/02/2012,13.6,-0.015323175
23/02/2012,13.81,0.016058739
22/02/2012,13.59,-0.023273778
21/02/2012,13.91,0.007939414
17/02/2012,13.8,0.012395346
16/02/2012,13.63,0.020008078
15/02/2012,13.36,0.004501133
14/02/2012,13.3,-0.01492565
13/02/2012,13.5,0.011173301
10/02/2012,13.35,-0.012653686
09/02/2012,13.52,-0.006634746
08/02/2012,13.61,0.005895374
07/02/2012,13.53,0.002960772
06/02/2012,13.49,-0.007385558
03/02/2012,13.59,0.02684725
02/02/2012,13.23,0.006825965
01/02/2012,13.14,0.009942721
31/01/2012,13.01,0.001538462
30/01/2012,12.99,-0.018307147
27/01/2012,13.23,0.011402632
26/01/2012,13.08,-0.030864324
25/01/2012,13.49,0.00445766
24/01/2012,13.43,0.002236304
23/01/2012,13.4,0.017313191
20/01/2012,13.17,-0.029182767
19/01/2012,13.56,-0.013914542
18/01/2012,13.75,0.000727537
17/01/2012,13.74,-0.020886607
13/01/2012,14.03,0.014357748
12/01/2012,13.83,0.005801322
11/01/2012,13.75,-0.007246409
10/01/2012,13.85,0.031539101
09/01/2012,13.42,-0.005202539
06/01/2012,13.49,0.00148368
05/01/2012,13.47,0.028616411
04/01/2012,13.09,0.000764234
03/01/2012,13.08,0.027908788
30/12/2011,12.72,-0.014826647
29/12/2011,12.91,0.025893954
28/12/2011,12.58,-0.01342302
27/12/2011,12.75,-0.007034027
23/12/2011,12.84,-0.0062112
22/12/2011,12.92,0.033848174
21/12/2011,12.49,0.024312381
20/12/2011,12.19,0.029132314
19/12/2011,11.84,-0.019239406
16/12/2011,12.07,0.008319516
15/12/2011,11.97,0.014303988
14/12/2011,11.8,-0.009278852
13/12/2011,11.91,-0.026513566
12/12/2011,12.23,-0.022636375
09/12/2011,12.51,0.044124805
08/12/2011,11.97,-0.034486176
07/12/2011,12.39,0.005665738
06/12/2011,12.32,-0.019293203
05/12/2011,12.56,0.03566018
02/12/2011,12.12,0.014125702
01/12/2011,11.95,-0.011647386
30/11/2011,12.09,0.074680765
29/11/2011,11.22,-0.012400513
