Date,Close,AEE
28/10/2010,28.6,0.000699545
27/10/2010,28.58,-0.003492843
26/10/2010,28.68,-0.002785517
25/10/2010,28.76,-0.002430979
22/10/2010,28.83,-0.00380821
21/10/2010,28.94,-0.008258822
20/10/2010,29.18,0.008258822
19/10/2010,28.94,-0.010312914
18/10/2010,29.24,0.012388321
15/10/2010,28.88,0.003816136
14/10/2010,28.77,-0.004508418
13/10/2010,28.9,-0.000345961
12/10/2010,28.91,-0.009295987
11/10/2010,29.18,0
08/10/2010,29.18,0.000685636
07/10/2010,29.16,0.007918788
06/10/2010,28.93,-0.003795071
05/10/2010,29.04,0.013171768
04/10/2010,28.66,-0.004525682
01/10/2010,28.79,0.013638959
30/09/2010,28.4,-0.00140746
29/09/2010,28.44,0.002464356
28/09/2010,28.37,0.004238791
27/09/2010,28.25,0.01031854
24/09/2010,27.96,0.019867007
23/09/2010,27.41,-0.014487758
22/09/2010,27.81,0.009756175
21/09/2010,27.54,-0.002538533
20/09/2010,27.61,0.006905352
17/09/2010,27.42,-0.005092772
16/09/2010,27.56,-0.008670575
15/09/2010,27.8,-0.012511334
14/09/2010,28.15,0.002489775
13/09/2010,28.08,0.010381335
10/09/2010,27.79,0.001800829
09/09/2010,27.74,0.001082056
08/09/2010,27.71,-0.014332026
07/09/2010,28.11,-0.019028058
03/09/2010,28.65,0.00665385
02/09/2010,28.46,-0.014995922
01/09/2010,28.89,0.028794124
31/08/2010,28.07,0.016523364
30/08/2010,27.61,-0.023623146
27/08/2010,28.27,0.018565332
26/08/2010,27.75,-0.006823514
25/08/2010,27.94,-0.003572708
24/08/2010,28.04,0.013644736
23/08/2010,27.66,0.018978672
20/08/2010,27.14,0.001105991
19/08/2010,27.11,-0.017550725
18/08/2010,27.59,-0.013679119
17/08/2010,27.97,-0.004281134
16/08/2010,28.09,0.018322769
13/08/2010,27.58,0.031678524
12/08/2010,26.72,-0.011164984
11/08/2010,27.02,-0.021962815
10/08/2010,27.62,0.011287212
09/08/2010,27.31,0.004035962
06/08/2010,27.2,0.005899722
05/08/2010,27.04,0.033085725
04/08/2010,26.16,0.001913144
03/08/2010,26.11,0.007689388
02/08/2010,25.91,0.021061621
30/07/2010,25.37,-0.016807118
29/07/2010,25.8,-0.015384919
28/07/2010,26.2,0.003058106
27/07/2010,26.12,0.018157733
26/07/2010,25.65,0.014134511
23/07/2010,25.29,0.008737149
22/07/2010,25.07,0.015678713
21/07/2010,24.68,-0.013682306
20/07/2010,25.02,-0.004784698
19/07/2010,25.14,0.02171376
16/07/2010,24.6,-0.019324273
15/07/2010,25.08,0.00159617
14/07/2010,25.04,-0.001197366
13/07/2010,25.07,0.005600015
12/07/2010,24.93,0.001204094
09/07/2010,24.9,0.00402415
08/07/2010,24.8,0.00444535
07/07/2010,24.69,0.03001253
06/07/2010,23.96,0.011754963
02/07/2010,23.68,0.003807917
01/07/2010,23.59,-0.007601388
30/06/2010,23.77,-0.006708621
29/06/2010,23.93,-0.021497314
28/06/2010,24.45,0.007801312
25/06/2010,24.26,0.001650165
24/06/2010,24.22,-0.004120319
23/06/2010,24.32,-0.013072082
22/06/2010,24.64,-0.027223459
21/06/2010,25.32,-0.008651253
18/06/2010,25.54,-0.000782779
17/06/2010,25.56,0.013391299
16/06/2010,25.22,0.013975073
15/06/2010,24.87,0.028963885
14/06/2010,24.16,0.001657001
11/06/2010,24.12,-0.005375246
10/06/2010,24.25,0.018731037
09/06/2010,23.8,-0.007951496
08/06/2010,23.99,0.004177116
07/06/2010,23.89,-0.008336855
04/06/2010,24.09,-0.031463269
03/06/2010,24.86,0.012140983
02/06/2010,24.56,0.024316055
01/06/2010,23.97,-0.028379449
28/05/2010,24.66,0.010189613
27/05/2010,24.41,0.020696103
26/05/2010,23.91,0.007135392
25/05/2010,23.74,-0.009224384
24/05/2010,23.96,-0.007484442
21/05/2010,24.14,0
20/05/2010,24.14,-0.022933028
19/05/2010,24.7,-0.013271862
18/05/2010,25.03,-0.005180326
17/05/2010,25.16,0.002786071
14/05/2010,25.09,-0.007148561
13/05/2010,25.27,-0.009060531
12/05/2010,25.5,0.010248414
11/05/2010,25.24,0.001586043
10/05/2010,25.2,0.040491361
07/05/2010,24.2,-0.018829865
06/05/2010,24.66,-0.033103721
05/05/2010,25.49,-0.005867414
04/05/2010,25.64,-0.005057393
03/05/2010,25.77,-0.007345867
30/04/2010,25.96,-0.015290818
29/04/2010,26.36,-0.004164307
28/04/2010,26.47,0.01178049
27/04/2010,26.16,-0.019682694
26/04/2010,26.68,-0.005233657
23/04/2010,26.82,0.006734032
22/04/2010,26.64,-0.010084119
21/04/2010,26.91,0.007834399
20/04/2010,26.7,0.015094626
19/04/2010,26.3,-0.001899336
16/04/2010,26.35,-0.011320876
15/04/2010,26.65,0
14/04/2010,26.65,0.002253945
13/04/2010,26.59,-0.005251325
12/04/2010,26.73,0.00826451
09/04/2010,26.51,0.009094417
08/04/2010,26.27,-0.007206555
07/04/2010,26.46,-0.007154992
06/04/2010,26.65,0.00639942
05/04/2010,26.48,0.001133573
01/04/2010,26.45,0.014087421
31/03/2010,26.08,-0.000383362
30/03/2010,26.09,0.0061515
29/03/2010,25.93,0.011637059
26/03/2010,25.63,0.01335448
25/03/2010,25.29,-0.008269391
24/03/2010,25.5,-0.014792017
23/03/2010,25.88,0.002321084
22/03/2010,25.82,-0.008484432
19/03/2010,26.04,0.001537279
18/03/2010,26,0.012773543
17/03/2010,25.67,0.006644543
16/03/2010,25.5,0.000392234
15/03/2010,25.49,-0.000784314
12/03/2010,25.51,-0.009752369
11/03/2010,25.76,0.007403112
10/03/2010,25.57,0
09/03/2010,25.57,0.002741337
08/03/2010,25.5,-0.017107727
05/03/2010,25.94,0.013584529
04/03/2010,25.59,0.006272071
03/03/2010,25.43,0.003940115
02/03/2010,25.33,0.011514918
01/03/2010,25.04,0.013266526
26/02/2010,24.71,-0.014463892
25/02/2010,25.07,-0.002788291
24/02/2010,25.14,-0.005948858
23/02/2010,25.29,-0.004733737
22/02/2010,25.41,-0.009400774
19/02/2010,25.65,0.00038994
18/02/2010,25.64,0.009404458
17/02/2010,25.4,0.012279814
16/02/2010,25.09,0.021350257
12/02/2010,24.56,-0.002846109
11/02/2010,24.63,0.008972328
10/02/2010,24.41,-0.008972328
09/02/2010,24.63,0.008562743
08/02/2010,24.42,-0.017857617
05/02/2010,24.86,-0.004815419
04/02/2010,24.98,-0.024907396
03/02/2010,25.61,-0.006228124
02/02/2010,25.77,0.010924806
01/02/2010,25.49,-0.002351098
29/01/2010,25.55,-0.00702031
28/01/2010,25.73,-0.010054222
27/01/2010,25.99,0.000384837
26/01/2010,25.98,0.002698017
25/01/2010,25.91,0.005029997
22/01/2010,25.78,-0.028300168
21/01/2010,26.52,-0.024214258
20/01/2010,27.17,-0.018957914
19/01/2010,27.69,0.012720506
15/01/2010,27.34,-0.005107636
14/01/2010,27.48,0.003645647
13/01/2010,27.38,0.006595847
12/01/2010,27.2,-0.001102333
11/01/2010,27.23,0.008112139
08/01/2010,27.01,-0.007009805
07/01/2010,27.2,-0.009513427
06/01/2010,27.46,-0.006895328
05/01/2010,27.65,-0.003970408
