Date,Close,XYL
27/11/2012,25.63,-0.008933833
26/11/2012,25.86,0.013234915
23/11/2012,25.52,0.007078284
21/11/2012,25.34,0.008719833
20/11/2012,25.12,0.011209085
19/11/2012,24.84,0.026515932
16/11/2012,24.19,0.006636275
15/11/2012,24.03,-0.000831947
14/11/2012,24.05,-0.019761862
13/11/2012,24.53,-0.00933259
12/11/2012,24.76,0.002021428
09/11/2012,24.71,-0.008462674
08/11/2012,24.92,-0.015528881
07/11/2012,25.31,-0.028818194
06/11/2012,26.05,0.00192123
05/11/2012,26,0.014332998
02/11/2012,25.63,0.009014366
01/11/2012,25.4,0.045920271
31/10/2012,24.26,0.02800601
26/10/2012,23.59,-0.005074007
25/10/2012,23.71,0.011452935
24/10/2012,23.44,-0.031908668
23/10/2012,24.2,-0.00371211
22/10/2012,24.29,0.002886005
19/10/2012,24.22,-0.017192401
18/10/2012,24.64,-0.017699577
17/10/2012,25.08,-0.011496658
16/10/2012,25.37,0.025550292
15/10/2012,24.73,0.004864217
12/10/2012,24.61,0.011853807
11/10/2012,24.32,-0.009820046
10/10/2012,24.56,-0.009321243
09/10/2012,24.79,-0.012825827
08/10/2012,25.11,-0.00119403
05/10/2012,25.14,-0.000397693
04/10/2012,25.15,0.005182392
03/10/2012,25.02,-0.009150651
02/10/2012,25.25,0.000396118
01/10/2012,25.24,0.003572141
28/09/2012,25.15,-0.005946499
27/09/2012,25.3,0.012728891
26/09/2012,24.98,-0.017067293
25/09/2012,25.41,-0.003535655
24/09/2012,25.5,0.002355714
21/09/2012,25.44,-0.006269613
20/09/2012,25.6,-0.01473466
19/09/2012,25.98,0.01044699
18/09/2012,25.71,0.014495846
17/09/2012,25.34,-0.009035614
14/09/2012,25.57,0.00824666
13/09/2012,25.36,0.014297305
12/09/2012,25,-0.015085637
11/09/2012,25.38,0.032028358
10/09/2012,24.58,-0.020934742
07/09/2012,25.1,0.005192742
06/09/2012,24.97,0.036708852
05/09/2012,24.07,0.002912421
04/09/2012,24,-0.012010913
31/08/2012,24.29,0.008267926
30/08/2012,24.09,0.003326406
29/08/2012,24.01,-0.001664586
28/08/2012,24.05,-0.003735219
27/08/2012,24.14,-0.014802902
24/08/2012,24.5,-0.005292095
23/08/2012,24.63,-0.015710293
22/08/2012,25.02,-0.007168489
21/08/2012,25.2,-0.003565066
20/08/2012,25.29,0.005948858
17/08/2012,25.14,0.007987263
16/08/2012,24.94,0.026408197
15/08/2012,24.29,0.009514032
14/08/2012,24.06,-0.018530487
13/08/2012,24.51,0.002042067
10/08/2012,24.46,-0.000408747
09/08/2012,24.47,0.013163497
08/08/2012,24.15,-0.003719781
07/08/2012,24.24,0.004548282
06/08/2012,24.13,0.00415283
03/08/2012,24.03,0.019328333
02/08/2012,23.57,-0.013903742
01/08/2012,23.9,-0.003341691
31/07/2012,23.98,-0.009132484
30/07/2012,24.2,0
27/07/2012,24.2,0.019612563
26/07/2012,23.73,-0.007556711
25/07/2012,23.91,0.013473888
24/07/2012,23.59,-0.012218395
23/07/2012,23.88,0.003775964
20/07/2012,23.79,-0.013776048
19/07/2012,24.12,0.00790847
18/07/2012,23.93,0.011769787
17/07/2012,23.65,0.020936462
16/07/2012,23.16,-0.0064558
13/07/2012,23.31,0.005592615
12/07/2012,23.18,-0.031843064
11/07/2012,23.93,-0.017809541
10/07/2012,24.36,-0.025933382
09/07/2012,25,-0.00796817
06/07/2012,25.2,-0.013010237
05/07/2012,25.53,-0.005858248
03/07/2012,25.68,0.025237933
02/07/2012,25.04,-0.005178263
29/06/2012,25.17,0.023312953
28/06/2012,24.59,0.012275113
27/06/2012,24.29,0.015349814
26/06/2012,23.92,0.013044578
25/06/2012,23.61,-0.017216466
22/06/2012,24.02,-0.01076615
21/06/2012,24.28,-0.017959666
20/06/2012,24.72,-0.014458083
19/06/2012,25.08,-0.001991636
18/06/2012,25.13,-0.007532246
15/06/2012,25.32,0.012718772
14/06/2012,25,-0.006776984
13/06/2012,25.17,-0.016157987
12/06/2012,25.58,0.002740264
11/06/2012,25.51,-0.015944339
08/06/2012,25.92,0.006968669
07/06/2012,25.74,0.009759984
06/06/2012,25.49,0.036353114
05/06/2012,24.58,0.002851907
04/06/2012,24.51,0.00122474
01/06/2012,24.48,-0.034133006
31/05/2012,25.33,-0.004726279
30/05/2012,25.45,-0.017141051
29/05/2012,25.89,0.009313222
25/05/2012,25.65,-0.018923137
24/05/2012,26.14,0.013479888
23/05/2012,25.79,0.00778517
22/05/2012,25.59,0.009817475
21/05/2012,25.34,0.026796244
18/05/2012,24.67,0.010185462
17/05/2012,24.42,-0.038164905
16/05/2012,25.37,0.006326632
15/05/2012,25.21,-0.008688838
14/05/2012,25.43,-0.02332014
11/05/2012,26.03,-0.004216989
10/05/2012,26.14,0.000382629
09/05/2012,26.13,-0.00876363
08/05/2012,26.36,0.005706692
07/05/2012,26.21,-0.009115141
04/05/2012,26.45,-0.031630544
03/05/2012,27.3,-0.016709433
02/05/2012,27.76,0.003608809
01/05/2012,27.66,-0.00792226
30/04/2012,27.88,-0.017775086
27/04/2012,28.38,0.009915095
26/04/2012,28.1,0.014337163
25/04/2012,27.7,0.021898685
24/04/2012,27.1,0.007779258
23/04/2012,26.89,-0.017327622
20/04/2012,27.36,0.009548365
19/04/2012,27.1,-0.020092
18/04/2012,27.65,0.016408755
17/04/2012,27.2,0.011090687
16/04/2012,26.9,0.002605622
13/04/2012,26.83,-0.01809837
12/04/2012,27.32,0.011782169
11/04/2012,27,0.002224695
10/04/2012,26.94,-0.015469922
09/04/2012,27.36,-0.022050414
05/04/2012,27.97,0.006096487
04/04/2012,27.8,-0.016057437
03/04/2012,28.25,-0.002474811
02/04/2012,28.32,0.020332429
30/03/2012,27.75,0.003248514
29/03/2012,27.66,-0.010787591
28/03/2012,27.96,-0.001072386
27/03/2012,27.99,0.005014337
26/03/2012,27.85,0.023615993
23/03/2012,27.2,-0.000735024
22/03/2012,27.22,-0.004033003
21/03/2012,27.33,0.000732064
20/03/2012,27.31,-0.022806418
19/03/2012,27.94,-0.008907951
16/03/2012,28.19,-0.018974568
