Date,Close,TYC
08/12/2011,46.06,-0.025719377
07/12/2011,47.26,0
06/12/2011,47.26,0.002754531
05/12/2011,47.13,-0.007398829
02/12/2011,47.48,0.001475393
01/12/2011,47.41,-0.011534153
30/11/2011,47.96,0.042160811
29/11/2011,45.98,-0.004340285
28/11/2011,46.18,0.040885155
25/11/2011,44.33,-0.003378001
23/11/2011,44.48,-0.021353124
22/11/2011,45.44,-0.016587024
21/11/2011,46.2,-0.010978476
18/11/2011,46.71,0.009464472
17/11/2011,46.27,-0.01544101
16/11/2011,46.99,0.025869086
15/11/2011,45.79,-0.005879168
14/11/2011,46.06,-0.001301801
11/11/2011,46.12,0.033737077
10/11/2011,44.59,-0.003358337
09/11/2011,44.74,-0.048002234
08/11/2011,46.94,0.010063247
07/11/2011,46.47,0.024396767
04/11/2011,45.35,-0.002422642
03/11/2011,45.46,0.010837218
02/11/2011,44.97,0.015236683
01/11/2011,44.29,-0.028051706
31/10/2011,45.55,-0.032400242
28/10/2011,47.05,0.012403923
27/10/2011,46.47,0.03905718
26/10/2011,44.69,-0.009797451
25/10/2011,45.13,-0.005524266
24/10/2011,45.38,0.014203523
21/10/2011,44.74,0.021690864
20/10/2011,43.78,0.005037794
19/10/2011,43.56,-0.026281531
18/10/2011,44.72,0.029270382
17/10/2011,43.43,-0.02591054
14/10/2011,44.57,0.011962675
13/10/2011,44.04,-0.006337731
12/10/2011,44.32,0.010205327
11/10/2011,43.87,0.013540081
10/10/2011,43.28,0.021014082
07/10/2011,42.38,0.008292904
06/10/2011,42.03,0.023105721
05/10/2011,41.07,0.017190993
04/10/2011,40.37,0.028135491
03/10/2011,39.25,-0.037504395
30/09/2011,40.75,-0.035675029
29/09/2011,42.23,0.019849988
28/09/2011,41.4,-0.027868899
27/09/2011,42.57,-0.00911967
26/09/2011,42.96,-0.000465441
23/09/2011,42.98,-0.000232639
22/09/2011,42.99,-0.022312599
21/09/2011,43.96,-0.024492855
20/09/2011,45.05,0.006681539
19/09/2011,44.75,0.023743343
16/09/2011,43.7,0.030671549
15/09/2011,42.38,0.024845999
14/09/2011,41.34,0.00169471
13/09/2011,41.27,0.024280776
12/09/2011,40.28,0.015007785
09/09/2011,39.68,-0.015504187
08/09/2011,40.3,-0.010613453
07/09/2011,40.73,0.023098009
06/09/2011,39.8,0.001760342
02/09/2011,39.73,-0.038998032
01/09/2011,41.31,-0.006514681
31/08/2011,41.58,0.008453136
30/08/2011,41.23,-0.004356251
29/08/2011,41.41,0.025435463
26/08/2011,40.37,0.014220023
25/08/2011,39.8,-0.008506431
24/08/2011,40.14,0.010518504
23/08/2011,39.72,0.044005556
22/08/2011,38.01,0.004746844
19/08/2011,37.83,-0.02247873
18/08/2011,38.69,-0.073239892
17/08/2011,41.63,0.006506831
16/08/2011,41.36,-0.001208167
15/08/2011,41.41,0.020247063
12/08/2011,40.58,-0.000492732
11/08/2011,40.6,0.063028988
10/08/2011,38.12,-0.048140375
09/08/2011,40,0.056305836
08/08/2011,37.81,-0.090224054
05/08/2011,41.38,-0.005783149
04/08/2011,41.62,-0.050139337
03/08/2011,43.76,0.023818908
02/08/2011,42.73,-0.039463712
01/08/2011,44.45,0.003606044
29/07/2011,44.29,-0.010779354
28/07/2011,44.77,0.000670316
27/07/2011,44.74,-0.041376155
26/07/2011,46.63,-0.017432414
25/07/2011,47.45,0.001476326
22/07/2011,47.38,-0.002529512
21/07/2011,47.5,0.001474771
20/07/2011,47.43,-0.000632311
19/07/2011,47.46,0.013149712
18/07/2011,46.84,-0.013781624
15/07/2011,47.49,-0.011514835
14/07/2011,48.04,-0.005811556
13/07/2011,48.32,-0.006600684
12/07/2011,48.64,-0.005944468
11/07/2011,48.93,-0.016418733
08/07/2011,49.74,-0.007011949
07/07/2011,50.09,0.007816454
06/07/2011,49.7,0.000201227
05/07/2011,49.69,0.002216179
01/07/2011,49.58,0.003029999
30/06/2011,49.43,0.010166822
29/06/2011,48.93,0.006150081
28/06/2011,48.63,0.029211341
27/06/2011,47.23,0.013214174
24/06/2011,46.61,-0.002785219
23/06/2011,46.74,-0.007884964
22/06/2011,47.11,-0.009086169
21/06/2011,47.54,0.011211117
20/06/2011,47.01,0.011123109
17/06/2011,46.49,0.001506835
16/06/2011,46.42,-0.00408471
15/06/2011,46.61,-0.021437731
14/06/2011,47.62,0.020365574
13/06/2011,46.66,0.003865154
10/06/2011,46.48,-0.00728835
09/06/2011,46.82,-0.009565383
08/06/2011,47.27,-0.002113272
07/06/2011,47.37,0.007841515
06/06/2011,47,-0.000850702
03/06/2011,47.04,-0.022491752
02/06/2011,48.11,0.017825784
01/06/2011,47.26,-0.043273494
31/05/2011,49.35,0.014697141
27/05/2011,48.63,0.008052072
26/05/2011,48.24,0.006029751
25/05/2011,47.95,-0.003331254
24/05/2011,48.11,-0.005596449
23/05/2011,48.38,-0.017619796
20/05/2011,49.24,-0.014916624
19/05/2011,49.98,0.002203306
18/05/2011,49.87,0.008255357
17/05/2011,49.46,-0.014252976
16/05/2011,50.17,-0.012085338
13/05/2011,50.78,0.025529907
12/05/2011,49.5,-0.003831036
11/05/2011,49.69,-0.012598907
10/05/2011,50.32,0.01179424
09/05/2011,49.73,0.019698068
06/05/2011,48.76,-0.001434573
05/05/2011,48.83,0.00307661
04/05/2011,48.68,0.000205444
03/05/2011,48.67,-0.002667489
02/05/2011,48.8,0.001230265
29/04/2011,48.74,0.006793644
28/04/2011,48.41,-0.009457307
27/04/2011,48.87,-0.00611997
26/04/2011,49.17,0.008988825
25/04/2011,48.73,-0.007971427
21/04/2011,49.12,0.003262646
20/04/2011,48.96,-0.041606001
19/04/2011,51.04,-0.006055297
18/04/2011,51.35,-0.006792845
15/04/2011,51.7,-0.004631425
14/04/2011,51.94,-0.001346802
13/04/2011,52.01,-0.006133813
12/04/2011,52.33,0.071480197
11/04/2011,48.72,0.032755614
08/04/2011,47.15,0.00063647
07/04/2011,47.12,-0.002755115
06/04/2011,47.25,0.002118645
05/04/2011,47.15,0.021003773
04/04/2011,46.17,0.020127566
01/04/2011,45.25,0.010664398
31/03/2011,44.77,-0.002676781
30/03/2011,44.89,0.003347097
29/03/2011,44.74,0.006502994
28/03/2011,44.45,-0.007619938
25/03/2011,44.79,0.000223289
24/03/2011,44.78,0.01439521
23/03/2011,44.14,-0.006323418
