Date,Close,DO
25/08/2011,59.78,-0.002506058
24/08/2011,59.93,-0.003996675
23/08/2011,60.17,0.02883113
22/08/2011,58.46,-0.001196684
19/08/2011,58.53,-0.004772465
18/08/2011,58.81,-0.057649517
17/08/2011,62.3,-0.000160501
16/08/2011,62.31,-0.0110128
15/08/2011,63,0.019069563
12/08/2011,61.81,0.005678607
11/08/2011,61.46,0.046969499
10/08/2011,58.64,-0.029903118
09/08/2011,60.42,0.063898761
08/08/2011,56.68,-0.093576465
05/08/2011,62.24,0.026373008
04/08/2011,60.62,-0.079103252
03/08/2011,65.61,-0.000304785
02/08/2011,65.63,-0.024681464
01/08/2011,67.27,-0.008290203
29/07/2011,67.83,0.000147438
28/07/2011,67.82,-0.020432702
27/07/2011,69.22,-0.008344172
26/07/2011,69.8,-0.002861232
25/07/2011,70,-0.011222506
22/07/2011,70.79,0.008226997
21/07/2011,70.21,-0.035263203
20/07/2011,72.73,0.005791522
19/07/2011,72.31,0.030041563
18/07/2011,70.17,-0.004124304
15/07/2011,70.46,0.034508585
14/07/2011,68.07,-0.020358417
13/07/2011,69.47,0.0075134
12/07/2011,68.95,0.000145043
11/07/2011,68.94,-0.025350445
08/07/2011,70.71,-0.002401301
07/07/2011,70.88,0.003533323
06/07/2011,70.63,-0.012522147
05/07/2011,71.52,0.016636504
01/07/2011,70.34,-0.000994671
30/06/2011,70.41,0.014304349
29/06/2011,69.41,0.019053736
28/06/2011,68.1,0.008997774
27/06/2011,67.49,-0.003254441
24/06/2011,67.71,-0.00500885
23/06/2011,68.05,-0.00950647
22/06/2011,68.7,0.00994742
21/06/2011,68.02,0.019147153
20/06/2011,66.73,-0.009099787
17/06/2011,67.34,0.005957718
16/06/2011,66.94,0.004341649
15/06/2011,66.65,-0.017696945
14/06/2011,67.84,0.007546089
13/06/2011,67.33,-0.013131874
10/06/2011,68.22,-0.013974027
09/06/2011,69.18,0.01031611
08/06/2011,68.47,-0.005970167
07/06/2011,68.88,-0.00521287
06/06/2011,69.24,-0.033795634
03/06/2011,71.62,-0.003623697
02/06/2011,71.88,-0.000695362
