Date,Close,FOXA
22/12/2011,17.36,-0.002301497
21/12/2011,17.4,0.01272429
20/12/2011,17.18,0.025347658
19/12/2011,16.75,-0.013637923
16/12/2011,16.98,-0.004114023
15/12/2011,17.05,-0.005264709
14/12/2011,17.14,-0.006976772
13/12/2011,17.26,-0.010947963
12/12/2011,17.45,-0.00628394
09/12/2011,17.56,0.023625415
08/12/2011,17.15,-0.031001335
07/12/2011,17.69,-0.009564067
06/12/2011,17.86,0.008434124
05/12/2011,17.71,0.00623055
02/12/2011,17.6,0.002275314
01/12/2011,17.56,0.00685717
30/11/2011,17.44,0.052984729
29/11/2011,16.54,0.002421309
28/11/2011,16.5,0.032648419
25/11/2011,15.97,-0.003750004
23/11/2011,16.03,-0.023428938
22/11/2011,16.41,0.007339482
21/11/2011,16.29,-0.001839927
18/11/2011,16.32,-0.017613574
17/11/2011,16.61,-0.010778547
16/11/2011,16.79,-0.038556178
15/11/2011,17.45,0.02143146
14/11/2011,17.08,-0.005255487
11/11/2011,17.17,0.02059502
10/11/2011,16.82,0.022851265
09/11/2011,16.44,-0.046354109
08/11/2011,17.22,0.015803665
07/11/2011,16.95,0.008888947
04/11/2011,16.8,-0.004750603
03/11/2011,16.88,-0.001184133
02/11/2011,16.9,0.012503884
01/11/2011,16.69,-0.048533348
31/10/2011,17.52,-0.015855372
28/10/2011,17.8,-0.00224467
27/10/2011,17.84,0.055906231
26/10/2011,16.87,-0.000592593
25/10/2011,16.88,-0.030340717
24/10/2011,17.4,0.011560822
21/10/2011,17.2,0.020558727
20/10/2011,16.85,0.008941937
19/10/2011,16.7,-0.019567775
18/10/2011,17.03,0.008847006
17/10/2011,16.88,-0.017616427
14/10/2011,17.18,0.003498546
13/10/2011,17.12,0.001753874
12/10/2011,17.09,0.01651955
11/10/2011,16.81,-0.007113249
10/10/2011,16.93,0.040994287
07/10/2011,16.25,0.017380947
06/10/2011,15.97,-0.000625978
05/10/2011,15.98,0.027920595
04/10/2011,15.54,0.034700699
03/10/2011,15.01,-0.030832223
30/09/2011,15.48,-0.028655256
29/09/2011,15.93,0.000627944
28/09/2011,15.92,-0.034571344
27/09/2011,16.48,0.008531435
26/09/2011,16.34,0.014175892
23/09/2011,16.11,0.032169283
22/09/2011,15.6,-0.033409978
21/09/2011,16.13,-0.041887762
20/09/2011,16.82,-0.004153076
19/09/2011,16.89,-0.0041359
16/09/2011,16.96,0.034796552
15/09/2011,16.38,0.011049836
14/09/2011,16.2,0.000617475
13/09/2011,16.19,0.000617856
12/09/2011,16.18,0.009313945
09/09/2011,16.03,-0.017929383
08/09/2011,16.32,-0.019418086
07/09/2011,16.64,0.018805528
06/09/2011,16.33,0.003680986
02/09/2011,16.27,-0.032651026
01/09/2011,16.81,-0.026996945
31/08/2011,17.27,0.008723521
30/08/2011,17.12,-0.012191733
29/08/2011,17.33,0.026902207
26/08/2011,16.87,0.020965128
25/08/2011,16.52,-0.019185241
24/08/2011,16.84,0.028306617
23/08/2011,16.37,0.053965414
22/08/2011,15.51,-0.003218542
19/08/2011,15.56,-0.039690249
18/08/2011,16.19,-0.050582727
17/08/2011,17.03,-0.006438418
16/08/2011,17.14,0.01350975
15/08/2011,16.91,0.041043781
12/08/2011,16.23,0.002467614
11/08/2011,16.19,0.166268274
10/08/2011,13.71,-0.0594655
09/08/2011,14.55,0.066051693
08/08/2011,13.62,-0.074265291
05/08/2011,14.67,0.007526549
04/08/2011,14.56,-0.069633692
03/08/2011,15.61,0.020712715
02/08/2011,15.29,-0.051620252
01/08/2011,16.1,0.00498133
29/07/2011,16.02,-0.005602256
28/07/2011,16.11,0.006851475
27/07/2011,16,-0.009950331
26/07/2011,16.16,-0.003705996
25/07/2011,16.22,-0.012255055
22/07/2011,16.42,-0.00364742
21/07/2011,16.48,0.033943401
20/07/2011,15.93,0.008827296
19/07/2011,15.79,0.05332863
18/07/2011,14.97,-0.043783537
15/07/2011,15.64,0.012870191
14/07/2011,15.44,-0.031242579
13/07/2011,15.93,0.03708865
12/07/2011,15.35,-0.008433394
11/07/2011,15.48,-0.07884939
08/07/2011,16.75,-0.039794601
07/07/2011,17.43,-0.002292265
06/07/2011,17.47,-0.037082901
05/07/2011,18.13,0.003868477
01/07/2011,18.06,0.020134908
30/06/2011,17.7,0.017669311
29/06/2011,17.39,0.012149412
28/06/2011,17.18,0.015249562
27/06/2011,16.92,0.010695289
24/06/2011,16.74,0.007194276
23/06/2011,16.62,-0.005998818
22/06/2011,16.72,0.004195391
21/06/2011,16.65,0.028016449
20/06/2011,16.19,0.008684918
17/06/2011,16.05,-0.00124533
16/06/2011,16.07,-0.009907202
15/06/2011,16.23,-0.009199697
14/06/2011,16.38,0.00796817
13/06/2011,16.25,-0.00796817
10/06/2011,16.38,-0.025317808
09/06/2011,16.8,0.00776819
08/06/2011,16.67,-0.003592818
07/06/2011,16.73,-0.016597891
06/06/2011,17.01,-0.00994451
03/06/2011,17.18,-0.023015976
02/06/2011,17.58,-0.003973891
01/06/2011,17.65,-0.038348683
31/05/2011,18.34,0.019824438
27/05/2011,17.98,0.019090978
26/05/2011,17.64,0.026423134
25/05/2011,17.18,0.007595713
24/05/2011,17.05,-0.002343293
23/05/2011,17.09,-0.022563873
20/05/2011,17.48,-0.012507269
19/05/2011,17.7,0.010792493
18/05/2011,17.51,0.016120096
17/05/2011,17.23,0.000580552
16/05/2011,17.22,-0.01326815
13/05/2011,17.45,-0.004003437
12/05/2011,17.52,0.001142205
11/05/2011,17.5,-0.016435621
10/05/2011,17.79,0.018723951
09/05/2011,17.46,-0.002859596
06/05/2011,17.51,0.00917964
05/05/2011,17.35,0.000576535
04/05/2011,17.34,-0.010327114
03/05/2011,17.52,-0.018100042
02/05/2011,17.84,0.001121705
29/04/2011,17.82,-0.012270093
28/04/2011,18.04,0.016205999
27/04/2011,17.75,0.001691571
26/04/2011,17.72,0.014781395
25/04/2011,17.46,-0.00114482
21/04/2011,17.48,0.010929071
20/04/2011,17.29,0.024591403
19/04/2011,16.87,-0.006499284
18/04/2011,16.98,-0.024434025
15/04/2011,17.4,0.024434025
14/04/2011,16.98,-0.012873203
13/04/2011,17.2,0.005246296
12/04/2011,17.11,-0.008728598
11/04/2011,17.26,0.005228011
08/04/2011,17.17,-0.006964625
07/04/2011,17.29,-0.015495289
06/04/2011,17.56,-0.011888054
05/04/2011,17.77,-0.01397061
04/04/2011,18.02,0.003335189
01/04/2011,17.96,0.021385171
31/03/2011,17.58,0.003989746
30/03/2011,17.51,0.014380461
29/03/2011,17.26,0.009898189
