Date,Close,GMCR
19/06/2013,81.78,0.030794586
18/06/2013,79.3,-0.001386176
17/06/2013,79.41,0.013055512
14/06/2013,78.38,-0.000255135
13/06/2013,78.4,0.021531161
12/06/2013,76.73,0.004964735
11/06/2013,76.35,-0.021252582
10/06/2013,77.99,0.024663763
07/06/2013,76.09,0.018704532
06/06/2013,74.68,0.026183413
05/06/2013,72.75,-0.012973893
04/06/2013,73.7,0.005305774
03/06/2013,73.31,0.002458346
31/05/2013,73.13,-0.00776412
30/05/2013,73.7,-0.007434978
29/05/2013,74.25,0.016978337
28/05/2013,73,0.015183176
24/05/2013,71.9,-0.014223812
23/05/2013,72.93,-0.044517338
22/05/2013,76.25,-0.048134211
21/05/2013,80.01,-0.002621233
20/05/2013,80.22,0.007633147
17/05/2013,79.61,0.001382691
16/05/2013,79.5,-0.001005783
15/05/2013,79.58,0.015066437
14/05/2013,78.39,0.012968019
13/05/2013,77.38,0.002069858
10/05/2013,77.22,0.015398973
09/05/2013,76.04,0.245619396
08/05/2013,59.48,0.015588252
07/05/2013,58.56,-0.003749791
06/05/2013,58.78,0.01198029
03/05/2013,58.08,0.012648527
02/05/2013,57.35,0.004543874
01/05/2013,57.09,-0.005415333
30/04/2013,57.4,0.01633478
29/04/2013,56.47,0.016246006
26/04/2013,55.56,-0.017661685
25/04/2013,56.55,-0.00634587
24/04/2013,56.91,0.012732267
23/04/2013,56.19,0.019226178
22/04/2013,55.12,0.00199764
19/04/2013,55.01,0.0100485
18/04/2013,54.46,-0.017834868
17/04/2013,55.44,-0.027398974
16/04/2013,56.98,0.041568149
15/04/2013,54.66,-0.049608744
12/04/2013,57.44,-0.013488014
11/04/2013,58.22,0.019249706
10/04/2013,57.11,0.032929913
09/04/2013,55.26,0.007994229
08/04/2013,54.82,0.029432944
05/04/2013,53.23,-0.032165435
04/04/2013,54.97,0.015214298
03/04/2013,54.14,-0.06212288
02/04/2013,57.61,0.002433091
01/04/2013,57.47,0.01243122
28/03/2013,56.76,0.015625318
27/03/2013,55.88,0.000895175
26/03/2013,55.83,0.003768511
25/03/2013,55.62,0.003421885
22/03/2013,55.43,-0.002882366
21/03/2013,55.59,-0.004666197
20/03/2013,55.85,-0.00606928
19/03/2013,56.19,0.020315305
18/03/2013,55.06,0.015373656
15/03/2013,54.22,0.010195658
14/03/2013,53.67,-0.01736283
13/03/2013,54.61,0.000183133
12/03/2013,54.6,0.011235039
11/03/2013,53.99,0.020962774
08/03/2013,52.87,0.025089892
07/03/2013,51.56,0.047259141
06/03/2013,49.18,0.015780633
05/03/2013,48.41,0.01017345
04/03/2013,47.92,-0.020448921
01/03/2013,48.91,0.024002808
28/02/2013,47.75,0.020523306
27/02/2013,46.78,0.029943656
26/02/2013,45.4,0.031095224
25/02/2013,44.01,-0.033954569
22/02/2013,45.53,-0.007439859
21/02/2013,45.87,0.002400962
20/02/2013,45.76,0.009000171
19/02/2013,45.35,0.021395958
15/02/2013,44.39,-0.02601592
14/02/2013,45.56,0.027594096
13/02/2013,44.32,0.015003691
12/02/2013,43.66,0.012445425
11/02/2013,43.12,-0.046224813
08/02/2013,45.16,-0.025362094
07/02/2013,46.32,-0.055021225
06/02/2013,48.94,0.029865347
05/02/2013,47.5,0.016985546
04/02/2013,46.7,-0.004699859
01/02/2013,46.92,0.030072574
31/01/2013,45.53,0.021534854
30/01/2013,44.56,0.029145961
