Date,Close,FE
08/06/2012,47.86,0.004817268
07/06/2012,47.63,-0.003144327
06/06/2012,47.78,0.01475886
05/06/2012,47.08,0.005965079
04/06/2012,46.8,0.00621586
01/06/2012,46.51,-0.006002162
31/05/2012,46.79,0.009448213
30/05/2012,46.35,-0.009875563
29/05/2012,46.81,-0.000854153
25/05/2012,46.85,-0.006807089
24/05/2012,47.17,0.008729961
23/05/2012,46.76,-0.019903261
22/05/2012,47.7,0.000209666
21/05/2012,47.69,-0.002303907
18/05/2012,47.8,0.00188462
17/05/2012,47.71,-0.002093803
16/05/2012,47.81,-0.001254181
15/05/2012,47.87,-0.000835247
14/05/2012,47.91,0.002089428
11/05/2012,47.81,0.004402061
10/05/2012,47.6,0.010347469
09/05/2012,47.11,0.001486989
08/05/2012,47.04,0.001276324
07/05/2012,46.98,0.000212879
04/05/2012,46.97,0.003625897
03/05/2012,46.8,-0.007662873
02/05/2012,47.16,-0.00486516
01/05/2012,47.39,0.012100774
30/04/2012,46.82,-0.004049883
27/04/2012,47.01,0.005546089
26/04/2012,46.75,0.006222528
25/04/2012,46.46,0.011473229
24/04/2012,45.93,0.007210782
23/04/2012,45.6,-0.003284075
20/04/2012,45.75,0.007239255
19/04/2012,45.42,-0.00745781
18/04/2012,45.76,-0.000873744
17/04/2012,45.8,0.008331554
16/04/2012,45.42,0.01062427
13/04/2012,44.94,-0.00576882
12/04/2012,45.2,0.003990251
11/04/2012,45.02,0.002223706
10/04/2012,44.92,-0.015024587
09/04/2012,45.6,-0.007863736
05/04/2012,45.96,-0.002173441
04/04/2012,46.06,0.005879168
03/04/2012,45.79,-0.000218364
02/04/2012,45.8,0.004595697
30/03/2012,45.59,0.002415725
29/03/2012,45.48,0.007947062
28/03/2012,45.12,-0.003981425
27/03/2012,45.3,0.005312097
26/03/2012,45.06,0.007574106
23/03/2012,44.72,0.00223864
22/03/2012,44.62,0.011042366
21/03/2012,44.13,-0.001584966
20/03/2012,44.2,0.00249179
19/03/2012,44.09,-0.00925619
16/03/2012,44.5,0.001799371
15/03/2012,44.42,-0.001574626
14/03/2012,44.49,-0.010953502
13/03/2012,44.98,-0.003107661
12/03/2012,45.12,0.009128417
09/03/2012,44.71,0.005607282
08/03/2012,44.46,-0.004264399
07/03/2012,44.65,-0.001342883
06/03/2012,44.71,0
05/03/2012,44.71,0.00515754
02/03/2012,44.48,0.003152446
01/03/2012,44.34,0.001128286
29/02/2012,44.29,0.010896816
28/02/2012,43.81,-0.000456413
27/02/2012,43.83,-0.005460764
24/02/2012,44.07,0.001589645
23/02/2012,44,0.005698021
22/02/2012,43.75,0.008032172
21/02/2012,43.4,0.000460936
17/02/2012,43.38,-0.00345185
16/02/2012,43.53,0.017847269
15/02/2012,42.76,-0.009311054
14/02/2012,43.16,0.003016594
13/02/2012,43.03,0.008870273
10/02/2012,42.65,-0.000468823
09/02/2012,42.67,-0.006307695
08/02/2012,42.94,-0.0069622
07/02/2012,43.24,-0.000231241
06/02/2012,43.25,-0.006453122
03/02/2012,43.53,-0.009602269
02/02/2012,43.95,0.032372769
01/02/2012,42.55,0.007785813
31/01/2012,42.22,0.001659358
30/01/2012,42.15,-0.002606328
27/01/2012,42.26,-0.010826182
26/01/2012,42.72,0.013907119
25/01/2012,42.13,0.020624232
24/01/2012,41.27,-0.017771841
23/01/2012,42.01,0.011491628
20/01/2012,41.53,0.009435173
19/01/2012,41.14,-0.019974193
18/01/2012,41.97,-0.000476417
17/01/2012,41.99,-0.004277573
13/01/2012,42.17,-0.000711153
12/01/2012,42.2,0.004750603
11/01/2012,42,-0.009006935
10/01/2012,42.38,-0.000471809
09/01/2012,42.4,0.004491202
06/01/2012,42.21,0.00355999
05/01/2012,42.06,-0.003086056
04/01/2012,42.19,-0.014588494
03/01/2012,42.81,-0.034212957
30/12/2011,44.3,-0.018562537
29/12/2011,45.13,0.00823233
28/12/2011,44.76,-0.001562675
27/12/2011,44.83,0.010088641
23/12/2011,44.38,0.00203
22/12/2011,44.29,-0.000451467
21/12/2011,44.31,0.021442427
20/12/2011,43.37,0.020734581
19/12/2011,42.48,-0.02211707
16/12/2011,43.43,-0.020059939
15/12/2011,44.31,0.008840588
14/12/2011,43.92,-0.012894648
13/12/2011,44.49,0.007445043
12/12/2011,44.16,-0.01371887
09/12/2011,44.77,0.008073603
08/12/2011,44.41,-0.017853632
07/12/2011,45.21,0.003767317
06/12/2011,45.04,0.009144705
05/12/2011,44.63,0.007647361
02/12/2011,44.29,-0.008990845
01/12/2011,44.69,0.004934958
30/11/2011,44.47,0.028048812
29/11/2011,43.24,0.011396797
28/11/2011,42.75,0.01912917
25/11/2011,41.94,0.001909308
23/11/2011,41.86,-0.019633984
22/11/2011,42.69,-0.019715355
21/11/2011,43.54,-0.016853052
18/11/2011,44.28,0.009302393
17/11/2011,43.87,-0.020084168
16/11/2011,44.76,-0.016617199
15/11/2011,45.51,0.017511253
14/11/2011,44.72,-0.016191992
11/11/2011,45.45,0.015521376
10/11/2011,44.75,0.000223489
09/11/2011,44.74,-0.02777344
08/11/2011,46,0.007199769
07/11/2011,45.67,0.003509545
04/11/2011,45.51,-0.005478265
03/11/2011,45.76,-0.000218508
02/11/2011,45.77,0.017633254
01/11/2011,44.97,0.000222395
31/10/2011,44.96,-0.00995914
28/10/2011,45.41,-0.004613872
27/10/2011,45.62,0.02149191
26/10/2011,44.65,-0.006028823
25/10/2011,44.92,-0.014585894
24/10/2011,45.58,-0.006124254
21/10/2011,45.86,0.017598342
20/10/2011,45.06,0
19/10/2011,45.06,0.01678455
18/10/2011,44.31,0.00520422
17/10/2011,44.08,-0.004978512
14/10/2011,44.3,0.012264519
13/10/2011,43.76,-0.028830826
12/10/2011,45.04,0.003335931
11/10/2011,44.89,-0.009754012
10/10/2011,45.33,0.023210147
07/10/2011,44.29,0.013639675
06/10/2011,43.69,0.006659802
05/10/2011,43.4,-0.00505632
04/10/2011,43.62,0.000229279
03/10/2011,43.61,-0.029374005
30/09/2011,44.91,-0.011071858
29/09/2011,45.41,0.013524206
28/09/2011,44.8,-0.006674107
27/09/2011,45.1,-0.005307399
26/09/2011,45.34,0.004864038
23/09/2011,45.12,0.014285957
22/09/2011,44.48,-0.018708786
21/09/2011,45.32,-0.015327648
20/09/2011,46.02,0.023970362
19/09/2011,44.93,-0.011066957
16/09/2011,45.43,0.01396454
15/09/2011,44.8,0.015521625
14/09/2011,44.11,0.013006458
13/09/2011,43.54,0.007376705
12/09/2011,43.22,0.011870266
09/09/2011,42.71,-0.029074498
08/09/2011,43.97,0.010746645
07/09/2011,43.5,0.013656039
06/09/2011,42.91,-0.002560225
02/09/2011,43.02,-0.020932334
01/09/2011,43.93,-0.007257913
31/08/2011,44.25,0.009080653
30/08/2011,43.85,0.006176389
29/08/2011,43.58,0.02438862
26/08/2011,42.53,-0.00469154
25/08/2011,42.73,-0.018549106
24/08/2011,43.53,0.023240646
23/08/2011,42.53,0.028137288
22/08/2011,41.35,-0.00962703
19/08/2011,41.75,-0.009297957
18/08/2011,42.14,-0.021597084
17/08/2011,43.06,0.011679647
16/08/2011,42.56,-0.004922077
15/08/2011,42.77,0.034732321
12/08/2011,41.31,-0.012030944
11/08/2011,41.81,0.052036279
10/08/2011,39.69,-0.028317839
09/08/2011,40.83,0.040995493
