Date,Close,EQR
22/06/2012,59.34,-0.002188369
21/06/2012,59.47,-0.02343273
20/06/2012,60.88,-0.015322223
19/06/2012,61.82,-0.001777778
18/06/2012,61.93,0
15/06/2012,61.93,0.000161486
14/06/2012,61.92,0.018911552
13/06/2012,60.76,-0.003450262
12/06/2012,60.97,0.004438242
11/06/2012,60.7,-0.019576482
08/06/2012,61.9,0.013171993
07/06/2012,61.09,-0.01042185
06/06/2012,61.73,0.02144986
05/06/2012,60.42,0.022935633
04/06/2012,59.05,-0.009271031
01/06/2012,59.6,-0.024856292
31/05/2012,61.1,0.008712145
30/05/2012,60.57,-0.031846721
29/05/2012,62.53,0.014335431
25/05/2012,61.64,-0.007112865
24/05/2012,62.08,0.001773479
23/05/2012,61.97,0.000161381
22/05/2012,61.96,0.003718979
21/05/2012,61.73,0.022609089
18/05/2012,60.35,-0.001324723
17/05/2012,60.43,-0.021284366
16/05/2012,61.73,-0.009833238
15/05/2012,62.34,-0.006236528
14/05/2012,62.73,-0.009992945
11/05/2012,63.36,0.004270469
10/05/2012,63.09,-0.000633814
09/05/2012,63.13,-0.004583177
08/05/2012,63.42,-0.003934225
07/05/2012,63.67,0.015511549
04/05/2012,62.69,0.003195401
03/05/2012,62.49,-0.001439194
02/05/2012,62.58,0
01/05/2012,62.58,0.018384649
30/04/2012,61.44,-0.00211365
27/04/2012,61.57,-0.001298491
26/04/2012,61.65,-0.016728716
25/04/2012,62.69,0.003835709
24/04/2012,62.45,0.017119281
23/04/2012,61.39,-0.011660051
20/04/2012,62.11,0.008407487
19/04/2012,61.59,0.000324781
18/04/2012,61.57,-0.006314277
17/04/2012,61.96,-0.000806647
16/04/2012,62.01,0.018883843
13/04/2012,60.85,0.005437931
12/04/2012,60.52,0.011633836
11/04/2012,59.82,0.009068072
10/04/2012,59.28,-0.022022912
09/04/2012,60.6,-0.012952062
05/04/2012,61.39,-0.005199037
04/04/2012,61.71,-0.009996858
03/04/2012,62.33,-0.003843079
02/04/2012,62.57,-0.000798786
30/03/2012,62.62,0.020978662
29/03/2012,61.32,0.008680752
28/03/2012,60.79,-0.000164487
27/03/2012,60.8,-0.002464067
26/03/2012,60.95,0.013212414
23/03/2012,60.15,0.01086513
22/03/2012,59.5,-0.014350321
21/03/2012,60.36,-0.007098668
20/03/2012,60.79,-0.003940245
19/03/2012,61.03,0.017521109
16/03/2012,59.97,0.007028141
15/03/2012,59.55,-0.014834842
14/03/2012,60.44,-0.006267545
13/03/2012,60.82,0.021606292
12/03/2012,59.52,0.003534465
09/03/2012,59.31,0.018548988
08/03/2012,58.22,-0.002059026
07/03/2012,58.34,0.001028983
