Date,Close,AN
17/02/2011,34.13,-0.021450098
16/02/2011,34.87,0.047572094
15/02/2011,33.25,-0.011363759
14/02/2011,33.63,-0.009764836
11/02/2011,33.96,0.026556834
10/02/2011,33.07,-0.015006284
09/02/2011,33.57,0.029320523
08/02/2011,32.6,0.028942428
07/02/2011,31.67,0.026557312
04/02/2011,30.84,-0.019586434
03/02/2011,31.45,0.107305526
02/02/2011,28.25,-0.031361455
01/02/2011,29.15,0.015209419
31/01/2011,28.71,0.000348371
28/01/2011,28.7,-0.036604052
27/01/2011,29.77,0.004713813
26/01/2011,29.63,0.006093451
25/01/2011,29.45,0.009210367
24/01/2011,29.18,0.01449801
21/01/2011,28.76,-0.002084058
20/01/2011,28.82,0.010113425
19/01/2011,28.53,0.011634187
18/01/2011,28.2,-0.006714993
14/01/2011,28.39,0.005297558
13/01/2011,28.24,-0.001415428
12/01/2011,28.28,0.003542335
11/01/2011,28.18,-0.006014524
10/01/2011,28.35,0.021030895
07/01/2011,27.76,0.008319816
06/01/2011,27.53,-0.023690986
05/01/2011,28.19,0.005335243
04/01/2011,28.04,-0.015570024
03/01/2011,28.48,0.009880109
31/12/2010,28.2,-0.009177615
30/12/2010,28.46,0.002814921
29/12/2010,28.38,0.012766131
28/12/2010,28.02,-0.001782849
27/12/2010,28.07,-0.001068186
23/12/2010,28.1,0.003565066
22/12/2010,28,0.012940511
21/12/2010,27.64,0.008356089
20/12/2010,27.41,0.008426502
17/12/2010,27.18,-0.008426502
16/12/2010,27.41,0.015071044
15/12/2010,27,0.002595959
14/12/2010,26.93,0.010076592
13/12/2010,26.66,0.006019582
10/12/2010,26.5,0.006056037
09/12/2010,26.34,0.002661093
08/12/2010,26.27,-0.001901503
07/12/2010,26.32,-0.012835208
06/12/2010,26.66,-0.008590156
03/12/2010,26.89,-0.000743494
02/12/2010,26.91,0.015730661
01/12/2010,26.49,0.013683224
30/11/2010,26.13,0.003834361
29/11/2010,26.03,-0.000384098
26/11/2010,26.04,-0.011075156
24/11/2010,26.33,0.013381962
23/11/2010,25.98,-0.00307456
22/11/2010,26.06,-0.002682508
19/11/2010,26.13,0.009227286
18/11/2010,25.89,-0.002700098
17/11/2010,25.96,0.00851069
16/11/2010,25.74,-0.023801507
15/11/2010,26.36,-0.001516301
12/11/2010,26.4,-0.00867439
11/11/2010,26.63,-0.007854912
10/11/2010,26.84,0.021085118
09/11/2010,26.28,-0.009844835
08/11/2010,26.54,0.006046882
05/11/2010,26.38,0.026504336
04/11/2010,25.69,0.028426707
03/11/2010,24.97,0.047989524
02/11/2010,23.8,0.011834458
01/11/2010,23.52,0.012837147
29/10/2010,23.22,0.01169604
28/10/2010,22.95,-0.077525717
27/10/2010,24.8,0.010131799
26/10/2010,24.55,0.014359221
25/10/2010,24.2,0.015827069
22/10/2010,23.82,0.00420699
21/10/2010,23.72,-0.005046268
20/10/2010,23.84,0.01393898
19/10/2010,23.51,-0.016034099
18/10/2010,23.89,0.006298572
15/10/2010,23.74,0.015708241
14/10/2010,23.37,0.012920076
