Date,Close,UA
22/03/2012,97.74,0.000921235
21/03/2012,97.65,0.011017977
20/03/2012,96.58,0.008317786
19/03/2012,95.78,0.015466666
16/03/2012,94.31,-0.018073414
15/03/2012,96.03,-0.015909426
14/03/2012,97.57,-0.00133149
13/03/2012,97.7,0.024347227
12/03/2012,95.35,0.004309219
09/03/2012,94.94,0.022259825
08/03/2012,92.85,0.019906025
07/03/2012,91.02,0.024242264
06/03/2012,88.84,-0.034081635
05/03/2012,91.92,-0.003258393
02/03/2012,92.22,0.001084952
01/03/2012,92.12,0.031762705
29/02/2012,89.24,0.017179446
28/02/2012,87.72,0.006404413
27/02/2012,87.16,0.015376914
24/02/2012,85.83,0.040783159
23/02/2012,82.4,-0.00496339
22/02/2012,82.81,0.003508139
21/02/2012,82.52,-0.028079986
17/02/2012,84.87,-0.008915015
16/02/2012,85.63,0.018623829
15/02/2012,84.05,-0.008293886
14/02/2012,84.75,0.027149907
13/02/2012,82.48,0.005227022
10/02/2012,82.05,-0.009340761
09/02/2012,82.82,0.014840316
08/02/2012,81.6,0.007009805
07/02/2012,81.03,0.002842491
06/02/2012,80.8,0.004216799
03/02/2012,80.46,0.036450505
02/02/2012,77.58,-0.011024339
01/02/2012,78.44,-0.014931316
31/01/2012,79.62,0.032680978
30/01/2012,77.06,0.001818418
27/01/2012,76.92,0.046841985
26/01/2012,73.4,-0.05422496
25/01/2012,77.49,0.0141662
24/01/2012,76.4,0.00828026
23/01/2012,75.77,0.028785708
20/01/2012,73.62,0.009279543
19/01/2012,72.94,-0.004104534
18/01/2012,73.24,-0.040537956
17/01/2012,76.27,-0.011731104
13/01/2012,77.17,-0.006329544
12/01/2012,77.66,0.024769875
11/01/2012,75.76,0.008084333
10/01/2012,75.15,0.010433481
09/01/2012,74.37,0.002962566
06/01/2012,74.15,0.012211821
05/01/2012,73.25,0.008087221
04/01/2012,72.66,0.006628028
03/01/2012,72.18,0.005417809
30/12/2011,71.79,-0.000696233
29/12/2011,71.84,-0.009834555
28/12/2011,72.55,-0.01572682
27/12/2011,73.7,0.00708064
23/12/2011,73.18,0.036033668
22/12/2011,70.59,-0.0074801
21/12/2011,71.12,-0.017008635
20/12/2011,72.34,0.004294528
19/12/2011,72.03,-0.02873761
16/12/2011,74.13,0
15/12/2011,74.13,0.00189036
14/12/2011,73.99,-0.006600684
13/12/2011,74.48,-0.060435054
12/12/2011,79.12,-0.044253915
09/12/2011,82.7,0.034443749
08/12/2011,79.9,-0.028622729
07/12/2011,82.22,-0.004974229
06/12/2011,82.63,-0.017039049
05/12/2011,84.05,0.026645738
02/12/2011,81.84,-0.000244349
01/12/2011,81.86,0.006495519
30/11/2011,81.33,0.037839643
29/11/2011,78.31,-0.016464404
28/11/2011,79.61,0.063793499
25/11/2011,74.69,-0.023029075
23/11/2011,76.43,0.018087496
22/11/2011,75.06,-0.008358258
21/11/2011,75.69,-0.015729778
18/11/2011,76.89,-0.02199587
17/11/2011,78.6,-0.028223887
16/11/2011,80.85,-0.029612838
15/11/2011,83.28,0.003970408
14/11/2011,82.95,-0.011387597
11/11/2011,83.9,0.035176459
10/11/2011,81,0.001358948
09/11/2011,80.89,-0.034984741
08/11/2011,83.77,0.003228316
07/11/2011,83.5,-0.009535233
04/11/2011,84.3,-0.017170832
03/11/2011,85.76,0.02311969
02/11/2011,83.8,0.02110419
01/11/2011,82.05,-0.02835706
31/10/2011,84.41,-0.016682718
28/10/2011,85.83,-0.001978701
27/10/2011,86,0.036832869
26/10/2011,82.89,0.033614549
25/10/2011,80.15,0.048833833
24/10/2011,76.33,0.04310089
21/10/2011,73.11,0.019892906
20/10/2011,71.67,0.005316185
19/10/2011,71.29,-0.026575959
18/10/2011,73.21,0.010021362
17/10/2011,72.48,-0.029365895
14/10/2011,74.64,0.01539115
13/10/2011,73.5,-0.010152371
12/10/2011,74.25,-0.013643871
11/10/2011,75.27,0.01095389
10/10/2011,74.45,0.062204109
07/10/2011,69.96,-0.032347076
06/10/2011,72.26,0.042547581
05/10/2011,69.25,0.017333476
04/10/2011,68.06,0.052639762
03/10/2011,64.57,-0.028097741
30/09/2011,66.41,-0.059765062
29/09/2011,70.5,-0.035531428
28/09/2011,73.05,-0.033518179
27/09/2011,75.54,-0.008961578
26/09/2011,76.22,0.047695251
23/09/2011,72.67,0.030032287
22/09/2011,70.52,-0.043835034
21/09/2011,73.68,-0.037951429
20/09/2011,76.53,-0.026561644
19/09/2011,78.59,-0.003683245
16/09/2011,78.88,0.026462687
15/09/2011,76.82,0.020782018
14/09/2011,75.24,0.055611623
13/09/2011,71.17,0.02547274
12/09/2011,69.38,0.026878627
09/09/2011,67.54,-0.046715167
08/09/2011,70.77,-0.005495681
07/09/2011,71.16,0.045570227
06/09/2011,67.99,0.009309266
02/09/2011,67.36,-0.034579271
01/09/2011,69.73,-0.016075458
31/08/2011,70.86,-0.020947561
30/08/2011,72.36,0.031588223
29/08/2011,70.11,0.037937839
26/08/2011,67.5,0.124304253
25/08/2011,59.61,-0.054040733
24/08/2011,62.92,0.004619682
23/08/2011,62.63,0.112071293
22/08/2011,55.99,0.059040772
19/08/2011,52.78,-0.056179028
18/08/2011,55.83,-0.057596155
17/08/2011,59.14,-0.070187063
16/08/2011,63.44,-0.03895392
15/08/2011,65.96,0.034393088
12/08/2011,63.73,0.012473518
11/08/2011,62.94,0.063289434
10/08/2011,59.08,-0.036561068
09/08/2011,61.28,0.091352617
08/08/2011,55.93,-0.113303143
05/08/2011,62.64,-0.033747219
04/08/2011,64.79,-0.079199392
03/08/2011,70.13,0.013638859
02/08/2011,69.18,-0.051965228
01/08/2011,72.87,-0.007383134
29/07/2011,73.41,-0.014738959
28/07/2011,74.5,0.033438803
27/07/2011,72.05,-0.046109863
26/07/2011,75.45,-0.04077428
25/07/2011,78.59,-0.013648639
22/07/2011,79.67,-0.009369798
21/07/2011,80.42,-0.009529185
20/07/2011,81.19,-0.01479335
19/07/2011,82.4,0.058987613
18/07/2011,77.68,-0.003213164
15/07/2011,77.93,-0.004225629
14/07/2011,78.26,-0.013579751
13/07/2011,79.33,0.01434672
12/07/2011,78.2,0.012870191
11/07/2011,77.2,-0.029986298
08/07/2011,79.55,-0.00037705
07/07/2011,79.58,-0.001632243
06/07/2011,79.71,-0.019012688
05/07/2011,81.24,0.025052722
01/07/2011,79.23,0.024531702
30/06/2011,77.31,0.002849743
29/06/2011,77.09,-0.006593857
28/06/2011,77.6,0.043456475
27/06/2011,74.3,-0.000941683
24/06/2011,74.37,0.010135907
23/06/2011,73.62,0.018369262
22/06/2011,72.28,-0.018369262
21/06/2011,73.62,0.024057796
20/06/2011,71.87,0.054322344
17/06/2011,68.07,0.000734808
16/06/2011,68.02,-0.000734808
15/06/2011,68.07,-0.023376745
14/06/2011,69.68,0.024846901
13/06/2011,67.97,0.058310104
10/06/2011,64.12,-0.017776185
09/06/2011,65.27,0.043205969
08/06/2011,62.51,-0.033816228
07/06/2011,64.66,-0.0072425
06/06/2011,65.13,-0.021718524
03/06/2011,66.56,0.006027746
02/06/2011,66.16,-0.007078876
01/06/2011,66.63,0.022002253
31/05/2011,65.18,-0.003216668
27/05/2011,65.39,-0.003511186
26/05/2011,65.62,0.024216499
25/05/2011,64.05,-0.002339182
24/05/2011,64.2,-0.012384059
23/05/2011,65,-0.006593599
20/05/2011,65.43,-0.02206861
19/05/2011,66.89,-0.003283585
18/05/2011,67.11,0.046044719
17/05/2011,64.09,-0.009936427
16/05/2011,64.73,-0.033273104
13/05/2011,66.92,-0.016891793
12/05/2011,68.06,-0.009796116
11/05/2011,68.73,0.019540767
10/05/2011,67.4,0.025698311
09/05/2011,65.69,-0.004708035
06/05/2011,66,0.012962438
05/05/2011,65.15,-0.002605965
04/05/2011,65.32,0.008764568
03/05/2011,64.75,-0.03116938
02/05/2011,66.8,-0.024546553
29/04/2011,68.46,-0.025668316
28/04/2011,70.24,0.002708677
27/04/2011,70.05,0.005870158
26/04/2011,69.64,-0.119377271
25/04/2011,78.47,-0.000764331
21/04/2011,78.53,0.001019238
20/04/2011,78.45,0.008320048
19/04/2011,77.8,0.048590955
18/04/2011,74.11,0.003243684
15/04/2011,73.87,0.006246625
14/04/2011,73.41,-0.020894472
13/04/2011,74.96,0.013295032
12/04/2011,73.97,0.009235432
11/04/2011,73.29,0.026126305
08/04/2011,71.4,-0.023530497
07/04/2011,73.1,-0.010884461
06/04/2011,73.9,-0.028678191
05/04/2011,76.05,0.019920977
04/04/2011,74.55,0.017864868
01/04/2011,73.23,0.073362444
31/03/2011,68.05,-0.014298464
30/03/2011,69.03,0.010338643
29/03/2011,68.32,0.048124402
28/03/2011,65.11,-0.010389704
25/03/2011,65.79,0.008241805
24/03/2011,65.25,0.005070304
23/03/2011,64.92,0.011308307
22/03/2011,64.19,-0.020355367
21/03/2011,65.51,0.034159508
18/03/2011,63.31,-0.057842642
17/03/2011,67.08,-0.000894055
16/03/2011,67.14,-0.005643859
15/03/2011,67.52,-0.011046581
14/03/2011,68.27,-0.017136638
11/03/2011,69.45,0.025668611
10/03/2011,67.69,-0.016991767
09/03/2011,68.85,-0.009252632
08/03/2011,69.49,0.023736098
07/03/2011,67.86,0.007840857
04/03/2011,67.33,0.011502106
03/03/2011,66.56,0.041097473
02/03/2011,63.88,-0.009193676
01/03/2011,64.47,-0.026933533
28/02/2011,66.23,0.003175806
25/02/2011,66.02,0.022362702
24/02/2011,64.56,0.0048133
23/02/2011,64.25,-0.029143167
22/02/2011,66.15,-0.025227101
18/02/2011,67.84,0.004580048
17/02/2011,67.53,-0.003547676
16/02/2011,67.77,0.006365205
15/02/2011,67.34,-0.023772213
14/02/2011,68.96,-0.01225064
11/02/2011,69.81,0.009933141
10/02/2011,69.12,0.039093406
09/02/2011,66.47,-0.007792636
