Date,Close,MTB
10/12/2012,97.99,0.003578187
07/12/2012,97.64,0.003077241
06/12/2012,97.34,0.010534023
05/12/2012,96.32,0.00176651
04/12/2012,96.15,-0.010655457
03/12/2012,97.18,-0.005643645
30/11/2012,97.73,0.004820769
29/11/2012,97.26,-0.010432743
28/11/2012,98.28,-0.003757685
27/11/2012,98.65,-0.002632113
26/11/2012,98.91,-0.007654383
23/11/2012,99.67,0.013942436
21/11/2012,98.29,-0.001931189
20/11/2012,98.48,0.003050953
19/11/2012,98.18,0.011061153
16/11/2012,97.1,0.007131445
15/11/2012,96.41,0.00259646
14/11/2012,96.16,-0.020177749
13/11/2012,98.12,-0.018578887
12/11/2012,99.96,0.008741578
09/11/2012,99.09,-0.01094004
08/11/2012,100.18,-0.007854875
07/11/2012,100.97,-0.036275675
06/11/2012,104.7,0.014236485
05/11/2012,103.22,-0.003191955
02/11/2012,103.55,-0.009228173
01/11/2012,104.51,0.003930785
31/10/2012,104.1,0.006360241
26/10/2012,103.44,-0.00741636
25/10/2012,104.21,-0.001629992
24/10/2012,104.38,0.004705439
23/10/2012,103.89,-0.006524057
22/10/2012,104.57,0.008354588
19/10/2012,103.7,-0.011314724
18/10/2012,104.88,0.01740847
17/10/2012,103.07,0.056684833
16/10/2012,97.39,-0.000923693
15/10/2012,97.48,0.011971247
12/10/2012,96.32,-0.021263191
11/10/2012,98.39,-0.002436302
10/10/2012,98.63,0.016870703
09/10/2012,96.98,-0.010258605
08/10/2012,97.98,-0.00539469
05/10/2012,98.51,0.004374594
04/10/2012,98.08,0.012103953
03/10/2012,96.9,0.013192941
02/10/2012,95.63,-0.000209118
01/10/2012,95.65,0.00513601
28/09/2012,95.16,0.007700866
27/09/2012,94.43,0.004244939
26/09/2012,94.03,-0.006677644
25/09/2012,94.66,-0.007053032
24/09/2012,95.33,0.003572934
21/09/2012,94.99,0.006866345
20/09/2012,94.34,0.000742272
19/09/2012,94.27,0.003719649
18/09/2012,93.92,-0.001702128
17/09/2012,94.08,-0.007623925
14/09/2012,94.8,0.011457796
13/09/2012,93.72,0.017328099
12/09/2012,92.11,0.003807042
11/09/2012,91.76,0.014489825
10/09/2012,90.44,-0.003311627
07/09/2012,90.74,0.009856661
06/09/2012,89.85,0.016835414
05/09/2012,88.35,0.010353355
04/09/2012,87.44,0.006194812
31/08/2012,86.9,-0.001150086
30/08/2012,87,-0.017320397
29/08/2012,88.52,0.001130327
28/08/2012,88.42,-0.015709479
27/08/2012,89.82,0.044973143
24/08/2012,85.87,0.004318149
23/08/2012,85.5,-0.0131298
22/08/2012,86.63,-0.004606711
21/08/2012,87.03,-0.007554981
20/08/2012,87.69,0.004686526
17/08/2012,87.28,0.005053997
16/08/2012,86.84,0.001959542
15/08/2012,86.67,0.005321623
14/08/2012,86.21,-0.001738425
13/08/2012,86.36,-0.003467811
10/08/2012,86.66,-0.001614205
09/08/2012,86.8,0.000460936
08/08/2012,86.76,-0.00345185
07/08/2012,87.06,0.004489733
06/08/2012,86.67,-0.008616286
03/08/2012,87.42,0.033854219
02/08/2012,84.51,-0.011646505
01/08/2012,85.5,-0.003968722
31/07/2012,85.84,-0.003836991
30/07/2012,86.17,-0.003244123
27/07/2012,86.45,0.009647311
26/07/2012,85.62,0.014351499
25/07/2012,84.4,-0.000710648
24/07/2012,84.46,0.0032019
23/07/2012,84.19,-0.009222104
20/07/2012,84.97,-0.019232483
19/07/2012,86.62,-0.00345742
18/07/2012,86.92,0.013785333
17/07/2012,85.73,0.025757568
16/07/2012,83.55,-0.00513342
13/07/2012,83.98,0.019357382
12/07/2012,82.37,-0.015778707
11/07/2012,83.68,0.01262719
10/07/2012,82.63,-0.01262719
09/07/2012,83.68,-0.002387206
06/07/2012,83.88,0.000596267
05/07/2012,83.83,-0.006776463
03/07/2012,84.4,0.011439591
02/07/2012,83.44,0.010481392
29/06/2012,82.57,0.021174526
28/06/2012,80.84,-0.001483313
27/06/2012,80.96,0.014306396
26/06/2012,79.81,0.004017582
25/06/2012,79.49,-0.018323978
22/06/2012,80.96,0.012053579
21/06/2012,79.99,-0.021274767
20/06/2012,81.71,0.00355545
19/06/2012,81.42,0.00813915
18/06/2012,80.76,-0.003461066
15/06/2012,81.04,0.009546908
14/06/2012,80.27,0.016707882
13/06/2012,78.94,-0.006439823
12/06/2012,79.45,0.015858245
11/06/2012,78.2,-0.021881604
08/06/2012,79.93,0.010438377
07/06/2012,79.1,0.008761405
06/06/2012,78.41,0.018405822
05/06/2012,76.98,-0.004794929
04/06/2012,77.35,-0.01564937
01/06/2012,78.57,-0.034402042
31/05/2012,81.32,0.004930976
30/05/2012,80.92,-0.02417405
29/05/2012,82.9,0.01311335
25/05/2012,81.82,0.006990891
24/05/2012,81.25,-0.002949492
23/05/2012,81.49,-0.001348949
22/05/2012,81.6,0.000735565
21/05/2012,81.54,0.010231214
18/05/2012,80.71,-0.006422154
17/05/2012,81.23,-0.015877227
16/05/2012,82.53,-0.005919679
15/05/2012,83.02,-0.009828678
14/05/2012,83.84,-0.011385322
11/05/2012,84.8,-0.005057942
10/05/2012,85.23,0.008128689
09/05/2012,84.54,-0.020141196
08/05/2012,86.26,-0.003471824
07/05/2012,86.56,0.011619931
04/05/2012,85.56,-0.004896827
03/05/2012,85.98,-0.007762305
02/05/2012,86.65,-0.002305477
01/05/2012,86.85,0.00670058
30/04/2012,86.27,-0.01278451
27/04/2012,87.38,0.000228912
26/04/2012,87.36,0.002865824
25/04/2012,87.11,0.005756405
24/04/2012,86.61,0.009512833
23/04/2012,85.79,-0.01847841
20/04/2012,87.39,0.005047619
19/04/2012,86.95,-0.001608826
18/04/2012,87.09,-0.00275198
17/04/2012,87.33,0.019775146
16/04/2012,85.62,0.013996112
13/04/2012,84.43,-0.022254374
12/04/2012,86.33,0.014350127
11/04/2012,85.1,0.013605652
10/04/2012,83.95,-0.015835831
09/04/2012,85.29,-0.018470642
05/04/2012,86.88,0.006350694
04/04/2012,86.33,-0.008075725
03/04/2012,87.03,0.000344768
02/04/2012,87,0.001380262
30/03/2012,86.88,0.003574521
29/03/2012,86.57,-0.008053426
28/03/2012,87.27,0.015008363
27/03/2012,85.97,-0.007532338
26/03/2012,86.62,0.008812673
23/03/2012,85.86,0.01018446
22/03/2012,84.99,-0.005748828
21/03/2012,85.48,-0.009083561
20/03/2012,86.26,-0.004280185
19/03/2012,86.63,0.010910043
16/03/2012,85.69,0.008673285
15/03/2012,84.95,0.021296385
14/03/2012,83.16,-0.007069708
13/03/2012,83.75,0.031536877
12/03/2012,81.15,-0.00246154
09/03/2012,81.35,0.008394075
08/03/2012,80.67,0.010342127
07/03/2012,79.84,0.014127379
06/03/2012,78.72,-0.017628258
05/03/2012,80.12,-0.005849062
02/03/2012,80.59,-0.007910065
01/03/2012,81.23,-0.004789693
29/02/2012,81.62,-0.002813974
28/02/2012,81.85,-0.005847257
27/02/2012,82.33,0.006825133
24/02/2012,81.77,-0.004149384
23/02/2012,82.11,0.015340548
22/02/2012,80.86,-0.02189556
21/02/2012,82.65,-0.003261463
17/02/2012,82.92,0.012743664
16/02/2012,81.87,0.010930413
15/02/2012,80.98,-0.000617246
14/02/2012,81.03,0.004576667
13/02/2012,80.66,0.010719285
10/02/2012,79.8,-0.012577216
09/02/2012,80.81,-0.011075673
08/02/2012,81.71,0.004169739
07/02/2012,81.37,0.004680964
06/02/2012,80.99,-0.017866359
03/02/2012,82.45,0.023313939
02/02/2012,80.55,0.004229914
01/02/2012,80.21,0.005876853
31/01/2012,79.74,-0.001754167
30/01/2012,79.88,-0.002875182
27/01/2012,80.11,-0.000374415
26/01/2012,80.14,-0.022944142
25/01/2012,82,0.003787652
24/01/2012,81.69,-0.004153439
23/01/2012,82.03,0.003786264
20/01/2012,81.72,-0.000856217
19/01/2012,81.79,0.000856217
18/01/2012,81.72,0.00835591
17/01/2012,81.04,-0.015914156
13/01/2012,82.34,0.010867681
12/01/2012,81.45,0.010366624
11/01/2012,80.61,0.005847606
10/01/2012,80.14,0.006384199
09/01/2012,79.63,0.002263013
06/01/2012,79.45,0.002772878
05/01/2012,79.23,0.015261647
04/01/2012,78.03,-0.000128148
03/01/2012,78.04,0.022024468
30/12/2011,76.34,-0.00782885
29/12/2011,76.94,0.014927605
28/12/2011,75.8,-0.010368227
27/12/2011,76.59,-0.003909309
23/12/2011,76.89,0.004562349
22/12/2011,76.54,0.009319487
21/12/2011,75.83,0.009673434
20/12/2011,75.1,0.051924231
19/12/2011,71.3,-0.020132579
16/12/2011,72.75,0.013980434
15/12/2011,71.74,0.007274794
14/12/2011,71.22,0.003516425
13/12/2011,70.97,-0.01232336
12/12/2011,71.85,-0.016015806
09/12/2011,73.01,0.014486009
08/12/2011,71.96,-0.036566147
07/12/2011,74.64,-0.006010838
06/12/2011,75.09,-0.005974923
05/12/2011,75.54,0.022220162
02/12/2011,73.88,0.013216352
01/12/2011,72.91,-0.000959627
30/11/2011,72.98,0.065543868
29/11/2011,68.35,-0.007433895
28/11/2011,68.86,0.016989278
25/11/2011,67.7,0.003996157
23/11/2011,67.43,-0.031387147
22/11/2011,69.58,-0.007302961
21/11/2011,70.09,-0.023547087
18/11/2011,71.76,0.009521214
17/11/2011,71.08,-0.012026435
16/11/2011,71.94,-0.011333915
15/11/2011,72.76,0.010361355
14/11/2011,72.01,-0.026043139
11/11/2011,73.91,0.021056288
10/11/2011,72.37,0.025186724
09/11/2011,70.57,-0.045160028
08/11/2011,73.83,0.028577298
07/11/2011,71.75,-0.00486619
04/11/2011,72.1,-0.014184635
03/11/2011,73.13,0
02/11/2011,73.13,0.011276247
01/11/2011,72.31,-0.05121723
31/10/2011,76.11,-0.028367941
28/10/2011,78.3,-0.011933619
27/10/2011,79.24,0.034798401
26/10/2011,76.53,0.020728183
25/10/2011,74.96,-0.020205375
24/10/2011,76.49,0.02047222
21/10/2011,74.94,0.019674533
20/10/2011,73.48,0.009434677
19/10/2011,72.79,-0.057135517
18/10/2011,77.07,0.044033105
17/10/2011,73.75,-0.026361331
14/10/2011,75.72,-0.002242597
13/10/2011,75.89,-0.000131761
12/10/2011,75.9,0.026568548
11/10/2011,73.91,-0.000541052
10/10/2011,73.95,0.043247742
07/10/2011,70.82,-0.028672806
06/10/2011,72.88,0.039319511
05/10/2011,70.07,0.003287831
04/10/2011,69.84,0.019081238
03/10/2011,68.52,-0.019939976
30/09/2011,69.9,-0.030294673
29/09/2011,72.05,0.024873059
28/09/2011,70.28,-0.034541643
27/09/2011,72.75,-0.008758781
26/09/2011,73.39,0.061536265
23/09/2011,69.01,0.016215387
22/09/2011,67.9,-0.005727308
21/09/2011,68.29,-0.050538873
20/09/2011,71.83,-0.002641642
19/09/2011,72.02,-0.02914621
16/09/2011,74.15,-0.006452503
15/09/2011,74.63,0.022905386
14/09/2011,72.94,0.003433362
13/09/2011,72.69,0.00468837
12/09/2011,72.35,0.025902743
09/09/2011,70.5,-0.038538538
08/09/2011,73.27,-0.031172751
07/09/2011,75.59,0.05408927
06/09/2011,71.61,-0.009451078
02/09/2011,72.29,-0.028366828
01/09/2011,74.37,-0.022601334
31/08/2011,76.07,0.007521313
30/08/2011,75.5,-0.017462533
29/08/2011,76.83,0.032273665
26/08/2011,74.39,0.016672701
25/08/2011,73.16,-0.013710932
24/08/2011,74.17,0.021670354
23/08/2011,72.58,0.036622823
22/08/2011,69.97,0.001573339
19/08/2011,69.86,-0.024043019
18/08/2011,71.56,-0.03797838
17/08/2011,74.33,0.009190496
16/08/2011,73.65,-0.015493742
15/08/2011,74.8,0.023810649
12/08/2011,73.04,-0.020060309
11/08/2011,74.52,0.057016338
10/08/2011,70.39,-0.07021389
09/08/2011,75.51,0.039851292
08/08/2011,72.56,-0.080593824
05/08/2011,78.65,-0.030428692
04/08/2011,81.08,-0.039182763
03/08/2011,84.32,-0.015183014
02/08/2011,85.61,-0.021836695
01/08/2011,87.5,0.014504686
29/07/2011,86.24,-0.000927214
28/07/2011,86.32,-0.0094547
27/07/2011,87.14,-0.012657675
26/07/2011,88.25,-0.003393668
25/07/2011,88.55,-0.005967478
22/07/2011,89.08,0.005741643
21/07/2011,88.57,0.016277179
20/07/2011,87.14,0.003909399
19/07/2011,86.8,0.02272163
18/07/2011,84.85,-0.008332893
15/07/2011,85.56,-0.005129412
14/07/2011,86,-0.01247994
13/07/2011,87.08,-0.004239965
12/07/2011,87.45,0.014745112
11/07/2011,86.17,-0.016002183
08/07/2011,87.56,-0.019005097
07/07/2011,89.24,0.009005014
06/07/2011,88.44,0.004987542
05/07/2011,88,-0.011636577
01/07/2011,89.03,0.01220492
30/06/2011,87.95,0.003759189
29/06/2011,87.62,0.013790152
28/06/2011,86.42,-0.003465407
27/06/2011,86.72,0.016275644
24/06/2011,85.32,-0.011188928
23/06/2011,86.28,-0.01198171
22/06/2011,87.32,-0.008893001
21/06/2011,88.1,0.003411032
20/06/2011,87.8,-0.002502561
17/06/2011,88.02,0.004326547
16/06/2011,87.64,0.01842521
15/06/2011,86.04,-0.009830646
14/06/2011,86.89,0.019993692
13/06/2011,85.17,0.008963381
10/06/2011,84.41,-0.012011449
09/06/2011,85.43,0.004928431
08/06/2011,85.01,-0.004811369
07/06/2011,85.42,0.007520599
06/06/2011,84.78,-0.011842784
03/06/2011,85.79,-0.007432388
02/06/2011,86.43,0.006383865
01/06/2011,85.88,-0.027789135
31/05/2011,88.3,0.007730825
27/05/2011,87.62,0.008711655
26/05/2011,86.86,-0.000920598
25/05/2011,86.94,-0.005391467
24/05/2011,87.41,0.001373784
23/05/2011,87.29,-0.008555348
20/05/2011,88.04,-0.012753403
19/05/2011,89.17,-0.002352283
18/05/2011,89.38,0.015901096
17/05/2011,87.97,0.017892437
16/05/2011,86.41,0.000231481
13/05/2011,86.39,-0.015277995
12/05/2011,87.72,0.004226887
11/05/2011,87.35,-0.00479672
10/05/2011,87.77,0.014690956
09/05/2011,86.49,0.000693963
06/05/2011,86.43,0.003244875
05/05/2011,86.15,-0.009473269
04/05/2011,86.97,-0.01743932
03/05/2011,88.5,0.008624656
02/05/2011,87.74,-0.00715465
29/04/2011,88.37,-0.006092077
28/04/2011,88.91,-0.008288578
27/04/2011,89.65,0.027479538
26/04/2011,87.22,0.01269199
25/04/2011,86.12,0.003373077
21/04/2011,85.83,0.000116516
20/04/2011,85.82,0.004671814
19/04/2011,85.42,-0.020738738
18/04/2011,87.21,0.021558554
15/04/2011,85.35,0.001759015
14/04/2011,85.2,-0.008647945
13/04/2011,85.94,-0.014096132
12/04/2011,87.16,-0.006746352
11/04/2011,87.75,0.000569963
08/04/2011,87.7,-0.006251796
07/04/2011,88.25,-0.017299915
06/04/2011,89.79,0.012326467
05/04/2011,88.69,-0.007078284
04/04/2011,89.32,-0.004133853
01/04/2011,89.69,0.013695769
31/03/2011,88.47,-0.000452028
30/03/2011,88.51,0.011248201
29/03/2011,87.52,0.003433676
28/03/2011,87.22,-0.003662169
25/03/2011,87.54,0.006417625
24/03/2011,86.98,0.006111995
23/03/2011,86.45,0.001157408
22/03/2011,86.35,-0.005428205
21/03/2011,86.82,-0.008601464
18/03/2011,87.57,0.002629925
17/03/2011,87.34,0.027274946
16/03/2011,84.99,-0.017957572
15/03/2011,86.53,-0.012061487
14/03/2011,87.58,-0.001369238
11/03/2011,87.7,0.000456204
10/03/2011,87.66,-0.020661192
09/03/2011,89.49,-0.003346723
08/03/2011,89.79,0.030646374
07/03/2011,87.08,-0.010623208
04/03/2011,88.01,0.006726355
03/03/2011,87.42,0.019754585
02/03/2011,85.71,-0.005700673
01/03/2011,86.2,-0.021234657
28/02/2011,88.05,-0.005775453
25/02/2011,88.56,0.010556883
24/02/2011,87.63,-0.01652369
23/02/2011,89.09,-0.005708225
22/02/2011,89.6,-0.015614071
18/02/2011,91.01,0.011270838
