Date,Close,TSCO
02/12/2011,72.2,-0.000415426
01/12/2011,72.23,0
30/11/2011,72.23,0.03136023
29/11/2011,70,0.016565017
28/11/2011,68.85,0.01713951
25/11/2011,67.68,-0.037269593
23/11/2011,70.25,-0.019732846
22/11/2011,71.65,-0.001812731
21/11/2011,71.78,-0.00680322
18/11/2011,72.27,-0.004555817
17/11/2011,72.6,-0.027175585
16/11/2011,74.6,-0.010666768
15/11/2011,75.4,0.013351333
14/11/2011,74.4,-0.001343184
11/11/2011,74.5,0.031497593
10/11/2011,72.19,0.010443596
09/11/2011,71.44,-0.029787089
08/11/2011,73.6,0.006679869
07/11/2011,73.11,0.004661374
04/11/2011,72.77,0
03/11/2011,72.77,0.002063416
02/11/2011,72.62,0.022701344
01/11/2011,70.99,0.000704573
31/10/2011,70.94,-0.00351791
28/10/2011,71.19,-0.033971784
27/10/2011,73.65,0.016979732
26/10/2011,72.41,0.003042879
25/10/2011,72.19,-0.021379463
24/10/2011,73.75,0.003939955
21/10/2011,73.46,0.025087463
20/10/2011,71.64,0.077765385
19/10/2011,66.28,-0.024883948
18/10/2011,67.95,-0.001470589
17/10/2011,68.05,0.009301019
14/10/2011,67.42,0.004161718
13/10/2011,67.14,0.017428326
12/10/2011,65.98,-0.001514463
11/10/2011,66.08,-0.009338824
10/10/2011,66.7,0.014345282
07/10/2011,65.75,0.014399759
06/10/2011,64.81,0.027373258
05/10/2011,63.06,-0.000792581
04/10/2011,63.11,0.046708669
03/10/2011,60.23,-0.037475875
30/09/2011,62.53,-0.070984596
29/09/2011,67.13,0.011536573
28/09/2011,66.36,-0.015995557
27/09/2011,67.43,-0.004734437
26/09/2011,67.75,0.018021189
23/09/2011,66.54,0.028969856
22/09/2011,64.64,-0.022486607
21/09/2011,66.11,-0.019324997
20/09/2011,67.4,-0.0314009
19/09/2011,69.55,0.010260947
16/09/2011,68.84,0.012571427
15/09/2011,67.98,0.010053308
14/09/2011,67.3,-0.005039287
13/09/2011,67.64,0.021216992
12/09/2011,66.22,0.023066783
09/09/2011,64.71,0.018875843
08/09/2011,63.5,0.014753976
07/09/2011,62.57,0.044277428
06/09/2011,59.86,0.003682013
02/09/2011,59.64,-0.025493849
01/09/2011,61.18,-0.003100778
31/08/2011,61.37,0.009002434
30/08/2011,60.82,-0.002299229
29/08/2011,60.96,0.026934297
26/08/2011,59.34,0.030977064
25/08/2011,57.53,-0.023874041
24/08/2011,58.92,0.021790345
23/08/2011,57.65,0.058761657
22/08/2011,54.36,0.01706906
19/08/2011,53.44,-0.032765677
18/08/2011,55.22,-0.052388312
17/08/2011,58.19,-0.01059839
16/08/2011,58.81,-0.014349871
15/08/2011,59.66,0.014860118
12/08/2011,58.78,0.014738913
11/08/2011,57.92,0.027303061
10/08/2011,56.36,-0.02263056
09/08/2011,57.65,0.071908778
08/08/2011,53.65,-0.093189828
05/08/2011,58.89,-0.031424949
04/08/2011,60.77,-0.046774295
03/08/2011,63.68,0.018703985
02/08/2011,62.5,-0.052820128
01/08/2011,65.89,-0.000455201
29/07/2011,65.92,0.004256619
28/07/2011,65.64,-0.010004631
27/07/2011,66.3,-0.015118917
26/07/2011,67.31,0.004317732
25/07/2011,67.02,-0.014516623
22/07/2011,68,0.013472704
21/07/2011,67.09,-0.051986153
20/07/2011,70.67,0.010955505
19/07/2011,69.9,0.020816016
18/07/2011,68.46,-0.01031761
15/07/2011,69.17,0.00144676
14/07/2011,69.07,-0.017651316
13/07/2011,70.3,0.007854378
12/07/2011,69.75,0.000143379
11/07/2011,69.74,-0.027856167
