Date,Close,CTAS
04/03/2013,43.69,-0.002514574
01/03/2013,43.8,-0.002280503
28/02/2013,43.9,0.001367677
27/02/2013,43.84,0.011009286
26/02/2013,43.36,0.006478505
25/02/2013,43.08,-0.02634444
22/02/2013,44.23,0.009997811
21/02/2013,43.79,-0.009545527
20/02/2013,44.21,-0.007885588
19/02/2013,44.56,-0.002241651
15/02/2013,44.66,0.022416879
14/02/2013,43.67,0.006662862
13/02/2013,43.38,-0.002532521
12/02/2013,43.49,0.005996328
11/02/2013,43.23,0.008362418
08/02/2013,42.87,-0.001398602
07/02/2013,42.93,0.010066806
06/02/2013,42.5,-0.004929009
05/02/2013,42.71,0.015098187
04/02/2013,42.07,-0.008992015
01/02/2013,42.45,0.004485901
31/01/2013,42.26,-0.003778937
30/01/2013,42.42,-0.006344752
29/01/2013,42.69,0.006344752
28/01/2013,42.42,-0.002119393
25/01/2013,42.51,0.002826857
24/01/2013,42.39,-0.001885459
23/01/2013,42.47,-0.00586925
22/01/2013,42.72,0.007283011
18/01/2013,42.41,0.004727024
17/01/2013,42.21,0.00689412
16/01/2013,41.92,-0.009496748
15/01/2013,42.32,0.001655434
14/01/2013,42.25,-0.007780306
11/01/2013,42.58,-0.002580041
10/01/2013,42.69,-0.000702494
09/01/2013,42.72,0.002343568
08/01/2013,42.62,0.002819551
07/01/2013,42.5,-0.002115408
04/01/2013,42.59,0.009673309
03/01/2013,42.18,0.00451468
02/01/2013,41.99,0.026301432
31/12/2012,40.9,0.013786531
28/12/2012,40.34,-0.00888456
27/12/2012,40.7,-0.010752792
26/12/2012,41.14,-0.007748223
24/12/2012,41.46,-0.004332137
21/12/2012,41.64,-0.027243187
20/12/2012,42.79,0.007977518
19/12/2012,42.45,-0.003292571
18/12/2012,42.59,0.010384799
17/12/2012,42.15,0.013615402
14/12/2012,41.58,-0.001201779
13/12/2012,41.63,-0.003596695
12/12/2012,41.78,-0.001674041
11/12/2012,41.85,-0.004529749
10/12/2012,42.04,0.000951928
07/12/2012,42,-0.007353846
