Date,Close,AVP
20/12/2012,14.69,0
19/12/2012,14.69,0.012328923
18/12/2012,14.51,0.03721033
17/12/2012,13.98,-0.006417134
14/12/2012,14.07,-0.021793481
13/12/2012,14.38,0.00348311
12/12/2012,14.33,-0.009722299
11/12/2012,14.47,0.003461409
10/12/2012,14.42,-0.013774322
07/12/2012,14.62,0.051941499
06/12/2012,13.88,0.004332137
05/12/2012,13.82,0.001448226
04/12/2012,13.8,-0.016529302
03/12/2012,14.03,0.005718386
30/11/2012,13.95,0.008639363
29/11/2012,13.83,-0.000722805
28/11/2012,13.84,-0.017192401
27/11/2012,14.08,-0.015504187
26/11/2012,14.3,0.002801122
23/11/2012,14.26,0.020546242
21/11/2012,13.97,0.003585518
20/11/2012,13.92,-0.025533302
19/11/2012,14.28,0.01268516
16/11/2012,14.1,0.02078183
15/11/2012,13.81,-0.000723851
14/11/2012,13.82,-0.016505577
13/11/2012,14.05,-0.018336198
12/11/2012,14.31,0.002098637
09/11/2012,14.28,0.003507545
08/11/2012,14.23,-0.040625208
07/11/2012,14.82,-0.024659697
06/11/2012,15.19,0.00528054
05/11/2012,15.11,-0.005938652
02/11/2012,15.2,-0.036813973
01/11/2012,15.77,0.017914747
31/10/2012,15.49,0.000645786
26/10/2012,15.48,-0.017926216
25/10/2012,15.76,0.004451518
24/10/2012,15.69,-0.017062025
23/10/2012,15.96,-0.024142305
22/10/2012,16.35,-0.007919627
19/10/2012,16.48,-0.04043357
18/10/2012,17.16,-0.007547206
17/10/2012,17.29,0.008713387
16/10/2012,17.14,-0.007555979
15/10/2012,17.27,0.009307804
12/10/2012,17.11,-0.011621281
11/10/2012,17.31,0.009286196
10/10/2012,17.15,0.002335086
09/10/2012,17.11,-0.015081492
08/10/2012,17.37,-0.001150748
05/10/2012,17.39,0.06965028
04/10/2012,16.22,0.013031522
03/10/2012,16.01,0.005009403
02/10/2012,15.93,-0.013715926
01/10/2012,16.15,0.01246122
28/09/2012,15.95,-0.014934938
27/09/2012,16.19,0.021224267
26/09/2012,15.85,0.005060099
25/09/2012,15.77,-0.010722272
24/09/2012,15.94,-0.012468989
21/09/2012,16.14,0.009962723
20/09/2012,15.98,-0.001250782
19/09/2012,16,-0.00809217
18/09/2012,16.13,-0.000619771
17/09/2012,16.14,-0.00925076
14/09/2012,16.29,0.000614062
13/09/2012,16.28,0.034367644
12/09/2012,15.73,-0.011378125
11/09/2012,15.91,0.001887387
10/09/2012,15.88,-0.006903071
07/09/2012,15.99,0.01639381
06/09/2012,15.73,0.033616611
05/09/2012,15.21,0.00131579
04/09/2012,15.19,-0.016971687
31/08/2012,15.45,0.000647459
30/08/2012,15.44,-0.003878479
29/08/2012,15.5,0.007122076
28/08/2012,15.39,-0.007122076
27/08/2012,15.5,-0.003863495
24/08/2012,15.56,0.003863495
23/08/2012,15.5,-0.0273641
22/08/2012,15.93,-0.007504726
21/08/2012,16.05,-0.009919486
20/08/2012,16.21,0.015542744
17/08/2012,15.96,0.00313775
16/08/2012,15.91,-0.007514124
15/08/2012,16.03,0.000624025
14/08/2012,16.02,0.010668441
13/08/2012,15.85,-0.02676786
10/08/2012,16.28,-0.009780029
09/08/2012,16.44,0.013472341
08/08/2012,16.22,0.012407107
07/08/2012,16.02,0.027208259
06/08/2012,15.59,0.045939836
03/08/2012,14.89,0.029995432
02/08/2012,14.45,-0.057158414
01/08/2012,15.3,-0.012341826
31/07/2012,15.49,0.002585651
30/07/2012,15.45,-0.04554867
27/07/2012,16.17,0.030134107
26/07/2012,15.69,0.034363187
25/07/2012,15.16,-0.007229739
24/07/2012,15.27,0.005911347
23/07/2012,15.18,-0.035590945
20/07/2012,15.73,-0.054435207
19/07/2012,16.61,0.023759875
18/07/2012,16.22,-0.014080429
17/07/2012,16.45,0.037787091
16/07/2012,15.84,0.04190107
13/07/2012,15.19,-0.003286234
12/07/2012,15.24,-0.016916474
11/07/2012,15.5,-0.019802627
10/07/2012,15.81,-0.01319529
09/07/2012,16.02,-0.027702603
06/07/2012,16.47,-0.010869672
