Date,Close,COV
08/05/2012,55.02,0.014093763
07/05/2012,54.25,0.001660364
04/05/2012,54.16,-0.023539085
03/05/2012,55.45,-0.000901307
02/05/2012,55.5,-0.004673746
01/05/2012,55.76,0.009550483
30/04/2012,55.23,-0.00198969
27/04/2012,55.34,0.005435781
26/04/2012,55.04,0.00546549
25/04/2012,54.74,0.010098314
24/04/2012,54.19,0.00480948
23/04/2012,53.93,-0.011430803
20/04/2012,54.55,0.006436804
19/04/2012,54.2,0.003882064
18/04/2012,53.99,-0.002404959
17/04/2012,54.12,0.011522149
16/04/2012,53.5,0.00487166
13/04/2012,53.24,-0.012320484
12/04/2012,53.9,0.026317308
11/04/2012,52.5,0.004199281
10/04/2012,52.28,-0.012356397
09/04/2012,52.93,-0.017974646
05/04/2012,53.89,0.001299787
04/04/2012,53.82,-0.005189041
03/04/2012,54.1,-0.011577819
02/04/2012,54.73,0.000913993
30/03/2012,54.68,0.013811103
29/03/2012,53.93,0.002227586
28/03/2012,53.81,-0.01090483
27/03/2012,54.4,-0.003303361
26/03/2012,54.58,0.008278954
23/03/2012,54.13,0.009652943
22/03/2012,53.61,-0.003723706
21/03/2012,53.81,-0.001114413
20/03/2012,53.87,0.002602232
19/03/2012,53.73,-0.003529962
16/03/2012,53.92,-0.014727807
15/03/2012,54.72,0.013800937
14/03/2012,53.97,0.001483405
13/03/2012,53.89,0.031287889
12/03/2012,52.23,-0.003058691
09/03/2012,52.39,0.022585653
08/03/2012,51.22,-0.005257533
07/03/2012,51.49,0.012900883
06/03/2012,50.83,-0.02563745
05/03/2012,52.15,0.00364999
02/03/2012,51.96,-0.006330956
01/03/2012,52.29,0.000765257
29/02/2012,52.25,-0.011228589
28/02/2012,52.84,0.003602241
27/02/2012,52.65,-0.004358957
24/02/2012,52.88,0.022567414
23/02/2012,51.7,-0.014402553
22/02/2012,52.45,0.005161055
21/02/2012,52.18,-0.002297091
17/02/2012,52.3,-0.005719749
16/02/2012,52.6,0.011857091
15/02/2012,51.98,-0.006328528
14/02/2012,52.31,0.008254198
13/02/2012,51.88,0.003475578
10/02/2012,51.7,-0.007707167
09/02/2012,52.1,-0.007076629
08/02/2012,52.47,-0.003234709
07/02/2012,52.64,0.000380011
06/02/2012,52.62,-0.002277905
03/02/2012,52.74,0.011633582
02/02/2012,52.13,-0.001724964
01/02/2012,52.22,0.013883756
31/01/2012,51.5,-0.000582355
30/01/2012,51.53,-0.003100177
27/01/2012,51.69,0.007768538
26/01/2012,51.29,0.031088535
25/01/2012,49.72,0.01683439
24/01/2012,48.89,0.013591643
23/01/2012,48.23,0.003947237
20/01/2012,48.04,-0.000208138
19/01/2012,48.05,0.038180671
18/01/2012,46.25,0.018108927
17/01/2012,45.42,-0.001759789
13/01/2012,45.5,-0.006571765
12/01/2012,45.8,-0.008046145
11/01/2012,46.17,0.001083541
10/01/2012,46.12,0.002822714
09/01/2012,45.99,-0.000217415
06/01/2012,46,0.019315789
05/01/2012,45.12,0.002663117
04/01/2012,45,-0.016747857
03/01/2012,45.76,0.01652566
30/12/2011,45.01,-0.000888297
29/12/2011,45.05,0.004226455
28/12/2011,44.86,-0.021610543
27/12/2011,45.84,0.007444746
23/12/2011,45.5,0.015057858
22/12/2011,44.82,0.015061541
21/12/2011,44.15,-0.004970638
20/12/2011,44.37,0.035558282
19/12/2011,42.82,-0.012070713
16/12/2011,43.34,-0.004833707
15/12/2011,43.55,0.032437799
14/12/2011,42.16,-0.004732617
13/12/2011,42.36,-0.024485309
12/12/2011,43.41,-0.021648333
09/12/2011,44.36,0.022339657
08/12/2011,43.38,-0.030422323
07/12/2011,44.72,0.000671066
06/12/2011,44.69,-0.015982582
05/12/2011,45.41,0.00176328
02/12/2011,45.33,-0.0244074
01/12/2011,46.45,0.019565842
30/11/2011,45.55,0.039405143
29/11/2011,43.79,-0.015409324
28/11/2011,44.47,0.036642524
25/11/2011,42.87,-0.011595677
23/11/2011,43.37,-0.022344751
22/11/2011,44.35,-0.003601174
21/11/2011,44.51,-0.024413108
18/11/2011,45.61,-0.015878528
17/11/2011,46.34,-0.02261671
16/11/2011,47.4,-0.01569891
15/11/2011,48.15,0.017599449
14/11/2011,47.31,-0.005900965
11/11/2011,47.59,0.021666098
10/11/2011,46.57,0.033405573
09/11/2011,45.04,-0.049170706
08/11/2011,47.31,0.016839362
07/11/2011,46.52,0.019755337
04/11/2011,45.61,-0.002408848
03/11/2011,45.72,0.005923018
02/11/2011,45.45,0.006622541
01/11/2011,45.15,-0.041008024
31/10/2011,47.04,-0.025397524
28/10/2011,48.25,0.017351747
27/10/2011,47.42,0.057505808
26/10/2011,44.77,-0.012871904
25/10/2011,45.35,-0.034673029
24/10/2011,46.95,0.035114141
21/10/2011,45.33,0.032282561
20/10/2011,43.89,-0.028525236
19/10/2011,45.16,0.013824077
18/10/2011,44.54,-0.00515061
17/10/2011,44.77,-0.027320492
14/10/2011,46.01,0.014889699
13/10/2011,45.33,-0.010751612
12/10/2011,45.82,0.021843119
11/10/2011,44.83,-0.011753101
10/10/2011,45.36,0.041180304
07/10/2011,43.53,-0.013462839
06/10/2011,44.12,0.010022863
05/10/2011,43.68,0.01615544
04/10/2011,42.98,0.012407978
03/10/2011,42.45,-0.03813287
30/09/2011,44.1,-0.023530497
29/09/2011,45.15,0.003994679
28/09/2011,44.97,-0.032811342
27/09/2011,46.47,0.006476707
26/09/2011,46.17,0.013300098
23/09/2011,45.56,0.017491866
22/09/2011,44.77,-0.025580226
21/09/2011,45.93,-0.032979434
20/09/2011,47.47,0.006127859
19/09/2011,47.18,-0.024702952
16/09/2011,48.36,0.013951293
15/09/2011,47.69,-0.011259502
14/09/2011,48.23,0.011259502
13/09/2011,47.69,0.00315027
12/09/2011,47.54,-0.003779135
09/09/2011,47.72,-0.040855523
08/09/2011,49.71,-0.032264055
07/09/2011,51.34,0.021658653
06/09/2011,50.24,-0.005755697
02/09/2011,50.53,-0.020178959
01/09/2011,51.56,-0.011953102
31/08/2011,52.18,0.001918282
30/08/2011,52.08,0.001537279
29/08/2011,52,0.02748979
26/08/2011,50.59,0.007340575
25/08/2011,50.22,-0.019130847
24/08/2011,51.19,0.012185685
23/08/2011,50.57,0.049660624
22/08/2011,48.12,0.006253929
19/08/2011,47.82,-0.015973786
18/08/2011,48.59,-0.037168488
17/08/2011,50.43,0.010565233
16/08/2011,49.9,0.000400882
15/08/2011,49.88,0.008051573
12/08/2011,49.48,0.017739276
11/08/2011,48.61,0.083855769
10/08/2011,44.7,-0.051449882
09/08/2011,47.06,0.065644104
08/08/2011,44.07,-0.05087342
05/08/2011,46.37,-0.001077702
04/08/2011,46.42,-0.050204809
03/08/2011,48.81,-0.003476842
02/08/2011,48.98,-0.018208069
01/08/2011,49.88,-0.018079364
29/07/2011,50.79,0.001379175
28/07/2011,50.72,-0.021262871
27/07/2011,51.81,-0.005197817
26/07/2011,52.08,0.035770451
25/07/2011,50.25,-0.032115546
22/07/2011,51.89,-0.019655246
21/07/2011,52.92,0.02139119
20/07/2011,51.8,-0.004238111
19/07/2011,52.02,0.008688152
18/07/2011,51.57,-0.0109923
15/07/2011,52.14,-0.008403411
14/07/2011,52.58,-0.006823377
13/07/2011,52.94,0.005492958
12/07/2011,52.65,0.00686109
11/07/2011,52.29,-0.033474355
08/07/2011,54.07,-0.003692085
07/07/2011,54.27,0.004802373
06/07/2011,54.01,0.004267564
05/07/2011,53.78,-0.008148193
01/07/2011,54.22,0.018427697
30/06/2011,53.23,-0.003750239
29/06/2011,53.43,-0.006901081
28/06/2011,53.8,0.015358983
27/06/2011,52.98,0.012344663
24/06/2011,52.33,-0.009320086
23/06/2011,52.82,-0.004344958
22/06/2011,53.05,-0.008633687
21/06/2011,53.51,0.011276195
20/06/2011,52.91,0.007779187
17/06/2011,52.5,0.009377162
16/06/2011,52.01,-0.004795252
15/06/2011,52.26,-0.035157301
14/06/2011,54.13,0.012829032
13/06/2011,53.44,-0.001869509
10/06/2011,53.54,-0.025448543
09/06/2011,54.92,0.013750331
08/06/2011,54.17,-0.002581122
07/06/2011,54.31,0.019147346
06/06/2011,53.28,-0.017488818
03/06/2011,54.22,-0.011734641
02/06/2011,54.86,0.001094292
01/06/2011,54.8,-0.003642991
31/05/2011,55,0.008582176
27/05/2011,54.53,-0.001832173
26/05/2011,54.63,-0.012370542
25/05/2011,55.31,-0.001806359
24/05/2011,55.41,0.000361011
23/05/2011,55.39,-0.027072001
20/05/2011,56.91,-0.009965989
19/05/2011,57.48,0.001392758
18/05/2011,57.4,0.022552048
17/05/2011,56.12,0.005001797
16/05/2011,55.84,0
13/05/2011,55.84,-0.00517997
12/05/2011,56.13,0.008588351
11/05/2011,55.65,-0.01054617
10/05/2011,56.24,0.014326893
09/05/2011,55.44,0.01563384
06/05/2011,54.58,0
05/05/2011,54.58,-0.007301967
04/05/2011,54.98,-0.012471919
03/05/2011,55.67,0.002698086
02/05/2011,55.52,-0.003057281
29/04/2011,55.69,-0.009471968
28/04/2011,56.22,-0.004968073
27/04/2011,56.5,0.015877597
26/04/2011,55.61,0.00939483
25/04/2011,55.09,0.002726531
21/04/2011,54.94,0.019667944
20/04/2011,53.87,0.006144699
19/04/2011,53.54,0.016383005
18/04/2011,52.67,-0.021227434
15/04/2011,53.8,0.018762276
14/04/2011,52.8,0.007795457
13/04/2011,52.39,-0.001716411
12/04/2011,52.48,-0.008915927
11/04/2011,52.95,0.010059874
08/04/2011,52.42,-0.001905852
07/04/2011,52.52,-0.003800841
06/04/2011,52.72,0.005897477
05/04/2011,52.41,-0.007792494
04/04/2011,52.82,0.003033753
01/04/2011,52.66,0.013766948
31/03/2011,51.94,-0.003267663
30/03/2011,52.11,0
29/03/2011,52.11,0.009835196
28/03/2011,51.6,-0.006760045
25/03/2011,51.95,0.001541129
24/03/2011,51.87,0.005412733
23/03/2011,51.59,-0.00849262
22/03/2011,52.03,-0.018094009
21/03/2011,52.98,0.025617918
18/03/2011,51.64,-0.000774293
17/03/2011,51.68,0.024484623
16/03/2011,50.43,-0.013002547
15/03/2011,51.09,-0.017654935
14/03/2011,52,-0.013940835
11/03/2011,52.73,0.003990504
10/03/2011,52.52,-0.017739661
09/03/2011,53.46,0.00168492
08/03/2011,53.37,0.005825442
07/03/2011,53.06,0.001508865
04/03/2011,52.98,-0.000566091
03/03/2011,53.01,0.030258915
02/03/2011,51.43,-0.00019442
01/03/2011,51.44,-0.000194382
28/02/2011,51.45,0.014093011
25/02/2011,50.73,0.008313587
24/02/2011,50.31,-0.001390406
23/02/2011,50.38,-0.003368675
22/02/2011,50.55,-0.017064256
18/02/2011,51.42,0.006438418
17/02/2011,51.09,0.009439598
16/02/2011,50.61,0.003562949
15/02/2011,50.43,-0.012806795
14/02/2011,51.08,0.011221695
11/02/2011,50.51,0.013554124
10/02/2011,49.83,0.001807774
09/02/2011,49.74,0.001811048
08/02/2011,49.65,0.008292089
