Date,Close,DAL
19/03/2012,9.31,0.010799241
16/03/2012,9.21,-0.044593376
15/03/2012,9.63,0.034868826
14/03/2012,9.3,-0.001074691
13/03/2012,9.31,0.012973155
12/03/2012,9.19,-0.01939716
09/03/2012,9.37,-0.010615811
08/03/2012,9.47,0.010615811
07/03/2012,9.37,0.001067806
06/03/2012,9.36,-0.032583019
05/03/2012,9.67,-0.010288157
02/03/2012,9.77,0.013395357
01/03/2012,9.64,-0.017481165
29/02/2012,9.81,-0.009132484
28/02/2012,9.9,0.024541109
27/02/2012,9.66,0.013548931
24/02/2012,9.53,-0.016649708
23/02/2012,9.69,-0.024466052
22/02/2012,9.93,-0.012012156
21/02/2012,10.05,-0.074747427
17/02/2012,10.83,-0.009191241
16/02/2012,10.93,0.009191241
15/02/2012,10.83,-0.010105736
14/02/2012,10.94,-0.019013701
13/02/2012,11.15,0.023594561
10/02/2012,10.89,-0.020900352
09/02/2012,11.12,0.01175952
08/02/2012,10.99,0.001821494
07/02/2012,10.97,-0.001821494
06/02/2012,10.99,-0.027816957
03/02/2012,11.3,0.017857617
02/02/2012,11.1,0.018182319
01/02/2012,10.9,0.032636929
31/01/2012,10.55,-0.020638631
30/01/2012,10.77,0.035920686
27/01/2012,10.39,0.021401595
26/01/2012,10.17,0.020865138
25/01/2012,9.96,0.059997309
24/01/2012,9.38,0.00964121
23/01/2012,9.29,-0.012834401
20/01/2012,9.41,0.008537939
19/01/2012,9.33,0.044939068
18/01/2012,8.92,0.021530577
17/01/2012,8.73,-0.013652089
13/01/2012,8.85,-0.002257337
12/01/2012,8.87,0.029750478
11/01/2012,8.61,0.040289809
10/01/2012,8.27,-0.001208459
09/01/2012,8.28,-0.004819286
06/01/2012,8.32,-0.001201201
05/01/2012,8.33,0.039172695
04/01/2012,8.01,-0.003738322
03/01/2012,8.04,-0.006199648
30/12/2011,8.09,0
29/12/2011,8.09,-0.003701423
28/12/2011,8.12,-0.007361996
27/12/2011,8.18,-0.018171306
23/12/2011,8.33,-0.003594971
22/12/2011,8.36,-0.013072082
21/12/2011,8.47,-0.018713996
20/12/2011,8.63,0.014002563
19/12/2011,8.51,-0.058202391
16/12/2011,9.02,0.048845598
15/12/2011,8.59,0.052580809
14/12/2011,8.15,0.019827167
13/12/2011,7.99,-0.061875404
12/12/2011,8.5,0
