Date,Close,CL
08/06/2011,84.21,0.003807262
07/06/2011,83.89,-0.006416372
06/06/2011,84.43,0.003797323
03/06/2011,84.11,-0.016156964
02/06/2011,85.48,-0.01659067
01/06/2011,86.91,-0.007108491
31/05/2011,87.53,0.020895421
27/05/2011,85.72,0.004677277
26/05/2011,85.32,0.002816903
25/05/2011,85.08,-0.006093293
24/05/2011,85.6,-0.005475636
23/05/2011,86.07,-0.005561363
20/05/2011,86.55,-0.004035751
19/05/2011,86.9,0.007971852
18/05/2011,86.21,-0.000695733
17/05/2011,86.27,0.003716181
16/05/2011,85.95,-0.00695655
13/05/2011,86.55,-0.007596722
12/05/2011,87.21,0.024844556
11/05/2011,85.07,-0.004573983
10/05/2011,85.46,0.005632496
09/05/2011,84.98,0.00117744
06/05/2011,84.88,-0.000235599
05/05/2011,84.9,-0.008795131
04/05/2011,85.65,0.011153623
03/05/2011,84.7,0.001772526
02/05/2011,84.55,0.002368266
29/04/2011,84.35,0.016495712
28/04/2011,82.97,0.023289475
27/04/2011,81.06,0.006311512
26/04/2011,80.55,0.008102257
25/04/2011,79.9,-0.009342952
21/04/2011,80.65,-0.00765814
20/04/2011,81.27,-0.001843998
19/04/2011,81.42,0.000860109
18/04/2011,81.35,-0.005638652
15/04/2011,81.81,-0.000366636
14/04/2011,81.84,0.002814318
13/04/2011,81.61,-0.011331221
12/04/2011,82.54,0.011331221
11/04/2011,81.61,0.00405182
08/04/2011,81.28,-0.003438962
07/04/2011,81.56,0.000367895
06/04/2011,81.53,0.008499158
05/04/2011,80.84,-0.002224145
04/04/2011,81.02,0.006190437
01/04/2011,80.52,-0.002976193
31/03/2011,80.76,-0.005556599
30/03/2011,81.21,0.009775491
29/03/2011,80.42,-0.000870052
28/03/2011,80.49,0.004233074
25/03/2011,80.15,-0.001869742
24/03/2011,80.3,0.02534974
23/03/2011,78.29,-0.001786626
22/03/2011,78.43,0.000255037
21/03/2011,78.41,0.01879561
18/03/2011,76.95,0.003254152
17/03/2011,76.7,0.000521648
16/03/2011,76.66,-0.007925722
15/03/2011,77.27,-0.012858606
14/03/2011,78.27,-0.011559354
11/03/2011,79.18,0.002529086
10/03/2011,78.98,-0.000253197
09/03/2011,79,0.01030609
08/03/2011,78.19,0.00834783
07/03/2011,77.54,0.000515996
04/03/2011,77.5,-0.007327924
03/03/2011,78.07,0.009911905
02/03/2011,77.3,-0.004388803
01/03/2011,77.64,-0.011270611
28/02/2011,78.52,0.005107263
25/02/2011,78.12,0.005905782
24/02/2011,77.66,-0.009100877
23/02/2011,78.37,-0.002930498
22/02/2011,78.6,0.002292703
18/02/2011,78.42,0.00025507
17/02/2011,78.4,-0.001784122
16/02/2011,78.54,0.003827023
15/02/2011,78.24,-0.009793401
14/02/2011,79.01,0.001139746
11/02/2011,78.92,0.015193398
10/02/2011,77.73,-0.007561715
