Date,Close,KO
27/01/2012,67.44,-0.008416439
26/01/2012,68.01,-0.006156572
25/01/2012,68.43,0.00777529
24/01/2012,67.9,-0.009235571
23/01/2012,68.53,0.006441246
20/01/2012,68.09,0.009443777
19/01/2012,67.45,-0.00207346
18/01/2012,67.59,0.00355714
17/01/2012,67.35,0.005359548
13/01/2012,66.99,-0.008620743
12/01/2012,67.57,-0.007225572
11/01/2012,68.06,-0.018632271
10/01/2012,69.34,0.005930443
09/01/2012,68.93,0
06/01/2012,68.93,-0.006363
05/01/2012,69.37,-0.00474582
04/01/2012,69.7,-0.006292927
03/01/2012,70.14,0.002426666
30/12/2011,69.97,-0.002711769
29/12/2011,70.16,0.009307721
28/12/2011,69.51,-0.005308858
27/12/2011,69.88,-0.000858246
23/12/2011,69.94,0.010781388
22/12/2011,69.19,-0.005477096
21/12/2011,69.57,0.016960615
20/12/2011,68.4,0.01517301
19/12/2011,67.37,-0.001038499
16/12/2011,67.44,0.008188835
15/12/2011,66.89,0.009463082
14/12/2011,66.26,-0.003314754
13/12/2011,66.48,-0.006148329
12/12/2011,66.89,-0.010114618
09/12/2011,67.57,0.012509471
08/12/2011,66.73,-0.000749008
07/12/2011,66.78,0.001498577
06/12/2011,66.68,0.005564343
05/12/2011,66.31,-0.001055091
02/12/2011,66.38,-0.006756275
01/12/2011,66.83,-0.005967495
30/11/2011,67.23,0.015590182
29/11/2011,66.19,0.015530154
28/11/2011,65.17,0.006619992
25/11/2011,64.74,-0.002006019
23/11/2011,64.87,-0.016814826
22/11/2011,65.97,0.000303214
21/11/2011,65.95,-0.02159976
18/11/2011,67.39,0.011491806
17/11/2011,66.62,-0.005837029
16/11/2011,67.01,-0.014665843
15/11/2011,68,0.003093014
14/11/2011,67.79,-0.004856164
11/11/2011,68.12,0.010774217
10/11/2011,67.39,0.005356359
09/11/2011,67.03,-0.023880852
08/11/2011,68.65,0.006429951
07/11/2011,68.21,0.006324015
04/11/2011,67.78,-0.012753966
03/11/2011,68.65,0.012901513
02/11/2011,67.77,0.010830163
01/11/2011,67.04,-0.018913093
31/10/2011,68.32,-0.008888947
28/10/2011,68.93,0.005236376
27/10/2011,68.57,0.016172067
26/10/2011,67.47,0.007736983
25/10/2011,66.95,-0.013648039
24/10/2011,67.87,-0.004703816
21/10/2011,68.19,0.015815864
20/10/2011,67.12,0.001341782
19/10/2011,67.03,0.004335807
18/10/2011,66.74,-0.003888146
17/10/2011,67,-0.012606767
14/10/2011,67.85,0.006654368
13/10/2011,67.4,-0.00118624
12/10/2011,67.48,0.010128177
11/10/2011,66.8,-0.001495887
10/10/2011,66.9,0.015060526
07/10/2011,65.9,0.0077691
06/10/2011,65.39,-0.002138711
05/10/2011,65.53,0.004588567
04/10/2011,65.23,-0.002908536
03/10/2011,65.42,-0.03218807
30/09/2011,67.56,-0.021814788
29/09/2011,69.05,0.014441211
28/09/2011,68.06,-0.021943771
27/09/2011,69.57,0.011711259
26/09/2011,68.76,0.019680471
23/09/2011,67.42,-0.005915427
22/09/2011,67.82,-0.021299128
21/09/2011,69.28,-0.019581845
20/09/2011,70.65,0.002267253
19/09/2011,70.49,-0.010443222
16/09/2011,71.23,0.00295255
15/09/2011,71.02,0.01775741
14/09/2011,69.77,0.009649387
13/09/2011,69.1,-0.004043911
12/09/2011,69.38,0.000144144
09/09/2011,69.37,-0.025616884
08/09/2011,71.17,0.005212381
07/09/2011,70.8,0.01953995
06/09/2011,69.43,-0.00445499
02/09/2011,69.74,-0.010129197
01/09/2011,70.45,0
31/08/2011,70.45,0.008409999
30/08/2011,69.86,0.001862598
29/08/2011,69.73,0.017796896
26/08/2011,68.5,0.007767314
25/08/2011,67.97,-0.024846901
24/08/2011,69.68,0.008937641
23/08/2011,69.06,0.02626132
22/08/2011,67.27,0.002530328
19/08/2011,67.1,-0.009788006
18/08/2011,67.76,-0.022184214
17/08/2011,69.28,0.016151679
16/08/2011,68.17,-0.000439979
15/08/2011,68.2,0.015664573
12/08/2011,67.14,0.010029273
11/08/2011,66.47,0.03849283
10/08/2011,63.96,-0.04164717
09/08/2011,66.68,0.023673336
08/08/2011,65.12,-0.025022156
05/08/2011,66.77,0.014330134
04/08/2011,65.82,-0.038449081
03/08/2011,68.4,0.019635975
02/08/2011,67.07,-0.009792363
01/08/2011,67.73,-0.00412554
29/07/2011,68.01,-0.01169433
28/07/2011,68.81,0.001745455
27/07/2011,68.69,-0.007252715
26/07/2011,69.19,-0.001011195
25/07/2011,69.26,-0.006763102
22/07/2011,69.73,0.005608701
21/07/2011,69.34,0.006801271
20/07/2011,68.87,-0.006512795
19/07/2011,69.32,0.032251403
18/07/2011,67.12,-0.006089881
15/07/2011,67.53,-0.002071007
14/07/2011,67.67,-0.005746719
13/07/2011,68.06,0.003090283
12/07/2011,67.85,-0.003677827
11/07/2011,68.1,-0.008480823
08/07/2011,68.68,-0.001018701
07/07/2011,68.75,0.003205131
06/07/2011,68.53,0.003361839
05/07/2011,68.3,0.003079407
01/07/2011,68.09,0.011818722
30/06/2011,67.29,0.00865677
29/06/2011,66.71,0.010245683
28/06/2011,66.03,0.012496353
27/06/2011,65.21,0.004303065
24/06/2011,64.93,-0.000769764
23/06/2011,64.98,-0.021617526
22/06/2011,66.4,0.00211066
21/06/2011,66.26,0.006510735
20/06/2011,65.83,0.003195134
17/06/2011,65.62,0.001983068
16/06/2011,65.49,0.007971834
15/06/2011,64.97,-0.009802498
14/06/2011,65.61,0.007496402
13/06/2011,65.12,-0.00413762
10/06/2011,65.39,-0.007617343
09/06/2011,65.89,0.007464426
08/06/2011,65.4,0.00306279
07/06/2011,65.2,-0.003368553
06/06/2011,65.42,-0.001680031
03/06/2011,65.53,-0.007752566
02/06/2011,66.04,-0.01084348
01/06/2011,66.76,-0.000748671
31/05/2011,66.81,0.004500458
27/05/2011,66.51,-0.002852641
26/05/2011,66.7,-0.00314348
25/05/2011,66.91,-0.008334622
24/05/2011,67.47,-0.000296384
23/05/2011,67.49,-0.011930328
20/05/2011,68.3,-0.002339867
19/05/2011,68.46,0.002339867
18/05/2011,68.3,0.004549131
17/05/2011,67.99,0.002356061
16/05/2011,67.83,-0.005146692
13/05/2011,68.18,-0.001904902
12/05/2011,68.31,0.014598799
11/05/2011,67.32,-0.000297044
10/05/2011,67.34,0.005808342
09/05/2011,66.95,0.000747105
06/05/2011,66.9,0.002994014
05/05/2011,66.7,-0.011329877
04/05/2011,67.46,-0.006206611
03/05/2011,67.88,0.002359883
02/05/2011,67.72,0.003846728
29/04/2011,67.46,0.000741455
28/04/2011,67.41,0.006100755
27/04/2011,67,0.001045322
26/04/2011,66.93,-0.01202955
25/04/2011,67.74,-0.002064593
21/04/2011,67.88,0.000442054
20/04/2011,67.85,0.011264385
19/04/2011,67.09,-0.003273812
18/04/2011,67.31,-0.010345939
15/04/2011,68.01,-0.004401416
14/04/2011,68.31,0.015193153
13/04/2011,67.28,0.005664049
12/04/2011,66.9,-0.007446051
11/04/2011,67.4,0.001930646
08/04/2011,67.27,-0.002523942
07/04/2011,67.44,-0.002813358
06/04/2011,67.63,0.002368617
05/04/2011,67.47,-0.002812109
04/04/2011,67.66,0.006524341
01/04/2011,67.22,0.013177789
31/03/2011,66.34,0.004532414
30/03/2011,66.04,0.004857326
29/03/2011,65.72,0.010554591
28/03/2011,65.03,-0.002917468
25/03/2011,65.22,0.00815954
24/03/2011,64.69,0.006513671
23/03/2011,64.27,0.011895586
22/03/2011,63.51,-0.000944287
21/03/2011,63.57,0.013780213
18/03/2011,62.7,0.006721101
17/03/2011,62.28,0.010978476
16/03/2011,61.6,-0.022948933
15/03/2011,63.03,-0.01433434
14/03/2011,63.94,-0.013514769
11/03/2011,64.81,-0.007378973
10/03/2011,65.29,-0.005041642
09/03/2011,65.62,-0.000304739
08/03/2011,65.64,0.006419096
07/03/2011,65.22,0.000153339
04/03/2011,65.21,-0.005505443
03/03/2011,65.57,0.017538911
02/03/2011,64.43,-0.007422332
01/03/2011,64.91,0.015369394
28/02/2011,63.92,-0.006082839
25/02/2011,64.31,0.006708817
24/02/2011,63.88,-0.00046952
23/02/2011,63.91,0.002349809
22/02/2011,63.76,-0.012314083
18/02/2011,64.55,0
17/02/2011,64.55,0.017976256
16/02/2011,63.4,0.003317801
15/02/2011,63.19,0.000791578
14/02/2011,63.14,-0.006787178
11/02/2011,63.57,0.000472032
10/02/2011,63.54,0.00615678
09/02/2011,63.15,0.004443746
08/02/2011,62.87,0.005582597
07/02/2011,62.52,-0.000639591
04/02/2011,62.56,-0.000159834
03/02/2011,62.57,-0.004624101
02/02/2011,62.86,-0.003018031
01/02/2011,63.05,0.003177127
31/01/2011,62.85,0.010235177
28/01/2011,62.21,-0.007845689
27/01/2011,62.7,-0.004138156
26/01/2011,62.96,0
25/01/2011,62.96,-0.004595523
24/01/2011,63.25,0.007617875
21/01/2011,62.77,-0.002545745
20/01/2011,62.93,-0.007756272
19/01/2011,63.42,-0.000945627
