Date,Close,SNI
28/09/2011,39.01,-0.034268911
27/09/2011,40.37,-0.022533405
26/09/2011,41.29,0.013655418
23/09/2011,40.73,0.011606501
22/09/2011,40.26,-0.041834894
21/09/2011,41.98,-0.033035685
20/09/2011,43.39,0.021902087
19/09/2011,42.45,-0.006574337
16/09/2011,42.73,-0.004203649
15/09/2011,42.91,0.031966733
14/09/2011,41.56,0.031283098
13/09/2011,40.28,0.017531128
12/09/2011,39.58,-0.0237185
09/09/2011,40.53,-0.01250476
08/09/2011,41.04,-0.000243635
07/09/2011,41.05,0.027662915
06/09/2011,39.93,-0.019100171
02/09/2011,40.7,-0.039267962
01/09/2011,42.33,-0.012209591
31/08/2011,42.85,0.017895462
30/08/2011,42.09,0.01243143
29/08/2011,41.57,0.048549635
26/08/2011,39.6,0.010662706
25/08/2011,39.18,-0.028433165
24/08/2011,40.31,0.007720123
23/08/2011,40,0.02891401
22/08/2011,38.86,0.000514801
19/08/2011,38.84,-0.025420789
18/08/2011,39.84,-0.061096988
17/08/2011,42.35,-0.007527676
16/08/2011,42.67,-0.007704018
15/08/2011,43,0.007469689
12/08/2011,42.68,0.012495742
11/08/2011,42.15,0.052105262
10/08/2011,40.01,-0.050205475
09/08/2011,42.07,0.111799074
08/08/2011,37.62,-0.074259856
05/08/2011,40.52,0.002965894
04/08/2011,40.4,-0.057941935
03/08/2011,42.81,-0.018744041
02/08/2011,43.62,-0.058978042
01/08/2011,46.27,-0.001511716
29/07/2011,46.34,-0.014780177
28/07/2011,47.03,-0.006781124
27/07/2011,47.35,-0.015091462
26/07/2011,48.07,0.001874024
25/07/2011,47.98,-0.006440242
22/07/2011,48.29,0.008317786
21/07/2011,47.89,0.031607255
20/07/2011,46.4,-0.001292268
19/07/2011,46.46,0.0171501
18/07/2011,45.67,-0.044746842
15/07/2011,47.76,0.001257071
14/07/2011,47.7,0.014145702
13/07/2011,47.03,0.004261673
12/07/2011,46.83,-0.008293508
11/07/2011,47.22,-0.003593704
08/07/2011,47.39,-0.035244112
07/07/2011,49.09,-0.001018019
06/07/2011,49.14,-0.010123593
05/07/2011,49.64,0.005859194
01/07/2011,49.35,0.009569451
30/06/2011,48.88,-0.003879535
29/06/2011,49.07,0.01085965
28/06/2011,48.54,0.018715456
27/06/2011,47.64,0.005894754
24/06/2011,47.36,-0.0035831
23/06/2011,47.53,-0.012752342
22/06/2011,48.14,0.0093917
21/06/2011,47.69,0.023765175
20/06/2011,46.57,-0.012165341
17/06/2011,47.14,0.057183371
16/06/2011,44.52,-0.029436672
15/06/2011,45.85,-0.010414501
14/06/2011,46.33,0.011723973
13/06/2011,45.79,-0.004140793
10/06/2011,45.98,-0.010169946
09/06/2011,46.45,0.016059373
08/06/2011,45.71,-0.007627802
07/06/2011,46.06,-0.005413026
06/06/2011,46.31,-0.015215123
03/06/2011,47.02,-0.020836279
02/06/2011,48.01,-0.008503629
01/06/2011,48.42,-0.040673285
31/05/2011,50.43,0.004969695
27/05/2011,50.18,0.001595533
26/05/2011,50.1,0.010231808
25/05/2011,49.59,-0.00402496
24/05/2011,49.79,0.021108963
23/05/2011,48.75,-0.024917728
20/05/2011,49.98,-0.039428467
19/05/2011,51.99,0.004433742
18/05/2011,51.76,0.028413786
17/05/2011,50.31,-0.000198748
16/05/2011,50.32,-0.008903017
13/05/2011,50.77,-0.012916031
12/05/2011,51.43,0.005068237
11/05/2011,51.17,-0.011464227
10/05/2011,51.76,0.014008011
09/05/2011,51.04,0.007078284
06/05/2011,50.68,0.01270867
05/05/2011,50.04,-0.019395027
04/05/2011,51.02,-0.006641947
03/05/2011,51.36,-0.011614532
02/05/2011,51.96,0.01044699
29/04/2011,51.42,0.027604276
28/04/2011,50.02,0.004407941
27/04/2011,49.8,0.003419494
26/04/2011,49.63,0.007483097
25/04/2011,49.26,-0.004658236
21/04/2011,49.49,-0.001009795
20/04/2011,49.54,0.008717744
