Date,Close,KMX
26/03/2012,34.98,0.024013884
23/03/2012,34.15,-0.002047682
22/03/2012,34.22,-0.006988963
21/03/2012,34.46,-0.002318842
20/03/2012,34.54,-0.000578871
19/03/2012,34.56,0.010178945
16/03/2012,34.21,-0.008441325
15/03/2012,34.5,0.00639723
14/03/2012,34.28,0.004971497
13/03/2012,34.11,0.021633678
12/03/2012,33.38,-0.008650315
09/03/2012,33.67,0.002676582
08/03/2012,33.58,0.027779564
07/03/2012,32.66,0.018230074
06/03/2012,32.07,-0.000935016
05/03/2012,32.1,-0.004351888
02/03/2012,32.24,0.035357218
01/03/2012,31.12,0.013913831
29/02/2012,30.69,-0.012949355
28/02/2012,31.09,0.013601246
27/02/2012,30.67,0.016105525
24/02/2012,30.18,-0.001324504
23/02/2012,30.22,-0.00560965
22/02/2012,30.39,0.014584282
21/02/2012,29.95,-0.007650129
17/02/2012,30.18,0.017380117
16/02/2012,29.66,0.019404864
15/02/2012,29.09,-0.021425747
14/02/2012,29.72,0.003370411
13/02/2012,29.62,-0.009743064
10/02/2012,29.91,-0.016578629
09/02/2012,30.41,0.016244349
08/02/2012,29.92,-0.014598799
07/02/2012,30.36,0.001318392
06/02/2012,30.32,0.020660515
03/02/2012,29.7,-0.02821764
02/02/2012,30.55,0.001638002
01/02/2012,30.5,0.00229772
31/01/2012,30.43,-0.027869594
30/01/2012,31.29,-0.004464293
27/01/2012,31.43,-0.010759597
26/01/2012,31.77,-0.018091573
25/01/2012,32.35,-0.006777598
24/01/2012,32.57,-0.003983459
23/01/2012,32.7,0.007674635
20/01/2012,32.45,-0.024354324
19/01/2012,33.25,0.006941329
18/01/2012,33.02,0.018029518
17/01/2012,32.43,-0.00645461
13/01/2012,32.64,0.021053409
12/01/2012,31.96,0.006592396
11/01/2012,31.75,0.026166139
10/01/2012,30.93,0.027866088
09/01/2012,30.08,-0.007947062
06/01/2012,30.32,-0.019272195
05/01/2012,30.91,0.006165848
04/01/2012,30.72,0.006531702
03/01/2012,30.52,0.001311476
30/12/2011,30.48,-0.011093099
29/12/2011,30.82,0.025634003
28/12/2011,30.04,-0.005312097
27/12/2011,30.2,-0.003305788
23/12/2011,30.3,0.016974946
22/12/2011,29.79,0.01488022
21/12/2011,29.35,-0.056950177
20/12/2011,31.07,0.03038953
19/12/2011,30.14,-0.007272759
16/12/2011,30.36,0.010263292
15/12/2011,30.05,0.007683352
14/12/2011,29.82,-0.020249655
13/12/2011,30.43,-0.018235608
12/12/2011,30.99,-0.005149673
