Date,Close,GPS
14/06/2012,26.42,0.030748003
13/06/2012,25.62,-0.016644472
12/06/2012,26.05,0.018989139
11/06/2012,25.56,-0.026256335
08/06/2012,26.24,0.020793972
07/06/2012,25.7,0.000389181
06/06/2012,25.69,0.00624758
05/06/2012,25.53,0.001960401
04/06/2012,25.48,0.008671714
01/06/2012,25.26,-0.047922616
31/05/2012,26.5,-0.006394605
30/05/2012,26.67,-0.037893075
29/05/2012,27.7,0.019687111
25/05/2012,27.16,0.006278876
24/05/2012,26.99,0.008558192
23/05/2012,26.76,0.010140932
22/05/2012,26.49,-0.000754717
21/05/2012,26.51,0.030641999
18/05/2012,25.71,-0.023069074
17/05/2012,26.31,-0.029584633
16/05/2012,27.1,-0.012103577
15/05/2012,27.43,0.002189782
14/05/2012,27.37,-0.022756987
11/05/2012,28,-0.004276557
10/05/2012,28.12,0.007496019
09/05/2012,27.91,-0.005003584
08/05/2012,28.05,-0.018368584
07/05/2012,28.57,0.013035238
04/05/2012,28.2,-0.016529302
03/05/2012,28.67,-0.016260521
02/05/2012,29.14,0.021155636
01/05/2012,28.53,0.001052078
30/04/2012,28.5,-0.001052078
27/04/2012,28.53,0.00456702
26/04/2012,28.4,0.018120944
25/04/2012,27.89,0.025418943
24/04/2012,27.19,-0.018222079
23/04/2012,27.69,-0.005761629
20/04/2012,27.85,0.012646962
19/04/2012,27.5,-0.004354143
18/04/2012,27.62,0.021962815
17/04/2012,27.02,0.022077604
16/04/2012,26.43,-0.004906596
13/04/2012,26.56,0.022849433
12/04/2012,25.96,0.018663061
11/04/2012,25.48,0.009860068
10/04/2012,25.23,-0.034667542
09/04/2012,26.12,-0.012554854
05/04/2012,26.45,-0.007532992
04/04/2012,26.65,0.022771382
03/04/2012,26.05,-0.014860247
02/04/2012,26.44,0.011411307
30/03/2012,26.14,0.001531394
29/03/2012,26.1,-0.006111555
28/03/2012,26.26,-0.015867352
27/03/2012,26.68,-0.007096202
26/03/2012,26.87,0.015376264
23/03/2012,26.46,0.008349195
22/03/2012,26.24,0.006883392
21/03/2012,26.06,-0.002682508
20/03/2012,26.13,0.001915342
19/03/2012,26.08,0.026813341
16/03/2012,25.39,-0.009798236
15/03/2012,25.64,0.007830894
14/03/2012,25.44,-0.000393005
13/03/2012,25.45,0.014246383
12/03/2012,25.09,0.003593536
09/03/2012,25,0.004409708
08/03/2012,24.89,0.014977005
07/03/2012,24.52,0.010248091
06/03/2012,24.27,-0.013911845
05/03/2012,24.61,0.00815998
02/03/2012,24.41,-0.025880943
01/03/2012,25.05,0.06984867
29/02/2012,23.36,-0.014871742
28/02/2012,23.71,0.027363828
27/02/2012,23.07,0.021911481
24/02/2012,22.57,-0.041229532
23/02/2012,23.52,0.023226851
22/02/2012,22.98,0.006548812
21/02/2012,22.83,0.004829867
17/02/2012,22.72,0.01195498
16/02/2012,22.45,0.002229655
15/02/2012,22.4,0.002682165
14/02/2012,22.34,0.028145299
13/02/2012,21.72,0.006003251
10/02/2012,21.59,0.008372142
09/02/2012,21.41,0.006090438
08/02/2012,21.28,-0.018622512
07/02/2012,21.68,0.000461361
06/02/2012,21.67,-0.001844168
