Date,Close,CINF
03/06/2011,29.44,-0.00778214
02/06/2011,29.67,-0.003364741
01/06/2011,29.77,-0.021599112
31/05/2011,30.42,0.010907396
27/05/2011,30.09,-0.000664452
26/05/2011,30.11,0.00800271
25/05/2011,29.87,-0.001003848
24/05/2011,29.9,-0.009652263
23/05/2011,30.19,-0.016426125
20/05/2011,30.69,-0.010050336
19/05/2011,31,-0.004505962
18/05/2011,31.14,0.00676658
17/05/2011,30.93,0.000323363
16/05/2011,30.92,0.000323468
13/05/2011,30.91,-0.012218802
12/05/2011,31.29,0.0086664
11/05/2011,31.02,-0.016307316
10/05/2011,31.53,0.008280302
09/05/2011,31.27,0.010286172
06/05/2011,30.95,0.00583281
05/05/2011,30.77,-0.014518726
04/05/2011,31.22,-0.002559182
03/05/2011,31.3,-0.00446287
02/05/2011,31.44,-0.007604599
29/04/2011,31.68,0.002212041
28/04/2011,31.61,-0.032065004
27/04/2011,32.64,0.007071513
26/04/2011,32.41,0.007432676
25/04/2011,32.17,0.001555452
21/04/2011,32.12,0.008127585
20/04/2011,31.86,0.009460809
19/04/2011,31.56,-0.002215541
18/04/2011,31.63,-0.017239104
15/04/2011,32.18,0.004672178
14/04/2011,32.03,-0.00777488
13/04/2011,32.28,-0.005868743
12/04/2011,32.47,-0.016190975
11/04/2011,33,0.002427186
08/04/2011,32.92,-0.0084695
07/04/2011,33.2,-0.009890685
06/04/2011,33.53,0.009589525
05/04/2011,33.21,-0.003906842
04/04/2011,33.34,0.010553392
01/04/2011,32.99,0.006080894
31/03/2011,32.79,-0.005474466
30/03/2011,32.97,0.012513516
29/03/2011,32.56,0.005543593
28/03/2011,32.38,-0.002775638
25/03/2011,32.47,0.000924357
24/03/2011,32.44,0.003396638
23/03/2011,32.33,-0.008009901
22/03/2011,32.59,-0.008859077
21/03/2011,32.88,0.008552282
18/03/2011,32.6,0.00677134
17/03/2011,32.38,0.012117594
16/03/2011,31.99,-0.011190667
15/03/2011,32.35,-0.014728711
14/03/2011,32.83,-0.007586139
11/03/2011,33.08,0.003330813
10/03/2011,32.97,-0.015350189
09/03/2011,33.48,-0.002386636
08/03/2011,33.56,0.016524336
07/03/2011,33.01,-0.007244221
04/03/2011,33.25,-0.008385793
03/03/2011,33.53,0.014116468
02/03/2011,33.06,-0.009033485
01/03/2011,33.36,-0.020472455
28/02/2011,34.05,0.010332195
25/02/2011,33.7,0.009241383
24/02/2011,33.39,-0.00597195
23/02/2011,33.59,-0.009186611
22/02/2011,33.9,-0.008225663
18/02/2011,34.18,0.008815808
17/02/2011,33.88,0.004140793
16/02/2011,33.74,0.011026784
15/02/2011,33.37,0.001799641
14/02/2011,33.31,-0.008072999
11/02/2011,33.58,0.005973733
10/02/2011,33.38,0.004503836
09/02/2011,33.23,-0.001803969
08/02/2011,33.29,0.00451604
07/02/2011,33.14,-0.000301705
04/02/2011,33.15,0.001811595
03/02/2011,33.09,0.015532519
02/02/2011,32.58,-0.009165967
01/02/2011,32.88,0.025879448
31/01/2011,32.04,-0.003738322
28/01/2011,32.16,-0.019400147
27/01/2011,32.79,0.011656574
26/01/2011,32.41,-0.002773072
25/01/2011,32.5,0.006482505
24/01/2011,32.29,0.016235136
21/01/2011,31.77,0.000314812
20/01/2011,31.76,0.000945031
19/01/2011,31.73,-0.015945312
18/01/2011,32.24,0.002795467
14/01/2011,32.15,0.009375069
13/01/2011,31.85,-0.005010972
12/01/2011,32.01,0.009731673
11/01/2011,31.7,-0.005348448
10/01/2011,31.87,0.001884423
07/01/2011,31.81,-0.009386802
06/01/2011,32.11,-0.000933852
05/01/2011,32.14,0.002804177
04/01/2011,32.05,-0.007770047
03/01/2011,32.3,0.019066057
31/12/2010,31.69,-0.002521275
30/12/2010,31.77,-0.006275515
29/12/2010,31.97,-0.001250391
28/12/2010,32.01,-0.002184429
27/12/2010,32.08,0.004686776
23/12/2010,31.93,-0.009041371
22/12/2010,32.22,0.010608524
21/12/2010,31.88,0.012308819
20/12/2010,31.49,-0.010110671
17/12/2010,31.81,-0.010631745
16/12/2010,32.15,0.005614488
15/12/2010,31.97,-0.000625391
14/12/2010,31.99,-0.001561768
13/12/2010,32.04,0.016362857
10/12/2010,31.52,0.003814372
09/12/2010,31.4,0.006710362
08/12/2010,31.19,0.01096078
07/12/2010,30.85,0.006504088
06/12/2010,30.65,-0.001304206
03/12/2010,30.69,-0.011339827
02/12/2010,31.04,0.007437383
01/12/2010,30.81,0.021654389
30/11/2010,30.15,0.00099552
29/11/2010,30.12,0.005326244
26/11/2010,29.96,-0.010293964
24/11/2010,30.27,0.016320096
23/11/2010,29.78,-0.008359855
22/11/2010,30.03,-0.002992521
19/11/2010,30.12,-0.00033195
18/11/2010,30.13,0.016396553
17/11/2010,29.64,0.003718105
16/11/2010,29.53,-0.021772758
15/11/2010,30.18,0.013678278
12/11/2010,29.77,-0.008029484
11/11/2010,30.01,-0.009286966
10/11/2010,30.29,0.010287132
