Date,Close,TDC
25/11/2011,49.48,-0.009453958
23/11/2011,49.95,-0.027058035
22/11/2011,51.32,0.000974754
21/11/2011,51.27,-0.028837062
18/11/2011,52.77,-0.025076164
17/11/2011,54.11,-0.03700767
16/11/2011,56.15,-0.012213622
15/11/2011,56.84,0.014174582
14/11/2011,56.04,-0.006048764
11/11/2011,56.38,0.018618511
10/11/2011,55.34,0.003439229
09/11/2011,55.15,-0.043465822
08/11/2011,57.6,0.021053409
07/11/2011,56.4,-0.008826183
04/11/2011,56.9,-0.021558554
03/11/2011,58.14,0.008116788
02/11/2011,57.67,0.016081451
01/11/2011,56.75,-0.050006123
31/10/2011,59.66,-0.041371626
28/10/2011,62.18,0.022279155
27/10/2011,60.81,0.073336635
26/10/2011,56.51,0.008173464
25/10/2011,56.05,-0.006047688
24/10/2011,56.39,0.015908817
21/10/2011,55.5,0.005963693
20/10/2011,55.17,-0.041017734
19/10/2011,57.48,-0.030328719
18/10/2011,59.25,0.030502707
17/10/2011,57.47,-0.031514853
14/10/2011,59.31,0.023024808
13/10/2011,57.96,0.011976191
12/10/2011,57.27,0.002622608
11/10/2011,57.12,0.018196775
10/10/2011,56.09,0.043172172
07/10/2011,53.72,-0.026452681
06/10/2011,55.16,0.047902234
05/10/2011,52.58,0.000570722
04/10/2011,52.55,0.033475119
03/10/2011,50.82,-0.051952267
30/09/2011,53.53,-0.027999619
29/09/2011,55.05,-0.02191967
28/09/2011,56.27,-0.014992785
27/09/2011,57.12,0.026251951
26/09/2011,55.64,0.041466223
23/09/2011,53.38,0.041501319
22/09/2011,51.21,-0.031712084
21/09/2011,52.86,0.011798424
20/09/2011,52.24,-0.004202489
19/09/2011,52.46,-0.001714123
16/09/2011,52.55,0.021154635
15/09/2011,51.45,0.008980927
14/09/2011,50.99,0.041647661
13/09/2011,48.91,-0.003469745
12/09/2011,49.08,0.020377365
09/09/2011,48.09,-0.032528182
08/09/2011,49.68,-0.022490748
07/09/2011,50.81,0.018473065
06/09/2011,49.88,0.017187765
02/09/2011,49.03,-0.038019785
01/09/2011,50.93,-0.0276908
31/08/2011,52.36,0.016949558
30/08/2011,51.48,0.022592062
29/08/2011,50.33,0.033538497
26/08/2011,48.67,0.020341092
25/08/2011,47.69,-0.024646583
24/08/2011,48.88,0.013594442
23/08/2011,48.22,0.06711338
22/08/2011,45.09,0.039353789
19/08/2011,43.35,-0.046645833
18/08/2011,45.42,-0.142954055
17/08/2011,52.4,-0.040760924
16/08/2011,54.58,-0.025684175
15/08/2011,56,0.015294945
12/08/2011,55.15,0.033932815
11/08/2011,53.31,0.039018145
10/08/2011,51.27,-0.050951906
09/08/2011,53.95,0.059964506
08/08/2011,50.81,-0.056436511
05/08/2011,53.76,-0.008704565
04/08/2011,54.23,-0.002210353
03/08/2011,54.35,0.010914917
02/08/2011,53.76,-0.030771659
01/08/2011,55.44,0.008695707
29/07/2011,54.96,0.002368158
28/07/2011,54.83,-0.003277497
27/07/2011,55.01,-0.028847293
26/07/2011,56.62,-0.00581141
25/07/2011,56.95,-0.005603237
22/07/2011,57.27,0.007712571
21/07/2011,56.83,-0.010154149
20/07/2011,57.41,-0.032559422
19/07/2011,59.31,0.045003715
18/07/2011,56.7,-0.018695399
15/07/2011,57.77,-0.006728223
14/07/2011,58.16,-0.005657966
13/07/2011,58.49,0.001026343
12/07/2011,58.43,-0.014105086
11/07/2011,59.26,-0.031722331
08/07/2011,61.17,-0.018785978
07/07/2011,62.33,0.011294086
06/07/2011,61.63,0.000811622
05/07/2011,61.58,0.010939778
01/07/2011,60.91,0.011725013
30/06/2011,60.2,0.014725835
29/06/2011,59.32,-0.00437343
28/06/2011,59.58,0.028084562
27/06/2011,57.93,0.00866857
24/06/2011,57.43,-0.010565613
23/06/2011,58.04,0.006568736
22/06/2011,57.66,-0.004326389
21/06/2011,57.91,0.016014267
20/06/2011,56.99,0.015383559
17/06/2011,56.12,0.019613764
16/06/2011,55.03,-0.003808837
15/06/2011,55.24,-0.005416153
14/06/2011,55.54,0.026823978
13/06/2011,54.07,0.02036502
10/06/2011,52.98,-0.008832154
09/06/2011,53.45,-0.008198294
08/06/2011,53.89,-0.016380232
07/06/2011,54.78,0.024952778
06/06/2011,53.43,-0.005599119
03/06/2011,53.73,-0.014045694
02/06/2011,54.49,-0.003480813
01/06/2011,54.68,-0.02009663
31/05/2011,55.79,0.007556711
27/05/2011,55.37,0.005069719
26/05/2011,55.09,0.014996623
25/05/2011,54.27,-0.00036846
24/05/2011,54.29,0.009996381
23/05/2011,53.75,-0.035277349
20/05/2011,55.68,0.014836531
19/05/2011,54.86,0.011181493
18/05/2011,54.25,0.010748806
17/05/2011,53.67,0.017669633
16/05/2011,52.73,-0.010939377
13/05/2011,53.31,-0.01895263
12/05/2011,54.33,0.018202583
11/05/2011,53.35,-0.02517253
10/05/2011,54.71,0.018261136
09/05/2011,53.72,-0.001488096
06/05/2011,53.8,0.015925395
05/05/2011,52.95,-0.019450772
04/05/2011,53.99,-0.005356991
03/05/2011,54.28,-0.02186676
02/05/2011,55.48,-0.007899502
29/04/2011,55.92,0.019502243
28/04/2011,54.84,-0.000546896
27/04/2011,54.87,0.008051279
26/04/2011,54.43,0.012757869
25/04/2011,53.74,0.001862545
21/04/2011,53.64,0.021101009
20/04/2011,52.52,0.030153038
19/04/2011,50.96,0.007682496
18/04/2011,50.57,-0.003356039
15/04/2011,50.74,0.010500344
14/04/2011,50.21,-0.003578533
13/04/2011,50.39,0.018022114
12/04/2011,49.49,-0.014045175
