Date,Close,TMK
14/09/2011,36.71,0.006559193
13/09/2011,36.47,0.007154681
12/09/2011,36.21,0.013064814
09/09/2011,35.74,-0.022684237
08/09/2011,36.56,-0.018697198
07/09/2011,37.25,0.053485735
06/09/2011,35.31,-0.015735082
02/09/2011,35.87,-0.031557016
01/09/2011,37.02,-0.031638954
31/08/2011,38.21,0.011582125
30/08/2011,37.77,-0.005017837
29/08/2011,37.96,0.038399133
26/08/2011,36.53,0.005489995
25/08/2011,36.33,-0.030095805
24/08/2011,37.44,0.022418224
23/08/2011,36.61,0.034174738
22/08/2011,35.38,0.003964888
19/08/2011,35.24,-0.002267575
18/08/2011,35.32,-0.027368366
17/08/2011,36.3,0.003864206
16/08/2011,36.16,-0.018902083
15/08/2011,36.85,0.01917867
12/08/2011,36.15,-0.007990124
11/08/2011,36.44,0.082332191
10/08/2011,33.56,-0.059853098
09/08/2011,35.63,0.071240695
08/08/2011,33.18,-0.098374142
05/08/2011,36.61,-0.015180557
04/08/2011,37.17,-0.047033494
03/08/2011,38.96,0.003342335
02/08/2011,38.83,-0.028936029
01/08/2011,39.97,-0.010453057
29/07/2011,40.39,-0.012792302
28/07/2011,40.91,0.017756323
27/07/2011,40.19,-0.023605719
26/07/2011,41.15,-0.011356894
25/07/2011,41.62,-0.008135963
22/07/2011,41.96,-0.005466443
21/07/2011,42.19,0.017454119
20/07/2011,41.46,0.001448226
19/07/2011,41.4,0.012150818
18/07/2011,40.9,-0.011425917
15/07/2011,41.37,-0.004100838
14/07/2011,41.54,-0.005042633
13/07/2011,41.75,0.001918006
12/07/2011,41.67,-0.002875631
11/07/2011,41.79,-0.032488733
08/07/2011,43.17,-0.011744522
07/07/2011,43.68,0.015922801
06/07/2011,42.99,0.001396648
05/07/2011,42.93,-0.40755935
01/07/2011,64.53,0.006062038
30/06/2011,64.14,0.005628533
29/06/2011,63.78,0.006606914
28/06/2011,63.36,0.008081812
27/06/2011,62.85,0.005584378
24/06/2011,62.5,-0.003673245
23/06/2011,62.73,0.000478354
22/06/2011,62.7,-0.00889177
21/06/2011,63.26,0.006343187
20/06/2011,62.86,-0.000954047
17/06/2011,62.92,0.007177637
16/06/2011,62.47,0.015649267
15/06/2011,61.5,-0.033890712
14/06/2011,63.62,0.008207117
13/06/2011,63.1,-0.001108735
10/06/2011,63.17,-0.00568273
09/06/2011,63.53,0
08/06/2011,63.53,-0.002672327
07/06/2011,63.7,-0.005479466
06/06/2011,64.05,-0.004672906
03/06/2011,64.35,-0.015573517
02/06/2011,65.36,0.00937675
01/06/2011,64.75,-0.023656197
31/05/2011,66.3,0.00544466
27/05/2011,65.94,0.00486471
26/05/2011,65.62,0.001525088
25/05/2011,65.52,-0.000457771
24/05/2011,65.55,-0.005932027
23/05/2011,65.94,-0.013556466
20/05/2011,66.84,-0.009974031
19/05/2011,67.51,0.004751308
18/05/2011,67.19,0.004624458
17/05/2011,66.88,0.003294896
16/05/2011,66.66,0.010101857
13/05/2011,65.99,-0.011001543
12/05/2011,66.72,0.004054973
11/05/2011,66.45,-0.002705141
10/05/2011,66.63,0.012079265
09/05/2011,65.83,0.000911854
06/05/2011,65.77,0.007018643
05/05/2011,65.31,-0.014290301
04/05/2011,66.25,-0.006019582
03/05/2011,66.65,0.005717741
02/05/2011,66.27,-0.00976057
29/04/2011,66.92,0.005093644
28/04/2011,66.58,0.005723769
27/04/2011,66.2,-0.009321974
26/04/2011,66.82,0.008717927
25/04/2011,66.24,-0.00841857
21/04/2011,66.8,0.008569548
20/04/2011,66.23,0.008795932
19/04/2011,65.65,0.007031518
18/04/2011,65.19,-0.018089723
15/04/2011,66.38,0.005892591
14/04/2011,65.99,-0.009051201
13/04/2011,66.59,-0.004644551
12/04/2011,66.9,-0.00268697
11/04/2011,67.08,0.006280864
08/04/2011,66.66,-0.013559025
07/04/2011,67.57,-0.000443885
06/04/2011,67.6,0.005190965
05/04/2011,67.25,-0.008882368
04/04/2011,67.85,0.008585014
01/04/2011,67.27,0.011813221
31/03/2011,66.48,0.009066245
30/03/2011,65.88,0.000303628
29/03/2011,65.86,-0.002577907
28/03/2011,66.03,0.000302939
25/03/2011,66.01,0.014188963
24/03/2011,65.08,-0.001995549
23/03/2011,65.21,0.001534684
22/03/2011,65.11,-0.011756758
21/03/2011,65.88,0.017146777
18/03/2011,64.76,0.014934938
17/03/2011,63.8,0.014048057
16/03/2011,62.91,-0.015927168
15/03/2011,63.92,-0.007947062
14/03/2011,64.43,-0.011266421
11/03/2011,65.16,0.010025533
10/03/2011,64.51,-0.009411471
09/03/2011,65.12,-0.007801187
08/03/2011,65.63,0.017367685
07/03/2011,64.5,-0.013245227
04/03/2011,65.36,0.006446684
03/03/2011,64.94,0.015831465
02/03/2011,63.92,-0.010582109
01/03/2011,64.6,-0.010011635
28/02/2011,65.25,0.01357836
25/02/2011,64.37,0.015026108
24/02/2011,63.41,-0.002677378
23/02/2011,63.58,-0.010482768
22/02/2011,64.25,-0.018504769
18/02/2011,65.45,0.01121622
17/02/2011,64.72,0.012594429
16/02/2011,63.91,0.009748505
15/02/2011,63.29,0.004275202
14/02/2011,63.02,-0.006642441
11/02/2011,63.44,0.009661911
10/02/2011,62.83,-0.027007451
09/02/2011,64.55,0.000929944
08/02/2011,64.49,0.001086029
07/02/2011,64.42,0.012810674
