Date,Close,EA
07/02/2013,16.87,-0.000592593
06/02/2013,16.88,-0.000592242
05/02/2013,16.89,0.054133009
04/02/2013,16,-0.011805045
01/02/2013,16.19,0.028824051
31/01/2013,15.73,0.042200354
30/01/2013,15.08,0.008658063
29/01/2013,14.95,-0.006002019
28/01/2013,15.04,0.018115222
25/01/2013,14.77,0.035139682
24/01/2013,14.26,0.014836019
23/01/2013,14.05,-0.026686977
22/01/2013,14.43,-0.002076844
18/01/2013,14.46,-0.00345185
17/01/2013,14.51,-0.006183462
16/01/2013,14.6,-0.000684697
15/01/2013,14.61,0.012396853
14/01/2013,14.43,0.013254467
11/01/2013,14.24,0.016997576
10/01/2013,14,0.021661497
09/01/2013,13.7,-0.00509648
08/01/2013,13.77,-0.048202102
07/01/2013,14.45,-0.029323615
04/01/2013,14.88,0.009453143
03/01/2013,14.74,0.012973893
02/01/2013,14.55,0.002063984
31/12/2012,14.52,0.042200354
28/12/2012,13.92,-0.007158227
27/12/2012,14.02,-0.009936207
26/12/2012,14.16,0.003537322
24/12/2012,14.11,0.015714609
21/12/2012,13.89,-0.003593249
20/12/2012,13.94,-0.032465801
19/12/2012,14.4,-0.034803922
18/12/2012,14.91,-0.033633239
17/12/2012,15.42,0.00781254
14/12/2012,15.3,0.003273325
13/12/2012,15.25,-0.00523219
12/12/2012,15.33,0.011811161
11/12/2012,15.15,0.022022912
10/12/2012,14.82,-0.001348618
07/12/2012,14.84,0.001348618
06/12/2012,14.82,0.012903405
05/12/2012,14.63,0.013072082
04/12/2012,14.44,-0.006213344
03/12/2012,14.53,-0.019087151
30/11/2012,14.81,-0.014745575
29/11/2012,15.03,0
28/11/2012,15.03,0.019483317
27/11/2012,14.74,0.009543358
26/11/2012,14.6,0.015878829
23/11/2012,14.37,0.028230527
21/11/2012,13.97,0.00790518
20/11/2012,13.86,0.0108815
19/11/2012,13.71,0.04933736
16/11/2012,13.05,0
15/11/2012,13.05,0.023256862
14/11/2012,12.75,-0.01787844
13/11/2012,12.98,-0.003076926
12/11/2012,13.02,0.01003482
09/11/2012,12.89,-0.001550388
08/11/2012,12.91,-0.04023313
07/11/2012,13.44,-0.023530497
06/11/2012,13.76,0.041549003
05/11/2012,13.2,0.016036999
02/11/2012,12.99,-0.000769527
01/11/2012,13,0.051293294
31/10/2012,12.35,0.03627768
26/10/2012,11.91,-0.024876905
25/10/2012,12.21,-0.017052788
24/10/2012,12.42,-0.027790594
23/10/2012,12.77,-0.021689464
22/10/2012,13.05,-0.002296212
19/10/2012,13.08,-0.0557558
18/10/2012,13.83,-0.002888089
17/10/2012,13.87,-0.007899502
16/10/2012,13.98,0.020962098
15/10/2012,13.69,0.020664942
12/10/2012,13.41,0.027212564
11/10/2012,13.05,0.012336317
10/10/2012,12.89,-0.009266476
09/10/2012,13.01,0.002308581
08/10/2012,12.98,0.002313923
05/10/2012,12.95,-0.006158603
04/10/2012,13.03,0.01391058
03/10/2012,12.85,0.015686596
02/10/2012,12.65,0.024001152
01/10/2012,12.35,-0.027158219
28/09/2012,12.69,-0.007067167
27/09/2012,12.78,0.014184635
26/09/2012,12.6,-0.006329135
25/09/2012,12.68,-0.048489683
24/09/2012,13.31,0.005273082
21/09/2012,13.24,-0.017964555
20/09/2012,13.48,-0.032837682
19/09/2012,13.93,-0.005012542
18/09/2012,14,-0.014888612
17/09/2012,14.21,-0.020202707
14/09/2012,14.5,0.018093743
13/09/2012,14.24,0.017712117
12/09/2012,13.99,0.012949821
11/09/2012,13.81,-0.002169983
10/09/2012,13.84,-0.014347448
07/09/2012,14.04,0.029637153
06/09/2012,13.63,0.036612233
05/09/2012,13.14,0.008406622
04/09/2012,13.03,-0.022762743
31/08/2012,13.33,0.025067777
30/08/2012,13,0.011605546
29/08/2012,12.85,0.001557633
28/08/2012,12.83,-0.007764014
27/08/2012,12.93,-0.030466941
24/08/2012,13.33,0.006019582
23/08/2012,13.25,-0.014237783
22/08/2012,13.44,-0.008888947
21/08/2012,13.56,0
20/08/2012,13.56,-0.01536803
17/08/2012,13.77,-0.002900655
16/08/2012,13.81,0.053544387
15/08/2012,13.09,0.029459495
14/08/2012,12.71,-0.012509936
13/08/2012,12.87,-0.016185324
10/08/2012,13.08,-0.003053437
09/08/2012,13.12,0.013814494
08/08/2012,12.94,0.011659673
07/08/2012,12.79,0.047227664
06/08/2012,12.2,0.019032432
03/08/2012,11.97,0.051425212
02/08/2012,11.37,-0.02689967
01/08/2012,11.68,0.058166174
31/07/2012,11.02,-0.018876965
30/07/2012,11.23,-0.015901395
27/07/2012,11.41,0.041150708
26/07/2012,10.95,-0.049876766
25/07/2012,11.51,-0.002603038
24/07/2012,11.54,-0.023973751
23/07/2012,11.82,-0.013445581
20/07/2012,11.98,-0.023918666
19/07/2012,12.27,0.064810223
18/07/2012,11.5,0.012248622
17/07/2012,11.36,-0.014853921
16/07/2012,11.53,-0.015490843
13/07/2012,11.71,0.01030052
12/07/2012,11.59,-0.00773532
11/07/2012,11.68,0.00773532
10/07/2012,11.59,-0.029751451
09/07/2012,11.94,-0.006677821
06/07/2012,12.02,-0.030317767
05/07/2012,12.39,-0.016013152
03/07/2012,12.59,0.024930925
02/07/2012,12.28,-0.00568414
29/06/2012,12.35,0.037958352
28/06/2012,11.89,-0.018333847
27/06/2012,12.11,0.011628038
26/06/2012,11.97,-0.012453461
25/06/2012,12.12,-0.01148495
22/06/2012,12.26,0.021435281
21/06/2012,12,-0.053540767
20/06/2012,12.66,-0.000789578
19/06/2012,12.67,0.019124089
