Date,Close,AMT
07/12/2011,59.3,0.001012317
06/12/2011,59.24,0.00185858
05/12/2011,59.13,0.000845952
02/12/2011,59.08,0.008157761
01/12/2011,58.6,-0.006802747
30/11/2011,59,0.02158727
29/11/2011,57.74,0.020824972
28/11/2011,56.55,0.014786054
25/11/2011,55.72,0.005398609
23/11/2011,55.42,-0.010411151
22/11/2011,56,0.001787311
21/11/2011,55.9,-0.015267472
18/11/2011,56.76,-0.002990591
17/11/2011,56.93,-0.004206842
16/11/2011,57.17,-0.021457823
15/11/2011,58.41,0.018139912
14/11/2011,57.36,-0.014194457
11/11/2011,58.18,0.027002773
10/11/2011,56.63,-0.009665307
09/11/2011,57.18,-0.020426537
08/11/2011,58.36,0.000514183
07/11/2011,58.33,0.007053793
04/11/2011,57.92,0.008670073
03/11/2011,57.42,0.012618464
02/11/2011,56.7,-0.003872562
01/11/2011,56.92,0.032497057
31/10/2011,55.1,-0.021899996
28/10/2011,56.32,-0.008310542
27/10/2011,56.79,0.02063763
26/10/2011,55.63,-0.005735811
25/10/2011,55.95,-0.02279452
24/10/2011,57.24,0.015848192
21/10/2011,56.34,0.023162899
20/10/2011,55.05,0.001090513
19/10/2011,54.99,-0.012290052
18/10/2011,55.67,0.010836299
17/10/2011,55.07,-0.013706256
14/10/2011,55.83,0.012254614
13/10/2011,55.15,-0.005064218
12/10/2011,55.43,0.002890698
11/10/2011,55.27,-0.011691832
10/10/2011,55.92,0.017862451
07/10/2011,54.93,-0.011943682
06/10/2011,55.59,0.009579829
05/10/2011,55.06,0.019254285
04/10/2011,54.01,0.021522305
03/10/2011,52.86,-0.017626558
30/09/2011,53.8,0.003910984
29/09/2011,53.59,-0.006880548
28/09/2011,53.96,-0.011424484
27/09/2011,54.58,0.019985861
26/09/2011,53.5,0.022876506
23/09/2011,52.29,-0.000191223
22/09/2011,52.3,-0.033837815
21/09/2011,54.1,-0.01922256
20/09/2011,55.15,-0.001087351
19/09/2011,55.21,0.005630748
16/09/2011,54.9,0.000728863
15/09/2011,54.86,0.012841857
14/09/2011,54.16,0.02353929
13/09/2011,52.9,0.011406968
12/09/2011,52.3,-0.001528468
09/09/2011,52.38,-0.019473155
08/09/2011,53.41,-0.00168366
07/09/2011,53.5,0.008446789
06/09/2011,53.05,-0.001695075
02/09/2011,53.14,-0.020857367
01/09/2011,54.26,0.00739922
31/08/2011,53.86,0.012329691
30/08/2011,53.2,0.018209911
29/08/2011,52.24,0.007300705
26/08/2011,51.86,0.026376444
25/08/2011,50.51,-0.019410471
24/08/2011,51.5,0.014473165
23/08/2011,50.76,0.037126768
22/08/2011,48.91,0.001636996
19/08/2011,48.83,0.009878656
18/08/2011,48.35,-0.050413901
17/08/2011,50.85,-0.003533573
16/08/2011,51.03,-0.008779688
15/08/2011,51.48,0.025178356
12/08/2011,50.2,0.017077261
11/08/2011,49.35,0.040948649
10/08/2011,47.37,-0.037904507
09/08/2011,49.2,0.059672331
08/08/2011,46.35,-0.075401633
05/08/2011,49.98,-0.020398767
04/08/2011,51.01,-0.050832494
03/08/2011,53.67,0.06088085
