Date,Close,GE
25/04/2011,19.89,-0.00301205
21/04/2011,19.95,-0.022305758
20/04/2011,20.4,0.00639294
19/04/2011,20.27,0.014410187
18/04/2011,19.98,-0.002998503
15/04/2011,20.04,0.001998003
14/04/2011,20,0.003004509
13/04/2011,19.94,-0.003504384
12/04/2011,20.01,-0.008459866
11/04/2011,20.18,-0.000495417
08/04/2011,20.19,-0.00789348
07/04/2011,20.35,-0.009780029
06/04/2011,20.55,0.010763313
05/04/2011,20.33,-0.009789603
04/04/2011,20.53,0.00929784
01/04/2011,20.34,0.014360237
31/03/2011,20.05,-0.00298805
30/03/2011,20.11,0.012509545
29/03/2011,19.86,0.005554167
28/03/2011,19.75,0
25/03/2011,19.75,-0.001517835
24/03/2011,19.78,0.012719581
23/03/2011,19.53,0.002050231
22/03/2011,19.49,-0.011731836
21/03/2011,19.72,0.024122288
18/03/2011,19.25,0.001559657
17/03/2011,19.22,0.014147472
16/03/2011,18.95,-0.034235709
15/03/2011,19.61,-0.015684612
14/03/2011,19.92,-0.02184794
11/03/2011,20.36,0.012852377
10/03/2011,20.1,-0.026026512
09/03/2011,20.63,0
08/03/2011,20.63,0.012192299
07/03/2011,20.38,0.000490798
04/03/2011,20.37,-0.018483016
03/03/2011,20.75,0.020940624
02/03/2011,20.32,0.003450829
01/03/2011,20.25,-0.032550846
28/02/2011,20.92,0.004791576
25/02/2011,20.82,0.011594333
24/02/2011,20.58,0.0102565
23/02/2011,20.37,-0.021850833
22/02/2011,20.82,-0.029344273
18/02/2011,21.44,-0.003724399
17/02/2011,21.52,0.003724399
16/02/2011,21.44,-0.000932401
15/02/2011,21.46,-0.001862198
14/02/2011,21.5,0.007938403
11/02/2011,21.33,0.002816903
10/02/2011,21.27,-0.001878817
09/02/2011,21.31,0.001408782
08/02/2011,21.28,0.019454943
07/02/2011,20.87,0.014965281
04/02/2011,20.56,-0.009198806
03/02/2011,20.75,0.001929571
02/02/2011,20.71,-0.004336311
01/02/2011,20.8,0.032245099
31/01/2011,20.14,-0.002974717
28/01/2011,20.2,-0.003952574
27/01/2011,20.28,0.017910927
26/01/2011,19.92,-0.003007521
25/01/2011,19.98,-0.002998503
24/01/2011,20.04,0.015083242
21/01/2011,19.74,0.068667262
20/01/2011,18.43,0.00544071
19/01/2011,18.33,-0.014622519
18/01/2011,18.6,-0.011758553
14/01/2011,18.82,0.011758553
13/01/2011,18.6,-0.003756377
12/01/2011,18.67,0.002144773
11/01/2011,18.63,0.006462058
10/01/2011,18.51,0.004331355
07/01/2011,18.43,-0.007028956
06/01/2011,18.56,-0.004301082
05/01/2011,18.64,0.001610739
04/01/2011,18.61,0.017891505
03/01/2011,18.28,-0.000546896
31/12/2010,18.29,0.00548247
30/12/2010,18.19,-0.004388378
29/12/2010,18.27,-0.002732989
28/12/2010,18.32,0.007121367
27/12/2010,18.19,0.008280478
23/12/2010,18.04,-0.001108033
22/12/2010,18.06,0.008898835
21/12/2010,17.9,0.011236073
20/12/2010,17.7,0
17/12/2010,17.7,-0.003947003
16/12/2010,17.77,0.015882353
15/12/2010,17.49,-0.011370219
14/12/2010,17.69,0.003964888
13/12/2010,17.62,-0.005659325
10/12/2010,17.72,0.033862633
09/12/2010,17.13,0.005267791
08/12/2010,17.04,0.000587027
07/12/2010,17.03,0.019567775
06/12/2010,16.7,-0.004778982
03/12/2010,16.78,0.005977304
02/12/2010,16.68,0.023045289
01/12/2010,16.3,0.029258234
30/11/2010,15.83,-0.008805088
29/11/2010,15.97,0.010702022
26/11/2010,15.8,-0.008821733
24/11/2010,15.94,0.011356589
23/11/2010,15.76,-0.016986882
22/11/2010,16.03,-0.011783082
19/11/2010,16.22,0.011159446
18/11/2010,16.04,0.014442951
17/11/2010,15.81,-0.003157565
16/11/2010,15.86,-0.021211026
15/11/2010,16.2,-0.003081667
12/11/2010,16.25,-0.006134989
11/11/2010,16.35,-0.012158204
10/11/2010,16.55,-0.004220688
09/11/2010,16.62,-0.005400553
08/11/2010,16.71,-0.001196172
05/11/2010,16.73,0.013237257
04/11/2010,16.51,0.027634549
03/11/2010,16.06,0.007500035
02/11/2010,15.94,-0.000627156
01/11/2010,15.95,-0.004379112
29/10/2010,16.02,-0.003738322
28/10/2010,16.08,-0.001863933
27/10/2010,16.11,-0.003098856
26/10/2010,16.16,0.006207345
25/10/2010,16.06,0
22/10/2010,16.06,-0.002487563
21/10/2010,16.1,0.003110422
20/10/2010,16.05,-0.00124533
19/10/2010,16.07,-0.011138729
18/10/2010,16.25,-0.003072199
15/10/2010,16.3,-0.051415986
14/10/2010,17.16,-0.006968669
13/10/2010,17.28,0.005221944
12/10/2010,17.19,0.013470189
11/10/2010,16.96,-0.00938974
08/10/2010,17.12,0.004097167
07/10/2010,17.05,0.008836582
06/10/2010,16.9,0.023347364
05/10/2010,16.51,0.025146986
04/10/2010,16.1,-0.016020059
01/10/2010,16.36,0.006746422
30/09/2010,16.25,-0.006746422
29/09/2010,16.36,-0.004878058
28/09/2010,16.44,0.000608458
27/09/2010,16.43,-0.013901705
24/09/2010,16.66,0.031709974
23/09/2010,16.14,-0.022059718
22/09/2010,16.5,-0.001211387
21/09/2010,16.52,-0.001814334
20/09/2010,16.55,0.015834679
17/09/2010,16.29,0.003690041
