Date,Close,ETFC
01/03/2013,10.63,-0.007497692
28/02/2013,10.71,-0.000933271
27/02/2013,10.72,0.015985296
26/02/2013,10.55,-0.008494624
25/02/2013,10.64,-0.018622512
22/02/2013,10.84,0.005550431
21/02/2013,10.78,-0.031052723
20/02/2013,11.12,-0.015172089
19/02/2013,11.29,0.006219478
15/02/2013,11.22,-0.017668304
14/02/2013,11.42,0.010563479
13/02/2013,11.3,-0.000884564
12/02/2013,11.31,0.022352294
11/02/2013,11.06,0.003623192
08/02/2013,11.02,0.002726035
07/02/2013,10.99,0.006389798
06/02/2013,10.92,0.00091617
05/02/2013,10.91,0.010133666
04/02/2013,10.8,0
01/02/2013,10.8,0.018692133
31/01/2013,10.6,0.012339976
30/01/2013,10.47,-0.008559253
29/01/2013,10.56,-0.003780723
28/01/2013,10.6,0.025801718
25/01/2013,10.33,0.005825259
24/01/2013,10.27,-0.002916871
23/01/2013,10.3,-0.007736983
22/01/2013,10.38,0.019455867
18/01/2013,10.18,0.030925158
17/01/2013,9.87,0.001013685
16/01/2013,9.86,0.009169703
15/01/2013,9.77,0.029077853
14/01/2013,9.49,-0.009438979
11/01/2013,9.58,0.003136437
10/01/2013,9.55,0.019028058
09/01/2013,9.37,0.011809048
08/01/2013,9.26,-0.009672295
07/01/2013,9.35,-0.00426895
04/01/2013,9.39,0.021529357
03/01/2013,9.19,0
02/01/2013,9.19,0.026462404
31/12/2012,8.95,0.021457627
28/12/2012,8.76,0.003430535
27/12/2012,8.73,0.008050647
26/12/2012,8.66,-0.001154068
24/12/2012,8.67,-0.018286224
21/12/2012,8.83,-0.006772035
20/12/2012,8.89,0.012450642
19/12/2012,8.78,0
18/12/2012,8.78,0.023042494
17/12/2012,8.58,0.030771659
14/12/2012,8.32,0.006027746
13/12/2012,8.27,0.002421309
12/12/2012,8.25,-0.008449054
11/12/2012,8.32,0.001202646
10/12/2012,8.31,-0.008388306
07/12/2012,8.38,0.00119403
06/12/2012,8.37,-0.020107123
05/12/2012,8.54,0.020107123
04/12/2012,8.37,0.003590668
03/12/2012,8.34,-0.009546612
30/11/2012,8.42,-0.012979533
29/11/2012,8.53,0
28/11/2012,8.53,0.017741447
27/11/2012,8.38,-0.005948858
26/11/2012,8.43,0.035006592
23/11/2012,8.14,0.003692312
21/11/2012,8.11,0.001233806
20/11/2012,8.1,-0.008604847
19/11/2012,8.17,0.036141005
16/11/2012,7.88,0.002541297
15/11/2012,7.86,0.015384919
14/11/2012,7.74,-0.033039854
13/11/2012,8,-0.016119382
12/11/2012,8.13,0.006169051
09/11/2012,8.08,-0.007398307
08/11/2012,8.14,-0.01342302
07/11/2012,8.25,-0.047346121
06/11/2012,8.65,-0.013777485
05/11/2012,8.77,0.043105101
02/11/2012,8.4,-0.010657294
01/11/2012,8.49,0.015430573
31/10/2012,8.36,0.01203384
26/10/2012,8.26,-0.015615933
25/10/2012,8.39,0.018040177
24/10/2012,8.24,-0.014458083
23/10/2012,8.36,-0.009523882
22/10/2012,8.44,-0.015285424
19/10/2012,8.57,-0.094567356
18/10/2012,9.42,-0.012658397
17/10/2012,9.54,0.034118448
16/10/2012,9.22,0.006528859
15/10/2012,9.16,0.017621601
12/10/2012,9,-0.034938051
11/10/2012,9.32,0.027190365
10/10/2012,9.07,0.006637193
09/10/2012,9.01,-0.002217296
08/10/2012,9.03,-0.009917437
05/10/2012,9.12,-0.001095891
04/10/2012,9.13,0.012121361
03/10/2012,9.02,0.006674107
02/10/2012,8.96,0.002234638
01/10/2012,8.94,0.015783868
28/09/2012,8.8,-0.005665738
27/09/2012,8.85,0.017094433
26/09/2012,8.7,-0.009153382
25/09/2012,8.78,-0.042369771
24/09/2012,9.16,-0.011937201
21/09/2012,9.27,0.005408342
20/09/2012,9.22,-0.003248514
19/09/2012,9.25,-0.015021742
18/09/2012,9.39,-0.013749556
17/09/2012,9.52,-0.037117663
14/09/2012,9.88,0.032924785
13/09/2012,9.56,0.025425098
