Date,Close,SYMC
07/09/2010,13.97,-0.000715564
03/09/2010,13.98,0.000715564
02/09/2010,13.97,-0.007843177
01/09/2010,14.08,0.032482105
31/08/2010,13.63,-0.004392394
30/08/2010,13.69,-0.020246534
27/08/2010,13.97,0.022440319
26/08/2010,13.66,-0.011644964
25/08/2010,13.82,0.011644964
24/08/2010,13.66,0.009562412
23/08/2010,13.53,-0.01975915
20/08/2010,13.8,0.031655201
19/08/2010,13.37,0.060110543
18/08/2010,12.59,-0.011058565
17/08/2010,12.73,0.027071717
16/08/2010,12.39,0.004043677
13/08/2010,12.34,-0.005656581
12/08/2010,12.41,-0.011218066
11/08/2010,12.55,-0.027506646
10/08/2010,12.9,-0.010794245
09/08/2010,13.04,0
06/08/2010,13.04,-0.003827023
05/08/2010,13.09,0.000764234
04/08/2010,13.08,0.009216655
03/08/2010,12.96,-0.016073825
02/08/2010,13.17,0.015302517
30/07/2010,12.97,-0.004615393
29/07/2010,13.03,-0.118550201
28/07/2010,14.67,-0.02157872
27/07/2010,14.99,-0.006648961
26/07/2010,15.09,-0.006605044
23/07/2010,15.19,0
22/07/2010,15.19,0.040300954
21/07/2010,14.59,-0.029046284
20/07/2010,15.02,0.008021433
19/07/2010,14.9,0.02102485
16/07/2010,14.59,-0.022366232
15/07/2010,14.92,-0.002677378
14/07/2010,14.96,-0.001336006
13/07/2010,14.98,0.017508865
12/07/2010,14.72,0.021978907
09/07/2010,14.4,-0.006920443
08/07/2010,14.5,0.002762433
07/07/2010,14.46,0.030188323
06/07/2010,14.03,0.003570157
02/07/2010,13.98,0.007899502
01/07/2010,13.87,-0.000720721
30/06/2010,13.88,-0.003595833
29/06/2010,13.93,-0.033877622
28/06/2010,14.41,-0.000693722
25/06/2010,14.42,0
24/06/2010,14.42,-0.022626951
23/06/2010,14.75,0.00475706
22/06/2010,14.68,-0.018893949
21/06/2010,14.96,-0.013280408
18/06/2010,15.16,0.007947062
17/06/2010,15.04,-0.001992694
16/06/2010,15.07,0.003989367
15/06/2010,15.01,0.039407273
14/06/2010,14.43,-0.016495219
11/06/2010,14.67,0.016495219
10/06/2010,14.43,0.035982718
09/06/2010,13.92,-0.009295741
08/06/2010,14.05,0.010733556
07/06/2010,13.9,-0.001437815
04/06/2010,13.92,-0.047694874
03/06/2010,14.6,0.022161572
02/06/2010,14.28,0.031297007
01/06/2010,13.84,-0.023564104
28/05/2010,14.17,-0.031263401
27/05/2010,14.62,0.033382794
26/05/2010,14.14,-0.013347581
25/05/2010,14.33,-0.006954131
24/05/2010,14.43,-0.019218162
21/05/2010,14.71,-0.003393285
20/05/2010,14.76,-0.057271325
19/05/2010,15.63,-0.020266685
18/05/2010,15.95,-0.020478531
17/05/2010,16.28,0.009876623
14/05/2010,16.12,-0.015389654
13/05/2010,16.37,-0.012746758
12/05/2010,16.58,0.017645727
11/05/2010,16.29,0.004923087
10/05/2010,16.21,0.037076191
07/05/2010,15.62,-0.056624767
06/05/2010,16.53,0.017084003
05/05/2010,16.25,0.00184786
04/05/2010,16.22,-0.025564387
03/05/2010,16.64,-0.00778214
30/04/2010,16.77,-0.021823337
29/04/2010,17.14,-0.012753796
28/04/2010,17.36,0.023900875
27/04/2010,16.95,-0.007640355
26/04/2010,17.08,-0.019136565
23/04/2010,17.41,0.010973255
22/04/2010,17.22,0.006408411
21/04/2010,17.11,0.002340551
20/04/2010,17.07,0.015348589
19/04/2010,16.81,0.00776355
16/04/2010,16.68,-0.017825784
15/04/2010,16.98,-0.006457316
14/04/2010,17.09,0.022486155
13/04/2010,16.71,-0.026573751
12/04/2010,17.16,0.004672906
09/04/2010,17.08,0.023697791
08/04/2010,16.68,-0.000599341
07/04/2010,16.69,-0.002393777
06/04/2010,16.73,-0.005959493
05/04/2010,16.83,0.003571432
01/04/2010,16.77,-0.00949562
31/03/2010,16.93,-0.007063008
30/03/2010,17.05,0.00588237
29/03/2010,16.95,0.006510825
26/03/2010,16.84,-0.011219486
25/03/2010,17.03,0.003529415
24/03/2010,16.97,-0.004703124
23/03/2010,17.05,-0.007013471
22/03/2010,17.17,-0.001164144
19/03/2010,17.19,-0.015584731
18/03/2010,17.46,0.01966518
17/03/2010,17.12,-0.009302393
16/03/2010,17.28,-0.005770356
15/03/2010,17.38,-0.005165004
12/03/2010,17.47,0.005165004
11/03/2010,17.38,-0.004019529
10/03/2010,17.45,0.014430265
09/03/2010,17.2,0.017595762
08/03/2010,16.9,-0.004133457
05/03/2010,16.97,0.014243564
04/03/2010,16.73,0.004192878
03/03/2010,16.66,0.005416805
02/03/2010,16.57,-0.006616565
01/03/2010,16.68,0.007824295
26/02/2010,16.55,0.000604412
25/02/2010,16.54,0.001209922
24/02/2010,16.52,-0.007237667
23/02/2010,16.64,-0.014320054
22/02/2010,16.88,-0.017034186
19/02/2010,17.17,0.002916304
18/02/2010,17.12,0.010569681
17/02/2010,16.94,-0.008815808
16/02/2010,17.09,0.015330489
12/02/2010,16.83,-0.023489042
11/02/2010,17.23,0.008158553
10/02/2010,17.09,0.001756955
09/02/2010,17.06,0.002935136
08/02/2010,17.01,-0.007613507
05/02/2010,17.14,0.012327717
04/02/2010,16.93,-0.01930449
03/02/2010,17.26,-0.004047418
02/02/2010,17.33,0
01/02/2010,17.33,0.02217127
29/01/2010,16.95,-0.02677692
28/01/2010,17.41,-0.066654317
27/01/2010,18.61,0.008092842
26/01/2010,18.46,-0.000541565
25/01/2010,18.47,0.009793332
22/01/2010,18.29,-0.018418722
21/01/2010,18.63,-0.004284956
20/01/2010,18.71,-0.022722246
19/01/2010,19.14,0.015267472
15/01/2010,18.85,0.00372044
14/01/2010,18.78,0.004803852
13/01/2010,18.69,0.011840827
12/01/2010,18.47,0.005973409
11/01/2010,18.36,-0.000544514
08/01/2010,18.37,0.00272554
07/01/2010,18.32,-0.002181026
06/01/2010,18.36,0.003273325
05/01/2010,18.3,-0.005449605
04/01/2010,18.4,0.028108767
31/12/2009,17.89,-0.014428663
30/12/2009,18.15,0.006633523
29/12/2009,18.03,-0.002769318
28/12/2009,18.08,0.002769318
24/12/2009,18.03,0.0150883
23/12/2009,17.76,0.002819286
22/12/2009,17.71,-0.00675298
21/12/2009,17.83,0.012415509
18/12/2009,17.61,0.010274063
17/12/2009,17.43,-0.016501086
16/12/2009,17.72,0.003958162
15/12/2009,17.65,-0.004522337
14/12/2009,17.73,0.006791198
11/12/2009,17.61,-0.003401364
10/12/2009,17.67,0.001132503
09/12/2009,17.65,0.016567074
08/12/2009,17.36,-0.017133486
07/12/2009,17.66,-0.012380575
04/12/2009,17.88,-0.004464293
03/12/2009,17.96,-0.002224695
02/12/2009,18,-0.000555401
01/12/2009,18.01,0.014541643
30/11/2009,17.75,0.003386008
27/11/2009,17.69,-0.018482744
25/11/2009,18.02,0.004449396
