Date,Close,DFS
24/09/2012,38.63,0.0002589
21/09/2012,38.62,0.01198243
20/09/2012,38.16,-0.009130101
19/09/2012,38.51,0
18/09/2012,38.51,-0.005696546
17/09/2012,38.73,-0.014864446
14/09/2012,39.31,0.001272751
13/09/2012,39.26,0.025801225
12/09/2012,38.26,-0.002088774
11/09/2012,38.34,0.003134799
10/09/2012,38.22,-0.006519778
07/09/2012,38.47,0.006258169
06/09/2012,38.23,0.008405618
05/09/2012,37.91,-0.021915826
04/09/2012,38.75,0.000516262
31/08/2012,38.73,0.009338589
30/08/2012,38.37,-0.003382337
29/08/2012,38.5,-0.001297859
28/08/2012,38.55,-0.009552157
27/08/2012,38.92,0.008255981
24/08/2012,38.6,0.013037994
23/08/2012,38.1,-0.008624122
22/08/2012,38.43,0.037920492
21/08/2012,37,-0.004584072
20/08/2012,37.17,-0.016013152
17/08/2012,37.77,-0.001058481
16/08/2012,37.81,0.025717999
15/08/2012,36.85,0.003806421
14/08/2012,36.71,-0.002176872
13/08/2012,36.79,-0.001358142
10/08/2012,36.84,0.008450371
09/08/2012,36.53,-0.0149439
08/08/2012,37.08,0.005408342
07/08/2012,36.88,0.007347972
06/08/2012,36.61,0.003283177
03/08/2012,36.49,0.034005506
02/08/2012,35.27,-0.012117945
01/08/2012,35.7,-0.007256521
31/07/2012,35.96,-0.014356956
30/07/2012,36.48,0.001920703
27/07/2012,36.41,0.024466052
26/07/2012,35.53,0.038736732
25/07/2012,34.18,-0.001753874
24/07/2012,34.24,-0.007564773
23/07/2012,34.5,-0.011813997
20/07/2012,34.91,-0.000572738
19/07/2012,34.93,-0.006847388
18/07/2012,35.17,-0.014677091
17/07/2012,35.69,0.015245919
16/07/2012,35.15,0.005420067
13/07/2012,34.96,0.012086478
12/07/2012,34.54,-0.003179653
11/07/2012,34.65,0.011903174
10/07/2012,34.24,-0.022239184
09/07/2012,35.01,-0.008532475
06/07/2012,35.31,-0.001415028
05/07/2012,35.36,-0.002542015
03/07/2012,35.45,0.015922998
02/07/2012,34.89,0.008924775
29/06/2012,34.58,0.035917903
28/06/2012,33.36,-0.009249656
27/06/2012,33.67,0.004763331
26/06/2012,33.51,-0.002682165
25/06/2012,33.6,-0.000297575
22/06/2012,33.61,0.004771855
21/06/2012,33.45,-0.020417931
20/06/2012,34.14,0.016836906
19/06/2012,33.57,0.022290079
18/06/2012,32.83,-0.004861754
15/06/2012,32.99,0.018972417
14/06/2012,32.37,0.007753179
13/06/2012,32.12,-0.024601487
12/06/2012,32.92,0.015921953
11/06/2012,32.4,-0.012879663
08/06/2012,32.82,0.017210013
07/06/2012,32.26,0.020670952
06/06/2012,31.6,0.017558312
05/06/2012,31.05,0.008084118
04/06/2012,30.8,0.002600782
01/06/2012,30.72,-0.074921443
31/05/2012,33.11,-0.004820738
30/05/2012,33.27,-0.002701487
29/05/2012,33.36,0.019065489
25/05/2012,32.73,0.003366491
24/05/2012,32.62,0.008311576
23/05/2012,32.35,0.000309167
22/05/2012,32.34,-0.00524288
21/05/2012,32.51,0.030925469
18/05/2012,31.52,0.00095223
17/05/2012,31.49,-0.049561087
16/05/2012,33.09,-0.009324778
15/05/2012,33.4,-0.005970167
14/05/2012,33.6,-0.015357656
11/05/2012,34.12,0.018338284
10/05/2012,33.5,0.003588521
09/05/2012,33.38,0
08/05/2012,33.38,-0.003588521
07/05/2012,33.5,-0.000596837
04/05/2012,33.52,-0.007134394
03/05/2012,33.76,-0.016451605
02/05/2012,34.32,-0.00203755
01/05/2012,34.39,0.01435081
30/04/2012,33.9,-0.005589072
27/04/2012,34.09,0.006179216
26/04/2012,33.88,0.010086113
25/04/2012,33.54,0.022920183
24/04/2012,32.78,0.000305111
23/04/2012,32.77,-0.004870634
20/04/2012,32.93,0.004870634
19/04/2012,32.77,0.003668607
18/04/2012,32.65,-0.005497876
17/04/2012,32.83,0.009487447
16/04/2012,32.52,-0.011313376
13/04/2012,32.89,-0.01148743
12/04/2012,33.27,0.01789282
11/04/2012,32.68,0.015418128
10/04/2012,32.18,-0.014499714
09/04/2012,32.65,-0.013084014
05/04/2012,33.08,0.002421309
04/04/2012,33,-0.01533634
03/04/2012,33.51,-0.005653936
02/04/2012,33.7,0.01073996
30/03/2012,33.34,0.011766616
29/03/2012,32.95,-0.006353069
28/03/2012,33.16,-0.019412286
27/03/2012,33.81,-0.000591366
26/03/2012,33.83,0
23/03/2012,33.83,0.040415633
22/03/2012,32.49,0.026510207
21/03/2012,31.64,-0.006929162
20/03/2012,31.86,-0.019273211
19/03/2012,32.48,0.013327332
16/03/2012,32.05,0.000936476
15/03/2012,32.02,-0.000624415
14/03/2012,32.04,0.000624415
13/03/2012,32.02,0.039495579
12/03/2012,30.78,0.005538375
09/03/2012,30.61,0.007542256
08/03/2012,30.38,-0.00032911
07/03/2012,30.39,0.015252285
06/03/2012,29.93,-0.018537439
05/03/2012,30.49,-0.001311046
02/03/2012,30.53,-0.004575171
01/03/2012,30.67,0.021754319
29/02/2012,30.01,-0.01192462
28/02/2012,30.37,0.017605504
27/02/2012,29.84,-0.011660968
24/02/2012,30.19,0.004980917
23/02/2012,30.04,0.010709607
22/02/2012,29.72,0.001009931
21/02/2012,29.69,0.005065012
17/02/2012,29.54,-0.00135318
16/02/2012,29.58,0.019457859
15/02/2012,29.01,0.018438512
14/02/2012,28.48,-0.006997929
13/02/2012,28.68,0.017587509
10/02/2012,28.18,-0.024883008
09/02/2012,28.89,0.003814813
08/02/2012,28.78,-0.00554402
07/02/2012,28.94,0.02306988
06/02/2012,28.28,0.002123895
