Date,Close,BK
27/02/2013,27.4,0.01211691
26/02/2013,27.07,0.009278226
25/02/2013,26.82,-0.029754261
22/02/2013,27.63,0.011283104
21/02/2013,27.32,-0.019572934
20/02/2013,27.86,-0.013547444
19/02/2013,28.24,0.008892109
15/02/2013,27.99,-0.003922273
14/02/2013,28.1,-0.002488006
13/02/2013,28.17,0.009630893
12/02/2013,27.9,-0.001074691
11/02/2013,27.93,0.001074691
08/02/2013,27.9,0.003231021
07/02/2013,27.81,0.00576994
06/02/2013,27.65,0.009447745
05/02/2013,27.39,0.007328725
04/02/2013,27.19,-0.00586727
01/02/2013,27.35,0.006971226
31/01/2013,27.16,-0.005507633
30/01/2013,27.31,0.001099103
29/01/2013,27.28,0.006989177
28/01/2013,27.09,0.000369208
25/01/2013,27.08,0.00258828
24/01/2013,27.01,0.002966261
23/01/2013,26.93,-0.001854944
22/01/2013,26.98,0.016819683
18/01/2013,26.53,0.003398153
17/01/2013,26.44,0.015244198
16/01/2013,26.04,-0.028021523
15/01/2013,26.78,0.002242992
14/01/2013,26.72,-0.002242992
11/01/2013,26.78,-0.001865324
10/01/2013,26.83,0.008233579
09/01/2013,26.61,0.00338792
08/01/2013,26.52,-0.013855305
07/01/2013,26.89,-0.014765864
04/01/2013,27.29,0.026361281
03/01/2013,26.58,-0.011223462
02/01/2013,26.88,0.044891524
31/12/2012,25.7,0.010954726
28/12/2012,25.42,-0.009007306
27/12/2012,25.65,0.001170275
26/12/2012,25.62,-0.004672906
24/12/2012,25.74,-0.00232829
21/12/2012,25.8,-0.015384919
20/12/2012,26.2,0.012675415
19/12/2012,25.87,-0.005781477
18/12/2012,26.02,0.024116299
17/12/2012,25.4,0.027136541
14/12/2012,24.72,-0.001212856
13/12/2012,24.75,0.008928631
12/12/2012,24.53,0.001631987
11/12/2012,24.49,0.008200128
10/12/2012,24.29,0.002886005
07/12/2012,24.22,0.020017349
06/12/2012,23.74,0
05/12/2012,23.74,-0.000842105
04/12/2012,23.76,-0.011299555
03/12/2012,24.03,0.00375235
30/11/2012,23.94,-0.012453461
29/11/2012,24.24,0.002064837
28/11/2012,24.19,0.005388614
27/11/2012,24.06,-0.014851758
26/11/2012,24.42,-0.000409417
23/11/2012,24.43,0.016092776
21/11/2012,24.04,-0.000831601
20/11/2012,24.06,0.0020803
19/11/2012,24.01,0.015530218
16/11/2012,23.64,0.002965476
15/11/2012,23.57,0.001273615
14/11/2012,23.54,-0.019769308
13/11/2012,24.01,-0.002495842
12/11/2012,24.07,-0.00166044
09/11/2012,24.11,0.002075982
08/11/2012,24.06,0.00249688
07/11/2012,24,-0.051959739
06/11/2012,25.28,0.006747396
05/11/2012,25.11,0.023369315
02/11/2012,24.53,-0.022970988
01/11/2012,25.1,0.015659826
31/10/2012,24.71,0.013855152
26/10/2012,24.37,-0.01587658
25/10/2012,24.76,0.005670327
24/10/2012,24.62,0.006111243
23/10/2012,24.47,-0.007329023
22/10/2012,24.65,-0.001216299
19/10/2012,24.68,-0.012082306
18/10/2012,24.98,0.004815419
17/10/2012,24.86,0.053709727
16/10/2012,23.56,0.020150735
15/10/2012,23.09,0.010886239
12/10/2012,22.84,-0.023795196
11/10/2012,23.39,0.009881928
10/10/2012,23.16,-0.008170331
09/10/2012,23.35,-0.001283972
08/10/2012,23.38,-0.001709402
05/10/2012,23.42,0.003850272
04/10/2012,23.33,0.02254105
03/10/2012,22.81,-0.006554535
02/10/2012,22.96,0.001307475
01/10/2012,22.93,0.013611626
28/09/2012,22.62,-0.008802874
27/09/2012,22.82,0.007919091
26/09/2012,22.64,0.000441794
25/09/2012,22.63,-0.024875819
24/09/2012,23.2,-0.004301082
21/09/2012,23.3,0.00645858
20/09/2012,23.15,-0.013302063
19/09/2012,23.46,-0.008489015
18/09/2012,23.66,-0.002111042
17/09/2012,23.71,0.003803089
14/09/2012,23.62,0.007223316
13/09/2012,23.45,0.024170361
12/09/2012,22.89,0.006574646
11/09/2012,22.74,0.001760564
10/09/2012,22.7,-0.009644967
07/09/2012,22.92,-0.004787822
06/09/2012,23.03,0.022393911
05/09/2012,22.52,-0.001331263
04/09/2012,22.55,0.000443557
31/08/2012,22.54,0.01070483
30/08/2012,22.3,-0.011591748
29/08/2012,22.56,0.006671139
28/08/2012,22.41,0.005817873
27/08/2012,22.28,-0.006709933
24/08/2012,22.43,-0.000445732
23/08/2012,22.44,-0.012840557
22/08/2012,22.73,-0.003074898
21/08/2012,22.8,0
20/08/2012,22.8,0.003074898
17/08/2012,22.73,0.009725983
16/08/2012,22.51,0.01792966
15/08/2012,22.11,-0.001807502
14/08/2012,22.15,-0.004054973
13/08/2012,22.24,-0.000449539
10/08/2012,22.25,-0.001796139
09/08/2012,22.29,-0.012483443
08/08/2012,22.57,0.012034912
07/08/2012,22.3,0.026353183
06/08/2012,21.72,-0.001380262
03/08/2012,21.75,0.050930384
02/08/2012,20.67,-0.022956532
01/08/2012,21.15,-0.006127759
31/07/2012,21.28,-0.007956981
30/07/2012,21.45,0.002801122
27/07/2012,21.39,0.021262318
26/07/2012,20.94,0.01637013
25/07/2012,20.6,0.009756175
24/07/2012,20.4,-0.00635233
23/07/2012,20.53,-0.011622407
20/07/2012,20.77,-0.024727841
19/07/2012,21.29,-0.018613846
18/07/2012,21.69,-0.00138217
17/07/2012,21.72,-0.001839927
16/07/2012,21.76,-0.000459453
13/07/2012,21.77,0.033632315
12/07/2012,21.05,-0.012275886
11/07/2012,21.31,-0.000938086
10/07/2012,21.33,-0.011652427
09/07/2012,21.58,-0.009684189
06/07/2012,21.79,-0.008226737
05/07/2012,21.97,-0.017148435
03/07/2012,22.35,0.007635339
02/07/2012,22.18,0.010423842
29/06/2012,21.95,0.042341752
28/06/2012,21.04,-0.004741593
27/06/2012,21.14,0.013813032
26/06/2012,20.85,0.004807702
25/06/2012,20.75,-0.021454935
22/06/2012,21.2,0.016167732
21/06/2012,20.86,-0.022749796
20/06/2012,21.34,-0.00467509
19/06/2012,21.44,0.023597131
18/06/2012,20.94,-0.007137789
15/06/2012,21.09,0.009049836
