Date,Close,HOG
02/01/2013,49.99,0.023478107
31/12/2012,48.83,0.032469033
28/12/2012,47.27,-0.012822036
27/12/2012,47.88,-0.000417624
26/12/2012,47.9,-0.013890552
24/12/2012,48.57,-0.002467614
21/12/2012,48.69,-0.004917035
20/12/2012,48.93,0.004095848
19/12/2012,48.73,-0.013453118
18/12/2012,49.39,0.00344793
17/12/2012,49.22,0.028646987
14/12/2012,47.83,-0.003547953
13/12/2012,48,-0.024692613
12/12/2012,49.2,0.032640782
11/12/2012,47.62,0.020365574
10/12/2012,46.66,0.004295539
07/12/2012,46.46,0.006044923
06/12/2012,46.18,-0.002163098
05/12/2012,46.28,-0.004957441
04/12/2012,46.51,0.011025947
03/12/2012,46,-0.020654779
30/11/2012,46.96,-0.008692941
29/11/2012,47.37,-0.003582345
28/11/2012,47.54,0.011636649
27/11/2012,46.99,-0.021057843
26/11/2012,47.99,-0.005610404
23/11/2012,48.26,0.010414591
21/11/2012,47.76,-0.000418673
20/11/2012,47.78,-0.003968674
19/11/2012,47.97,0.037163211
16/11/2012,46.22,-0.007973321
15/11/2012,46.59,0.019944299
14/11/2012,45.67,0.003070178
13/11/2012,45.53,-0.006785623
12/11/2012,45.84,0.012070815
09/11/2012,45.29,0.007090657
08/11/2012,44.97,-0.033671742
07/11/2012,46.51,-0.02337548
06/11/2012,47.61,0.005687219
05/11/2012,47.34,0.001056747
02/11/2012,47.29,-0.006743967
01/11/2012,47.61,0.018014687
31/10/2012,46.76,0.013781441
26/10/2012,46.12,-0.008635632
25/10/2012,46.52,0.003876809
24/10/2012,46.34,-0.011798914
23/10/2012,46.89,0.074354078
22/10/2012,43.53,-0.00800828
19/10/2012,43.88,-0.014704484
18/10/2012,44.53,0.011973485
17/10/2012,44,0.018349139
16/10/2012,43.2,0.031509778
15/10/2012,41.86,0.010566861
12/10/2012,41.42,-0.00889322
11/10/2012,41.79,-0.00262875
10/10/2012,41.9,0
09/10/2012,41.9,-0.01374755
08/10/2012,42.48,0.011601882
05/10/2012,41.99,0.008850674
04/10/2012,41.62,0.020143868
